Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Andorra ,1970,19860,5009,395274.0,9729538.0,12067123.0,73328647.0,9818350.0,28210330.0,26750433.0,63510297.0,13619286.0,3639461.0,5491185.0,30651852.0,82987836.0,3066054.0,33653934.0,99476787.0,99476787.0
 Andorra ,1971,21322,5306,449521.0,11064821.0,14721870.0,83802599.0,11360763.0,29494294.0,27817945.0,72441836.0,14571986.0,4138923.0,6244756.0,34858543.0,94376889.0,3486825.0,38272422.0,113128492.0,113128492.0
 Andorra ,1972,22832,6285,570238.0,14036016.0,19142353.0,105543228.0,14243635.0,39194531.0,36949705.0,91299593.0,19863609.0,5250345.0,7921645.0,44218742.0,119719228.0,4423088.0,48549500.0,143506004.0,143506004.0
 Andorra ,1973,24393,7825,758432.0,18667851.0,25425895.0,139784323.0,18918558.0,54774099.0,52056859.0,120865765.0,28220359.0,6983016.0,10535909.0,58810470.0,159226682.0,5882702.0,64571318.0,190863792.0,190863792.0
 Andorra ,1974,26003,9078,937967.0,23087610.0,31123033.0,175354060.0,24359803.0,75172498.0,68133279.0,150994257.0,43695866.0,8636303.0,13030455.0,72735186.0,196926871.0,7275694.0,79859958.0,236055468.0,236055468.0
 Andorra ,1975,27640,10076,1106632.0,27240660.0,34468394.0,208788320.0,30353842.0,83855359.0,75931943.0,178434478.0,46540171.0,10189613.0,15373973.0,85819787.0,232348745.0,8584422.0,94223270.0,278514317.0,278514317.0
 Andorra ,1976,29294,9817,1142751.0,28128976.0,36140856.0,222028622.0,33857510.0,81726357.0,73946653.0,188171112.0,50358534.0,10521740.0,15874905.0,88617536.0,239921853.0,8863996.0,97293690.0,287588366.0,287588366.0
 Andorra ,1977,30949,10385,1277192.0,31434967.0,42590106.0,246684054.0,38525718.0,84734811.0,79329103.0,208158336.0,51138775.0,11758755.0,17741340.0,99029394.0,268118724.0,9905469.0,108730362.0,321390137.0,321390137.0
 Andorra ,1978,32574,11965,1548881.0,38118647.0,54094941.0,296339922.0,48439708.0,94206869.0,91094398.0,247900214.0,53962953.0,14259694.0,21515242.0,120084463.0,325136944.0,12012235.0,131857476.0,389745929.0,389745929.0
 Andorra ,1979,34142,15252,2068684.0,50928218.0,71363331.0,401553184.0,67445716.0,122705405.0,115907140.0,334107468.0,73590492.0,19050566.0,28744392.0,160453876.0,434416976.0,16051588.0,176170218.0,520742333.0,520742333.0
 Andorra ,1980,35611,15861,2243728.0,55245946.0,80716221.0,446054580.0,76844230.0,137656784.0,128580882.0,369210350.0,97542097.0,20663155.0,31175185.0,174057005.0,471201583.0,17409400.0,191070319.0,564812657.0,564812657.0
 Andorra ,1981,36987,13307,1956309.0,48147951.0,80145530.0,395526356.0,71569895.0,111760872.0,111452330.0,323956461.0,93992229.0,18008573.0,27169303.0,151678250.0,410638522.0,15169277.0,166517431.0,492189978.0,492189978.0
 Andorra ,1982,38598,12323,1891170.0,46522316.0,80752379.0,381509340.0,69996203.0,107417322.0,106619890.0,311513137.0,92996688.0,17405372.0,26261267.0,146534249.0,396795383.0,14657343.0,160929037.0,475654368.0,475654368.0
 Andorra ,1983,40432,10260,1648837.0,40561142.0,79131439.0,331839693.0,62868206.0,90137506.0,90446285.0,268971487.0,85843027.0,15177664.0,22903183.0,127776433.0,346029117.0,12785506.0,140354016.0,414836776.0,414836776.0
 Andorra ,1984,42181,9901,1655992.0,40836292.0,88972161.0,327189635.0,62302282.0,86019334.0,83456322.0,264887353.0,84525492.0,15271405.0,23044659.0,128721166.0,348411053.0,12881651.0,141271294.0,417649689.0,417649689.0
 Andorra ,1985,43809,10015,1742801.0,42944496.0,91542488.0,343651996.0,66627229.0,91343578.0,90032033.0,277024766.0,87756771.0,16052322.0,24209515.0,135299266.0,366103679.0,13521057.0,148386544.0,438742504.0,438742504.0
 Andorra ,1986,45605,13373,2430756.0,59694743.0,110982202.0,471791331.0,91425967.0,132517713.0,128474422.0,380365365.0,104594853.0,22328715.0,33681933.0,187954883.0,508974096.0,18786302.0,206425479.0,609881940.0,609881940.0
 Andorra ,1987,47635,16238,3080118.0,75587547.0,137100505.0,602179901.0,119792054.0,179144462.0,172475167.0,482387846.0,143832022.0,28318801.0,42743781.0,237897110.0,644870755.0,23816528.0,261745672.0,773493497.0,773493497.0
 Andorra ,1988,49654,18384,3622446.0,89113115.0,157946499.0,702256794.0,139984841.0,231391375.0,220171921.0,562271952.0,177188291.0,33373421.0,50394650.0,280928991.0,761080619.0,28159133.0,308862284.0,912838474.0,912838474.0
 Andorra ,1989,51639,19492,3942505.0,98418498.0,167111683.0,782174957.0,159389134.0,268505603.0,256698759.0,622785822.0,209179833.0,36694153.0,55371981.0,311166862.0,840113666.0,31159157.0,340054662.0,1006552718.0,1006552718.0
 Andorra ,1990,53569,24305,5219018.0,128121427.0,204737845.0,1009866613.0,211561325.0,349408228.0,335306537.0,798305288.0,258916107.0,47779924.0,71858920.0,402657996.0,1087877747.0,39959266.0,440061121.0,1302006184.0,1302006184.0
 Andorra ,1991,55434,25266,5675674.0,137075494.0,220741003.0,1094778646.0,236990788.0,364387791.0,350402650.0,857787858.0,276163256.0,51448307.0,77683309.0,430251780.0,1169591981.0,43040171.0,475865553.0,1400576915.0,1400576915.0
 Andorra ,1992,57283,26728,6069685.0,148415055.0,247836885.0,1220801274.0,272611664.0,368457107.0,352606223.0,948189610.0,302996124.0,56053681.0,84864054.0,466137426.0,1270061839.0,47047512.0,517528107.0,1531034035.0,1531034035.0
 Andorra ,1993,59156,21541,4969197.0,123760510.0,225663897.0,1022086624.0,233772203.0,273508531.0,269802887.0,788314422.0,245187646.0,46260209.0,70004535.0,393388376.0,1062700935.0,39672704.0,430905613.0,1274297409.0,1274297409.0
 Andorra ,1994,61037,21094,4711538.0,126894244.0,261510898.0,1022803040.0,228688496.0,278767595.0,270661892.0,794114544.0,274672079.0,46262541.0,69573152.0,406961768.0,1080372881.0,40555037.0,431677142.0,1287524766.0,1287524766.0
 Andorra ,1995,62928,23702,6661714.0,151430960.0,325550311.0,1172350923.0,262708961.0,335867353.0,326589786.0,909641962.0,342272598.0,56537501.0,83655007.0,462143383.0,1252879468.0,43792805.0,505195598.0,1491495988.0,1491495988.0
 Andorra ,1996,64147,24144,6616548.0,147458498.0,356722358.0,1207340949.0,270839887.0,344242220.0,335884136.0,936501061.0,359517883.0,57175269.0,88028030.0,459801503.0,1289790478.0,47902791.0,539983107.0,1548787643.0,1548787643.0
 Andorra ,1997,64682,23096,5265540.0,137846826.0,383481258.0,1153524971.0,254062267.0,337786874.0,330620425.0,899462704.0,380892014.0,53782876.0,82537045.0,434388728.0,1197925252.0,45898416.0,491988697.0,1493901088.0,1493901088.0
 Andorra ,1998,65186,23525,5482589.0,150337549.0,400277482.0,1173606680.0,258516506.0,366925851.0,356952357.0,915090175.0,407294232.0,53300219.0,80461321.0,506005018.0,1312654512.0,50838830.0,519529205.0,1533515782.0,1533515782.0
 Andorra ,1999,65655,23895,3856845.0,165881123.0,413402746.0,1198497172.0,263409879.0,400635826.0,387990045.0,935087294.0,443734712.0,53457950.0,77717163.0,553683680.0,1356853117.0,52281387.0,503432919.0,1568801032.0,1568801032.0
 Andorra ,2000,66097,21620,7388975.0,140832765.0,408183142.0,1090578763.0,238619319.0,380702999.0,370706208.0,851959444.0,450420241.0,54744753.0,71291635.0,675556880.0,1313606878.0,57407363.0,361129260.0,1429044662.0,1429044662.0
 Andorra ,2001,67820,22809,6836628.0,160141744.0,430995083.0,1172790433.0,255931743.0,409298360.0,400299251.0,916858690.0,466170609.0,53395495.0,70719725.0,694526223.0,1400882319.0,64062067.0,404595932.0,1546913267.0,1546913267.0
 Andorra ,2002,70849,24785,6776141.0,186654453.0,466286264.0,1322385278.0,291922059.0,468572762.0,459293236.0,1030463219.0,501251409.0,60373535.0,77925622.0,769487289.0,1583894744.0,76768032.0,466283208.0,1755992896.0,1755992896.0
 Andorra ,2003,73907,31954,9898038.0,255599624.0,605261377.0,1764198620.0,396202287.0,649531780.0,639970620.0,1367996333.0,657356150.0,85391741.0,110334346.0,1037476922.0,2145571888.0,105526405.0,626736554.0,2361635625.0,2361635625.0
 Andorra ,2004,76933,37631,12006978.0,320177808.0,735687698.0,2183291352.0,497047316.0,818873630.0,805042432.0,1686244036.0,842810429.0,105815376.0,136670950.0,1283343577.0,2634184500.0,130028000.0,751957187.0,2895042252.0,2895042252.0
 Andorra ,2005,79826,39584,12025568.0,364522708.0,789302753.0,2383036900.0,547649978.0,928585061.0,916717255.0,1835386922.0,941093447.0,109859225.0,142180272.0,1420534249.0,2870268119.0,140787445.0,790217878.0,3159831266.0,3159831266.0
 Andorra ,2006,80221,43084,12218669.0,406954438.0,872405374.0,2596660825.0,600018421.0,1056418323.0,1037822148.0,1996642404.0,1069223205.0,118724316.0,151830135.0,1590020166.0,3132934477.0,149572064.0,822339005.0,3456261316.0,3456261316.0
 Andorra ,2007,78168,50563,14576312.0,439725582.0,1027019579.0,2977572577.0,699796639.0,1203197042.0,1180273614.0,2277775938.0,1255393961.0,134334742.0,171849926.0,1864111820.0,3573030402.0,167771296.0,914995466.0,3952395237.0,3952395237.0
 Andorra ,2008,76055,53721,16625781.0,443739888.0,1046938312.0,3116673063.0,769071100.0,1162591728.0,1137337767.0,2347601963.0,1240419440.0,146145739.0,186809322.0,1917267446.0,3726386752.0,187131584.0,974812732.0,4085783663.0,4085783663.0
 Andorra ,2009,73852,49751,15392238.0,373747978.0,847329603.0,2849998087.0,758340822.0,856208208.0,849222835.0,2091657266.0,879349622.0,132723319.0,168800612.0,1750200212.0,3351631945.0,167550340.0,875940566.0,3674186277.0,3674186277.0
 Andorra ,2010,71519,48191,16078513.0,296512147.0,894441653.0,2713199014.0,711126513.0,768689813.0,750970366.0,2002072502.0,929764880.0,127515587.0,155871514.0,1678933150.0,3122012794.0,164427296.0,810190173.0,3446565601.0,3446565601.0
