Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Angola ,1970,6029700,597,540872674.0,176963037.0,1347925248.0,2853053623.0,1081250420.0,931785481.0,895632041.0,1771803207.0,1256347986.0,343789341.0,1319614084.0,1069561437.0,3747678702.0,166966167.0,473701303.0,3598239448.0,3806982080.0
 Angola ,1971,6177049,609,569354435.0,186277480.0,1421669494.0,3001438847.0,1135720195.0,980005722.0,941981330.0,1865718652.0,1322629445.0,362160833.0,1388906255.0,1125827615.0,3945023511.0,175870881.0,498786845.0,3760049264.0,4007445384.0
 Angola ,1972,6364731,610,582518747.0,190788667.0,1455548585.0,3073625244.0,1164439091.0,1006724450.0,967663365.0,1909186153.0,1357840576.0,370848479.0,1421347749.0,1152723526.0,4038175414.0,180133801.0,510662924.0,3881296641.0,4102154515.0
 Angola ,1973,6578230,719,712172801.0,233366379.0,1778229118.0,3764191315.0,1428610927.0,1232390949.0,1184573964.0,2335580388.0,1665024728.0,453337147.0,1737636549.0,1410316248.0,4937961694.0,220163352.0,624306365.0,4731870206.0,5016276243.0
 Angola ,1974,6802494,781,800114463.0,261423294.0,1994583264.0,4226190442.0,1616753753.0,1381417747.0,1327818495.0,2609436689.0,1870641880.0,507409625.0,1948992088.0,1582657547.0,5539190824.0,246333967.0,699669466.0,5313370628.0,5626960654.0
 Angola ,1975,7032713,556,589460798.0,192631401.0,1459024380.0,3099957014.0,1164217281.0,1006361687.0,967314675.0,1935739733.0,1346426022.0,374104534.0,1440460908.0,1162885837.0,4083129071.0,181757641.0,515932487.0,3913560281.0,4147433125.0
 Angola ,1976,7266780,515,565589758.0,185024738.0,1425997554.0,2972387000.0,1115953942.0,969321019.0,931711195.0,1856433057.0,1314497680.0,361096924.0,1378742851.0,1118106567.0,3918919362.0,175266567.0,496188882.0,3743581884.0,3980906823.0
 Angola ,1977,7511895,547,615350458.0,202623508.0,1542925787.0,3261633625.0,1243097844.0,1084971398.0,1042874320.0,2018535781.0,1458899037.0,393413346.0,1503194589.0,1222276065.0,4276036122.0,191327582.0,541263921.0,4111237382.0,4344224828.0
 Angola ,1978,7771590,589,687180477.0,225722445.0,1709603276.0,3663273424.0,1402615716.0,1196847229.0,1150409346.0,2260657708.0,1630568781.0,437172629.0,1676331279.0,1365777398.0,4769454870.0,212129350.0,602313921.0,4579183100.0,4845481540.0
 Angola ,1979,8043218,628,770954890.0,248268190.0,1906484063.0,4058724804.0,1613836276.0,1316021546.0,1264959680.0,2444888529.0,1802534087.0,479813724.0,1862620807.0,1516340875.0,5296611799.0,232507116.0,665919921.0,5047128819.0,5380155365.0
 Angola ,1980,8330047,811,1014012454.0,331677749.0,2419938936.0,5215663457.0,1770893987.0,1633221195.0,1569851925.0,3444769470.0,2042625229.0,646010425.0,2517596627.0,1973782532.0,7043730326.0,315067027.0,891593937.0,6751788221.0,7151262407.0
 Angola ,1981,8631457,732,949206190.0,312152677.0,2612329487.0,4971339999.0,1863468845.0,1657999034.0,1593668384.0,3107871154.0,2396095926.0,624029511.0,2285425456.0,1895927061.0,6586568400.0,301454325.0,842402691.0,6317267197.0,6693017100.0
 Angola ,1982,8947152,710,933739752.0,317664319.0,2275334925.0,5163540614.0,2110069196.0,1880999793.0,1808016672.0,3053471419.0,2435902206.0,601196664.0,2305300779.0,1899496454.0,6583770603.0,295275630.0,832293669.0,6350691891.0,6693017100.0
