Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Anguilla ,1970,6283,567,179047.0,445705.0,1769953.0,2043926.0,500132.0,1786475.0,1786475.0,1543794.0,1982159.0,91095.0,180855.0,1044040.0,3391510.0,393653.0,1148211.0,3564833.0,3902380.0
 Anguilla ,1971,6329,662,210685.0,524055.0,2082184.0,2403713.0,588221.0,2100613.0,2100613.0,1815492.0,2331072.0,107145.0,212734.0,1227924.0,3989008.0,462982.0,1350628.0,4192878.0,4589878.0
 Anguilla ,1972,6366,777,248396.0,619006.0,2458004.0,2834206.0,693782.0,2481487.0,2481487.0,2140424.0,2751535.0,126445.0,251045.0,1448294.0,4706870.0,546302.0,1593828.0,4948272.0,5416747.0
 Anguilla ,1973,6399,875,280284.0,701191.0,2785084.0,3205183.0,784030.0,2810210.0,2810210.0,2421154.0,3117661.0,142954.0,283949.0,1636824.0,5324321.0,618046.0,1804028.0,5598954.0,6129013.0
 Anguilla ,1974,6429,959,309613.0,771646.0,3057374.0,3536473.0,865591.0,3092436.0,3092436.0,2670882.0,3427431.0,157452.0,312988.0,1807132.0,5866518.0,680833.0,1984306.0,6165816.0,6749690.0
 Anguilla ,1975,6463,1042,339434.0,839508.0,3339167.0,3869958.0,946520.0,3365145.0,3365145.0,2923437.0,3740091.0,172331.0,341515.0,1975530.0,6409783.0,744098.0,2169699.0,6733673.0,7371447.0
 Anguilla ,1976,6497,993,324738.0,804639.0,3205368.0,3694385.0,904471.0,3225996.0,3225996.0,2789914.0,3582736.0,164797.0,327304.0,1888060.0,6134742.0,711847.0,2078154.0,6448368.0,7058818.0
 Anguilla ,1977,6519,1106,360012.0,905522.0,3585263.0,4109524.0,1007525.0,3632090.0,3632090.0,3101999.0,4011373.0,184150.0,365545.0,2103300.0,6849984.0,795057.0,2320547.0,7207453.0,7889455.0
 Anguilla ,1978,6535,1273,410542.0,1047316.0,4165317.0,4747907.0,1157207.0,4191909.0,4191909.0,3590700.0,4662610.0,211450.0,420946.0,2416931.0,7897104.0,917287.0,2684083.0,8316052.0,9103205.0
 Anguilla ,1979,6548,1465,489192.0,1196569.0,4682150.0,5555794.0,1363912.0,4794230.0,4794230.0,4191881.0,5287621.0,245192.0,489300.0,2847736.0,9153172.0,1061085.0,3069290.0,9594468.0,10504179.0
 Anguilla ,1980,6560,1688,568901.0,1354116.0,5492644.0,6427702.0,1566397.0,5434116.0,5434116.0,4861305.0,6125485.0,286489.0,559124.0,3264687.0,10564584.0,1228207.0,3589549.0,11072740.0,12122529.0
 Anguilla ,1981,6571,1945,640556.0,1601847.0,6429539.0,7207767.0,1773501.0,6428323.0,6428323.0,5434266.0,7112451.0,324352.0,651318.0,3705050.0,12125549.0,1403799.0,4122978.0,12781473.0,13988466.0
 Anguilla ,1982,6585,2240,706550.0,1916179.0,7363446.0,8207980.0,2026916.0,7702450.0,7702450.0,6181064.0,8279655.0,376379.0,745139.0,4232578.0,13947530.0,1621064.0,4726020.0,14749918.0,16142467.0
 Anguilla ,1983,6601,2578,790460.0,2168680.0,8815489.0,9779281.0,2313719.0,8589139.0,8589139.0,7465563.0,9890760.0,422173.0,852880.0,4844291.0,16092257.0,1876295.0,5559651.0,17015956.0,18629156.0
 Anguilla ,1984,6691,2950,1166377.0,2340712.0,8361045.0,12232840.0,3102549.0,9429689.0,9429689.0,9130291.0,9933333.0,517157.0,1044131.0,6468633.0,19263635.0,2211627.0,6032156.0,19738507.0,21625990.0
 Anguilla ,1985,6907,3587,1321581.0,2730188.0,13288023.0,14561569.0,3419519.0,11055011.0,11055011.0,11142050.0,13966667.0,680470.0,1188931.0,7061528.0,23653757.0,2789107.0,8562423.0,24778232.0,27126450.0
 Anguilla ,1986,7167,4478,1406237.0,4507895.0,17262946.0,15444208.0,4019449.0,18091122.0,18091122.0,11424759.0,18381481.0,734908.0,1709496.0,8508436.0,29578032.0,3350205.0,10095764.0,32093916.0,35064533.0
 Anguilla ,1987,7436,5375,1472081.0,6108217.0,19189284.0,20752248.0,5224979.0,24719081.0,24719081.0,15527269.0,23407407.0,1047924.0,1931128.0,10884953.0,37176253.0,4406871.0,12373004.0,39966026.0,43734775.0
 Anguilla ,1988,7718,6467,1956504.0,5745734.0,30573197.0,33246112.0,6425276.0,20834127.0,20834127.0,26820836.0,33996296.0,1061534.0,2402736.0,13643110.0,47231665.0,5594596.0,17888986.0,49912280.0,54742893.0
 Anguilla ,1989,8017,7727,2558505.0,7650696.0,41820043.0,36464232.0,7694461.0,27741629.0,27741629.0,28769771.0,43518519.0,1102362.0,2304897.0,18312076.0,59844457.0,5901767.0,23116517.0,61947321.0,68125906.0
 Anguilla ,1990,8316,8337,3127584.0,9443827.0,41182870.0,43651766.0,8576482.0,29118470.0,29118470.0,35075284.0,43414815.0,1252066.0,2616985.0,21158820.0,67090584.0,6204841.0,24538527.0,69326710.0,75601760.0
 Anguilla ,1991,8617,8339,2412708.0,8360236.0,43372227.0,46605724.0,10015269.0,25509661.0,25509661.0,36590455.0,44814815.0,1456207.0,3025331.0,23151274.0,69360513.0,7052631.0,25358333.0,71853532.0,77720091.0
 Anguilla ,1992,8887,8615,3179319.0,9551801.0,45643082.0,61201797.0,10960945.0,28029907.0,28029907.0,50240852.0,55785185.0,1565082.0,3877922.0,23100187.0,73383976.0,7638303.0,26036444.0,76559013.0,84450416.0
 Anguilla ,1993,9121,9102,2840693.0,8271543.0,54544983.0,66472366.0,12050936.0,23578589.0,23578589.0,54421430.0,60051852.0,1633129.0,4641429.0,25688033.0,81010724.0,8760499.0,30808527.0,83021136.0,92101084.0
 Anguilla ,1994,9356,9854,3372147.0,8271543.0,63117184.0,67927617.0,14222197.0,25712523.0,25712523.0,53705420.0,63837037.0,1728395.0,4828566.0,28204857.0,90825520.0,9874503.0,36273904.0,92189438.0,102769858.0
