Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Antigua and Barbuda ,1970,64517,529,1364757.0,1818264.0,19544864.0,32159182.0,5117559.0,5192742.0,5192742.0,27041622.0,22413759.0,2200281.0,2779003.0,12204648.0,30432890.0,4465190.0,7801028.0,34113249.0,33865823.0
 Antigua and Barbuda ,1971,64769,640,1659949.0,2174832.0,23952051.0,39129889.0,6225357.0,6459934.0,6459934.0,32904532.0,27751878.0,2619673.0,3338047.0,15006177.0,36953278.0,5398964.0,9375308.0,41426702.0,41156057.0
 Antigua and Barbuda ,1972,64695,878,2355661.0,2899288.0,31582802.0,54383419.0,8595760.0,8508830.0,8508830.0,45787660.0,36697266.0,3566160.0,4543393.0,20395103.0,50829134.0,7391022.0,13244667.0,56813436.0,56405489.0
 Antigua and Barbuda ,1973,64463,1225,3040443.0,4452930.0,43473020.0,76274120.0,11763823.0,11317309.0,11317309.0,64510297.0,50143005.0,5331310.0,6623162.0,27814058.0,70279350.0,10447927.0,17900829.0,78953700.0,78360329.0
 Antigua and Barbuda ,1974,64218,1313,3377549.0,4201829.0,49351949.0,76529546.0,12549476.0,12934223.0,12934223.0,63980071.0,54596914.0,4986464.0,6536228.0,31517236.0,74811823.0,10790560.0,18388421.0,84288215.0,83529500.0
 Antigua and Barbuda ,1975,64035,1342,3933666.0,4020778.0,51088604.0,80593512.0,12944439.0,13630640.0,13630640.0,67649074.0,59002984.0,5290537.0,6737138.0,30106870.0,77806536.0,11154278.0,21853807.0,85934763.0,85416591.0
 Antigua and Barbuda ,1976,63990,1113,3706420.0,3855696.0,43044603.0,67918225.0,10792798.0,12432786.0,12432786.0,57125427.0,52302821.0,2017199.0,3206267.0,24910413.0,65040654.0,10131411.0,19230448.0,71208620.0,71000877.0
 Antigua and Barbuda ,1977,64117,1274,3819789.0,3913354.0,36341514.0,83334330.0,12773561.0,9722840.0,9722840.0,70560769.0,43001588.0,2642901.0,4378696.0,27770217.0,75070311.0,11595083.0,23593172.0,81673430.0,80823635.0
 Antigua and Barbuda ,1978,64329,1436,3995411.0,4236475.0,48412698.0,93288297.0,12699511.0,10276173.0,10276173.0,80588786.0,53660492.0,3332354.0,4407593.0,30818762.0,84422841.0,13527596.0,27437003.0,92351997.0,91503578.0
 Antigua and Barbuda ,1979,64609,1773,3929553.0,6282908.0,86886930.0,71024126.0,16994389.0,23319007.0,23319007.0,54029736.0,81382792.0,4098412.0,5693039.0,34853914.0,104410537.0,18128820.0,35522304.0,114557199.0,112682448.0
 Antigua and Barbuda ,1980,64889,2053,4017364.0,8329341.0,85308719.0,145234990.0,21252243.0,24636465.0,24636465.0,123982747.0,117842649.0,5247500.0,7814429.0,40695629.0,124003094.0,19141089.0,44005242.0,133237214.0,134449620.0
 Antigua and Barbuda ,1981,65076,2307,4302751.0,9944946.0,98403607.0,155418116.0,23473732.0,38443426.0,38443426.0,131944384.0,146937340.0,5592226.0,8530901.0,47486135.0,139297608.0,22177896.0,46854979.0,150155400.0,152098678.0
 Antigua and Barbuda ,1982,65231,2525,4324703.0,7324076.0,93541010.0,149102350.0,26213568.0,38706917.0,38706917.0,122888782.0,122051315.0,6434890.0,8835946.0,56540884.0,154369290.0,26180960.0,51162721.0,164728515.0,168525878.0
 Antigua and Barbuda ,1983,65408,2847,4785713.0,7359978.0,115294733.0,167550322.0,30804645.0,22291390.0,22291390.0,136745677.0,113999954.0,6741314.0,10048795.0,65218127.0,172432209.0,29217768.0,55801828.0,186232939.0,187261032.0
 Antigua and Barbuda ,1984,65362,3236,4236892.0,9801337.0,147285503.0,230763514.0,32026464.0,29142172.0,29142172.0,198737050.0,183442943.0,7392463.0,11448143.0,74054433.0,199629347.0,32622673.0,67465868.0,211517641.0,211924459.0
 Antigua and Barbuda ,1985,65048,3719,5093052.0,12817133.0,174669601.0,271442176.0,36543491.0,39945328.0,39945328.0,234898685.0,231293646.0,7775493.0,13450505.0,81419287.0,230888120.0,37453957.0,80654186.0,241919006.0,244778860.0
 Antigua and Barbuda ,1986,64712,3931,5400391.0,18166580.0,205892593.0,316906807.0,44874074.0,61103704.0,61103704.0,272032733.0,293462963.0,8235127.0,15716536.0,91719636.0,260218625.0,40674814.0,88540668.0,254406808.0,290440741.0
 Antigua and Barbuda ,1987,64353,4619,6432173.0,26244606.0,226985185.0,324941529.0,47429630.0,88392593.0,88392593.0,277511899.0,303144444.0,8809671.0,17882189.0,98078281.0,298694232.0,46472355.0,103584629.0,297215601.0,337174074.0
 Antigua and Barbuda ,1988,63982,5736,7046852.0,35507407.0,265525926.0,301034024.0,65566667.0,115877778.0,115877778.0,235467357.0,283800000.0,9231003.0,21243964.0,113133360.0,349789101.0,50981554.0,121875964.0,367011803.0,398637037.0
 Antigua and Barbuda ,1989,63636,6181,7487163.0,41559259.0,290937037.0,351142937.0,70996296.0,135625926.0,135625926.0,280146640.0,338911111.0,10257521.0,25364851.0,125223785.0,388215087.0,58410013.0,130170017.0,393313306.0,438796296.0
 Antigua and Barbuda ,1990,63328,6540,8181943.0,37403704.0,345300000.0,332661651.0,70292593.0,122066667.0,122066667.0,262369059.0,340559259.0,11571311.0,26509416.0,133838547.0,405177813.0,62147738.0,137096465.0,414143134.0,459470370.0
