Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Argentina ,1970,23842803,1106,2651076924.0,1915516484.0,2126505495.0,26080615391.0,2921406594.0,7335032969.0,6810461540.0,23159208797.0,2010725275.0,10242461541.0,11249142860.0,7871472530.0,30584175832.0,1392791209.0,5504175826.0,26373626381.0,33984527481.0
 Argentina ,1971,24223379,1826,3740434944.0,2373018799.0,2279911538.0,31175893851.0,3505565795.0,9087578329.0,8027128642.0,27670328056.0,2336970144.0,12296129748.0,13424032439.0,9196387765.0,36525248810.0,1479321784.0,6311831922.0,44231478078.0,40656247705.0
 Argentina ,1972,24612794,1537,3643128261.0,2136779077.0,2551854118.0,29245012272.0,3024676537.0,8394426187.0,7522289474.0,26220209649.0,2360329517.0,11771639120.0,12781839980.0,8186006065.0,34365742115.0,1373706735.0,6244281997.0,37825793536.0,38310468037.0
 Argentina ,1973,25020588,1654,4371043938.0,2127572523.0,2952689851.0,32841192904.0,4193139138.0,8446794055.0,7415376699.0,28648053766.0,2129476576.0,12318313767.0,13518281227.0,11046737349.0,38765778708.0,1448405014.0,6253655873.0,41392461532.0,43140630753.0
 Argentina ,1974,25449754,1869,4222654514.0,2669603558.0,3061263171.0,37433419546.0,5472160778.0,9692980980.0,8823652894.0,31961326706.0,2685976492.0,13915295806.0,15298842732.0,13041076221.0,44064322105.0,1626491380.0,7205653700.0,47556241007.0,48535084322.0
 Argentina ,1975,25875558,1996,2940484315.0,3947521730.0,2765183752.0,36948965728.0,5640093309.0,13893977784.0,12640506197.0,31308872419.0,2761248283.0,16766624446.0,18072118018.0,13254931350.0,47793766452.0,1726367423.0,7852319020.0,51653035282.0,51660389690.0
 Argentina ,1976,26290257,2073,3849003910.0,3854197605.0,4589665021.0,36550802859.0,4446985688.0,15074698737.0,13879824974.0,32103817171.0,2874911260.0,18086099114.0,19779454657.0,11235974219.0,49804875988.0,1851120155.0,9235125443.0,54489613112.0,54697557257.0
 Argentina ,1977,26713780,2290,4412200821.0,4211646238.0,5414973735.0,41915907799.0,4813309987.0,17047139536.0,15843812039.0,37102597813.0,4011091655.0,19253239946.0,21058231191.0,14439929960.0,56155283176.0,2206100410.0,10027729139.0,61169147746.0,61570256911.0
 Argentina ,1978,27146121,2334,4146827193.0,4561509912.0,5059129175.0,44785733684.0,6137304246.0,15509133702.0,14679768263.0,38565492895.0,3234525211.0,18411912737.0,20485326333.0,16255562597.0,58138517246.0,2322223228.0,10450004526.0,63363519509.0,63778202228.0
 Argentina ,1979,27584134,2655,5014865837.0,5014865837.0,4414494575.0,55551999730.0,7063191320.0,16986975124.0,15856864513.0,48488808410.0,4167282879.0,20518570784.0,22708160093.0,19423776129.0,67418161147.0,2542748875.0,12713744376.0,73245293986.0,73916297161.0
 Argentina ,1980,28024803,2892,4499889599.0,5619949455.0,3812133546.0,63077055072.0,8960478851.0,18923116522.0,17134950786.0,54116576221.0,4853592711.0,20455830009.0,23187204045.0,25270122375.0,75535264703.0,2692073690.0,14305325886.0,81056963294.0,81764369519.0
 Argentina ,1981,28471285,2904,4755188517.0,5288187670.0,5392697308.0,66666697918.0,9426769325.0,17588972033.0,15927268792.0,57239928593.0,5716677185.0,20672006346.0,24058118609.0,27266564488.0,78821168788.0,2968073712.0,14505937719.0,82677574421.0,84652806574.0
 Argentina ,1982,28922762,2829,7240897275.0,4917929215.0,7285004263.0,66711820070.0,9387437381.0,17341397636.0,15702087897.0,57324382689.0,5200949058.0,23174546862.0,25600431228.0,24596997240.0,80267367861.0,2576583243.0,15334529660.0,81814788040.0,87041466175.0
 Argentina ,1983,29377137,3023,7068370368.0,5395514778.0,7937334728.0,72281963240.0,10079986574.0,18010179128.0,16309548422.0,62202770241.0,5036025413.0,24515904993.0,28117147244.0,27504507531.0,87313856303.0,2701328476.0,16527781481.0,88820854768.0,94170342210.0
 Argentina ,1984,29832197,3163,7201158375.0,5090205760.0,6957667306.0,77815658413.0,10929462968.0,18194135704.0,16475880655.0,66886195445.0,4338019234.0,25100364505.0,28821818372.0,29594208735.0,91490056464.0,3145063945.0,17637717391.0,94371309389.0,99524448940.0
 Argentina ,1985,30287112,2985,6322720332.0,4345398623.0,10326648488.0,74446327655.0,11070505758.0,15386293658.0,13933257894.0,63375821897.0,5491842096.0,24038872799.0,27979774314.0,30085159910.0,85725537504.0,345807391.0,16646693552.0,90404081694.0,95529910653.0
 Argentina ,1986,30748326,3563,7759018343.0,5461067939.0,8625553401.0,93772641074.0,12934411888.0,18345736004.0,16613217301.0,80838239790.0,6649225282.0,26707045893.0,31506693837.0,37818221021.0,106000000000.0,3937343921.0,19764967242.0,110000000000.0,115000000000.0
 Argentina ,1987,31216453,3602,8274888678.0,6054745181.0,8551319429.0,95715366099.0,13124908770.0,21115018977.0,19120986741.0,82590457329.0,8186379538.0,27525437614.0,32365407799.0,39071317035.0,109000000000.0,3857965970.0,19190417378.0,112000000000.0,118000000000.0
 Argentina ,1988,31690792,4150,10703077417.0,6912047986.0,12072681226.0,109000000000.0,14457929045.0,23471415602.0,21254854722.0,94225877727.0,7827838286.0,32686117703.0,38666774317.0,42618539911.0,127000000000.0,5058023779.0,22549959560.0,132000000000.0,138000000000.0
 Argentina ,1989,32165766,2366,6923121537.0,4092002014.0,9988417613.0,65606374016.0,9544126253.0,11797904830.0,10683750282.0,56062247762.0,5006979617.0,21818885685.0,26277887802.0,22368687559.0,77127348415.0,2581642678.0,14884006826.0,76090465588.0,83044458652.0
 Argentina ,1990,32637657,4488,10788017640.0,5422326607.0,14617831058.0,125000000000.0,17220041379.0,19634451991.0,17780240234.0,107000000000.0,6501013633.0,34837795022.0,42412835625.0,53832693857.0,144000000000.0,5879840003.0,25271324322.0,146000000000.0,153000000000.0
 Argentina ,1991,33105763,6018,12237030183.0,7620670452.0,14533298267.0,174000000000.0,22719634362.0,27555371158.0,24953134376.0,152000000000.0,11450617598.0,42561751394.0,50430962421.0,80029197874.0,193000000000.0,7845481470.0,34529908475.0,199000000000.0,206000000000.0
 Argentina ,1992,33568285,7248,12876827630.0,10544727319.0,15067701961.0,213000000000.0,26747574612.0,37919636371.0,34338633163.0,186000000000.0,18477790309.0,46007789214.0,55066201129.0,103000000000.0,232000000000.0,9385214940.0,40415184323.0,243000000000.0,248000000000.0
