Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Armenia ,1990,3556539,650,367643883.0,405849563.0,805979714.0,1540352373.0,387776218.0,1085544633.0,1020572098.0,1152576156.0,1066556181.0,710122348.0,733000001.0,328980649.0,2122359865.0,166778090.0,120107678.0,2310642948.0,2301720664.0
 Armenia ,1991,3617631,582,495157393.0,236396874.0,854159657.0,1594133179.0,385180884.0,833900827.0,596846198.0,1208952295.0,1260388677.0,749182081.0,774439843.0,286649298.0,2003124766.0,107740145.0,102741212.0,2104813571.0,2101656351.0
 Armenia ,1992,3574555,350,354347656.0,71397960.0,494401350.0,1404079819.0,221740006.0,20236428.0,211912028.0,1182339812.0,760677511.0,381869998.0,436614440.0,190234431.0,1177976270.0,92254892.0,33126892.0,1251015563.0,1251976343.0
 Armenia ,1993,3457349,338,570830173.0,45382487.0,414004738.0,1292191831.0,206524911.0,114110411.0,143974485.0,1085666920.0,702242786.0,256813502.0,289161454.0,123133477.0,1123790949.0,65649450.0,29633908.0,1168504858.0,1168728174.0
 Armenia ,1994,3373713,371,511909962.0,78674455.0,554666080.0,1293197739.0,121401759.0,293906823.0,254804246.0,1171795980.0,901470906.0,276296433.0,299848591.0,162690627.0,1168014684.0,53447504.0,61443546.0,1252536036.0,1257275245.0
 Armenia ,1995,3322782,411,523028564.0,83930935.0,368283962.0,1568735672.0,131289800.0,252007918.0,221977667.0,1437445873.0,836912511.0,250999194.0,285214554.0,212514132.0,1298881417.0,60356192.0,133837041.0,1365682570.0,1372097033.0
 Armenia ,1996,3298898,515,555145690.0,117329820.0,443969839.0,1849691444.0,163856102.0,339643591.0,305033056.0,1685835342.0,935249236.0,301633506.0,365876758.0,272846650.0,1581073876.0,105193327.0,164681631.0,1700008267.0,1703037605.0
 Armenia ,1997,3271418,533,481740061.0,132230583.0,397408529.0,1950990161.0,167911011.0,332126801.0,283591608.0,1783079150.0,998837463.0,297171631.0,380658834.0,306382162.0,1595144223.0,133357659.0,160774925.0,1744053266.0,1747514993.0
 Armenia ,1998,3240550,616,583129367.0,151405699.0,430135359.0,2181933333.0,191041106.0,384928946.0,327701305.0,1990892227.0,1045788148.0,304121059.0,419002458.0,346393461.0,1819117917.0,141006298.0,178180634.0,1996152541.0,2017852886.0
 Armenia ,1999,3206030,606,497202992.0,152915649.0,458269993.0,2070057818.0,200767040.0,360050168.0,323627235.0,1869290778.0,961352392.0,315471075.0,447224449.0,369986817.0,1798848817.0,151244344.0,180274568.0,1944251644.0,1968057835.0
 Armenia ,2000,3168523,633,443593468.0,196667207.0,534524623.0,2157653620.0,206217377.0,378861621.0,376368564.0,1951436244.0,1010596034.0,322634232.0,492995555.0,369899776.0,1846758322.0,149395425.0,194206891.0,2006674744.0,2038534803.0
 Armenia ,2001,3133133,718,542296323.0,206394924.0,645403977.0,2301535414.0,218407962.0,444951287.0,400254527.0,2083127452.0,1022570895.0,332927129.0,502754901.0,382838365.0,2029562618.0,160707769.0,234570337.0,2248502456.0,2259108208.0
 Armenia ,2002,3105037,809,557446185.0,301682108.0,834512576.0,2441679871.0,216801533.0,547354940.0,535294170.0,2224878338.0,1157961639.0,360132840.0,548693110.0,416828401.0,2256495020.0,157815616.0,274029600.0,2513275794.0,2534163311.0
 Armenia ,2003,3084102,957,604134881.0,442953462.0,1079683730.0,2719161628.0,261750368.0,723893174.0,689443240.0,2457411260.0,1469117365.0,430792257.0,644436182.0,476157628.0,2676961675.0,178956079.0,330323442.0,2950575141.0,2993550393.0
