Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Aruba ,1970,59106,3283,43230.0,10292770.0,183846044.0,132114866.0,25920178.0,58565379.0,57936595.0,106194689.0,169760370.0,3207220.0,12248691.0,84311582.0,189018011.0,14557898.0,67563841.0,194056930.0,197623955.0
 Aruba ,1971,58816,3475,45534.0,10841460.0,193646511.0,139157640.0,27301924.0,61687391.0,61025098.0,111855716.0,178809925.0,3378186.0,12901645.0,88806055.0,199094204.0,15333953.0,71165558.0,204401747.0,208158924.0
 Aruba ,1972,58855,3658,47961.0,11419397.0,203969483.0,146575906.0,28757355.0,64975842.0,64278226.0,117818551.0,188342033.0,3558278.0,13589409.0,93540173.0,209707563.0,16151380.0,74959242.0,215298027.0,219255492.0
 Aruba ,1973,59365,3820,50518.0,12028145.0,214842737.0,154389625.0,30290359.0,68439564.0,67704763.0,124099266.0,198382221.0,3747963.0,14313834.0,98526634.0,220886687.0,17012375.0,78955180.0,226775168.0,230943598.0
 Aruba ,1974,60028,3979,53211.0,12669344.0,226295456.0,162619696.0,31905025.0,72087960.0,71314037.0,130714670.0,208957297.0,3947738.0,15076878.0,103778788.0,232661701.0,17919275.0,83164204.0,238864134.0,243254775.0
 Aruba ,1975,60715,4144,56047.0,13344717.0,238359112.0,171288888.0,33605936.0,75930883.0,75115591.0,137682952.0,220097016.0,4158231.0,15880606.0,109311274.0,245064569.0,18874535.0,87597391.0,251597541.0,256222239.0
 Aruba ,1976,61193,4331,59036.0,14056111.0,251065547.0,180420001.0,35397356.0,79978491.0,79119812.0,145022644.0,231829784.0,4379874.0,16727155.0,115138368.0,258128453.0,19880664.0,92267120.0,265009742.0,269880974.0
 Aruba ,1977,61465,4541,62183.0,14805414.0,264448620.0,190037034.0,37284054.0,84242112.0,83337874.0,152752980.0,244186652.0,4613255.0,17618859.0,121275603.0,271888583.0,20940490.0,97186034.0,279136922.0,284267831.0
 Aruba ,1978,61738,4762,65497.0,15594629.0,278547674.0,200169234.0,39272336.0,88733085.0,87779938.0,160896898.0,257207717.0,4859476.0,18558121.0,127742094.0,286383117.0,22056862.0,102365914.0,294017196.0,299421624.0
 Aruba ,1979,62006,4995,68989.0,16426028.0,293395331.0,210839097.0,41365217.0,93462513.0,92459328.0,169473880.0,270915876.0,5118237.0,19547317.0,134550531.0,301649027.0,23232436.0,107823727.0,309690710.0,315383239.0
 Aruba ,1980,62267,5239,72667.0,17301618.0,309032288.0,222074624.0,43569241.0,98445844.0,97389902.0,178505383.0,285351387.0,5390702.0,20589459.0,141720788.0,317728559.0,24471169.0,113572858.0,326199751.0,332195737.0
 Aruba ,1981,62614,5487,76540.0,18223783.0,325517418.0,233923892.0,45896289.0,103694227.0,102577907.0,188027603.0,300587020.0,5679829.0,21687155.0,149284872.0,334669961.0,25775934.0,119621678.0,343588859.0,349904480.0
 Aruba ,1982,63116,5734,80620.0,19195750.0,342857921.0,246384059.0,48337149.0,109217715.0,108048096.0,198046910.0,316581722.0,5980167.0,22842657.0,157231506.0,352505163.0,27148621.0,126006009.0,361904947.0,368557242.0
 Aruba ,1983,63683,5986,84921.0,20218514.0,361123570.0,259502951.0,50911287.0,115047495.0,113816052.0,208591664.0,333439146.0,6298253.0,24061254.0,165606728.0,371295106.0,28597934.0,132725755.0,381197432.0,388204349.0
 Aruba ,1984,64174,6257,89444.0,21295802.0,380439278.0,273401889.0,53650066.0,121178666.0,119859797.0,219751823.0,351350769.0,6643620.0,25344022.0,174486775.0,391109328.0,30122671.0,139770615.0,401518364.0,408898807.0
 Aruba ,1985,64478,6559,94210.0,22433896.0,400621315.0,287890064.0,56466566.0,127617020.0,126271974.0,231423498.0,369855991.0,6979865.0,26691853.0,183700731.0,411918907.0,31721074.0,147277143.0,422922566.0,430696447.0
 Aruba ,1986,64553,6901,99249.0,23625536.0,421969223.0,303201518.0,59485784.0,134471236.0,133034016.0,243715735.0,389590912.0,7357671.0,28121158.0,193505443.0,433890810.0,33426835.0,155112591.0,445467789.0,453656081.0
 Aruba ,1987,64450,8215,119320.0,28411036.0,507846634.0,365037736.0,71679840.0,161670931.0,159824101.0,293357896.0,469323445.0,8902505.0,33814748.0,233010054.0,521907792.0,40190991.0,186361643.0,529431463.0,545558022.0
 Aruba ,1988,64332,10077,145960.0,34771950.0,620257835.0,445650287.0,87286171.0,197627817.0,195748946.0,358364116.0,572004178.0,10731212.0,41340952.0,284215431.0,638035164.0,49113765.0,228447106.0,648249117.0,667313461.0
 Aruba ,1989,64596,11848,170282.0,40492015.0,723565556.0,519759410.0,102055285.0,230859816.0,228289899.0,417704125.0,668181164.0,12646657.0,48256231.0,331892176.0,744121001.0,57397608.0,265912688.0,765320787.0,777947008.0
 Aruba ,1990,65712,12891,187011.0,44564813.0,798500591.0,574569312.0,113116765.0,253412612.0,249958088.0,461452547.0,740020334.0,14220681.0,53029050.0,366947125.0,819261343.0,63011209.0,291522134.0,847111905.0,855800245.0
 Aruba ,1991,67864,14251,213482.0,50935202.0,902920240.0,647914635.0,125922125.0,288442587.0,287362702.0,521992510.0,827389474.0,14998405.0,60362434.0,412107009.0,931451536.0,71612416.0,336220993.0,967111255.0,975799596.0
 Aruba ,1992,70192,15124,235240.0,55632339.0,999387103.0,717408440.0,141913478.0,320168503.0,315056327.0,575494963.0,926635399.0,17996922.0,66774106.0,459809432.0,1027022741.0,79705792.0,364865832.0,1061570893.0,1072384439.0
 Aruba ,1993,72360,16469,263458.0,63185215.0,1141293075.0,825386122.0,163761611.0,356460434.0,348904236.0,661624512.0,1068885508.0,21444607.0,74842454.0,527367759.0,1162821930.0,88661370.0,408501674.0,1191698823.0,1211700758.0
 Aruba ,1994,74710,18358,306012.0,73279525.0,1257446075.0,894575325.0,166778983.0,409870324.0,420579735.0,727796342.0,1111626372.0,16212315.0,85786606.0,561707993.0,1319026414.0,101291606.0,496654673.0,1371505480.0,1393884833.0
 Aruba ,1995,77050,17873,306012.0,70461081.0,1317199388.0,946592841.0,196799199.0,425478926.0,403684136.0,749793641.0,1263015177.0,29086800.0,87865081.0,620153050.0,1338462705.0,106753408.0,452924073.0,1377146690.0,1383932694.0
 Aruba ,1996,79417,18045,306012.0,76567708.0,1405187782.0,1037880739.0,207639834.0,406401746.0,391012436.0,830240905.0,1353848460.0,29563633.0,87142357.0,657343839.0,1396163463.0,100795078.0,474008469.0,1433118261.0,1445987206.0
 Aruba ,1997,81858,19438,306012.0,106631103.0,1485953247.0,1128916645.0,269765004.0,479819984.0,467042632.0,859151641.0,1461365408.0,32424630.0,102398774.0,721209939.0,1539271260.0,115194375.0,493531058.0,1591191821.0,1605221425.0
 Aruba ,1998,84355,20744,306012.0,117435135.0,1558839156.0,1215841960.0,273100584.0,546301066.0,514108944.0,942741376.0,1540458335.0,39577121.0,115149197.0,772528522.0,1685346452.0,117677013.0,562250573.0,1749880452.0,1745136786.0
 Aruba ,1999,86867,20746,301421.0,83801712.0,1618907650.0,1288079956.0,281005908.0,550469141.0,542541824.0,1007074047.0,1612877796.0,52942744.0,128946660.0,819577435.0,1739116408.0,121693920.0,584795259.0,1802161591.0,1805323808.0
 Aruba ,2000,89101,20757,348603.0,105035754.0,1393586592.0,1326530726.0,401284916.0,477620112.0,450508380.0,925245810.0,1324284916.0,76829609.0,141809497.0,771793296.0,1728900559.0,127893296.0,582020112.0,1849426728.0,1873452514.0
 Aruba ,2001,90691,20280,353073.0,91629050.0,1346424581.0,1410932961.0,471117318.0,455134078.0,428832402.0,939815642.0,1316033520.0,81112849.0,155935754.0,808893296.0,1752230168.0,135907263.0,559511732.0,1839200182.0,1896456983.0
 Aruba ,2002,91781,19897,354190.0,100810056.0,1266653631.0,1519882682.0,488307263.0,522438547.0,492597765.0,1031575419.0,1347128492.0,86827933.0,158969832.0,844280447.0,1817352514.0,143797207.0,569140782.0,1826156843.0,1961843575.0
 Aruba ,2003,92701,21476,368156.0,122530168.0,1282296089.0,1603608939.0,499675978.0,590374302.0,547491620.0,1103932961.0,1432167598.0,97657542.0,181883240.0,874030168.0,1887109497.0,140836313.0,567461453.0,1990816225.0,2044111732.0
 Aruba ,2004,93540,23311,396089.0,140281006.0,1458100559.0,1683195531.0,516055866.0,641530726.0,599631285.0,1167139665.0,1527994413.0,126767039.0,211393855.0,938091620.0,2076037430.0,146588268.0,639286592.0,2180526344.0,2254830726.0
 Aruba ,2005,94483,19909,407821.0,151530726.0,1606586592.0,1787458101.0,538932961.0,782592179.0,747810056.0,1248525140.0,1816625698.0,146022346.0,233094413.0,975843575.0,2168379330.0,152564246.0,654938547.0,1881029457.0,2360016760.0
 Aruba ,2006,95606,24726,430168.0,185966480.0,1595335196.0,1910011173.0,551329609.0,852547486.0,816776536.0,1358681564.0,1888111732.0,162156425.0,250094413.0,1017335196.0,2257882123.0,160167598.0,643888268.0,2363918356.0,2469782123.0
 Aruba ,2007,96787,23691,480447.0,198273743.0,1742106145.0,2091324022.0,573402235.0,850061453.0,808245810.0,1517921788.0,2005849162.0,178491620.0,269765363.0,1064206704.0,2397810056.0,167569832.0,697513966.0,2293007192.0,2677642458.0
 Aruba ,2008,97996,27821,486034.0,178541899.0,1863011173.0,2159234637.0,604094972.0,912697765.0,868642458.0,1555139665.0,2091921788.0,189653631.0,281529050.0,1133664804.0,2540311173.0,180413408.0,765675978.0,2726374073.0,2843022346.0
 Aruba ,2009,99212,24846,508380.0,133597765.0,1606810056.0,2096083799.0,634184358.0,757000000.0,706798883.0,1461899441.0,1906100559.0,107413408.0,199494413.0,1137871508.0,2268516760.0,180363128.0,616681564.0,2465016715.0,2553793296.0
 Aruba ,2010,100341,23055,502793.0,118083799.0,1477513966.0,2128375978.0,649348045.0,693955307.0,654307263.0,1479027933.0,1846245810.0,70184358.0,165208380.0,1136854749.0,2211510056.0,178346369.0,612513966.0,2313376217.0,2453597765.0
 Aruba ,2011,101288,23614,536313.0,137027933.0,1839932961.0,2308632961.0,662325698.0,723212291.0,682167598.0,1646307263.0,2233916201.0,110949721.0,189182682.0,1198089385.0,2369065363.0,192603352.0,651625698.0,2391838799.0,2637860335.0
 Aruba ,2012,102112,24474,564246.0,117620112.0,1911810056.0,2273022346.0,684608939.0,615162011.0,572977654.0,1588413408.0,2184787709.0,52083799.0,145889944.0,1244882682.0,2344186034.0,201564246.0,633664804.0,2499111863.0,2615206704.0
