Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Barbados ,1970,241397,900,15338370.0,18983296.0,92917285.0,215797751.0,30948575.0,46864816.0,42870101.0,184849176.0,136576679.0,22560308.0,25630810.0,81765434.0,207574656.0,11986051.0,53870694.0,217143816.0,217984527.0
 Barbados ,1971,242350,1009,14781166.0,20856434.0,107473660.0,231927258.0,35613257.0,46559859.0,42591139.0,196314001.0,144275153.0,26625216.0,29909157.0,94103455.0,235087907.0,13631641.0,61806055.0,244536249.0,245022768.0
 Barbados ,1972,243458,1142,17740909.0,22498856.0,130219593.0,270542941.0,39713556.0,51358023.0,46980311.0,230829385.0,174502595.0,31621072.0,35297357.0,107271924.0,268817823.0,15758985.0,70249791.0,277925039.0,280300467.0
 Barbados ,1973,244643,1390,23062655.0,25222849.0,147765994.0,321594968.0,53515589.0,62525411.0,57195802.0,268079379.0,195988313.0,39712944.0,43859932.0,132741888.0,332796161.0,19647928.0,88260908.0,339973902.0,341996846.0
 Barbados ,1974,245851,1675,29157808.0,31967083.0,182525200.0,358257341.0,52708485.0,76805350.0,70258531.0,305548856.0,225890617.0,54159899.0,58787565.0,161173077.0,408472752.0,22516426.0,104870794.0,411914677.0,408931502.0
 Barbados ,1975,247090,1939,40476791.0,28562982.0,209482232.0,422282441.0,55287252.0,72111132.0,69976394.0,366995189.0,239800615.0,63163962.0,68351104.0,172951812.0,449083219.0,26471202.0,112269328.0,479142802.0,480681170.0
 Barbados ,1976,248359,2111,33560878.0,34623820.0,209856775.0,459683171.0,62681390.0,109932689.0,107843056.0,397001781.0,279151391.0,75199327.0,80997779.0,195716927.0,510707442.0,29636886.0,136171153.0,524336536.0,521708283.0
 Barbados ,1977,249663,2368,40072038.0,37426108.0,254545626.0,499713502.0,71251435.0,111190927.0,109708046.0,428462068.0,299421925.0,90984091.0,98565532.0,202082123.0,569200413.0,31863629.0,159190984.0,591229589.0,593439439.0
 Barbados ,1978,251009,2654,40072038.0,46767066.0,333642308.0,559167656.0,78538043.0,118600548.0,117634254.0,480629613.0,374881577.0,99674579.0,108490818.0,213731924.0,628733476.0,34037354.0,185634277.0,666185902.0,664155250.0
 Barbados ,1979,252334,3184,48025267.0,54862564.0,455722948.0,680203691.0,87066686.0,147819623.0,139361389.0,593137005.0,506270146.0,120868729.0,131380327.0,253026588.0,762567828.0,37165397.0,238107686.0,803556071.0,805288240.0
 Barbados ,1980,253575,3964,66553668.0,73606754.0,627038818.0,771189177.0,106897852.0,197729716.0,184307652.0,664291325.0,614922181.0,162724958.0,180741699.0,319019841.0,982241845.0,46072368.0,296247516.0,1005253202.0,1033561744.0
 Barbados ,1981,254684,4466,56328088.0,86123639.0,587877953.0,892021458.0,132980597.0,244657320.0,241469600.0,759040861.0,648459804.0,168223022.0,189175292.0,378883858.0,1110051903.0,59909984.0,339631043.0,1137545044.0,1137545044.0
