Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Belarus ,1990,10428525,1868,4304761498.0,1521885378.0,8653005436.0,13827415722.0,4435208816.0,5130927846.0,4217796620.0,9348724466.0,8218181042.0,6957190300.0,7478979573.0,2913323438.0,18349589417.0,1217508303.0,913131227.0,19480132841.0,19480132841.0
 Belarus ,1991,10457617,1901,3905769212.0,1456388520.0,7083344164.0,13394361084.0,4060234661.0,5715221616.0,4347099067.0,9334126422.0,6421349383.0,7546740512.0,8010136859.0,3221707938.0,18690319337.0,970925680.0,1147457622.0,19881909944.0,19859843452.0
 Belarus ,1992,10475907,1753,3999822640.0,1244303923.0,10524737346.0,12287501236.0,2767040050.0,5770267419.0,4585490382.0,9520461186.0,10267427584.0,6663170697.0,6874395128.0,2390676518.0,17086136271.0,1430565467.0,1144452373.0,18366924414.0,18353482859.0
 Belarus ,1993,10480484,1659,2893550401.0,1346606627.0,11362781976.0,13006910579.0,3091159553.0,7047775580.0,5826997731.0,9915580526.0,14005356819.0,4598888396.0,5113967988.0,4010664432.0,17285600539.0,2057590374.0,1863220717.0,17389264356.0,17367951893.0
 Belarus ,1994,10475395,1495,2067467318.0,859475967.0,10800042246.0,12537773234.0,3091398397.0,5103090649.0,5157656361.0,9446383354.0,12744973048.0,3981670308.0,4463061334.0,3449775977.0,14840987934.0,1794885739.0,2206313081.0,15656152148.0,15666312425.0
 Belarus ,1995,10461696,1370,2193324534.0,761563902.0,6881154647.0,11426467997.0,2831817395.0,3506130607.0,3501691153.0,8594650601.0,7489143092.0,3770117241.0,4120852415.0,2802344667.0,13018640161.0,1689292367.0,1451261136.0,14328423069.0,14323710856.0
 Belarus ,1996,10436459,1439,2198206433.0,687331426.0,6720954567.0,12100822557.0,2963967162.0,3486919883.0,3127816762.0,9136856151.0,7311836870.0,4168766753.0,4474610874.0,2844712082.0,13085521835.0,1606850958.0,1273810061.0,15018469560.0,14990947761.0
 Belarus ,1997,10400924,1400,1899266572.0,792275733.0,8438868645.0,11297865522.0,2849444811.0,3868304152.0,3639882382.0,8448420711.0,9256038164.0,4168334326.0,4472054659.0,2615912465.0,12486904973.0,1502234220.0,1205161324.0,14564560168.0,14574579172.0
 Belarus ,1998,10357466,1520,1843496369.0,902046540.0,8988846596.0,12256518329.0,3007476648.0,4157417617.0,4039814107.0,9249041680.0,9727954748.0,4364278278.0,4654021170.0,2903923723.0,13438772909.0,1499534769.0,1635750555.0,15741099801.0,15737046915.0
 Belarus ,1999,10308283,1219,1547892258.0,716770028.0,7186381333.0,9834524450.0,2354636695.0,2942236393.0,3270170575.0,7479887715.0,7481153402.0,3328979138.0,3562979270.0,2218568281.0,10764099027.0,1381371409.0,1336517740.0,12570385616.0,12549067247.0
 Belarus ,2000,10256483,1047,1282426245.0,664748663.0,6743541488.0,8247517411.0,2018221386.0,2705420154.0,2686680354.0,6229296025.0,7105788423.0,2460991651.0,3207555757.0,1927719920.0,9177811372.0,936608851.0,1158751913.0,10733859253.0,10770187054.0
