Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Belgium ,1970,9629376,2813,982886022.0,1749350343.0,12006425019.0,18149472884.0,4483747447.0,7920379984.0,7194329104.0,13665725437.0,11422812548.0,8004310664.0,8448578349.0,6987442222.0,23082186464.0,1972237231.0,2941692297.0,27090509594.0,26706893654.0
 Belgium ,1971,9666395,3125,1073499109.0,1919333325.0,13052284902.0,20688938671.0,5299972917.0,8516263980.0,7809950913.0,15388965754.0,12470505528.0,8426553045.0,8974091184.0,7865218392.0,25652395617.0,2238741361.0,3581512246.0,30210485631.0,29821889465.0
 Belgium ,1972,9700298,3887,1540205563.0,2297156359.0,16423329734.0,25991809093.0,6804795706.0,9882711917.0,9416912171.0,19187013386.0,15284670152.0,10517675726.0,11181402883.0,9974775989.0,32170221661.0,2824102701.0,4352578165.0,37705787477.0,37209655821.0
 Belgium ,1973,9727980,4965,1900337317.0,3007641427.0,22932223561.0,33670493617.0,8865198018.0,13174191355.0,12112228135.0,24805295599.0,22015643627.0,13586758458.0,14397459411.0,12967757404.0,41500520522.0,3659825293.0,5567499671.0,48300033894.0,47743692897.0
 Belgium ,1974,9749065,5814,1706011383.0,3728089842.0,29638314969.0,39378001455.0,10607772917.0,16974417412.0,15082114172.0,28770228537.0,29349381938.0,16088225526.0,17052102186.0,15071516301.0,48735870049.0,4567462136.0,6610688203.0,56681080383.0,56034095904.0
 Belgium ,1975,9763430,6804,1981435953.0,4446310295.0,30155976759.0,48446358266.0,13889364614.0,17491080862.0,17469177684.0,34556993651.0,29953480844.0,16779271276.0,18139365608.0,18714804324.0,56037988440.0,5183360555.0,7572711704.0,66426626825.0,65676349621.0
 Belgium ,1976,9773537,7361,2180406666.0,4929128069.0,34529011721.0,52446528898.0,15151040211.0,19183441369.0,18517732741.0,37295488687.0,34320642854.0,18003463205.0,19382088835.0,21716474265.0,61965462884.0,5579992368.0,8177372684.0,71947539456.0,71114099863.0
 Belgium ,1977,9786373,8541,2118411221.0,5879502643.0,39354139192.0,62265013934.0,18088559835.0,22063348581.0,21145176639.0,44176454099.0,39903374487.0,20344977063.0,21959133192.0,26172895720.0,72188100585.0,6532403093.0,9525754714.0,83581071699.0,82838174625.0
 Belgium ,1978,9800206,10412,2658801501.0,7046849095.0,46333953293.0,76653175871.0,22914524086.0,26751774283.0,25845329229.0,53738651784.0,47133140762.0,23984935555.0,25965267673.0,33524131018.0,88793823966.0,8006469231.0,11592305450.0,102000000000.0,101000000000.0
 Belgium ,1979,9814137,11889,2721716585.0,7801534841.0,58068250239.0,89769572872.0,26713237718.0,30193053751.0,28343219296.0,63056335155.0,60078315999.0,27600615050.0,29907026377.0,40192061590.0,103000000000.0,9382850625.0,12941381085.0,117000000000.0,116000000000.0
 Belgium ,1980,9828986,12911,2874271920.0,8765811417.0,63564982582.0,98416540683.0,29007549121.0,33680502601.0,31498106649.0,69408991562.0,67142783525.0,26288980281.0,30486297754.0,44828606442.0,111000000000.0,10608620033.0,13920972777.0,127000000000.0,127000000000.0
 Belgium ,1981,9843592,10654,2519771985.0,6134811342.0,56620117326.0,84199959502.0,25242903323.0,23640449984.0,22591068653.0,58957056179.0,58813462805.0,20213934251.0,23597499434.0,41717587025.0,93535448446.0,8529113412.0,11036665247.0,105000000000.0,105000000000.0
 Belgium ,1982,9857343,9311,2289001677.0,5071091176.0,53508894503.0,74465251571.0,21882953405.0,19890905675.0,18701839225.0,52582298166.0,55091714979.0,18565419211.0,21533695311.0,37587659155.0,83576512823.0,7326280623.0,9768784882.0,91781744208.0,92092676202.0
 Belgium ,1983,9866532,8802,2302347309.0,4395575754.0,52654598617.0,70650793584.0,20417057377.0,16354699225.0,16330768158.0,50233736206.0,52309624948.0,17705698820.0,20655814103.0,34023008808.0,77778999599.0,6839911565.0,9562342060.0,86843866348.0,87182800568.0
 Belgium ,1984,9873600,8427,2089779212.0,3938677263.0,53686422706.0,66565478355.0,19460276816.0,16518135930.0,15317533738.0,47105201539.0,53191361718.0,16755036976.0,19457103410.0,34651909856.0,75795884376.0,6859271686.0,8799142948.0,83202499771.0,83348024082.0
 Belgium ,1985,9880534,8741,2054334985.0,4236717100.0,53876720609.0,69121482622.0,19697662424.0,16370885513.0,16246453325.0,49423820198.0,52986743116.0,17794805168.0,20654538563.0,35847073264.0,79479273103.0,7178490359.0,9508118830.0,86369617095.0,86265792874.0
 Belgium ,1986,9887815,12163,2776924064.0,5672730855.0,68751173411.0,94957610496.0,27229571069.0,22282442209.0,22415650046.0,67728039427.0,66063833472.0,24758770247.0,28519766535.0,52537554763.0,113000000000.0,9466509177.0,14384055681.0,120000000000.0,120000000000.0
 Belgium ,1987,9900221,15168,3184144128.0,6814227027.0,83464416040.0,117000000000.0,33646514782.0,29333513164.0,28564466018.0,83849990130.0,80750741710.0,29675340216.0,34194669715.0,66450564228.0,141000000000.0,12123679622.0,18394198433.0,150000000000.0,149000000000.0
 Belgium ,1988,9917995,16446,3347701761.0,8010440802.0,96422682314.0,123000000000.0,34316616686.0,35481599306.0,34227166938.0,89006133177.0,92538350960.0,33142585709.0,37852768684.0,69816416098.0,152000000000.0,13717844848.0,19625377382.0,163000000000.0,162000000000.0
 Belgium ,1989,9937170,16558,3879757287.0,8193387189.0,104000000000.0,123000000000.0,33592798347.0,38634438964.0,37524601556.0,89060226097.0,101000000000.0,33695671440.0,38286394375.0,68175022041.0,152000000000.0,13828052892.0,19378585480.0,165000000000.0,164000000000.0
 Belgium ,1990,9959560,20681,4114739038.0,10305104331.0,127000000000.0,153000000000.0,41512078358.0,49990320198.0,49267916998.0,111000000000.0,123000000000.0,41616044605.0,47389161713.0,79063586477.0,184000000000.0,17508373400.0,25825215929.0,206000000000.0,205000000000.0
 Belgium ,1991,9987070,21225,4179177984.0,10371602758.0,127000000000.0,159000000000.0,43918079165.0,48080554534.0,47164082063.0,115000000000.0,123000000000.0,39678111321.0,45605384770.0,84065361875.0,190000000000.0,18157442520.0,27137148419.0,212000000000.0,211000000000.0
 Belgium ,1992,10016455,23598,4279512352.0,11914652139.0,138000000000.0,176000000000.0,49214563942.0,53045414058.0,51915314261.0,127000000000.0,132000000000.0,42930206301.0,49628242846.0,96007046824.0,213000000000.0,20046503867.0,30684698559.0,236000000000.0,235000000000.0
 Belgium ,1993,10043738,22746,3808942490.0,10819367929.0,126000000000.0,168000000000.0,47852289380.0,49284279100.0,47933280259.0,121000000000.0,119000000000.0,39789606330.0,46295533539.0,91715634834.0,200000000000.0,18777105244.0,29057825915.0,228000000000.0,225000000000.0
 Belgium ,1994,10069182,24917,3890864483.0,11617529083.0,143000000000.0,182000000000.0,51677473601.0,53908056988.0,50964426294.0,131000000000.0,134000000000.0,43863896483.0,50967409209.0,101000000000.0,220000000000.0,21122980045.0,31025280488.0,251000000000.0,245000000000.0
 Belgium ,1995,10095198,29158,3763458760.0,13740462783.0,173000000000.0,214000000000.0,61347265073.0,62763813271.0,61189764399.0,153000000000.0,162000000000.0,52813903195.0,61279119690.0,121000000000.0,260000000000.0,24825308210.0,35407684068.0,294000000000.0,288000000000.0
 Belgium ,1996,10123229,28221,3708587824.0,12729378527.0,171000000000.0,210000000000.0,60636792001.0,60392106506.0,59190307248.0,149000000000.0,162000000000.0,50724423639.0,59333496470.0,118000000000.0,250000000000.0,23313133661.0,33667056412.0,286000000000.0,279000000000.0
 Belgium ,1997,10154872,25491,3388318371.0,11498383786.0,164000000000.0,187000000000.0,53450586990.0,56354022207.0,55259313916.0,133000000000.0,154000000000.0,46496234933.0,54482485998.0,105000000000.0,226000000000.0,21385715103.0,30068844747.0,259000000000.0,253000000000.0
 Belgium ,1998,10188538,25990,3246205511.0,11521084528.0,166000000000.0,191000000000.0,54535141244.0,57776345754.0,56365285453.0,137000000000.0,156000000000.0,46945732805.0,54584928991.0,108000000000.0,231000000000.0,23079509867.0,30658471770.0,265000000000.0,259000000000.0
