Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Belize ,1970,120905,195,6026071.0,1149521.0,10317179.0,21072623.0,3287635.0,7450178.0,6341822.0,17784988.0,12335045.0,2197509.0,2531937.0,8523834.0,25315989.0,1595444.0,5489183.0,23597350.0,27917782.0
 Belize ,1971,123091,245,7878964.0,1494085.0,13474524.0,26315597.0,4160812.0,9299593.0,8028384.0,22154784.0,15709957.0,2804708.0,3225496.0,10413023.0,31881148.0,2006735.0,6862845.0,30119355.0,35385285.0
 Belize ,1972,125054,315,10563423.0,2002520.0,18383266.0,33738204.0,5196194.0,12422347.0,10742887.0,28542010.0,21233992.0,3747775.0,4279233.0,12967923.0,41145613.0,2548846.0,8783668.0,39372292.0,46000141.0
 Belize ,1973,126875,514,14606645.0,2825520.0,24555373.0,58898086.0,9181965.0,20028373.0,16537189.0,49716121.0,31414706.0,5641078.0,6575608.0,25418198.0,69197196.0,4437955.0,15333270.0,65230023.0,74809672.0
 Belize ,1974,128620,639,24261439.0,4527758.0,41368811.0,70891032.0,11682748.0,25015682.0,22560872.0,59208283.0,44947663.0,8074656.0,9235278.0,26062624.0,88171868.0,5529030.0,18555740.0,82236131.0,99801545.0
 Belize ,1975,130801,728,28973772.0,5488081.0,52746182.0,81252772.0,11457231.0,33738123.0,29313451.0,69795540.0,59495182.0,10187915.0,11406540.0,28308460.0,101172385.0,5955625.0,21039908.0,95185752.0,115631825.0
 Belize ,1976,133471,602,17484688.0,5084012.0,32514839.0,75201606.0,11062713.0,31091717.0,26059532.0,64138893.0,47524378.0,10345294.0,11160787.0,26799003.0,84755257.0,5878066.0,18348701.0,80290316.0,91148264.0
 Belize ,1977,136183,757,24546511.0,4613181.0,49462707.0,96736521.0,13401265.0,34400000.0,31450000.0,83335256.0,65293659.0,13815146.0,15255579.0,32460366.0,107499706.0,7547685.0,23076386.0,103050000.0,117157470.0
 Belize ,1978,138933,845,27490097.0,6571607.0,51273481.0,108110345.0,18443775.0,40650000.0,40600000.0,89666571.0,68952499.0,16117671.0,17545719.0,34446756.0,121723427.0,8956586.0,26712665.0,117350000.0,133767698.0
 Belize ,1979,141823,980,29286183.0,7093853.0,55212707.0,125648456.0,24076848.0,54950000.0,47600000.0,101571607.0,83820693.0,16117671.0,18333383.0,41549988.0,139072343.0,11271209.0,31537728.0,138950000.0,156357607.0
 Belize ,1980,145133,1328,46598457.0,8530032.0,68523481.0,181972789.0,30345915.0,46950000.0,44100000.0,151626875.0,88843283.0,18420195.0,20805292.0,45727314.0,170664484.0,8654678.0,40348711.0,192800000.0,215600751.0
 Belize ,1981,148764,1284,44403241.0,9008759.0,65441989.0,193845702.0,33344164.0,50250000.0,47800000.0,160501538.0,96693157.0,18420195.0,20441754.0,52392817.0,179502969.0,11019620.0,42236779.0,191000000.0,213607523.0
 Belize ,1982,152409,1144,35323028.0,8138347.0,54640884.0,190256060.0,38250389.0,37200000.0,40400000.0,152005671.0,84153315.0,18420195.0,21835314.0,59985415.0,174890361.0,12126613.0,37481645.0,174350000.0,198492217.0
 Belize ,1983,156053,1176,35921723.0,7137374.0,58929558.0,187992586.0,40748930.0,38200000.0,35750000.0,147243657.0,81725176.0,23025244.0,25022034.0,65187466.0,184514386.0,14743144.0,36502647.0,183500000.0,209288864.0
 Belize ,1984,159721,1262,38615852.0,8704115.0,109662984.0,185649631.0,42248055.0,49650000.0,42850000.0,143401577.0,126629119.0,25327768.0,29614577.0,68316105.0,201642255.0,16252681.0,40138926.0,201600000.0,233539796.0
 Belize ,1985,163436,1219,37218896.0,8573553.0,124498619.0,159683002.0,43338327.0,45200000.0,36350000.0,116344675.0,124533601.0,29932817.0,36133722.0,69746171.0,208703637.0,17661582.0,39369713.0,199300000.0,231657304.0
 Belize ,1986,167191,1337,41110416.0,8834676.0,126500000.0,187450000.0,46700000.0,46400000.0,39750000.0,140750000.0,132450000.0,29932817.0,38762510.0,72100106.0,224953147.0,20580020.0,43565420.0,223500000.0,252364721.0
 Belize ,1987,170980,1658,54328301.0,13636302.0,163449074.0,209439153.0,46231668.0,62627845.0,61424229.0,163207485.0,166137949.0,45694741.0,55813615.0,82858623.0,284886961.0,25978476.0,52271647.0,283401939.0,322035746.0
 Belize ,1988,174817,1936,58955766.0,20410425.0,186587878.0,226706770.0,45718895.0,85196176.0,86400826.0,180987875.0,197500562.0,53098993.0,65115778.0,100457524.0,336685523.0,28349886.0,63396144.0,338509362.0,385750267.0
 Belize ,1989,178695,2321,65414692.0,32791150.0,195807740.0,246998790.0,45245658.0,121116320.0,109912272.0,201753131.0,220545824.0,60060194.0,73668038.0,127435624.0,419043839.0,38382457.0,81351879.0,414736736.0,467890526.0
 Belize ,1990,182589,2649,73202727.0,45077350.0,223378423.0,241496520.0,44798481.0,120461316.0,120461316.0,196698039.0,210784513.0,63297236.0,82496360.0,146144729.0,493862455.0,49837237.0,97104054.0,483693658.0,549439826.0
 Belize ,1991,186462,2831,73024320.0,50677350.0,214729450.0,270110653.0,50106507.0,144304282.0,144304282.0,220004147.0,257770666.0,62931660.0,88844639.0,159895426.0,538188809.0,55617916.0,110129159.0,527936014.0,598937124.0
 Belize ,1992,190299,3212,82382400.0,58504873.0,285233005.0,488428062.0,90605179.0,159844501.0,159844501.0,397822884.0,273588268.0,71630778.0,100536912.0,184953129.0,625563035.0,60905378.0,138280345.0,611168631.0,693495453.0
 Belize ,1993,194177,3355,84181466.0,69027770.0,289368955.0,515835963.0,95689444.0,187736313.0,187736313.0,420146519.0,280285398.0,74030301.0,106952216.0,204785310.0,676455376.0,64262315.0,147246299.0,651422588.0,750885545.0
 Belize ,1994,198416,3548,88038332.0,54390077.0,320424074.0,556091829.0,103157053.0,141162949.0,141162949.0,452934776.0,303861468.0,77236139.0,109862537.0,221832664.0,690601667.0,65904826.0,150573233.0,704068116.0,771666536.0
 Belize ,1995,203556,3653,98087767.0,55226172.0,329246929.0,596194393.0,110596224.0,159180272.0,159180272.0,485598169.0,303824266.0,82322856.0,119292351.0,239092829.0,734416611.0,68751704.0,153965789.0,743627193.0,818672775.0
 Belize ,1996,209840,3653,100490633.0,56642531.0,355026769.0,633989455.0,117607346.0,154232678.0,154060270.0,516382109.0,321621313.0,87440692.0,125775108.0,251194474.0,760078476.0,69093228.0,156882503.0,766449698.0,851461868.0
 Belize ,1997,217117,3614,98873813.0,53497994.0,382290385.0,711094498.0,131910611.0,155248069.0,154289427.0,579183887.0,363622767.0,85306181.0,123376585.0,263494006.0,772514884.0,69725506.0,163546982.0,784587324.0,867888646.0
