Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Benin ,1970,3023443,106,98108838.0,10621289.0,129862546.0,251545995.0,75223987.0,51127300.0,49699431.0,176322008.0,105563525.0,24999517.0,30711542.0,79323739.0,285533053.0,21092095.0,45675550.0,319642214.0,322055483.0
 Benin ,1971,3088381,110,103894852.0,10586363.0,159816539.0,262435366.0,77974768.0,51910453.0,50161334.0,184460598.0,119280759.0,24917311.0,30610553.0,85491586.0,302542622.0,22732150.0,49227118.0,338622819.0,341787647.0
 Benin ,1972,3156408,133,128345916.0,13849602.0,159791144.0,328268492.0,96433206.0,80721467.0,79170928.0,231835286.0,146375020.0,32598054.0,40046233.0,104048561.0,373869189.0,27666437.0,59912440.0,418766012.0,420920211.0
 Benin ,1973,3227380,160,153710513.0,17538962.0,211869480.0,400867918.0,116346033.0,86968595.0,84913959.0,284521886.0,177504870.0,41281767.0,50714048.0,130536719.0,462374174.0,34709472.0,75164461.0,515609659.0,515609659.0
 Benin ,1974,3301276,168,148129812.0,22240950.0,214977445.0,405373157.0,113576262.0,110396794.0,112685050.0,291796895.0,175369434.0,52348919.0,64309882.0,153529361.0,517437893.0,40823512.0,88404378.0,556200345.0,553903483.0
 Benin ,1975,3378703,185,172740125.0,26291472.0,266369700.0,548582792.0,144953706.0,160165697.0,143021614.0,403629086.0,310056066.0,61882706.0,76021999.0,192960168.0,630430494.0,51307977.0,111108752.0,626386576.0,673957826.0
 Benin ,1976,3460329,175,213480924.0,22515178.0,246435316.0,574592005.0,123900590.0,126034865.0,123370955.0,450691415.0,273695607.0,52994376.0,65102816.0,191722366.0,654194261.0,50977976.0,110395002.0,604082937.0,717765317.0
 Benin ,1977,3546454,197,230598122.0,24125966.0,263712350.0,680985333.0,138704139.0,134349964.0,125045651.0,542281194.0,358269654.0,56785715.0,69760420.0,209344660.0,710041050.0,55666205.0,120545677.0,699036021.0,785887967.0
 Benin ,1978,3636927,235,307594549.0,27538631.0,326974856.0,813099678.0,147963425.0,151639233.0,138021421.0,665136253.0,426542981.0,64818166.0,79628169.0,228421265.0,835445063.0,60736345.0,131526103.0,856411195.0,953850384.0
 Benin ,1979,3732394,271,370055067.0,38787440.0,440630057.0,938044246.0,189279917.0,259253633.0,244580066.0,748764329.0,544738532.0,91294687.0,112154188.0,287933769.0,1051276245.0,76556168.0,165789613.0,1012532136.0,1161734065.0
 Benin ,1980,3833939,386,436803041.0,42069548.0,524218808.0,1176694695.0,238231255.0,326476450.0,305969386.0,938463439.0,640336396.0,99019843.0,121644430.0,395560441.0,1329068050.0,105196752.0,227793839.0,1481388865.0,1484452237.0
