Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Bhutan ,1970,298894,167,26446121.0,8078613.0,8877035.0,58411937.0,13214437.0,19972295.0,20501006.0,45197500.0,26611043.0,2580610.0,3181576.0,15537930.0,61158470.0,2894299.0,5019931.0,49779988.0,61775644.0
 Bhutan ,1971,308837,173,28407112.0,8661776.0,9528266.0,62715416.0,14201887.0,21439425.0,22009157.0,48513530.0,28547181.0,2763088.0,3408205.0,16696261.0,65670601.0,3107921.0,5389326.0,53448951.0,66328730.0
 Bhutan ,1972,319128,177,30019116.0,9150110.0,10076387.0,66274231.0,15005707.0,22653489.0,23257042.0,51268524.0,30181304.0,2922813.0,3604210.0,17645903.0,69401770.0,3284503.0,5697928.0,56486688.0,70098481.0
 Bhutan ,1973,329800,193,33731956.0,10345569.0,11330936.0,74570417.0,16839273.0,25510342.0,26178717.0,57731144.0,34014539.0,3309366.0,4077246.0,19801417.0,78056495.0,3693781.0,6406526.0,63541845.0,78853743.0
 Bhutan ,1974,340842,220,39813909.0,12073274.0,13324911.0,87781958.0,19936489.0,29990336.0,30796468.0,67845469.0,39854562.0,3835343.0,4737779.0,23426567.0,91944757.0,4351739.0,7541491.0,74817853.0,92846971.0
 Bhutan ,1975,352269,198,37149092.0,11311541.0,12497252.0,82015086.0,18562031.0,28024561.0,28777003.0,63453055.0,37402432.0,3627906.0,4469921.0,21845190.0,85902760.0,4065431.0,7061584.0,69920544.0,86769539.0
 Bhutan ,1976,364119,196,37696651.0,11776200.0,12690586.0,83669169.0,18743132.0,28693944.0,29407784.0,64926037.0,38350292.0,3782686.0,4648249.0,22037947.0,87469751.0,4138174.0,7172531.0,71241712.0,88409074.0
 Bhutan ,1977,376387,209,42252552.0,12378796.0,13986500.0,92421813.0,21350138.0,31450196.0,32360092.0,71071675.0,41372158.0,3847293.0,4792724.0,25034603.0,96991492.0,4592935.0,7939882.0,78830599.0,97826681.0
 Bhutan ,1978,389072,195,40066886.0,12350919.0,13687877.0,88810189.0,19889463.0,30360928.0,31173333.0,68920725.0,41041534.0,4073284.0,4981372.0,23517361.0,93014602.0,4400898.0,7697165.0,75771736.0,94030714.0
 Bhutan ,1979,402063,211,44353782.0,14924925.0,14964473.0,100042532.0,21721219.0,34680964.0,35342554.0,78321313.0,46545870.0,4814222.0,5872603.0,25466068.0,103996154.0,4914971.0,8463806.0,84865492.0,105315824.0
 Bhutan ,1980,415257,250,57671853.0,13701409.0,18164725.0,120857415.0,30472017.0,40157028.0,41826368.0,90385398.0,50190526.0,3723039.0,4917168.0,35467769.0,128300672.0,6092429.0,10450045.0,103622919.0,128593292.0
 Bhutan ,1981,428641,266,59142490.0,21097447.0,22193035.0,136564198.0,27691406.0,47331594.0,48294800.0,108872792.0,69049658.0,8001586.0,9396124.0,33673767.0,142167132.0,6709312.0,12147992.0,114137336.0,144715922.0
 Bhutan ,1982,442201,269,61833605.0,26300822.0,20037712.0,147058578.0,28981951.0,53049137.0,52928677.0,118076627.0,69772229.0,8049864.0,9758410.0,33013036.0,149497132.0,7041471.0,11549788.0,118800567.0,152191512.0
