Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Bolivia (Plurinational State of) ,1970,4585693,222,168350168.0,84175084.0,252525253.0,841750842.0,84175084.0,168350168.0,168350168.0,757575758.0,252525253.0,168350168.0,263552189.0,269360269.0,953787879.0,84175084.0,84175084.0,1017340067.0,1010101010.0
 Bolivia (Plurinational State of) ,1971,4688267,240,252525253.0,84175084.0,252525253.0,925925926.0,84175084.0,168350168.0,168350168.0,841750842.0,252525253.0,168350168.0,264730640.0,353787879.0,1207744108.0,84175084.0,168350168.0,1124915825.0,1094276094.0
 Bolivia (Plurinational State of) ,1972,4793804,266,225648740.0,75216247.0,300864987.0,1053027454.0,150432493.0,300864987.0,225648740.0,902594961.0,300864987.0,150432493.0,314930425.0,317788642.0,1159232794.0,75216247.0,150432493.0,1274163219.0,1278676194.0
 Bolivia (Plurinational State of) ,1973,4902248,261,249875062.0,49975012.0,349825087.0,1049475262.0,149925037.0,299850075.0,249875062.0,899550225.0,349825087.0,149925037.0,364817591.0,315692154.0,1230234883.0,99950025.0,149925037.0,1277761119.0,1299350325.0
 Bolivia (Plurinational State of) ,1974,5013765,424,449775112.0,99950025.0,749625187.0,1599200400.0,199900050.0,349825087.0,349825087.0,1399300350.0,549725137.0,249875062.0,676111944.0,471864068.0,1997551224.0,99950025.0,199900050.0,2124087956.0,2148925537.0
 Bolivia (Plurinational State of) ,1975,5127776,472,499750125.0,99950025.0,599700150.0,1999000500.0,249875062.0,549725137.0,449775112.0,1749125437.0,799600200.0,299850075.0,627836082.0,621239380.0,2298550725.0,149925037.0,299850075.0,2419240380.0,2398800600.0
 Bolivia (Plurinational State of) ,1976,5244355,529,549725137.0,149925037.0,749625187.0,2248875562.0,299850075.0,549725137.0,549725137.0,1949025487.0,799600200.0,349825087.0,732933533.0,774262869.0,2756571714.0,199900050.0,349825087.0,2776161919.0,2748625687.0
 Bolivia (Plurinational State of) ,1977,5363917,503,552583451.0,170025677.0,722609129.0,2295346644.0,340051355.0,510077032.0,510077032.0,1955295290.0,807621967.0,340051355.0,758101989.0,744457428.0,2692739159.0,170025677.0,297544935.0,2700687859.0,2762917257.0
 Bolivia (Plurinational State of) ,1978,5486132,535,563352462.0,160957846.0,684070847.0,2535086079.0,402394616.0,724310308.0,643831385.0,2132691464.0,925507616.0,362155154.0,845028693.0,868166384.0,3000857847.0,201197308.0,362155154.0,2932491002.0,3017959618.0
 Bolivia (Plurinational State of) ,1979,5610380,561,581814134.0,181816917.0,799994435.0,2727253755.0,509087368.0,654540901.0,618177518.0,2218166388.0,909084585.0,436360601.0,909084585.0,934684407.0,3261940945.0,254543684.0,399997217.0,3150087177.0,3272704506.0
 Bolivia (Plurinational State of) ,1980,5736088,581,658095625.0,143064266.0,915611305.0,2804059620.0,457805652.0,543644212.0,515031359.0,2346253968.0,715321332.0,515031359.0,1087288424.0,1030062718.0,3490768099.0,200289973.0,371967092.0,3331337280.0,3519380952.0
 Bolivia (Plurinational State of) ,1981,5862990,629,727435370.0,150503870.0,928107196.0,3135497284.0,501679565.0,652183435.0,551847522.0,2633817719.0,827771283.0,602015479.0,1128779022.0,1078611066.0,3812764697.0,225755804.0,501679565.0,3685488592.0,3888016632.0
 Bolivia (Plurinational State of) ,1982,5991118,585,766082593.0,117858860.0,1394663182.0,3044687227.0,412506011.0,491078585.0,510721728.0,2632181216.0,982157170.0,324111866.0,1296447465.0,982157170.0,3948271824.0,304468723.0,481257013.0,3505976985.0,3948271824.0
 Bolivia (Plurinational State of) ,1983,6120620,598,991341677.0,144682299.0,1374481838.0,2899004579.0,302761107.0,442084802.0,436726198.0,2596243472.0,798431945.0,380460860.0,969907262.0,937755640.0,3943932292.0,217023448.0,683221966.0,3661129305.0,3919818576.0
 Bolivia (Plurinational State of) ,1984,6251926,595,1221435850.0,205281875.0,1372485765.0,2904886285.0,444111085.0,586469981.0,492259332.0,2460775200.0,827211215.0,356679431.0,856760681.0,994078786.0,4058358365.0,224054477.0,556746695.0,3721494457.0,4036804637.0
 Bolivia (Plurinational State of) ,1985,6385630,609,1197736880.0,174771628.0,1194245217.0,2922408471.0,342800188.0,696724208.0,483165913.0,2579608282.0,689116497.0,493689818.0,1016248080.0,903798397.0,4177334104.0,437968512.0,446810606.0,3886245636.0,4124261399.0
 Bolivia (Plurinational State of) ,1986,6521983,608,1126414845.0,117109113.0,1189183590.0,3180776805.0,324239673.0,548701411.0,441078015.0,2856537133.0,816140332.0,544463777.0,998045983.0,895066607.0,4068109202.0,485457782.0,446014872.0,3964567597.0,4102521474.0
 Bolivia (Plurinational State of) ,1987,6661434,609,706862476.0,138411171.0,1056930906.0,3552203229.0,399209669.0,641617238.0,485662718.0,3152993560.0,936998489.0,741076751.0,1178137625.0,1102539287.0,4026036085.0,328880008.0,571205517.0,4056587855.0,4313329094.0
 Bolivia (Plurinational State of) ,1988,6804072,637,723451985.0,161165979.0,862854245.0,4155808799.0,523507866.0,642781558.0,583952288.0,3632300933.0,1063832726.0,819666772.0,1271182893.0,1204247648.0,4276266625.0,367061401.0,549156718.0,4335346932.0,4597612302.0
 Bolivia (Plurinational State of) ,1989,6949139,643,719805698.0,149053938.0,1061014854.0,4200550213.0,563118247.0,546465842.0,565507458.0,3637431966.0,1092052680.0,801028848.0,1334635080.0,1214841642.0,4392858496.0,399198890.0,575323249.0,4471498133.0,4715974510.0
 Bolivia (Plurinational State of) ,1990,7096194,654,747349377.0,149408854.0,1108688320.0,4313524971.0,572207776.0,610002048.0,611294974.0,3741317195.0,1164632090.0,825689566.0,1402598459.0,1200056735.0,4543983106.0,453593368.0,590976313.0,4642773707.0,4867583881.0
 Bolivia (Plurinational State of) ,1991,7244891,708,830454695.0,164510872.0,1147697714.0,4804047636.0,645184501.0,832360795.0,773919329.0,4158863135.0,1440843711.0,947390411.0,1470860678.0,1313481555.0,4956277914.0,529110370.0,647859745.0,5130203108.0,5343262434.0
 Bolivia (Plurinational State of) ,1992,7394419,737,812969222.0,175361384.0,1131388577.0,5210079007.0,726314035.0,942695626.0,920903641.0,4483764971.0,1640295516.0,967564126.0,1526977195.0,1435707235.0,5197003816.0,593511116.0,652477663.0,5447739829.0,5643867693.0
 Bolivia (Plurinational State of) ,1993,7544489,733,840077372.0,192493308.0,1094234188.0,5318301714.0,766690764.0,949805592.0,955667142.0,4551610949.0,1627869717.0,967624704.0,1449209668.0,1514624568.0,5288525039.0,635860964.0,656259159.0,5528379672.0,5734706239.0
 Bolivia (Plurinational State of) ,1994,7693722,754,911802793.0,187208501.0,1295742540.0,5452636971.0,811597549.0,859427697.0,888212357.0,4641039422.0,1626657913.0,996425364.0,1495503750.0,1562595814.0,5484884447.0,647546631.0,680226959.0,5801082851.0,5981149294.0
 Bolivia (Plurinational State of) ,1995,7841471,830,997845639.0,198944172.0,1514267214.0,6002697725.0,911393460.0,1023677134.0,1043050755.0,5091304265.0,1825703379.0,1123461698.0,1758208183.0,1701962187.0,6092899637.0,677243460.0,758695996.0,6510161603.0,6715147012.0
 Bolivia (Plurinational State of) ,1996,7989367,898,1049233411.0,194852832.0,1670369272.0,6542995048.0,985811035.0,1201058812.0,1196557660.0,5557184013.0,2017474763.0,1214987622.0,1872955679.0,1914073217.0,6631361067.0,768671462.0,831574465.0,7170596770.0,7396948369.0
 Bolivia (Plurinational State of) ,1997,8137619,950,1182381897.0,227412959.0,1673170717.0,7023509159.0,1101957048.0,1555978106.0,1503429069.0,5921552112.0,2326921667.0,1150834793.0,1867764119.0,2173911863.0,7178633886.0,860735811.0,866427238.0,7729349686.0,7925736316.0
 Bolivia (Plurinational State of) ,1998,8286928,1006,1072845290.0,324085939.0,1673894599.0,7586331758.0,1208247713.0,2005961942.0,1967443179.0,6378084045.0,2768694168.0,1188974834.0,1896597704.0,2450419809.0,7688192380.0,1015593559.0,928650078.0,8334532074.0,8497494131.0
 Bolivia (Plurinational State of) ,1999,8439052,959,1098433082.0,270853123.0,1398593309.0,7591985707.0,1226014862.0,1555259944.0,1582225395.0,6365970845.0,2260774992.0,1126282392.0,1812334778.0,2633263771.0,7673792386.0,979881740.0,879025891.0,8088971955.0,8285063968.0
 Bolivia (Plurinational State of) ,2000,8592656,951,1088850195.0,254693628.0,1534686757.0,7634054676.0,1220989428.0,1523663207.0,1502164713.0,6413065248.0,2294548697.0,1111968992.0,1906832382.0,2560857694.0,7630850676.0,951752047.0,867864730.0,8172474587.0,8397855942.0
 Bolivia (Plurinational State of) ,2001,8746084,907,1079211340.0,226016184.0,1626036000.0,7410009287.0,1280182788.0,1161667066.0,1133850655.0,6129826499.0,2056195018.0,1086466912.0,1843612598.0,2505388095.0,7435656482.0,939436243.0,841992021.0,7930392075.0,8141517335.0
 Bolivia (Plurinational State of) ,2002,8900583,865,1024164976.0,246284947.0,1710308635.0,7098072401.0,1262339191.0,1288172983.0,1237180518.0,5835733210.0,2191068869.0,1030513337.0,1767524285.0,2373737397.0,7172507510.0,942147130.0,818648775.0,7700268414.0,7905485150.0
 Bolivia (Plurinational State of) ,2003,9057378,859,1085243003.0,186225985.0,2069153756.0,7074871864.0,1335304736.0,1069469017.0,1023548886.0,5739567128.0,2131094644.0,1033290191.0,1882584764.0,2340995917.0,7299359485.0,997006436.0,807303380.0,7780171864.0,8082399992.0
 Bolivia (Plurinational State of) ,2004,9216279,910,1168793630.0,185659982.0,2731819872.0,7383996151.0,1426386900.0,966951318.0,1025329469.0,5957609251.0,2309610385.0,1097298629.0,2169024595.0,2407916080.0,7847325941.0,1040173329.0,875758325.0,8387815052.0,8773156956.0
