Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Botswana ,1970,592244,118,26232801.0,5894559.0,16797173.0,70526727.0,13170955.0,39134196.0,33347429.0,57355773.0,48155414.0,4284336.0,11277478.0,18932225.0,72205347.0,3194489.0,6673795.0,69869717.0,66797331.0
 Botswana ,1971,604139,150,34592824.0,7683489.0,29790631.0,79740180.0,15128641.0,57451030.0,58595980.0,64611539.0,64199787.0,5669024.0,14996401.0,24974697.0,95242683.0,4226947.0,8768325.0,90512991.0,88112318.0
 Botswana ,1972,626601,183,45057104.0,10329046.0,43716857.0,96437015.0,16057771.0,75529085.0,76676332.0,80379243.0,82181208.0,7390228.0,19223309.0,32448356.0,123972668.0,5426779.0,11488075.0,114687990.0,114693404.0
 Botswana ,1973,657246,258,66707052.0,14574661.0,67103634.0,142197478.0,25823524.0,111480363.0,104051675.0,116373954.0,124256185.0,10372538.0,27873305.0,48715706.0,183305501.0,8267358.0,17167420.0,169630184.0,169433503.0
 Botswana ,1974,691569,344,80362552.0,18012208.0,88655530.0,186930416.0,38390126.0,131442757.0,101122514.0,148540290.0,162836756.0,13830543.0,37264864.0,61681929.0,229249860.0,10534919.0,21393389.0,238113558.0,235512893.0
 Botswana ,1975,727930,346,80820746.0,27196099.0,109600825.0,223126564.0,49117215.0,133511141.0,94881960.0,174009348.0,186106414.0,17934433.0,44145055.0,59461396.0,242789168.0,9585876.0,21579996.0,252070116.0,274091111.0
 Botswana ,1976,766424,350,75278689.0,26695571.0,125409490.0,250917791.0,56892951.0,123579322.0,80396144.0,194024840.0,196869676.0,21510864.0,58475291.0,67815667.0,263839586.0,12010841.0,23563528.0,268046651.0,296963130.0
 Botswana ,1977,806968,438,85741524.0,32205591.0,184384020.0,340368420.0,81566188.0,125864190.0,95511256.0,258802232.0,260359649.0,28303614.0,81934966.0,93860993.0,341081922.0,16333712.0,31005135.0,353260161.0,382830782.0
 Botswana ,1978,849394,497,93716530.0,40958146.0,222590929.0,423073443.0,105514474.0,144428724.0,116288563.0,317558969.0,325152270.0,30944659.0,97412479.0,113587693.0,401269269.0,18660285.0,36934137.0,422263201.0,455912766.0
 Botswana ,1979,893500,613,99607636.0,50888148.0,297467076.0,520267553.0,125786640.0,206935223.0,171681850.0,394480914.0,420034447.0,42660051.0,155084640.0,144703185.0,514701038.0,20179077.0,44238354.0,547383820.0,594573127.0
 Botswana ,1980,938578,846,112180213.0,65077022.0,443168284.0,681317879.0,165610767.0,311678436.0,271491980.0,515707113.0,573160396.0,47793100.0,265161166.0,199607340.0,728044274.0,20491151.0,65527381.0,793642161.0,852423393.0
 Botswana ,1981,982747,897,113055768.0,75993975.0,497983961.0,771727042.0,208686790.0,383267633.0,340203760.0,563040251.0,668972780.0,48372188.0,310697615.0,225444066.0,822274211.0,21970662.0,75112125.0,881178199.0,974347887.0
 Botswana ,1982,1023009,752,97445117.0,59277368.0,413096476.0,727056752.0,214838064.0,360388148.0,304237015.0,512218688.0,637750126.0,60656859.0,261543440.0,213861339.0,721534411.0,21480029.0,67927118.0,768906969.0,853465104.0
 Botswana ,1983,1060717,793,88422033.0,50625461.0,495081744.0,777719878.0,246312231.0,334355589.0,291982054.0,531407647.0,674322661.0,70954855.0,312313573.0,238796206.0,786681405.0,26969959.0,69554173.0,840657973.0,926393354.0
 Botswana ,1984,1099170,803,71397579.0,58877185.0,585589803.0,745739307.0,254033768.0,272472368.0,259706726.0,491705539.0,633086288.0,64300468.0,358068693.0,239032415.0,818914474.0,28754824.0,62783779.0,882160308.0,969842620.0
 Botswana ,1985,1138704,667,52784364.0,50540179.0,490433568.0,608980591.0,210187377.0,240288441.0,221331611.0,398793214.0,501476322.0,46435810.0,335861414.0,197620244.0,711600609.0,22628810.0,52165600.0,759516942.0,837591558.0
 Botswana ,1986,1179263,833,60390030.0,51489615.0,712610446.0,743948694.0,257433659.0,250408631.0,256902065.0,486515036.0,590807564.0,59274396.0,508528921.0,247645445.0,970197210.0,29223299.0,72919900.0,982815900.0,1119259574.0
 Botswana ,1987,1220361,1125,74344905.0,68028954.0,1014367950.0,980698255.0,370737069.0,319521829.0,344286186.0,609961187.0,782390932.0,91929055.0,722931058.0,344911998.0,1346959019.0,35353911.0,101388192.0,1372536850.0,1541996035.0
 Botswana ,1988,1261272,1264,101761092.0,86866287.0,1291130749.0,1104873140.0,481641057.0,261969257.0,490983483.0,623232083.0,893084567.0,104113045.0,827754493.0,398156357.0,1561214982.0,40575803.0,106100950.0,1593888464.0,1787998380.0
 Botswana ,1989,1301671,2172,131275043.0,196577350.0,1739475988.0,1629155797.0,693624893.0,1071659585.0,959956018.0,935530904.0,1453678105.0,160860703.0,1446425165.0,691657893.0,2729483544.0,78104671.0,185443422.0,2827563708.0,3020185206.0
 Botswana ,1990,1341474,2704,155696026.0,275441102.0,1987646281.0,2267698977.0,907996640.0,1373495978.0,1224870555.0,1359702337.0,1928445723.0,194831445.0,1620722824.0,943694629.0,3356805593.0,103892650.0,257358361.0,3627847637.0,3721284135.0
 Botswana ,1991,1380584,2784,156228080.0,296231682.0,1991397144.0,2483451088.0,948086431.0,1262771276.0,1226777144.0,1535364657.0,1874442966.0,202150529.0,1572076837.0,1048592096.0,3429501415.0,119108152.0,237264568.0,3843512674.0,3867409908.0
 Botswana ,1992,1420695,2846,173467651.0,297581921.0,1902688886.0,2723721850.0,1084653794.0,1215286972.0,1219140251.0,1639068057.0,1761213891.0,215416880.0,1534457912.0,1213452740.0,3581644462.0,140518225.0,222166014.0,4043226298.0,4069182434.0
 Botswana ,1993,1462262,2798,169856098.0,275984167.0,1866018444.0,2742889459.0,1155848452.0,1153579419.0,1115377436.0,1587041006.0,1662485302.0,190967124.0,1491089154.0,1298735948.0,3666195106.0,149221273.0,281308465.0,4091361848.0,4082613650.0
 Botswana ,1994,1503544,2802,159983879.0,284693081.0,2036879730.0,2847787538.0,1219155378.0,1106663803.0,1102380184.0,1628632160.0,1718960660.0,207662427.0,1557822066.0,1377463058.0,3921970331.0,158158684.0,383849562.0,4212852458.0,4259258811.0
 Botswana ,1995,1543634,2971,219392013.0,293087817.0,2404871210.0,3287056521.0,1421755473.0,1283418023.0,1276203554.0,1865301048.0,2070047688.0,251821052.0,1783308604.0,1535094786.0,4468425875.0,177367729.0,460174927.0,4585502826.0,4730599691.0
 Botswana ,1996,1582169,2959,178930448.0,285903662.0,2609472564.0,2984059307.0,1269810551.0,1136485106.0,1115637964.0,1714248756.0,1799833343.0,272186062.0,1916282530.0,1474371252.0,4532493565.0,156097864.0,520907808.0,4681169509.0,4847757704.0
 Botswana ,1997,1619354,3053,177853216.0,296129850.0,3056374512.0,3194619573.0,1414827401.0,1207473506.0,1313971781.0,1779792171.0,2395855113.0,285145846.0,1997856156.0,1523927873.0,4666558318.0,171525772.0,499265450.0,4944532962.0,5020265168.0
 Botswana ,1998,1655699,2726,151708047.0,289265194.0,2361188675.0,3208775450.0,1440457372.0,1817349286.0,1346725416.0,1768318078.0,2517487482.0,297878785.0,1796761858.0,1534236656.0,4429467945.0,165409335.0,492086855.0,4513625229.0,4790481509.0
 Botswana ,1999,1691558,2666,164021447.0,322182668.0,3027163390.0,3297058140.0,1503288457.0,1405394576.0,1463196728.0,1793769683.0,2398367657.0,305099353.0,2134852119.0,1643414888.0,5040053616.0,183483451.0,592099043.0,4509127967.0,5484263050.0
 Botswana ,2000,1726985,2953,161765933.0,289034345.0,3000186698.0,3370231416.0,1441447563.0,1710508628.0,1455324975.0,1928783853.0,2320703135.0,325707563.0,2390991835.0,1690437343.0,5304111494.0,189971577.0,581910460.0,5100399499.0,5788311645.0
 Botswana ,2001,1761930,2554,142203396.0,255767927.0,2671122692.0,3180781617.0,1289333399.0,1640756144.0,1422828538.0,1891448218.0,2133680041.0,320598488.0,2201820193.0,1697730710.0,5064220489.0,179748660.0,586949603.0,4499483387.0,5489649947.0
 Botswana ,2002,1795130,2637,127220769.0,388748375.0,2758703467.0,3224011008.0,1307014025.0,1544138931.0,1382762059.0,1916996983.0,2111675263.0,348259197.0,2032884345.0,1763002399.0,5123622551.0,173566105.0,638200559.0,4734147754.0,5415178142.0
 Botswana ,2003,1826863,3710,191003272.0,499147248.0,3541299094.0,4578586413.0,1946232571.0,2043835963.0,1840055878.0,2632353842.0,2717441333.0,481073057.0,2569888346.0,2570195272.0,7005225849.0,229954825.0,945036887.0,6777092625.0,7446280137.0
 Botswana ,2004,1859085,4284,183487128.0,646127138.0,4389353185.0,5664050577.0,2445574919.0,2517457756.0,2122658075.0,3218475658.0,3729807539.0,594192827.0,3020097426.0,3103602664.0,8270073835.0,267853939.0,1048905539.0,7965043094.0,8841053979.0
 Botswana ,2005,1892807,4779,158199303.0,650223926.0,5019471817.0,5948617088.0,2735393601.0,2250592156.0,1970878115.0,3213223487.0,3459214693.0,618508859.0,3794870149.0,3364591623.0,9275992686.0,293264832.0,1014842854.0,9045789634.0,9759466367.0
