Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Brazil ,1970,96369875,360,3521385757.0,1509165324.0,2550524612.0,28455312192.0,4057390975.0,6776645301.0,6561201889.0,24397906126.0,2499771382.0,8551936838.0,9054991947.0,10564157271.0,31692471813.0,1509165324.0,5030551081.0,34710802462.0,35380549910.0
 Brazil ,1971,98766288,394,4370207510.0,2185103755.0,2658869211.0,31783208156.0,4405990769.0,7989630850.0,7892218925.0,27377230498.0,3040287811.0,10051477272.0,11362539525.0,10925518774.0,35835701580.0,1311062253.0,5681269763.0,38894846837.0,39518051538.0
 Brazil ,1972,101194394,496,5451798272.0,2725899136.0,3553844269.0,40908347165.0,5496436818.0,10491576890.0,10158035872.0,35411964865.0,4644164982.0,13240081518.0,14408324005.0,14408324005.0,45950871152.0,1947070812.0,7009454922.0,50234426938.0,50863478787.0
 Brazil ,1973,103666904,684,7921716757.0,3772246075.0,5737665497.0,57537692151.0,7225952374.0,15244751655.0,14760097252.0,50311785044.0,6373288960.0,20370128803.0,21879027232.0,18861230373.0,65637081697.0,2640572252.0,10185064401.0,70918226202.0,72011951228.0
 Brazil ,1974,106167372,859,9869447421.0,5104886597.0,7246999111.0,75287888509.0,8577805611.0,21612738758.0,20145196169.0,66710219029.0,12176206140.0,27226061851.0,29608342262.0,24843781439.0,85762094829.0,3403257731.0,12932379379.0,91207307199.0,92322925713.0
 Brazil ,1975,108700515,981,11089486701.0,6255607882.0,7784927715.0,85304881235.0,11180284006.0,26812908774.0,25389928589.0,74124594386.0,11868909852.0,32131076851.0,34974534979.0,31278039412.0,103000000000.0,4265187193.0,15070328080.0,107000000000.0,109000000000.0
 Brazil ,1976,111286504,1130,13207158546.0,7577877855.0,9001345403.0,102000000000.0,13533578883.0,28332799769.0,28673327949.0,88818078437.0,11834692281.0,37672878477.0,40920540414.0,37889389273.0,121000000000.0,5412769896.0,16238309688.0,126000000000.0,128000000000.0
 Brazil ,1977,113939886,1283,17807933869.0,8822279164.0,10933896583.0,118000000000.0,14165335700.0,31597602218.0,31798995246.0,104000000000.0,11690531187.0,41987513800.0,45908526762.0,44601522442.0,142000000000.0,6535021603.0,17971309409.0,146000000000.0,149000000000.0
 Brazil ,1978,116664382,1096,16752454057.0,10358387623.0,11411266572.0,133000000000.0,16502832261.0,37406902501.0,37720643995.0,117000000000.0,13217678578.0,49490074198.0,54093802031.0,54093802031.0,163000000000.0,7928642378.0,19693724616.0,128000000000.0,170000000000.0
 Brazil ,1979,119447303,1436,18009224757.0,12606457330.0,13652726397.0,148000000000.0,18588980293.0,41423850576.0,43622274376.0,130000000000.0,17216378071.0,55314047468.0,60116507403.0,61231364174.0,182000000000.0,9176128805.0,20496212938.0,172000000000.0,187000000000.0
 Brazil ,1980,122288383,1434,18805628723.0,12668593708.0,16002104004.0,161000000000.0,15910156754.0,45975672332.0,47938195745.0,145000000000.0,15683672107.0,58257996673.0,63518312400.0,62115561539.0,186000000000.0,8723356913.0,20296051512.0,175000000000.0,176000000000.0
 Brazil ,1981,125168060,1784,22605397718.0,16079360836.0,25161573660.0,175000000000.0,25016996385.0,47752355040.0,49790718492.0,150000000000.0,24660874274.0,67022150643.0,73424118383.0,77121378822.0,223000000000.0,11364733430.0,22927977488.0,223000000000.0,224000000000.0
 Brazil ,1982,128065095,1709,20724603525.0,16734151915.0,13052820896.0,195000000000.0,25955639815.0,49544034704.0,51658877901.0,169000000000.0,12793078024.0,73424309633.0,81096274664.0,82512241365.0,237000000000.0,12833807276.0,23517919653.0,219000000000.0,246000000000.0
 Brazil ,1983,130977370,1223,20022571668.0,12013543001.0,20303171311.0,142000000000.0,16149208142.0,26972358079.0,32141375730.0,125000000000.0,15919320907.0,52058686336.0,60067715003.0,60067715003.0,172000000000.0,8009028667.0,16018057334.0,160000000000.0,173000000000.0
 Brazil ,1984,133888775,1233,21256873304.0,10003234496.0,24090626009.0,140000000000.0,15127706719.0,26469404375.0,30108306371.0,125000000000.0,13669664043.0,53767385417.0,62520215601.0,58769002665.0,180000000000.0,10003234496.0,16255256056.0,165000000000.0,176000000000.0
 Brazil ,1985,136783180,1297,21242956379.0,10435136467.0,23052283846.0,143000000000.0,18786743013.0,34425666662.0,31782177551.0,125000000000.0,13333903135.0,60747401574.0,70809854596.0,63728869136.0,192000000000.0,9689769576.0,16398071591.0,177000000000.0,188000000000.0
