Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Brunei Darussalam ,1970,133343,1687,925476.0,1334363.0,204150457.0,55874559.0,20575408.0,9057521.0,8783020.0,35299151.0,44158689.0,38675892.0,206502265.0,13006646.0,224919922.0,1110049.0,2041123.0,224919922.0,224919922.0
 Brunei Darussalam ,1971,138666,1789,1033199.0,1395850.0,224738544.0,61442502.0,21532590.0,9206912.0,8858924.0,39909913.0,47293554.0,40693216.0,228089514.0,14172360.0,248088784.0,1159834.0,2238027.0,248088785.0,248088785.0
 Brunei Darussalam ,1972,143886,2364,1424647.0,2026707.0,307677841.0,87252692.0,31516333.0,13774026.0,13308755.0,55736359.0,68550210.0,57659156.0,312043623.0,19826588.0,340148570.0,1683682.0,3143324.0,340148570.0,340148570.0
 Brunei Darussalam ,1973,149065,3649,2171016.0,3379695.0,496394305.0,131139320.0,51669677.0,23501495.0,23016939.0,79469644.0,107067903.0,99176825.0,499128539.0,31587505.0,543960286.0,2818257.0,4875275.0,543960286.0,543960286.0
 Brunei Darussalam ,1974,154314,8738,6093932.0,6649519.0,1214302680.0,330892326.0,98082258.0,37264042.0,34635458.0,232810068.0,233995508.0,198088018.0,1303969535.0,77713858.0,1412441151.0,5500599.0,12513709.0,1348411999.0,1348411999.0
 Brunei Darussalam ,1975,159653,9191,6653832.0,10863321.0,1321395029.0,415359140.0,161758074.0,74311256.0,72457447.0,253601066.0,343696182.0,290512866.0,1423674636.0,96501546.0,1562180596.0,9020251.0,15467010.0,1467369244.0,1467369244.0
 Brunei Darussalam ,1976,165064,10828,6590663.0,13527220.0,1674004515.0,348149427.0,182284106.0,91752039.0,92717850.0,165865321.0,326596593.0,427977571.0,1780091050.0,111306079.0,1938659325.0,11388576.0,15755737.0,1787309388.0,1787309388.0
 Brunei Darussalam ,1977,170560,12760,7419267.0,16672771.0,2059493409.0,378843813.0,215628960.0,88249292.0,87631445.0,163214853.0,350319829.0,440725974.0,2009042693.0,165313334.0,2271854476.0,15198622.0,58207788.0,2176266686.0,2176266686.0
 Brunei Darussalam ,1978,176176,13842,8812215.0,20037190.0,2317131632.0,369784427.0,265670365.0,104776857.0,107207106.0,104114062.0,353048851.0,491658271.0,2144054049.0,201663799.0,2494878401.0,21027874.0,99283273.0,2438644065.0,2438644065.0
 Brunei Darussalam ,1979,181951,19354,10689743.0,23798492.0,3347944212.0,509425825.0,373867728.0,162126790.0,162242306.0,135558096.0,497931977.0,637894486.0,3212434462.0,237755731.0,3626296643.0,24131851.0,117486364.0,3521564851.0,3521564851.0
 Brunei Darussalam ,1980,187921,32942,13259980.0,36242962.0,5779477599.0,945150388.0,431544182.0,187704415.0,183891669.0,513606206.0,721840791.0,1237686658.0,5749086239.0,335281192.0,6393335240.0,25750857.0,233714010.0,6190491610.0,6190491610.0
