Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Bulgaria ,1970,8582950,1038,1474906839.0,659061539.0,3345600003.0,6074099150.0,533658975.0,2996580344.0,2430134190.0,5540441030.0,3416279490.0,2226769233.0,3344013678.0,1422623078.0,8813250435.0,994887180.0,917758120.0,8906984623.0,9000000008.0
 Bulgaria ,1971,8646260,1018,1457162394.0,651493163.0,3307549575.0,6004887185.0,527352992.0,2962126498.0,2402873506.0,5477533338.0,3377127353.0,2201711113.0,3306382909.0,1406225642.0,8712623084.0,983462394.0,907897437.0,8804936760.0,8897435905.0
 Bulgaria ,1972,8700153,1184,1704500926.0,762014815.0,3869409259.0,7025151852.0,616925000.0,3468340741.0,2812779630.0,6408226852.0,3955494444.0,2574030556.0,3865506481.0,1645371296.0,10191922222.0,1150595370.0,1063932407.0,10299466667.0,10407407407.0
 Bulgaria ,1973,8753489,1403,2036047661.0,908875916.0,4611801196.0,8373068944.0,736301618.0,4128112344.0,3346750982.0,7636767326.0,4704471834.0,3070797960.0,4611519323.0,1961328002.0,12150744522.0,1371640852.0,1261332767.0,12281954054.0,12408510650.0
 Bulgaria ,1974,8810675,1517,2205831961.0,987863919.0,5016944335.0,9107718566.0,798825774.0,4491309283.0,3646436086.0,8308892792.0,5121126809.0,3340809282.0,5017004129.0,2131993817.0,13213667024.0,1491234022.0,1379739177.0,13361825787.0,13494845375.0
 Bulgaria ,1975,8860971,1329,1950475833.0,871765000.0,4429298333.0,8042364167.0,706153333.0,3980600000.0,3225700833.0,7336211667.0,4543930000.0,2940682500.0,4416120833.0,1884373333.0,11664144167.0,1317322500.0,1224087500.0,11779110000.0,11908333333.0
 Bulgaria ,1976,8902474,1403,2083201667.0,925781667.0,4687360000.0,8510430833.0,751457500.0,4178434167.0,3384196667.0,7758973333.0,4751225000.0,3129995000.0,4700417500.0,1994290833.0,12360150000.0,1395000833.0,1261457500.0,12489895833.0,12625000000.0
 Bulgaria ,1977,8935452,1430,2085667500.0,943257500.0,4802892500.0,8716495833.0,758547500.0,4301246667.0,3507140833.0,7957947500.0,4912300833.0,3198967500.0,4803995833.0,2036341667.0,12636949167.0,1425015833.0,1342671667.0,12776039167.0,12908333333.0
 Bulgaria ,1978,8958267,1546,2304063433.0,1023686567.0,5208127612.0,9461613433.0,833473134.0,4734636567.0,3815356716.0,8628140299.0,5422661194.0,3426743284.0,5146054478.0,2223118657.0,13708863433.0,1551630597.0,1460309701.0,13851165672.0,13981716418.0
 Bulgaria ,1979,8974427,1039,1584921822.0,692585988.0,3470118479.0,6299271736.0,565626205.0,3017100627.0,2439503497.0,5733645531.0,3388887202.0,2357406894.0,3540195846.0,1476692690.0,9187137678.0,1034812929.0,857927548.0,9321043589.0,9397603640.0
 Bulgaria ,1980,8980606,1187,1638636580.0,783194048.0,4056211170.0,7352101029.0,611905130.0,3682350155.0,3061205552.0,6740195899.0,4259059611.0,2681106633.0,4026307194.0,1701916474.0,10602393666.0,1192502303.0,1259837066.0,10660210511.0,10831602744.0
 Bulgaria ,1981,8978412,1371,2169582833.0,915943222.0,4648535440.0,8470800736.0,773039928.0,4413794198.0,3438216915.0,7697760809.0,5095637769.0,2946243842.0,4424471001.0,2024145810.0,12251078206.0,1401927358.0,1315007536.0,12313734680.0,12437492605.0
 Bulgaria ,1982,8970485,1494,2435710740.0,1015516416.0,4858846316.0,9284763572.0,976313874.0,4612337776.0,3713812269.0,8308449698.0,5241732768.0,3623773399.0,5441940927.0,2047872383.0,13094761855.0,1453199416.0,700521507.0,13406289359.0,13514214895.0
 Bulgaria ,1983,8956433,1614,2206705469.0,1096070512.0,5658838253.0,10067955128.0,1147811680.0,4777790479.0,3885264588.0,8920143447.0,5979309612.0,4080512422.0,6127845018.0,2153690795.0,14011137436.0,1632410367.0,794414787.0,14455850153.0,14525274247.0
 Bulgaria ,1984,8939490,1737,2581614861.0,1156357546.0,6548880152.0,10603073846.0,1171295494.0,5166670894.0,3985549096.0,9431778352.0,6758180437.0,4350946123.0,6533951048.0,2356796384.0,15001162647.0,1674303528.0,698139772.0,15526298046.0,15560444454.0
 Bulgaria ,1985,8917076,1842,2052644857.0,1242281663.0,7397875853.0,11523894215.0,1394215216.0,5307322704.0,4355595088.0,10129678999.0,7745291832.0,4827647940.0,7249844787.0,2589058163.0,15749647765.0,1647624578.0,968194223.0,16422915153.0,16483295241.0
 Bulgaria ,1986,8892100,1958,2375299463.0,1299655394.0,7356882437.0,12319240792.0,1503731999.0,6286547573.0,4729367194.0,10815508793.0,8439899329.0,5283538834.0,7934487883.0,2711781959.0,16632688472.0,1618558972.0,692905310.0,17409003287.0,17522771473.0
 Bulgaria ,1987,8865755,2124,2356779292.0,1409604435.0,8145334494.0,13226363241.0,1414247002.0,6265953487.0,5117614113.0,11812116240.0,8594317517.0,5482857867.0,8233725713.0,2887586383.0,20880543774.0,4598850798.0,1393997674.0,18830336533.0,19043229447.0
 Bulgaria ,1988,8835815,2429,2629841429.0,1608680465.0,10452132917.0,14923427261.0,1565510147.0,7528024636.0,5852481001.0,13357917114.0,11030878260.0,6245145399.0,9378610501.0,3315907356.0,21144386398.0,2697969784.0,1513377433.0,21464458926.0,21872706553.0
 Bulgaria ,1989,8804430,2424,2523685619.0,1583665613.0,10701695769.0,15550244594.0,1565688246.0,7278589735.0,5736228522.0,13984556348.0,11548133827.0,6109110591.0,9174334949.0,3372010390.0,21461646360.0,3083516640.0,1724433149.0,21345793761.0,21982396270.0
 Bulgaria ,1990,8767778,2176,3984164840.0,1342845205.0,7198901370.0,15335616438.0,1500456621.0,6301506849.0,4407305936.0,13835159817.0,8109905936.0,4911219635.0,7375051142.0,3755963927.0,20556872603.0,2427277169.0,1671569863.0,19082396347.0,20726027397.0
 Bulgaria ,1991,8721660,888,1231879415.0,335097157.0,3478431549.0,5454052029.0,1555589223.0,1473614043.0,1155211783.0,3898462806.0,2146906357.0,1437918064.0,2159482692.0,3126949644.0,8358377019.0,820124577.0,684843534.0,7742669515.0,8402104592.0
 Bulgaria ,1992,8668540,1103,1048674017.0,465684734.0,4253511892.0,7205574529.0,1874335702.0,1462604440.0,1164208601.0,5331238827.0,3270982085.0,1538395596.0,2310290131.0,3008991624.0,8498786793.0,871019786.0,794126500.0,9559294794.0,9475815848.0
