Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Cambodia ,1970,6708525,108,365298775.0,22563432.0,17537499.0,760241107.0,30863992.0,71258062.0,71258062.0,729377115.0,110345829.0,65116825.0,83703083.0,138190985.0,784503910.0,44466586.0,130281050.0,721796112.0,767721807.0
 Cambodia ,1971,6696324,108,364658852.0,22520788.0,17502013.0,758875067.0,30808529.0,71129958.0,71129958.0,728066537.0,110143771.0,65004383.0,83561731.0,137940073.0,783104303.0,44386363.0,130036497.0,720498432.0,766341638.0
 Cambodia ,1972,6766289,105,359741221.0,22214156.0,17266879.0,748639484.0,30396067.0,70170366.0,70170366.0,718243417.0,108663438.0,64119282.0,82423010.0,136089129.0,772538837.0,43791978.0,128279342.0,710778483.0,756003159.0
 Cambodia ,1973,6852360,89,307544366.0,18993495.0,14771120.0,640064012.0,25982461.0,59994040.0,59994040.0,614081551.0,92904502.0,54794772.0,70423088.0,116366790.0,660462490.0,37449323.0,109685427.0,607699219.0,646365211.0
 Cambodia ,1974,6913408,91,317643687.0,19628914.0,15237986.0,661158684.0,26841464.0,61970758.0,61970758.0,634317220.0,95951245.0,56630297.0,72789081.0,120181114.0,682244900.0,38664608.0,113337497.0,627721731.0,667662029.0
 Cambodia ,1975,6727922,101,342456047.0,21154360.0,16439613.0,712656628.0,28943892.0,66797094.0,66797094.0,683712736.0,103455647.0,61071057.0,78516082.0,129511437.0,735420810.0,41673111.0,122109772.0,676609722.0,719660124.0
 Cambodia ,1976,6307122,113,361375043.0,22302541.0,17380575.0,751844850.0,30501531.0,70473197.0,70473197.0,721343320.0,109131339.0,64427077.0,82835386.0,136654149.0,775926858.0,43975128.0,128784610.0,713846233.0,759265801.0
 Cambodia ,1977,6040197,107,327431175.0,20205680.0,15642815.0,681399724.0,27671533.0,63866377.0,63866377.0,653728191.0,98841990.0,58321839.0,74966313.0,123908450.0,703131372.0,39877886.0,116741867.0,646922083.0,688085091.0
 Cambodia ,1978,5961193,116,350274898.0,21646801.0,16869609.0,729336062.0,29657340.0,68358630.0,68358630.0,699678721.0,105971289.0,62287870.0,79975798.0,132669318.0,752316767.0,42717330.0,125032623.0,692428507.0,736483832.0
 Cambodia ,1979,6051808,108,330601094.0,20490542.0,16015097.0,688384302.0,27833723.0,64533051.0,64533051.0,660550580.0,99883624.0,59128577.0,76036374.0,125047140.0,710563445.0,40166329.0,118221967.0,653676719.0,695267723.0
 Cambodia ,1980,6198959,108,340654284.0,21004102.0,15919208.0,708277673.0,28849975.0,66373946.0,66373946.0,679427698.0,102540868.0,60834942.0,78307482.0,128544507.0,730971159.0,41395560.0,121065223.0,672317355.0,715101203.0
 Cambodia ,1981,6364472,116,373085635.0,22919615.0,18340606.0,775511694.0,31659788.0,72684201.0,72684201.0,743851905.0,113241248.0,66422830.0,85425269.0,141019863.0,800440717.0,45399060.0,132591275.0,736253363.0,783086770.0
 Cambodia ,1982,6619699,118,395267356.0,24379814.0,19473737.0,822749389.0,32698243.0,77174825.0,77174825.0,790051146.0,118886611.0,70080757.0,89963594.0,150124460.0,849330501.0,48341087.0,141254190.0,781725268.0,831467965.0
 Cambodia ,1983,6881962,123,428010284.0,26643514.0,17995029.0,894700822.0,37245313.0,83753084.0,83753084.0,857455509.0,128662729.0,75480641.0,96372139.0,162824479.0,920075214.0,52548682.0,153676115.0,848330502.0,902340969.0
 Cambodia ,1984,7133899,129,465966853.0,29300825.0,17647436.0,979526672.0,40260226.0,91054443.0,91054443.0,939266446.0,145378299.0,85732609.0,111068790.0,175044496.0,1005047487.0,55542065.0,168124458.0,922401897.0,981004524.0
 Cambodia ,1985,7376090,135,509226477.0,30588165.0,16522840.0,1054161952.0,38474224.0,98320880.0,98320880.0,1015687729.0,146959210.0,90261325.0,116754181.0,189898407.0,1083821655.0,61937894.0,175416531.0,995859168.0,1059291836.0
 Cambodia ,1986,7661317,138,534731518.0,32247379.0,16259394.0,1110949328.0,52533690.0,104113223.0,104113223.0,1058415639.0,156782265.0,93742315.0,120021585.0,203820086.0,1146377895.0,65516672.0,190040654.0,1054453649.0,1121697517.0
 Cambodia ,1987,7975597,165,656781710.0,41330823.0,25331557.0,1407337891.0,55618679.0,189103508.0,189103508.0,1351719212.0,197168805.0,113995370.0,144933426.0,255512897.0,1422201803.0,82368606.0,241274341.0,1313974023.0,1396925777.0
 Cambodia ,1988,8269780,191,788225959.0,51345120.0,38204602.0,1688343412.0,38299494.0,132307344.0,132307344.0,1650043917.0,160141273.0,135222155.0,167738726.0,302322926.0,1698039468.0,98669652.0,289737086.0,1579030534.0,1680385473.0
 Cambodia ,1989,8570928,191,833025525.0,54993124.0,52055154.0,1676942321.0,133579309.0,191324380.0,191324380.0,1543363012.0,178578097.0,184811290.0,253083927.0,293257296.0,1826711419.0,84519006.0,307832540.0,1636983450.0,1741743758.0
 Cambodia ,1990,8910808,180,864807248.0,40601601.0,41405304.0,1657961948.0,122778069.0,141002075.0,141002075.0,1535183879.0,142649779.0,126125877.0,161652266.0,311439128.0,1725559238.0,115001015.0,232057980.0,1599792261.0,1697719548.0
 Cambodia ,1991,9259362,227,1026715167.0,63202062.0,100970090.0,2069898616.0,400514689.0,211803274.0,211803274.0,1669383928.0,134458503.0,169482436.0,204372257.0,435917066.0,2284706868.0,130611796.0,423888520.0,2106304029.0,2248213477.0
 Cambodia ,1992,9718215,232,1046963989.0,80853460.0,120255317.0,2215561053.0,243373856.0,234211546.0,234211546.0,1972187197.0,176947109.0,171786740.0,209469633.0,452235530.0,2390184336.0,147790556.0,452871168.0,2250901362.0,2393653451.0
 Cambodia ,1993,10243550,226,1128423206.0,86154704.0,380241726.0,2615979918.0,113789513.0,250494608.0,248646337.0,2502190405.0,643681666.0,182060245.0,195124582.0,401398289.0,2367084418.0,139921904.0,416061733.0,2311466909.0,2433856452.0
 Cambodia ,1994,10636353,232,1263836558.0,100728809.0,627741872.0,2766239073.0,193552696.0,293106768.0,270539240.0,2572686377.0,912790492.0,205170415.0,221663884.0,382944701.0,2551560750.0,157230135.0,425156664.0,2463595341.0,2676188979.0
 Cambodia ,1995,10919528,288,1634729684.0,152307378.0,1082121727.0,3177258075.0,168652839.0,443424685.0,436178171.0,3008605236.0,1453321999.0,236686841.0,257545053.0,447770146.0,3177837470.0,183202992.0,502282217.0,3146575341.0,3309356001.0
 Cambodia ,1996,11182612,306,1559194870.0,147404617.0,889443933.0,3638541078.0,201630792.0,516190865.0,444514465.0,3436910286.0,1535856977.0,354014672.0,378202166.0,532319985.0,3346556552.0,198912128.0,530522786.0,3421463921.0,3506718126.0
 Cambodia ,1997,11431569,298,1530527246.0,139809588.0,1157589478.0,3297917013.0,187693169.0,517226680.0,462100297.0,3110223844.0,1560502333.0,400801697.0,424428681.0,500743318.0,3303002087.0,190918625.0,516574629.0,3403786158.0,3443471826.0
 Cambodia ,1998,11669077,236,1392257642.0,105756393.0,977778470.0,3143456791.0,150384439.0,370406283.0,387701244.0,2993072352.0,1389170187.0,396304186.0,417251908.0,469659270.0,3004660731.0,169670754.0,450064763.0,2751328614.0,3130078523.0
 Cambodia ,1999,11899006,257,1436861547.0,148259378.0,1424227250.0,3329287259.0,173642054.0,596600661.0,561304241.0,3155645205.0,1883997636.0,463579901.0,485439576.0,534343502.0,3315554067.0,212904276.0,497745787.0,3052386331.0,3512777995.0
 Cambodia ,2000,12118841,259,1317008666.0,190482588.0,1827680787.0,3448134869.0,191867734.0,642724650.0,671379028.0,3256267135.0,2264636074.0,587059819.0,610921565.0,590476600.0,3480358076.0,242155569.0,529313089.0,3139707768.0,3666637567.0
 Cambodia ,2001,12338192,277,1369998298.0,191577411.0,2097341901.0,3594364371.0,211402587.0,747878117.0,631858882.0,3382961784.0,2443070900.0,669404205.0,698090348.0,668319006.0,3792219465.0,278048345.0,586186058.0,3423584986.0,3991795046.0
