Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Cameroon ,1970,6452787,180,258225566.0,74012512.0,387268091.0,1140779718.0,170930758.0,337047414.0,299483676.0,969848960.0,575750620.0,157038475.0,182457096.0,353523173.0,1239189562.0,100804801.0,270166414.0,1162419281.0,1315837125.0
 Cameroon ,1971,6627350,221,295104964.0,85568011.0,407964955.0,1273747301.0,186287397.0,412674685.0,364382164.0,1087459904.0,644624441.0,168787844.0,193396049.0,413469555.0,1402918011.0,123934016.0,291445417.0,1466284678.0,1475313816.0
 Cameroon ,1972,6809468,277,380576064.0,111491445.0,620854991.0,1534138922.0,227740488.0,509145934.0,440797558.0,1306398433.0,750869705.0,201517143.0,230789920.0,630870800.0,1861100679.0,167225144.0,340147306.0,1884603553.0,1903180995.0
 Cameroon ,1973,6998688,365,532788303.0,146423186.0,874440253.0,2061243465.0,303540897.0,696838300.0,582890466.0,1757702569.0,1029972491.0,269724554.0,306810375.0,880316384.0,2515076572.0,234782520.0,413955803.0,2555800416.0,2584984398.0
 Cameroon ,1974,7194697,380,586956006.0,166009979.0,845421463.0,2308509754.0,319657933.0,746951547.0,676315094.0,1988851821.0,1162044352.0,303491747.0,341832345.0,857565077.0,2629790761.0,253882765.0,423544589.0,2737288973.0,2760919560.0
 Cameroon ,1975,7397417,488,764206287.0,262966201.0,1132059920.0,2972282048.0,394042957.0,1050399991.0,983750708.0,2578239091.0,1537145186.0,391843801.0,449375639.0,1119921980.0,3458087803.0,308090296.0,553527399.0,3607573008.0,3626171759.0
 Cameroon ,1976,7598028,520,806088828.0,276160517.0,1301609571.0,3070468120.0,417363145.0,1305276126.0,1150891139.0,2653104975.0,1677613780.0,398646662.0,467947034.0,1253119408.0,3726876520.0,326542301.0,597018432.0,3949617557.0,3951066932.0
 Cameroon ,1977,7796825,594,922054551.0,352188592.0,1425182553.0,3636886292.0,481535447.0,1543657229.0,1387578562.0,3155350844.0,1933014757.0,453110163.0,565477345.0,1554437574.0,4456835638.0,365011669.0,697665907.0,4630965666.0,4621515678.0
 Cameroon ,1978,8013279,760,1153412972.0,537592671.0,1943748774.0,4881261730.0,605620633.0,1868650925.0,1768285247.0,4275641097.0,2588320356.0,591457469.0,851709055.0,2084871389.0,5929077832.0,434755045.0,866736700.0,6093961933.0,6083582160.0
 Cameroon ,1979,8243377,977,1430245959.0,702372631.0,2479170364.0,6335675154.0,751083840.0,2734732560.0,2542045148.0,5584591314.0,3344818221.0,826750964.0,1332133534.0,2689496434.0,7722720467.0,532734600.0,1035737308.0,8052912101.0,8095575303.0
 Cameroon ,1980,8519891,1171,1734269227.0,860128675.0,2678962974.0,7928850656.0,897281037.0,3605782964.0,3354300817.0,7031569620.0,3941886682.0,1175917181.0,1907920665.0,3270908005.0,9546354810.0,617546731.0,1155581508.0,9977691081.0,10089593335.0
 Cameroon ,1981,8829048,1064,1497717639.0,793274947.0,2485251267.0,7321173523.0,875705897.0,3326877906.0,3193967120.0,6445467625.0,3412377911.0,1169241074.0,1971676090.0,3082903353.0,8924785944.0,534446315.0,1044767600.0,9394787048.0,9469026882.0
 Cameroon ,1982,9046986,1047,1357987279.0,819727529.0,2498012310.0,7010792175.0,912116976.0,3406102747.0,3328446770.0,6098675199.0,2983791283.0,1167253085.0,2073815435.0,3038299634.0,8901071644.0,491821847.0,1119419919.0,9474013766.0,9500798884.0
 Cameroon ,1983,9240672,1068,1334905511.0,877749912.0,2609481613.0,7241261032.0,923427094.0,3472862753.0,3428007444.0,6317833938.0,2910110302.0,1210199247.0,2171796873.0,3009038467.0,9277227321.0,580642459.0,1303094097.0,9866937303.0,9913433581.0
 Cameroon ,1984,9508570,1015,1309328149.0,922144034.0,2646074390.0,7203943503.0,1001914139.0,3399892812.0,3346364160.0,6202029365.0,3045035538.0,1235832313.0,2087654401.0,2923187032.0,9303583068.0,642343710.0,1418925741.0,9652935969.0,9765380114.0
 Cameroon ,1985,9804254,970,1387494034.0,963858479.0,2322170765.0,7361435811.0,1132394151.0,3328885527.0,3293446341.0,6229041660.0,3077149073.0,1304642724.0,1959156315.0,3037948616.0,9377326320.0,625790841.0,1403078034.0,9508330838.0,9597106419.0
 Cameroon ,1986,10112712,1153,1784741386.0,1034809923.0,2400911431.0,9308139670.0,1352897320.0,3706217812.0,3710390877.0,7955242350.0,3295666212.0,1672391602.0,2366917258.0,3853606671.0,11547346941.0,826713445.0,1680558258.0,11662901871.0,11734309947.0
 Cameroon ,1987,10433905,1210,2005960557.0,923569584.0,2838837524.0,10191368724.0,1382324488.0,3362170782.0,3469782414.0,8809044236.0,3167896604.0,1913525057.0,2704222313.0,4098649044.0,12493117921.0,917167398.0,1843549023.0,12625292009.0,12790637654.0
 Cameroon ,1988,10759573,1158,1972912309.0,823936053.0,3231462338.0,10023080334.0,1356731492.0,2943020627.0,3058634237.0,8666348842.0,3359762592.0,1940313486.0,2764535132.0,3952131591.0,12186956954.0,887122880.0,1786318990.0,12459221950.0,12502898932.0
 Cameroon ,1989,11089222,1063,1930781163.0,695194242.0,2990577370.0,9126388166.0,1288785536.0,2552552560.0,2604279185.0,7837602631.0,2680063068.0,1842103666.0,2611779102.0,3481333945.0,11324326480.0,915767782.0,1689470246.0,11787658644.0,11989455028.0
 Cameroon ,1990,11430520,1168,2307983045.0,826351367.0,3294788875.0,10624481945.0,1650438601.0,2744995756.0,2836843226.0,8974043344.0,2791758441.0,2185063979.0,3055555363.0,3934841405.0,13114222669.0,1066464339.0,1923027150.0,13351176649.0,13872508136.0
 Cameroon ,1991,11777719,1113,2510387111.0,792207619.0,3186800715.0,9563301879.0,1663035419.0,3108340161.0,3253891070.0,7900266459.0,1990690908.0,2284225594.0,3111484469.0,3647510212.0,13100595401.0,1078420156.0,1960585834.0,13111385231.0,13867751846.0
 Cameroon ,1992,12128604,1157,2850817149.0,835843153.0,3130248795.0,11340403411.0,1831166392.0,2183861573.0,2315689833.0,9509237018.0,1947469974.0,2490453284.0,3309418717.0,3552941573.0,13849783535.0,1174132018.0,2126630924.0,14027094069.0,14707043804.0
 Cameroon ,1993,12486773,1242,2951033399.0,1035609672.0,2652315488.0,12883278667.0,2211655929.0,2226880563.0,2391844926.0,10671622738.0,1580660002.0,2736439825.0,3678004174.0,4284160937.0,15337901076.0,1263943805.0,2125149090.0,15505887438.0,16181814716.0
 Cameroon ,1994,12848862,668,1745747829.0,544853118.0,1912336307.0,6889377385.0,1017272864.0,1478840212.0,1528722358.0,5872104521.0,1378107627.0,1509105383.0,2135027720.0,2026548889.0,8416739155.0,714199322.0,1250362277.0,8577348636.0,8902446276.0
 Cameroon ,1995,13211647,791,2080044797.0,694843308.0,2348799530.0,8246980582.0,1175152396.0,1905638319.0,1883253012.0,7071828186.0,1636645933.0,1811066905.0,2443385113.0,2513568293.0,10206513468.0,935722437.0,1538949520.0,10444099827.0,10864772497.0
 Cameroon ,1996,13575324,773,2032593603.0,682260133.0,2691568971.0,8788743090.0,1278652817.0,1926575787.0,1943032505.0,7510090273.0,2313348981.0,1776427213.0,2626568561.0,2534536693.0,10345456673.0,975555928.0,1493941754.0,10498785560.0,11093538867.0
 Cameroon ,1997,13941181,723,2046532366.0,623695274.0,2875461377.0,8360145439.0,1170601009.0,1908001405.0,1959366626.0,7189544430.0,2354149769.0,1698100260.0,2441318378.0,2439353478.0,10000385715.0,996421759.0,1453064460.0,10074665762.0,10789458451.0
 Cameroon ,1998,14314599,761,2146760588.0,675939634.0,2483240191.0,9025283511.0,1192821606.0,2084892450.0,2097514980.0,7832461905.0,2295271126.0,1735858054.0,2436045987.0,2559147704.0,10407228723.0,1021190457.0,1568144353.0,10898673730.0,11298145027.0
