Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Canada ,1970,21434577,4054,3667519854.0,6043688860.0,19264724897.0,68243828500.0,18668504152.0,19511634933.0,19280037148.0,49575324348.0,17327725235.0,17874465361.0,23685544173.0,29851275076.0,82323094959.0,7238031929.0,11837035068.0,86904335829.0,89228310508.0
 Canada ,1971,21888679,4485,3866012444.0,7077262176.0,20913224691.0,77094120132.0,21238044167.0,23005735524.0,22640313613.0,55856075965.0,19613946786.0,20280385029.0,26454786599.0,34296837509.0,92937472122.0,7972571978.0,13270001416.0,98159813896.0,101000000000.0
 Canada ,1972,22222221,5039,4164472293.0,7793826379.0,24069297616.0,87871573917.0,24106673870.0,26239140705.0,25451208857.0,63764900047.0,23412687743.0,23188089394.0,30186380695.0,38991108002.0,106000000000.0,9126677273.0,15276690842.0,112000000000.0,115000000000.0
 Canada ,1973,22502029,5775,6401900258.0,9494151116.0,29896508654.0,99247729455.0,27107741049.0,32055328755.0,30189484240.0,72139988406.0,28460628309.0,26790854769.0,35987570073.0,43421302202.0,123000000000.0,10108491266.0,17149608123.0,130000000000.0,133000000000.0
 Canada ,1974,22812432,6951,7983720961.0,11984912065.0,38616270787.0,120000000000.0,33668586654.0,41605943944.0,38033468564.0,85978664755.0,38772707173.0,32029287805.0,44479633349.0,51933155323.0,149000000000.0,11942100967.0,20868763810.0,159000000000.0,162000000000.0
 Canada ,1975,23136252,7426,8124257970.0,13880784726.0,38303771146.0,135000000000.0,39179740964.0,43319706065.0,42465365131.0,95552478766.0,41680826506.0,32562363135.0,46034300638.0,59766509438.0,165000000000.0,13089433527.0,23764771723.0,172000000000.0,175000000000.0
 Canada ,1976,23442114,8684,8613540799.0,16779098615.0,44941051232.0,158000000000.0,45996805398.0,52058517834.0,49695494582.0,112000000000.0,46806115507.0,37799248852.0,54001117558.0,72529430904.0,196000000000.0,15530441886.0,28170352977.0,204000000000.0,209000000000.0
 Canada ,1977,23715308,8766,7744146525.0,16915274606.0,48204429008.0,164000000000.0,48115097116.0,51571771151.0,49823687084.0,116000000000.0,48956697568.0,38472561917.0,56798544591.0,76186372415.0,201000000000.0,16144318070.0,26772940500.0,208000000000.0,214000000000.0
 Canada ,1978,23962690,8930,8678553398.0,15724488879.0,53814627335.0,169000000000.0,48522147003.0,51541411913.0,50705065013.0,121000000000.0,53337716734.0,40720693555.0,60113124371.0,79027045583.0,208000000000.0,17036837001.0,27357483754.0,214000000000.0,221000000000.0
 Canada ,1979,24219124,9798,10030294907.0,16443001067.0,64211537258.0,183000000000.0,52171500545.0,61316772333.0,57220906186.0,131000000000.0,63189704874.0,46188741567.0,70781185132.0,85086311500.0,232000000000.0,19063710498.0,30781173158.0,237000000000.0,245000000000.0
 Canada ,1980,24511510,10908,10627004038.0,19423000899.0,75583082734.0,206000000000.0,59044659564.0,65293287566.0,65875728802.0,147000000000.0,70920131753.0,49525346563.0,79712171997.0,97066336804.0,263000000000.0,21258599367.0,34992989706.0,267000000000.0,276000000000.0
 Canada ,1981,24815786,11968,12157854766.0,22295077134.0,81065413726.0,228000000000.0,65756486845.0,77720704300.0,76871598516.0,162000000000.0,79016883464.0,51799034956.0,80782720382.0,111000000000.0,288000000000.0,22897094457.0,38734322415.0,297000000000.0,307000000000.0
 Canada ,1982,25101518,12102,11466684272.0,21940080364.0,79265913801.0,241000000000.0,72207662419.0,62688587519.0,71009672577.0,169000000000.0,67405976476.0,47634790041.0,78588132878.0,121000000000.0,296000000000.0,23619565125.0,38860744472.0,304000000000.0,315000000000.0
 Canada ,1983,25360726,13085,11214456661.0,21659139067.0,85209006763.0,263000000000.0,77490837848.0,69129217718.0,71870985250.0,185000000000.0,74470755352.0,54072697107.0,89769628833.0,132000000000.0,323000000000.0,25793665518.0,42222159453.0,332000000000.0,342000000000.0
 Canada ,1984,25602075,13502,11752673159.0,20330769128.0,99657417919.0,270000000000.0,78605991990.0,74771440357.0,71915216738.0,192000000000.0,87541439331.0,60146546121.0,99028577314.0,134000000000.0,337000000000.0,27107956389.0,44701693049.0,346000000000.0,357000000000.0
 Canada ,1985,25843922,13736,11968912846.0,20617854837.0,101000000000.0,279000000000.0,80761146871.0,78854129819.0,75825165715.0,198000000000.0,92628007205.0,61850552518.0,101000000000.0,138000000000.0,345000000000.0,27538665028.0,46787568399.0,355000000000.0,366000000000.0
 Canada ,1986,26116071,14024,12501845810.0,21762581812.0,102000000000.0,294000000000.0,83733717180.0,82169845283.0,79730118762.0,210000000000.0,98835552375.0,64744604602.0,94094161880.0,148000000000.0,354000000000.0,28210069973.0,50164783238.0,366000000000.0,379000000000.0
 Canada ,1987,26436889,15879,12516122692.0,26199475812.0,113000000000.0,331000000000.0,93148398369.0,96060181374.0,94683852965.0,238000000000.0,108000000000.0,74341332540.0,108000000000.0,168000000000.0,404000000000.0,31278673205.0,57796907626.0,420000000000.0,433000000000.0
 Canada ,1988,26815064,18381,14158677556.0,31419397183.0,133000000000.0,385000000000.0,108000000000.0,120000000000.0,115000000000.0,277000000000.0,129000000000.0,89142980697.0,127000000000.0,197000000000.0,473000000000.0,34838958031.0,68490129855.0,493000000000.0,509000000000.0
 Canada ,1989,27244406,20104,15510332828.0,36552123802.0,142000000000.0,432000000000.0,121000000000.0,134000000000.0,130000000000.0,311000000000.0,142000000000.0,95438781915.0,135000000000.0,223000000000.0,524000000000.0,37978539732.0,76778087907.0,548000000000.0,567000000000.0
 Canada ,1990,27657204,20777,15839626147.0,37675419281.0,149000000000.0,468000000000.0,135000000000.0,127000000000.0,129000000000.0,333000000000.0,149000000000.0,93738967135.0,136000000000.0,244000000000.0,553000000000.0,39630614918.0,80449596165.0,575000000000.0,596000000000.0
 Canada ,1991,28015761,21139,15571974710.0,35684250638.0,149000000000.0,498000000000.0,147000000000.0,118000000000.0,124000000000.0,351000000000.0,152000000000.0,89556482053.0,130000000000.0,265000000000.0,568000000000.0,41545496578.0,79719013993.0,592000000000.0,613000000000.0
 Canada ,1992,28347641,20216,15023012921.0,32784803404.0,156000000000.0,488000000000.0,145000000000.0,109000000000.0,115000000000.0,343000000000.0,158000000000.0,84690190370.0,125000000000.0,262000000000.0,550000000000.0,40658682941.0,74987068500.0,573000000000.0,594000000000.0
 Canada ,1993,28668166,19512,15035143647.0,30035227337.0,169000000000.0,472000000000.0,138000000000.0,107000000000.0,108000000000.0,334000000000.0,169000000000.0,85343105637.0,125000000000.0,255000000000.0,536000000000.0,38966751272.0,72152593797.0,559000000000.0,579000000000.0
 Canada ,1994,28981189,19294,14783755568.0,29096714885.0,190000000000.0,460000000000.0,132000000000.0,113000000000.0,112000000000.0,328000000000.0,183000000000.0,92194711683.0,132000000000.0,250000000000.0,538000000000.0,39524286898.0,72070243439.0,559000000000.0,580000000000.0
 Canada ,1995,29289423,19975,16330811477.0,27794195209.0,219000000000.0,470000000000.0,131000000000.0,117000000000.0,111000000000.0,338000000000.0,200000000000.0,103000000000.0,145000000000.0,256000000000.0,562000000000.0,41144062780.0,75440638392.0,585000000000.0,606000000000.0
 Canada ,1996,29593849,20601,17582842923.0,29035014848.0,234000000000.0,487000000000.0,131000000000.0,119000000000.0,119000000000.0,356000000000.0,209000000000.0,105000000000.0,152000000000.0,267000000000.0,586000000000.0,42376508309.0,77966404583.0,610000000000.0,631000000000.0
