Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Chile ,1970,9820481,958,510533178.0,670402506.0,1394591026.0,8027552840.0,1413085987.0,1619214841.0,1736816395.0,6614466853.0,1296746770.0,1635777992.0,2840814930.0,2788747824.0,8668449615.0,570535461.0,1287415716.0,9403396455.0,9680014665.0
 Chile ,1971,9984378,1142,673707685.0,990834643.0,1202345282.0,9877313746.0,1907763042.0,1682684065.0,1925221656.0,7969550786.0,1368966167.0,1873663594.0,2851227230.0,3597033670.0,10247409078.0,632425621.0,1502180229.0,11400650707.0,11587753311.0
 Chile ,1972,10145765,1223,789533780.0,1016034525.0,1207762764.0,11367905906.0,2235752043.0,1588536812.0,1942849424.0,9132153862.0,1604323395.0,1947878407.0,3082241436.0,3590239500.0,11066493659.0,864680173.0,1723764245.0,12406354060.0,12510670763.0
 Chile ,1973,10307842,1698,872540017.0,1034207192.0,2341646986.0,16572241466.0,2583735414.0,1449678606.0,2679327703.0,13988506052.0,2653654517.0,3203248182.0,5169545354.0,4671371732.0,15710868168.0,1275313207.0,2687890666.0,17500692096.0,17834428836.0
 Chile ,1974,10472743,1611,725626539.0,1428365053.0,3319750361.0,13219155990.0,2994190060.0,3744463955.0,3433952847.0,10224965930.0,3198080078.0,3383135279.0,5961072523.0,4226005782.0,15292668093.0,1148296112.0,1803302085.0,16872814410.0,17285268041.0
 Chile ,1975,10639531,720,390950173.0,587233700.0,1927283362.0,6965355454.0,1388016672.0,1079604922.0,1667608507.0,5577338782.0,2068978886.0,1080007187.0,2197261437.0,2726361778.0,7467600354.0,530155405.0,1035637860.0,7661738143.0,8041259430.0
 Chile ,1976,10804869,975,684194506.0,637888167.0,2595997228.0,8868760077.0,1689352374.0,1437920985.0,1707297197.0,7179407702.0,2140657768.0,1692049044.0,3205646868.0,3583820195.0,9980303698.0,627246759.0,1241507202.0,10532925770.0,10980227350.0
 Chile ,1977,10969861,1310,1080463671.0,821912265.0,2888948573.0,12685805067.0,2387231991.0,2199774037.0,2325059293.0,10298573077.0,3129630091.0,2144023702.0,3826311003.0,5001044344.0,13380365770.0,918830894.0,1731803594.0,14370315581.0,14884929049.0
 Chile ,1978,11137748,1486,962764902.0,975586258.0,3323845816.0,14324119583.0,2724144038.0,3130679004.0,2953238510.0,11599975545.0,3849337788.0,2544853684.0,4322202106.0,6054891484.0,15523245759.0,1085667937.0,2122133073.0,16546281940.0,17154937812.0
 Chile ,1979,11304331,1961,1239527737.0,1341955420.0,5059882858.0,19210303687.0,3633372665.0,4209501358.0,4032331332.0,15576931021.0,5654103342.0,3249499375.0,6274259013.0,8245150529.0,21367254519.0,1379339361.0,2887022460.0,22169442980.0,23094844121.0
 Chile ,1980,11469828,2567,1638810922.0,2162022186.0,6597137447.0,25284573768.0,4208320387.0,6615348936.0,5992737419.0,21076253381.0,7770013322.0,4361384678.0,7982089787.0,11969673789.0,29445655078.0,1813492130.0,3879566264.0,29437374186.0,30720746008.0
 Chile ,1981,11637613,3000,1758242964.0,3172914794.0,5619451178.0,32146212898.0,5262773608.0,8309906950.0,7931578018.0,26883439290.0,9123060947.0,5377983446.0,8459447850.0,15869989616.0,35921978622.0,2230924290.0,4430459109.0,34911164369.0,36834978702.0
 Chile ,1982,11807408,2035,1221972271.0,2051922402.0,4940182243.0,23770662819.0,4570068220.0,2967169754.0,4323404104.0,19200594599.0,5403719880.0,3384057158.0,6427710825.0,12911807869.0,26898179754.0,1724264661.0,2560501727.0,24026471009.0,26319059293.0
 Chile ,1983,11976513,1637,943871065.0,1327327137.0,5001874422.0,18527154572.0,3428647852.0,2479219677.0,3174501109.0,15098506720.0,4402572935.0,3001523753.0,6144211291.0,8420308590.0,20488729826.0,1380262110.0,2272749633.0,19600568149.0,21712039330.0
 Chile ,1984,12147758,1574,1135701369.0,1224983380.0,4694543224.0,17753888558.0,3190633630.0,3904452914.0,3537449688.0,14563254928.0,4858378643.0,3273164381.0,5896889447.0,7440377068.0,19279051419.0,1402404679.0,2178695476.0,19120780179.0,21522697088.0
 Chile ,1985,12326396,1357,1046943472.0,1061567412.0,4874790179.0,15007582246.0,2554591067.0,3357962402.0,3405405745.0,12452991179.0,4336919980.0,2759894497.0,5509109127.0,6697776052.0,17604552883.0,1192453966.0,2096702854.0,16726274102.0,18984520581.0
 Chile ,1986,12514502,1465,1305128631.0,1104718956.0,5415815950.0,15666294160.0,2575167648.0,3964867975.0,3724702310.0,13091126512.0,4719784558.0,3381926154.0,5771775924.0,6661457390.0,18559403038.0,1346524385.0,2369797752.0,18331262295.0,20408466819.0
 Chile ,1987,12712784,1730,1563841889.0,1298612338.0,6580074691.0,17544177163.0,2600967006.0,5453311275.0,4927213590.0,14943210157.0,5800725900.0,3869638052.0,6911688086.0,7174033996.0,21481512340.0,1508257352.0,3025078678.0,21998571545.0,23831079358.0
 Chile ,1988,12918389,1994,1760480561.0,1616132535.0,8770692526.0,19215927273.0,2891242561.0,6514925843.0,6013516423.0,16324684712.0,6822303816.0,4658355627.0,9253396259.0,7649046935.0,25092873451.0,1738786713.0,3075030448.0,25753171231.0,27814023200.0
 Chile ,1989,13128619,2261,1965962306.0,1792380874.0,10384142177.0,21896780968.0,3209329954.0,8206997090.0,7962689938.0,18687451013.0,8807715824.0,5305857803.0,10230844103.0,8714718848.0,28614224782.0,2140121833.0,3770196818.0,29677860383.0,31721624024.0
 Chile ,1990,13342868,2486,2146241016.0,2203609231.0,11028402325.0,24579002226.0,3416252034.0,9020687035.0,8604920953.0,21162750192.0,9725869920.0,5995028085.0,10849777944.0,9547235847.0,31186276616.0,2445876396.0,3993536182.0,33171282589.0,34918285742.0
 Chile ,1991,13561945,2799,2756183481.0,2346175455.0,12068671221.0,28617095396.0,3868205082.0,9257519988.0,8469586524.0,24748890314.0,10168398169.0,7059491382.0,11879441414.0,10453125960.0,34926833551.0,2845200551.0,4646706689.0,37964266619.0,39901846032.0
 Chile ,1992,13782297,3367,3313262692.0,3146953097.0,13486022247.0,35464035168.0,4679472651.0,11811597019.0,11515967169.0,30784562517.0,12547972540.0,8492895681.0,13181748892.0,13194451889.0,42044137247.0,3534866060.0,5672854617.0,46408162421.0,48229522833.0
 Chile ,1993,13998386,3548,3070343896.0,3968549223.0,12848222800.0,38222084667.0,5153814443.0,13964266791.0,13590986398.0,33068270225.0,13625208623.0,9153502194.0,13375629510.0,14776670083.0,44779871866.0,3706992399.0,5881686755.0,49666996343.0,51214365032.0
 Chile ,1994,14210674,3953,3282763549.0,4555054591.0,15674848232.0,42981513143.0,5850829795.0,14536298557.0,14534592500.0,37130683348.0,14579339370.0,10462336096.0,16153419573.0,17440259388.0,51938919591.0,4220685908.0,6286736581.0,56170242271.0,58636577126.0
 Chile ,1995,14416796,5029,3924664359.0,5781707323.0,20929403306.0,53428983660.0,7403396267.0,19926433305.0,19090551543.0,46025587393.0,19167462887.0,13477124121.0,21725117991.0,21914261130.0,66436424509.0,5093880783.0,7996792923.0,72497693829.0,75099073732.0
 Chile ,1996,14615483,5226,3965354746.0,6308164352.0,20578994402.0,58556779593.0,8175003172.0,21834271046.0,20939136614.0,50381776421.0,21677612194.0,13964850903.0,21237642816.0,24489963819.0,70006833280.0,5794022095.0,8211685452.0,76380412068.0,78959965348.0
 Chile ,1997,14809289,5644,4271528484.0,7256901945.0,22332536397.0,64085102015.0,9057179906.0,24159806114.0,23519826930.0,55027922109.0,23887006019.0,15189784659.0,22744842637.0,27327259776.0,76782566861.0,6281785819.0,8900248200.0,83588390623.0,86298816404.0
 Chile ,1998,14996742,5387,4195601205.0,6634736975.0,20785894180.0,63034513767.0,8970036979.0,22468697630.0,21724569122.0,54064476788.0,23179866092.0,14255558024.0,20147588808.0,27093320156.0,73530459673.0,6743170814.0,8716041714.0,80780799073.0,82716139391.0
 Chile ,1999,15176410,4861,3932144780.0,5198877021.0,21512766183.0,58213365152.0,8901510847.0,16056984649.0,15936419045.0,49311854305.0,19701996662.0,13348433561.0,19584757831.0,25522137599.0,67936722786.0,6108664803.0,7590140752.0,73780068942.0,76069313992.0
 Chile ,2000,15351799,4911,3987470339.0,4749909794.0,23657523201.0,59533859242.0,9213682315.0,17295571434.0,16328333579.0,50320176927.0,22083705385.0,13949837890.0,21575862409.0,25818688191.0,70008929595.0,6250324963.0,7626673899.0,75396050516.0,78363152292.0
 Chile ,2001,15523978,4437,3201000001.0,4514264417.0,22740593331.0,54338181195.0,8491443687.0,15938278981.0,15601947682.0,45846737509.0,21519539065.0,13314824643.0,20025467899.0,23734835291.0,64248801536.0,5757513784.0,7015720143.0,68877840493.0,71455607134.0
 Chile ,2002,15693790,4279,3343904851.0,4445725749.0,22797346014.0,52973541103.0,8487217485.0,15330324948.0,15021377155.0,44486323618.0,21008847668.0,13000593106.0,19783984356.0,23336874252.0,62744966016.0,5672610999.0,6161865809.0,67153429660.0,70098009752.0
 Chile ,2003,15859112,4505,3422310765.0,4561916201.0,26912815341.0,56393747809.0,8844102759.0,16504125554.0,16269094431.0,47549645050.0,23724450874.0,12789699746.0,21187396579.0,25584762371.0,69849891647.0,8121798708.0,6971707022.0,71442067822.0,76084234602.0
 Chile ,2004,16017966,5689,4052003183.0,5296947062.0,39389920937.0,69747212355.0,10863134107.0,20000743573.0,20182070817.0,58884078248.0,29883008495.0,15714661028.0,30710466961.0,32018152468.0,91242519732.0,10205091125.0,8959858933.0,91123899822.0,99259633927.0
 Chile ,2005,16175311,6944,5083217586.0,6414109429.0,49382442844.0,85407621250.0,13005474826.0,26855720509.0,27240002172.0,72402146425.0,38680972557.0,17573135275.0,38909797371.0,39146791703.0,113000000000.0,11658697584.0,11316635925.0,112000000000.0,123000000000.0
 Chile ,2006,16334575,8327,6001301212.0,7689783603.0,67789580749.0,100000000000.0,15363192044.0,32220393580.0,30736377343.0,84773235851.0,45358377418.0,19948517279.0,55938918486.0,46493478693.0,143000000000.0,12992466173.0,13589015134.0,136000000000.0,155000000000.0
 Chile ,2007,16495538,9351,6441647513.0,9240136086.0,78242485547.0,114000000000.0,17799334405.0,36188973357.0,35978252884.0,95780542302.0,54405356355.0,20755873210.0,60104753596.0,54415101636.0,160000000000.0,14174484056.0,15591268301.0,154000000000.0,174000000000.0
 Chile ,2008,16661462,9943,6665894222.0,11342740594.0,74413746937.0,128000000000.0,19888476128.0,48174783685.0,45887757764.0,108000000000.0,70715777244.0,20020440344.0,50164257624.0,61984234603.0,164000000000.0,15721937976.0,18524386196.0,166000000000.0,180000000000.0
 Chile ,2009,16833447,9542,6449400346.0,11812094359.0,63854404437.0,123000000000.0,21405405204.0,36302416946.0,38720758869.0,101000000000.0,50503968007.0,19369008374.0,47559061087.0,62985024164.0,159000000000.0,14199161098.0,15825663560.0,161000000000.0,172000000000.0
