Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Congo ,1970,1396989,204,72083377.0,12263856.0,83131658.0,313665423.0,61899379.0,144473158.0,145580793.0,251766044.0,272263249.0,59000511.0,63219751.0,116210487.0,362082039.0,54487871.0,43816698.0,285099431.0,283678163.0
 Congo ,1971,1440159,219,77764373.0,14232805.0,106153626.0,351699913.0,69693463.0,190361677.0,173337611.0,282006450.0,358371217.0,70331006.0,78211634.0,130074498.0,414454178.0,62104151.0,52066716.0,315506543.0,324463523.0
 Congo ,1972,1485274,257,96059434.0,15741728.0,130874562.0,404709347.0,82562416.0,214937591.0,203756259.0,322146931.0,390875783.0,78487073.0,93764227.0,153265400.0,496981780.0,74764081.0,63386909.0,381824511.0,389798511.0
 Congo ,1973,1532069,323,114279307.0,20730735.0,165490973.0,528469765.0,107022848.0,321730875.0,289897703.0,421446917.0,527937987.0,100599458.0,137748249.0,196944601.0,650256871.0,93492679.0,87061300.0,495253939.0,519535710.0
 Congo ,1974,1580280,385,108092288.0,22774103.0,320161464.0,575719251.0,121972007.0,254185563.0,281983483.0,453747244.0,631753040.0,99239447.0,211498809.0,207450600.0,733830978.0,95376543.0,88638634.0,607955977.0,627653029.0
 Congo ,1975,1624935,435,131005555.0,18151691.0,279304830.0,799376093.0,184157196.0,355110103.0,362358236.0,615218897.0,810042376.0,123187088.0,220872439.0,312877088.0,913024303.0,118832611.0,111284920.0,706778998.0,739566595.0
 Congo ,1976,1665418,434,130815501.0,18656887.0,308055897.0,819964357.0,182952027.0,355151220.0,345802790.0,637012330.0,845233615.0,127257065.0,229346026.0,306052747.0,926855832.0,117437839.0,124546832.0,722596631.0,767193924.0
 Congo ,1977,1706181,425,149313323.0,17456904.0,331379940.0,872329883.0,195680184.0,309150209.0,313496700.0,676649699.0,933704763.0,132524499.0,210485738.0,329405928.0,971702442.0,125847011.0,139193537.0,724314117.0,765165836.0
 Congo ,1978,1747207,510,174648854.0,19805417.0,373941471.0,1038160337.0,226503693.0,448166460.0,438544601.0,811656644.0,1074370691.0,148929854.0,269531931.0,426524747.0,1216834303.0,150925426.0,175397928.0,890369337.0,951046472.0
 Congo ,1979,1788218,667,211982246.0,32994233.0,607150944.0,1244770296.0,279904744.0,619381320.0,667227310.0,964865552.0,1420011896.0,211150223.0,430702670.0,498694015.0,1603857175.0,225301232.0,204182779.0,1191859088.0,1292565315.0
