Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Cook Islands ,1970,20470,545,2941467.0,1026490.0,7563757.0,12525487.0,3566445.0,2916876.0,1771061.0,8959043.0,11853003.0,1218781.0,1430825.0,3400761.0,11130945.0,805444.0,1525961.0,11153116.0,11153116.0
 Cook Islands ,1971,20850,539,2898047.0,1000745.0,6033759.0,13409264.0,3803571.0,3127411.0,3127411.0,9605693.0,11327208.0,1188548.0,1406543.0,3566587.0,11205455.0,788221.0,1545312.0,11243227.0,11243227.0
 Cook Islands ,1972,20759,560,2798683.0,936384.0,6331542.0,13461111.0,4210858.0,3011688.0,3011688.0,9250253.0,11173826.0,1113049.0,1352236.0,4158949.0,11612734.0,745952.0,1620532.0,11630516.0,11630516.0
 Cook Islands ,1973,20177,747,3278689.0,988122.0,10135273.0,14733346.0,5613014.0,2969388.0,2969388.0,9120330.0,12772685.0,1248911.0,1477029.0,5396160.0,14717217.0,1039101.0,2538118.0,15065321.0,15065321.0
 Cook Islands ,1974,19535,906,3483778.0,945737.0,11074852.0,18688382.0,6786179.0,3875108.0,3875108.0,11902203.0,15938824.0,1271020.0,1468347.0,6350332.0,17166554.0,1312827.0,3605535.0,17699518.0,17699518.0
 Cook Islands ,1975,18863,920,3089308.0,755425.0,9626782.0,22192316.0,6847232.0,4996036.0,4996036.0,15345084.0,19460916.0,1079527.0,1221980.0,6236997.0,16962500.0,1384260.0,4274527.0,17354218.0,17354218.0
 Cook Islands ,1976,18216,900,2639799.0,581448.0,8078044.0,23056301.0,6657383.0,5339142.0,5339142.0,16398916.0,20077126.0,883515.0,982611.0,5902833.0,16396361.0,1406460.0,4883210.0,16396361.0,16396361.0
 Cook Islands ,1977,17876,1067,3330408.0,652108.0,8800789.0,27609888.0,7622122.0,6507596.0,6507596.0,19987766.0,23853431.0,861714.0,954872.0,6424428.0,19064840.0,1645408.0,6057617.0,19064840.0,19064840.0
 Cook Islands ,1978,17809,1245,3847791.0,949197.0,10987603.0,30793131.0,9558702.0,6913483.0,6913483.0,21234429.0,26528054.0,1125849.0,1226616.0,7397015.0,22166164.0,1418196.0,7327349.0,22166164.0,22166164.0
 Cook Islands ,1979,17733,1425,3291367.0,950026.0,16767378.0,32689647.0,11059318.0,7042380.0,7042380.0,21630329.0,31237078.0,1092556.0,1190708.0,8368485.0,23061561.0,1628850.0,7632125.0,25262326.0,25262326.0
 Cook Islands ,1980,17651,1577,2722460.0,919465.0,18969900.0,33626533.0,12373086.0,6919675.0,6919675.0,21253446.0,31675647.0,1025245.0,1117695.0,9247408.0,23503190.0,1809031.0,7687131.0,27840461.0,27840461.0
 Cook Islands ,1981,17559,1633,2104277.0,831555.0,21672511.0,33652397.0,12935522.0,6744979.0,6744979.0,20716875.0,33399358.0,899017.0,980387.0,9660642.0,22689319.0,1877446.0,7235014.0,28670528.0,28670528.0
 Cook Islands ,1982,17404,1648,1579831.0,730488.0,20007504.0,31012186.0,13135796.0,5820177.0,5820177.0,17876390.0,28161031.0,765728.0,835293.0,9933101.0,21585552.0,1892583.0,6614256.0,28678835.0,28678835.0
 Cook Islands ,1983,17178,1650,1385776.0,660387.0,18824435.0,33861505.0,13728585.0,6554855.0,6554855.0,20132919.0,30897914.0,1081957.0,1262490.0,10564140.0,22011841.0,1826472.0,6312576.0,28342881.0,28342881.0
 Cook Islands ,1984,16925,1740,1263441.0,601541.0,22886240.0,29261860.0,13674390.0,5074952.0,5074952.0,15587470.0,27773331.0,1298628.0,1768248.0,10934163.0,23349077.0,2030373.0,6751312.0,29449721.0,29449721.0
 Cook Islands ,1985,16657,1848,1244676.0,783791.0,19967329.0,35467717.0,13994318.0,6991287.0,6991287.0,21473399.0,31644678.0,1266400.0,1320989.0,11769812.0,24416991.0,2183647.0,7114076.0,30781655.0,30781655.0
 Cook Islands ,1986,16494,2406,1419759.0,1420959.0,34029900.0,34784711.0,17373967.0,5668572.0,5668572.0,17410744.0,34804863.0,1754494.0,2491632.0,16482908.0,33042561.0,3173944.0,8053358.0,39678320.0,39678320.0
 Cook Islands ,1987,16557,3048,1839115.0,1276034.0,55089590.0,35083099.0,23025877.0,3925578.0,3925578.0,12057221.0,43630245.0,2439536.0,3064431.0,21228975.0,41797237.0,4019673.0,10369009.0,50468021.0,50468021.0
 Cook Islands ,1988,16735,3840,3162925.0,1388126.0,36620258.0,68423985.0,27941383.0,13180283.0,13180283.0,40482602.0,53968164.0,2374562.0,3156521.0,28661192.0,52632489.0,4580386.0,11683339.0,64256362.0,64256362.0
 Cook Islands ,1989,16924,3837,3370794.0,1088359.0,25387611.0,77704756.0,27573511.0,16321678.0,16321678.0,50131245.0,54469846.0,1951241.0,2746307.0,30106000.0,54426743.0,4731907.0,12383377.0,64944198.0,64944198.0
 Cook Islands ,1990,17123,4239,3895423.0,961428.0,46658580.0,74593317.0,32541398.0,13691220.0,13691220.0,42051919.0,62359434.0,2413755.0,4062848.0,30937368.0,59720601.0,5039430.0,14824104.0,72583683.0,72583683.0
 Cook Islands ,1991,17308,4572,4151855.0,2170210.0,58193252.0,62970020.0,35980092.0,8787352.0,8787352.0,26989928.0,50813817.0,1743980.0,3257342.0,30068331.0,62949130.0,6693370.0,16608023.0,79136808.0,79136808.0
 Cook Islands ,1992,17456,4686,3653426.0,3365047.0,38648007.0,76963640.0,33154623.0,14263294.0,14263294.0,43809017.0,48082896.0,1893231.0,3535746.0,32860190.0,68269812.0,6524867.0,18330536.0,81792045.0,81792045.0
 Cook Islands ,1993,17564,5207,4097112.0,1943415.0,47465098.0,79406358.0,33719022.0,14874835.0,14874835.0,45687336.0,50291826.0,2231830.0,4702019.0,37694077.0,77226475.0,8016632.0,20773220.0,91454465.0,91454465.0
 Cook Islands ,1994,17656,6149,4804391.0,2315545.0,55608115.0,82125493.0,39342513.0,13929238.0,13929238.0,42782980.0,43094540.0,2566534.0,5733485.0,44257802.0,91856241.0,9287597.0,25457420.0,108568305.0,108568305.0
 Cook Islands ,1995,17735,6517,5338099.0,1766119.0,56923898.0,97770567.0,44475056.0,17351897.0,17351897.0,53295511.0,56474387.0,2702515.0,5899798.0,56178355.0,105301922.0,10026504.0,26093047.0,115571975.0,115571975.0
 Cook Islands ,1996,17798,6548,6242339.0,2034847.0,59870193.0,92174112.0,42168337.0,16280828.0,16280828.0,50005775.0,51784738.0,2518232.0,5620673.0,52934300.0,105118767.0,10401424.0,27885183.0,116540396.0,116540396.0
 Cook Islands ,1997,17581,6094,6103238.0,1948402.0,60829630.0,87336505.0,37750228.0,16144248.0,16144248.0,49586277.0,57168258.0,2485725.0,4658215.0,46647275.0,96337508.0,9958676.0,27021700.0,107142124.0,107142124.0
 Cook Islands ,1998,17067,5475,6521384.0,1879872.0,50756078.0,74487783.0,29951185.0,14500179.0,14500179.0,44536598.0,46307985.0,2499534.0,4751004.0,39031115.0,82772732.0,7508288.0,23081069.0,93436055.0,93436055.0
 Cook Islands ,1999,16500,6063,7133047.0,2019694.0,66630014.0,75408321.0,30739163.0,14543338.0,14543338.0,44669159.0,56535505.0,2585626.0,5043571.0,38644689.0,87389974.0,9048871.0,25500101.0,100046168.0,100046168.0
 Cook Islands ,2000,15897,6289,6299605.0,2117812.0,76769899.0,76515037.0,31353347.0,14703696.0,14703696.0,45161691.0,68004932.0,2730062.0,4689964.0,33883661.0,84594360.0,9751649.0,27851668.0,99983700.0,99983700.0
 Cook Islands ,2001,15294,6866,5102172.0,2409344.0,78191039.0,76705687.0,33417100.0,14093853.0,14093853.0,43288586.0,63983162.0,2992272.0,4904958.0,38437327.0,91152963.0,9828047.0,30471116.0,105007417.0,105007417.0
 Cook Islands ,2002,15028,8074,5505257.0,2743695.0,80455896.0,90581373.0,38089514.0,17090245.0,17090245.0,52491859.0,66795677.0,3859847.0,6077500.0,44557900.0,105506043.0,10980463.0,35641228.0,121331836.0,121331836.0
 Cook Islands ,2003,15077,11056,9049352.0,4699756.0,108710349.0,126286245.0,47930243.0,25511065.0,25511065.0,78356001.0,93811091.0,5016779.0,9848895.0,56953965.0,143557783.0,14512716.0,48493099.0,166696568.0,166696568.0
 Cook Islands ,2004,15113,12886,8101652.0,5852131.0,117215613.0,151706898.0,56440682.0,31016675.0,31016675.0,95266215.0,105195844.0,6002927.0,9620338.0,67384959.0,169142554.0,15620578.0,62562897.0,194743341.0,194743341.0
 Cook Islands ,2005,15146,13152,8498861.0,5715068.0,132988474.0,150122040.0,64280227.0,27948288.0,27948288.0,85841813.0,111862261.0,6244938.0,10003377.0,75840611.0,174808577.0,18336641.0,56414018.0,199196541.0,199196541.0
 Cook Islands ,2006,15199,13486,6945417.0,5815045.0,145906527.0,156977895.0,61269510.0,31160636.0,31160636.0,95708385.0,129070560.0,5618841.0,8808703.0,76468531.0,178002325.0,19960960.0,60003669.0,204974498.0,204974498.0
 Cook Islands ,2007,15507,14617,6633660.0,7240010.0,174773521.0,161862981.0,69258261.0,30150148.0,30150148.0,92604720.0,140126017.0,7245603.0,12170956.0,84863722.0,201879920.0,25683043.0,65288528.0,226660632.0,226660632.0
 Cook Islands ,2008,16063,14036,7281439.0,6385272.0,191110478.0,181256509.0,77338811.0,33833415.0,33833415.0,103917698.0,180746576.0,6231004.0,9760108.0,90490382.0,200684398.0,23508863.0,63258334.0,225453826.0,225453826.0
 Cook Islands ,2009,16634,12960,6021348.0,5866081.0,168095332.0,133832313.0,68084319.0,21406163.0,21406163.0,65747993.0,107765286.0,5629800.0,10504230.0,87514344.0,197299420.0,25921795.0,61471621.0,215568521.0,215568521.0
 Cook Islands ,2010,17212,13990,7518263.0,5833946.0,195897372.0,154831588.0,77407985.0,25207496.0,25207496.0,77423604.0,135148024.0,5633960.0,11361957.0,102828291.0,218870463.0,23844047.0,67483960.0,240788433.0,240788433.0
 Cook Islands ,2011,17769,15306,8077823.0,5275710.0,217629698.0,187461774.0,88875418.0,32097642.0,32097642.0,98586356.0,159545184.0,6986971.0,12459126.0,112075629.0,246113389.0,24969021.0,83256081.0,271970637.0,271970637.0
 Cook Islands ,2012,18000,16632,9627152.0,9490445.0,249710833.0,194909570.0,96210722.0,32134268.0,32134268.0,98698850.0,167351321.0,7077211.0,14378498.0,115414781.0,269220415.0,29190315.0,91119225.0,299381020.0,299381020.0
 Cook Islands ,2013,17916,16142,9521254.0,6651840.0,271434997.0,191194330.0,93472421.0,31816197.0,31816197.0,97721910.0,181246970.0,6806045.0,12274507.0,116328874.0,262385289.0,31545551.0,86063265.0,289201533.0,289201533.0
 Cook Islands ,2014,17816,17931,10405976.0,7238622.0,284790532.0,213120907.0,103434565.0,35711564.0,35711564.0,109686340.0,187101181.0,6338301.0,12905089.0,119838510.0,280613475.0,37546913.0,92678373.0,319453749.0,319453749.0
 Cook Islands ,2015,17695,17077,8638471.0,17775900.0,255325930.0,199363431.0,97537544.0,33152366.0,33152366.0,101825887.0,168128454.0,6372330.0,12767090.0,113999488.0,269254839.0,36728388.0,79345503.0,302173463.0,302173463.0
 Cook Islands ,2016,17546,17660,8214422.0,6765578.0,282205322.0,205334710.0,100164952.0,34241060.0,34241060.0,105169758.0,174834409.0,6542232.0,14165937.0,118509546.0,276098477.0,39124544.0,89318451.0,309858493.0,309858493.0
