Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Costa Rica ,1970,1855697,672,195061884.0,67001620.0,305012475.0,1263783627.0,128596017.0,188918425.0,211028376.0,1135187610.0,421213370.0,238106431.0,257947039.0,324297662.0,1153885503.0,74585777.0,234991520.0,1247683052.0,1257297342.0
 Costa Rica ,1971,1905486,716,193576894.0,82955471.0,321264030.0,1370833047.0,155236641.0,244858234.0,262340077.0,1215596406.0,494340746.0,268413657.0,291778147.0,353718979.0,1267163849.0,86007815.0,259126544.0,1363457852.0,1375050200.0
 Costa Rica ,1972,1955547,788,218898431.0,102403865.0,416412189.0,1541013007.0,185087077.0,254796260.0,298644553.0,1355925929.0,560584954.0,312382247.0,341191351.0,402986694.0,1451563906.0,98391817.0,287691748.0,1540652224.0,1580748826.0
 Costa Rica ,1973,2006247,951,272113272.0,122233287.0,523988903.0,1851942067.0,221492747.0,342593575.0,372976541.0,1630449320.0,697304938.0,405959322.0,437605634.0,476944867.0,1790740979.0,118295422.0,363548497.0,1908397431.0,1951698222.0
 Costa Rica ,1974,2058235,1016,284655851.0,140039843.0,614594560.0,2176216537.0,247490462.0,416244882.0,440751409.0,1928726075.0,992048745.0,456766412.0,491064935.0,505718818.0,1955395259.0,134402015.0,399513797.0,2091196339.0,2127503850.0
 Costa Rica ,1975,2111850,1156,350855055.0,162491398.0,655949131.0,2508283580.0,310112496.0,396385611.0,474631590.0,2198171084.0,934994503.0,526261063.0,573630417.0,615049592.0,2292590656.0,166030364.0,424533831.0,2440592141.0,2503231755.0
 Costa Rica ,1976,2167544,1388,432461190.0,223075072.0,776050665.0,2906154168.0,400794336.0,533164259.0,622480294.0,2505359832.0,1041801532.0,626294157.0,687240709.0,756094192.0,2807577718.0,200961974.0,507744582.0,3009259253.0,3079846461.0
 Costa Rica ,1977,2225630,1731,591567491.0,255610749.0,1055335419.0,3646137633.0,510145967.0,696426740.0,756456139.0,3135991665.0,1380841682.0,768421924.0,846096749.0,927994758.0,3531244028.0,229580642.0,680393640.0,3852667224.0,3922201449.0
 Costa Rica ,1978,2286210,1922,632729831.0,310958797.0,1104804267.0,4342432368.0,614527069.0,772063697.0,893001032.0,3727905298.0,1570207657.0,869545467.0,952564708.0,1093134686.0,4046491016.0,268720880.0,788382114.0,4393905216.0,4497624494.0
 Costa Rica ,1979,2349258,2125,656852399.0,414362413.0,1208935542.0,4982799471.0,756853915.0,954180925.0,1162494152.0,4225945556.0,1856565961.0,973130071.0,1064493913.0,1263100389.0,4637810903.0,304073353.0,934928436.0,4992249736.0,5151548171.0
