Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Croatia ,1990,4873707,2886,1078887598.0,938374230.0,7520695907.0,14054864086.0,3467330589.0,2149607473.0,2058808307.0,10587533496.0,7558856071.0,4690615403.0,5715418213.0,3524783683.0,14971411656.0,1375294660.0,2338653272.0,14063502526.0,16632202089.0
 Croatia ,1991,4844522,2373,886707154.0,597652612.0,7540435445.0,12008075120.0,2824205329.0,1673843851.0,1603140875.0,9183869790.0,7909011834.0,3858736890.0,5188310654.0,3137130836.0,12674465912.0,1270488463.0,1594176194.0,11496505730.0,13568538957.0
 Croatia ,1992,4798321,2139,1082477969.0,412185789.0,5223071999.0,9778058703.0,2572200089.0,1547067290.0,1481719343.0,7205858615.0,4807848066.0,3314397331.0,4895922461.0,2975242619.0,11734399955.0,782100079.0,1586471038.0,10265881015.0,12252224024.0
 Croatia ,1993,4792403,2277,1015701839.0,567275364.0,4864264344.0,11066987506.0,2692929857.0,1815119199.0,1738448767.0,8374057649.0,5041020981.0,3422844316.0,4801186618.0,2566818675.0,11097837155.0,723468276.0,1423386383.0,10911037872.0,12988508886.0
 Croatia ,1994,4819426,3034,1094766809.0,769131158.0,5694193639.0,13961917562.0,4516149439.0,2902887893.0,2234607839.0,9445768123.0,5779692349.0,4140818985.0,5364378687.0,3814675824.0,14222010375.0,1290431563.0,1888626334.0,14623479042.0,17375913467.0
 Croatia ,1995,4807100,4706,1279375275.0,1100567472.0,6181649361.0,20615451817.0,5721830558.0,3882517112.0,3231444887.0,14893621258.0,8035893727.0,4157047213.0,4907187334.0,6522556100.0,18704676426.0,1929281320.0,2965708925.0,22624262748.0,22643724562.0
 Croatia ,1996,4758628,5032,1342580718.0,1370846350.0,7276247205.0,20654024891.0,5508651489.0,4896891937.0,4364298237.0,15145373403.0,8822318391.0,3951962288.0,4750760827.0,7317118278.0,20085491882.0,1921382101.0,3382803608.0,23946658189.0,24004827240.0
 Croatia ,1997,4711373,5100,1259702292.0,1501026871.0,7460836598.0,20987154746.0,5345614567.0,6117570780.0,5160583365.0,15641540178.0,10535919148.0,4040591886.0,4887881883.0,7207532632.0,20192067604.0,1862210245.0,3473713681.0,24030194872.0,24029659208.0
 Croatia ,1998,4659932,5488,1368601137.0,1472211133.0,7498877545.0,21867397959.0,5967027411.0,5592063890.0,5344424529.0,15900370548.0,9226208452.0,4113488121.0,4939256486.0,8087535700.0,21273868107.0,1890391321.0,3515872329.0,25572323564.0,25732130943.0
 Croatia ,1999,4605329,5026,1276930313.0,1073196849.0,7122979723.0,20032543828.0,5695270618.0,5012048500.0,4963466878.0,14337273210.0,8538624276.0,3772689850.0,4601923996.0,8074856100.0,19661565846.0,1819033717.0,2815624871.0,23147771771.0,23628947775.0
 Croatia ,2000,4548434,4709,1083590416.0,876780923.0,7638094702.0,18417159176.0,4836508019.0,4372500434.0,4343398029.0,13580651157.0,8619893145.0,3637619407.0,4402641779.0,7252068032.0,18043007834.0,1797535592.0,2630391091.0,21419925747.0,21807861167.0
 Croatia ,2001,4506759,5059,1154534876.0,1047156634.0,8631402759.0,19524090333.0,4685045605.0,4942444088.0,4748139462.0,14839044728.0,9838373989.0,3805016363.0,4490669050.0,7530371187.0,19317509798.0,1989008985.0,3105769066.0,22800103722.0,23259563191.0
 Croatia ,2002,4482868,5947,1311511230.0,1218570490.0,9710020698.0,23004421228.0,5397562719.0,6631885877.0,5993166010.0,17606858508.0,12261063629.0,4122562108.0,4987459797.0,8785466131.0,22451985328.0,2330187987.0,3818789693.0,26660119993.0,27085264173.0
 Croatia ,2003,4461139,7604,1378112297.0,1895877567.0,12448201039.0,28894511640.0,6774647449.0,9759329480.0,8950571060.0,22119864191.0,16079135143.0,5196593879.0,6276285699.0,11446287359.0,29264431331.0,3030588285.0,5237280124.0,33924542478.0,35022907017.0
 Croatia ,2004,4443350,9308,1855165397.0,2352966262.0,15347691673.0,34399665426.0,8161090452.0,11193451568.0,10680901785.0,26238574974.0,18927337104.0,6304881030.0,7788207958.0,13825404399.0,35376060417.0,3722511081.0,5831805320.0,41358288136.0,42013454991.0
 Croatia ,2005,4429681,10123,1771723021.0,2762102137.0,16669919418.0,37562884641.0,8848075936.0,12259488237.0,11539463121.0,28714808705.0,20657187085.0,6546503450.0,8131429405.0,15478186747.0,38629828198.0,3951868169.0,6534518720.0,44842221572.0,45835105211.0
 Croatia ,2006,4417560,11256,2027581227.0,3177279360.0,19123853007.0,40495027809.0,9785923816.0,14727003222.0,13404431546.0,30709103992.0,23430857199.0,7018611014.0,8752057124.0,17307687284.0,42833188722.0,4219334078.0,7349249650.0,49725639050.0,50915009709.0
 Croatia ,2007,4405532,13485,2242374876.0,3834087660.0,22761205738.0,48232599442.0,12122130235.0,17471540097.0,16101244426.0,36110469207.0,27823414602.0,8411259204.0,10105590375.0,21637995758.0,51311337477.0,4846700929.0,8644587879.0,59408310393.0,60641949316.0
 Croatia ,2008,4393664,15701,2758235129.0,4651289790.0,25575437361.0,56536383522.0,13915673121.0,21598144169.0,19799151567.0,42620710401.0,32766666165.0,9564016176.0,11529957788.0,25046768874.0,60064460474.0,6025280749.0,10052928145.0,68983233620.0,70943298886.0
 Croatia ,2009,4382130,13963,2530759956.0,3862472930.0,20447387517.0,51077542942.0,13648435149.0,15761306689.0,15789827039.0,37429107793.0,23961862974.0,8377696613.0,10481957165.0,23738242236.0,54192430699.0,5227210464.0,8351787948.0,61186464530.0,63324393098.0
 Croatia ,2010,4368682,13460,2216238004.0,2785771284.0,21635534926.0,49016147917.0,13096137032.0,12665217526.0,12692572876.0,35920010885.0,22644809084.0,7846401775.0,10173934581.0,23079566341.0,51583603869.0,5021780075.0,8306313585.0,58804179275.0,60672091285.0
 Croatia ,2011,4351842,14155,2303255988.0,2681483769.0,24236612429.0,51994268760.0,13837463011.0,12488272193.0,12625906535.0,38156805749.0,25310852683.0,8598450589.0,10977662770.0,24353213324.0,54232234983.0,5080363345.0,8836255786.0,61599368136.0,63408300698.0
 Croatia ,2012,4331595,12806,1888880130.0,2072204318.0,22335637900.0,47635897138.0,12527375059.0,10650101187.0,11079772060.0,35108522079.0,23252258840.0,7750143291.0,10054421502.0,21836944829.0,48402440095.0,4525056314.0,8024933001.0,55472275443.0,57369360292.0
 Croatia ,2013,4308854,13417,2038640543.0,2133208699.0,23470747165.0,48921693681.0,12803809697.0,11288773492.0,11438785407.0,36117883984.0,24649159297.0,7442662906.0,10041998837.0,22106231212.0,49332955606.0,4520550695.0,8492325620.0,57812607866.0,59032072570.0
