Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Cuba ,1970,8869636,630,636564683.0,423827157.0,1857341129.0,4910892338.0,1803079746.0,1476004428.0,1447319730.0,3107812592.0,2515206652.0,713370105.0,847802780.0,1952430498.0,6239753046.0,620107944.0,1759019984.0,5584007494.0,5692936975.0
 Cuba ,1971,9025709,751,773016423.0,514928735.0,2255932890.0,5964107505.0,2189933918.0,1793431599.0,1758188178.0,3774173587.0,3055059258.0,866558052.0,1029746623.0,2370949082.0,7578563242.0,752992211.0,2136930168.0,6782256151.0,6914575471.0
 Cuba ,1972,9169289,870,909450424.0,605814378.0,2654167318.0,7017116412.0,2576551618.0,2109789144.0,2068706681.0,4440564794.0,3594326247.0,1019530772.0,1211502743.0,2789302184.0,8916195297.0,885885745.0,2514239824.0,7979320075.0,8135053335.0
 Cuba ,1973,9297924,1054,1116951726.0,743464731.0,3258362969.0,8616656533.0,3163536458.0,2588408075.0,2539436691.0,5453120075.0,4412286151.0,1251559251.0,1487428197.0,3425387361.0,10946790311.0,1087997684.0,3085560613.0,9796397367.0,9987589917.0
 Cuba ,1974,9413105,1189,1276542204.0,848623700.0,3719865683.0,9843678613.0,3613148461.0,2953196093.0,2899363390.0,6230530152.0,5038172767.0,1428687601.0,1698608743.0,3914619729.0,12502079735.0,1243269580.0,3520415779.0,11187718385.0,11405820587.0
 Cuba ,1975,9514305,1343,1455658127.0,969986928.0,4251688748.0,11232746263.0,4125061987.0,3381216638.0,3310566911.0,7107684277.0,5756769199.0,1632571190.0,1939877784.0,4466270443.0,14278606523.0,1418597456.0,4028215785.0,12778100579.0,13027259032.0
 Cuba ,1976,9600862,1409,1540117893.0,1028425572.0,4499178834.0,11887902251.0,4366625624.0,3583473594.0,3509167693.0,7521276627.0,6093741632.0,1729202780.0,2053726721.0,4723781406.0,15111892023.0,1499825106.0,4266015325.0,13525388414.0,13789414532.0
 Cuba ,1977,9672546,1441,1588061090.0,1057884972.0,4635275296.0,12256356723.0,4500022245.0,3682534351.0,3614126124.0,7756334478.0,6276873890.0,1780534324.0,2115588323.0,4869662692.0,15569679441.0,1546858148.0,4391624216.0,13933525219.0,14205988302.0
 Cuba ,1978,9729986,1799,1999182423.0,1325577765.0,5819654932.0,15409233879.0,5654377096.0,4608291432.0,4533896540.0,9754856783.0,7878371040.0,2234851619.0,2657884042.0,6128043596.0,19559822632.0,1947244401.0,5501890405.0,17502936144.0,17844491331.0
 Cuba ,1979,9774711,1965,2200318255.0,1453576392.0,6376992464.0,16931684130.0,6207273214.0,5047014786.0,4972547285.0,10724410916.0,8645103426.0,2448024593.0,2916287889.0,6745838633.0,21473848159.0,2141409727.0,6016417263.0,19211775588.0,19584208368.0
 Cuba ,1980,9809107,1991,2207022606.0,1488193344.0,6521878407.0,17090963344.0,6292107972.0,5230967022.0,5052936954.0,10798855372.0,8817591789.0,2501430064.0,2963622208.0,6789815515.0,21819615093.0,2157573021.0,6213388399.0,19531412558.0,19912651019.0
 Cuba ,1981,9848560,2007,2245386410.0,1515150876.0,6565341323.0,17356694567.0,6382472312.0,5268850741.0,5163756323.0,10974222255.0,8905857118.0,2534998954.0,3003651035.0,6875037519.0,22067310017.0,2178734745.0,6249349433.0,19762075722.0,20150012489.0
 Cuba ,1982,9908874,2074,2352774086.0,1548471511.0,6838154495.0,18146399487.0,6648282485.0,5363779454.0,5322928871.0,11498117002.0,9251072545.0,2619526435.0,3119073820.0,7205988274.0,22973955562.0,2294266041.0,6453381831.0,20547988499.0,20953258998.0
 Cuba ,1983,9984591,2182,2515007245.0,1629263116.0,7224303862.0,19260429400.0,7047360042.0,5626045402.0,5605235434.0,12213069359.0,9765385022.0,2770309826.0,3310182921.0,7694972159.0,24354702254.0,2449243898.0,6756032915.0,21784730988.0,22205449736.0
 Cuba ,1984,10065539,2344,2739062377.0,1776639223.0,7765973285.0,20906886807.0,7629283094.0,6130303702.0,6082965508.0,13277603713.0,10603315983.0,2975978618.0,3575235679.0,8405247177.0,26402001777.0,2655050385.0,7250766937.0,23596807030.0,24039095369.0
 Cuba ,1985,10149044,2214,2366682134.0,1771973585.0,7725611212.0,18955625855.0,7131886012.0,6592875959.0,5799087276.0,11823739843.0,10308118284.0,2950447179.0,3402330617.0,7417652073.0,25033615303.0,2369887727.0,7705089165.0,22467645707.0,22921216920.0
 Cuba ,1986,10235480,2320,2772059571.0,1877051906.0,7687326844.0,21240373395.0,7765875017.0,6187543546.0,6512393530.0,13474498378.0,10606108549.0,3070334974.0,3639500950.0,8291500389.0,26456597027.0,2592060144.0,7284424066.0,23746636162.0,24225993413.0
 Cuba ,1987,10326910,2393,2938692467.0,1700376291.0,8295199440.0,22424259642.0,8068449487.0,5761763756.0,6124340559.0,14355810155.0,11072956109.0,3052678356.0,3727271711.0,9013329033.0,27807102480.0,2933271359.0,7494161619.0,24714398391.0,25213311971.0
 Cuba ,1988,10425433,2589,3243718566.0,1942074509.0,8794227413.0,23999827358.0,8725513470.0,6596683186.0,6709952697.0,15274313888.0,11837314790.0,3390062843.0,4122403752.0,9876142706.0,30164585591.0,3139157224.0,7841088834.0,26992651656.0,27458670256.0
 Cuba ,1989,10527187,2527,3171312165.0,2069466756.0,8422023964.0,23818413556.0,8576753780.0,7114760800.0,6922086343.0,15241659776.0,12097594895.0,3215802286.0,3972699371.0,9869968183.0,29884616481.0,3004814313.0,7796355692.0,26601692688.0,27024876291.0
 Cuba ,1990,10626680,2638,3445886945.0,2430309293.0,8662002703.0,24320507559.0,8880433787.0,7104696985.0,7022603061.0,15440073771.0,11708810098.0,3259194314.0,3998368310.0,10498209652.0,31871185782.0,2768990181.0,8729421402.0,28034938952.0,28645093044.0
 Cuba ,1991,10713812,2227,2865949753.0,1755123194.0,5333134790.0,22543771684.0,8100426203.0,3403364346.0,5501357372.0,14443345481.0,7067892755.0,3033446823.0,3745653224.0,10667928354.0,27044658488.0,2406397946.0,5603606018.0,23863930995.0,24317592011.0
 Cuba ,1992,10783748,2018,2531727576.0,1293744938.0,3736499618.0,21169546377.0,7685488943.0,1445493091.0,3447252820.0,13484057434.0,4025894596.0,3142795615.0,3777780484.0,10295649695.0,23920009880.0,1947246042.0,4073861146.0,21760981542.0,22085593357.0
 Cuba ,1993,10840934,2031,1974816051.0,1274922434.0,2951147145.0,21768340593.0,7913982059.0,1430230580.0,3060207412.0,13854358534.0,3516452746.0,3193863191.0,3710882947.0,10929606461.0,24104653531.0,1708624250.0,4505801388.0,22022285543.0,22366986630.0
 Cuba ,1994,10887207,2572,2073112882.0,1372143255.0,3766431920.0,27089474051.0,7756615205.0,1491280622.0,2331015050.0,19332858846.0,4135251223.0,4869179235.0,5418423132.0,10534178785.0,28691973712.0,1807761807.0,7486353850.0,27998129899.0,28447985651.0
 Cuba ,1995,10926703,2723,1932088070.0,1453984957.0,4077831269.0,28877277410.0,7422573996.0,2134313733.0,2359405652.0,21454703414.0,4840176163.0,5554497544.0,6295477570.0,9841639236.0,29964379800.0,1841268437.0,8599921531.0,29751321804.0,30428143931.0
 Cuba ,1996,10963031,2237,1784600000.0,1503400000.0,3831000000.0,21542800000.0,6642900000.0,3977000000.0,2919000000.0,14899900000.0,4330900000.0,4416100000.0,5172600000.0,8005668697.0,24641868697.0,1706600000.0,6469000000.0,24524500000.0,25017000000.0
 Cuba ,1997,10998129,2262,1823000000.0,1544900000.0,3785600000.0,22309900000.0,6805900000.0,3793000000.0,2979000000.0,15504000000.0,4523000000.0,4644700000.0,5450800000.0,8075908059.0,25029508059.0,1754600000.0,6380300000.0,24882700000.0,25364500000.0
 Cuba ,1998,11033758,2292,1574400000.0,1529100000.0,3668100000.0,23411000000.0,7122000000.0,3398000000.0,3122000000.0,16289000000.0,4697400000.0,4349300000.0,5141500000.0,8285131247.0,25375031247.0,2065700000.0,6779200000.0,25288000000.0,25736700000.0
 Cuba ,1999,11070094,2516,1737100000.0,1623400000.0,4123500000.0,25843900000.0,8204400000.0,3363000000.0,3291000000.0,17639500000.0,4916000000.0,4712700000.0,5579300000.0,9407915242.0,27976515242.0,2464500000.0,7164300000.0,27850400000.0,28364900000.0
 Cuba ,2000,11105791,2696,2017700000.0,1761100000.0,4318900000.0,27668600000.0,9046200000.0,3822200000.0,3630200000.0,18622400000.0,5179600000.0,5019700000.0,6043800000.0,9918100000.0,30169800000.0,2813500000.0,7615600000.0,29943300000.0,30565800000.0
 Cuba ,2001,11139127,2799,2021200000.0,1721200000.0,4193400000.0,29047200000.0,9785800000.0,3632300000.0,3417300000.0,19261400000.0,5109300000.0,5091200000.0,6155800000.0,10376300000.0,31279400000.0,2951200000.0,8053700000.0,31179700000.0,31682300000.0
