Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Czechia ,1990,10301192,3929,2902455375.0,2636834107.0,13408790144.0,29008122694.0,8917139233.0,10000235483.0,10162649111.0,20090983461.0,12452398109.0,11105999308.0,13403533664.0,8493242471.0,34200804927.0,2195271703.0,4569467606.0,40476709105.0,40728194512.0
 Czechia ,1991,10303362,2880,1596187066.0,1718377514.0,11474276346.0,20592629836.0,6433548300.0,6712154491.0,7093669714.0,14159081537.0,9806988652.0,8410704497.0,10461406168.0,7167678533.0,26341368135.0,1882523842.0,3515195012.0,29675040994.0,29859414672.0
 Czechia ,1992,10310956,3365,1463399694.0,1848931996.0,13916724052.0,25110025304.0,7176984748.0,8946914594.0,9609265767.0,17933040556.0,13495945579.0,8492910579.0,11222481733.0,9819319342.0,30958387358.0,2456611715.0,4147642878.0,34699548007.0,34915139396.0
 Czechia ,1993,10318916,3964,1810767393.0,2403265549.0,16321462362.0,28954838912.0,8547119491.0,10915746245.0,11432676481.0,20407719421.0,15861512214.0,8849465747.0,11817513449.0,12710839998.0,37075881704.0,3507995221.0,4825500094.0,40901956436.0,40866982340.0
 Czechia ,1994,10321302,4640,2048387330.0,2832230814.0,17751203777.0,33703725981.0,10145580564.0,14382871510.0,14107967877.0,23558145417.0,18295128032.0,10106866693.0,13508315939.0,14763549408.0,42960097967.0,4013606584.0,5794007892.0,47891791142.0,47850065329.0
 Czechia ,1995,10311702,5787,2427520032.0,4185200070.0,24184999121.0,41437429354.0,12147132702.0,20552083595.0,20404423401.0,29290296652.0,26028848811.0,12967232674.0,17097648891.0,17934590942.0,54646140514.0,5410037427.0,7591143151.0,59676760192.0,60145663259.0
 Czechia ,1996,10295651,6448,2624616641.0,4718010432.0,25697371208.0,46312796441.0,13109857892.0,24331332754.0,23291285354.0,33202938549.0,28953008390.0,15083229211.0,19639662429.0,19675949149.0,61155796512.0,6217886099.0,8279671762.0,66384731334.0,67388492014.0
 Czechia ,1997,10279044,5958,2169635182.0,4234817196.0,25027369926.0,44249465667.0,12469802645.0,20505850713.0,20344170713.0,31779663022.0,27602167301.0,14453056278.0,17963420886.0,18169961171.0,56650779087.0,6133429377.0,7979515275.0,61246497591.0,62180519006.0
 Czechia ,1998,10263833,6413,2342914083.0,4465668837.0,28093563326.0,46345815672.0,12694460650.0,20670659363.0,20809408995.0,33651355021.0,28302539665.0,15274478927.0,18776180126.0,20228265191.0,60948974376.0,6654096558.0,8481849582.0,65822187343.0,66807498696.0
 Czechia ,1999,10249147,6241,2097008179.0,4024790818.0,27868206571.0,46046443009.0,12958395105.0,19438489409.0,19673438099.0,33088047904.0,28180102259.0,14729391005.0,17984914339.0,19955972432.0,59187717408.0,6673011419.0,8452020220.0,63963927479.0,65173036731.0
 Czechia ,2000,10234710,5923,2009590203.0,3470919576.0,29731530438.0,43225788623.0,12071790510.0,19750317910.0,19359991019.0,31153998113.0,30884142484.0,14452794912.0,17234515233.0,18640298285.0,56318268668.0,6520345178.0,8442600193.0,60621087653.0,61823494487.0
 Czechia ,2001,10230276,6442,2172269930.0,3713915620.0,33128963393.0,46909125757.0,13205538693.0,21780698006.0,21154017469.0,33703587064.0,34010091583.0,16034803082.0,19279470748.0,20517109598.0,61885386643.0,7186161182.0,9016459566.0,65899023614.0,67808695574.0
 Czechia ,2002,10238170,7740,2186079384.0,4781126574.0,36991686297.0,58120406691.0,17225825380.0,25166044218.0,24585290996.0,40894581311.0,38081931116.0,18367508080.0,22515649380.0,25662065444.0,75162289721.0,8856265181.0,11161103758.0,79240085748.0,82196206090.0
 Czechia ,2003,10248038,9438,2442234748.0,5970683115.0,46770321529.0,71888794356.0,21939203800.0,29720479280.0,29607642951.0,49949590556.0,48289127583.0,21677407919.0,26400829522.0,32261512283.0,91500797618.0,11085291928.0,13340246021.0,96725406785.0,100000000000.0
 Czechia ,2004,10260999,11124,2893997023.0,7020729774.0,68363661125.0,83089290752.0,24742069475.0,35974474460.0,34598040837.0,58347221276.0,67612758879.0,27241198844.0,33212735532.0,37673985155.0,108000000000.0,12650084145.0,15029796010.0,114000000000.0,120000000000.0
 Czechia ,2005,10280113,12724,3133225967.0,8271384296.0,84772746088.0,93422468338.0,27863187809.0,40527533227.0,39602141299.0,65559280529.0,81579371732.0,31027134951.0,37832376195.0,43222356334.0,124000000000.0,14472303288.0,17103137859.0,131000000000.0,137000000000.0
 Czechia ,2006,10304815,14220,3383050522.0,8996890985.0,101000000000.0,105000000000.0,31142103730.0,47477331484.0,44574684581.0,73390537236.0,97122830052.0,36339756663.0,44653638063.0,48624237037.0,142000000000.0,16785271458.0,19584933634.0,147000000000.0,156000000000.0
 Czechia ,2007,10337829,17212,3972766545.0,11019447775.0,126000000000.0,124000000000.0,36365483484.0,61608827056.0,57098109427.0,87602552520.0,121000000000.0,44119922472.0,53990686750.0,59388626994.0,172000000000.0,20622049572.0,23243902038.0,178000000000.0,190000000000.0
 Czechia ,2008,10378583,21428,4546714830.0,13620872791.0,149000000000.0,158000000000.0,45303368154.0,74197383579.0,69474470370.0,112000000000.0,144000000000.0,52019466953.0,66086107586.0,76276208142.0,215000000000.0,25128185102.0,29198730841.0,222000000000.0,237000000000.0
 Czechia ,2009,10421510,18530,3644179825.0,13074437392.0,121000000000.0,144000000000.0,42879662173.0,55594030321.0,57485338089.0,101000000000.0,113000000000.0,42239731417.0,55353354666.0,70796831559.0,188000000000.0,21247232859.0,23580496249.0,193000000000.0,207000000000.0
 Czechia ,2010,10464749,18483,3220923383.0,13346196641.0,137000000000.0,145000000000.0,42929797233.0,57201261896.0,56945426937.0,103000000000.0,131000000000.0,43820350032.0,56003874701.0,71434712605.0,189000000000.0,21274671763.0,23926904298.0,193000000000.0,209000000000.0
 Czechia ,2011,10496379,20106,4551106423.0,13336918592.0,163000000000.0,158000000000.0,45445964464.0,62420219354.0,61625346714.0,113000000000.0,154000000000.0,50749334828.0,63912258478.0,76779351169.0,207000000000.0,22817975898.0,25932875287.0,211000000000.0,230000000000.0
 Czechia ,2012,10511065,18593,4701774997.0,11086042651.0,158000000000.0,144000000000.0,40628170093.0,55054577959.0,54934491125.0,103000000000.0,148000000000.0,45831336994.0,57674779722.0,70224901034.0,188000000000.0,20583067297.0,23573234581.0,195000000000.0,209000000000.0
 Czechia ,2013,10514552,18854,5005880424.0,10906368827.0,161000000000.0,147000000000.0,41751029394.0,52949315938.0,53977287340.0,105000000000.0,149000000000.0,46493350990.0,58200666817.0,71659131264.0,190000000000.0,20497702760.0,23454538487.0,198000000000.0,212000000000.0
 Czechia ,2014,10517182,18540,5052776105.0,10676478381.0,172000000000.0,142000000000.0,40473804649.0,54454486330.0,53464868120.0,101000000000.0,158000000000.0,49648368060.0,60169191858.0,69712200409.0,189000000000.0,20270986390.0,23475273997.0,195000000000.0,209000000000.0
 Czechia ,2015,10523798,16642,4157812897.0,9577559835.0,151000000000.0,124000000000.0,35566929214.0,52617754967.0,50124945373.0,88675644088.0,140000000000.0,44980659586.0,53943432085.0,61406778800.0,169000000000.0,18453173434.0,21785863103.0,175000000000.0,188000000000.0
 Czechia ,2016,10527591,17386,4096290563.0,9646964154.0,155000000000.0,130000000000.0,37217475510.0,51077792818.0,49255855346.0,93005390771.0,140000000000.0,47166322853.0,55926213605.0,64807340451.0,177000000000.0,19526866908.0,22540256888.0,183000000000.0,196000000000.0
 Czechia ,2017,10531305,19585,4498524148.0,10752456188.0,173000000000.0,145000000000.0,41011008285.0,57656005362.0,54719188923.0,104000000000.0,156000000000.0,51450669481.0,60757347174.0,72167733748.0,196000000000.0,22197578748.0,26090875387.0,206000000000.0,219000000000.0
 Czechia ,2018,10534593,22339,4821279419.0,12547033851.0,192000000000.0,166000000000.0,48319329342.0,67720278111.0,65879958122.0,118000000000.0,177000000000.0,56460501843.0,66562565434.0,85238200791.0,224000000000.0,25760107992.0,29467209185.0,235000000000.0,249000000000.0
 Czechia ,2019,10536871,22519,4699538859.0,12861145330.0,187000000000.0,168000000000.0,49470461904.0,69721069673.0,68784659159.0,118000000000.0,171000000000.0,57119035420.0,66767892379.0,87164669843.0,228000000000.0,27042004164.0,29653828124.0,237000000000.0,253000000000.0
 Czechia ,2020,10530953,22193,4822610700.0,12638812594.0,172000000000.0,165000000000.0,53536304004.0,64331017546.0,65673570944.0,112000000000.0,155000000000.0,52520804386.0,62843226592.0,88941609849.0,224000000000.0,27438136168.0,27189926864.0,234000000000.0,246000000000.0
 Czechia ,2021,10510751,25608,5200485896.0,14324919850.0,205000000000.0,188000000000.0,60566514696.0,85053779148.0,73691794355.0,128000000000.0,197000000000.0,59399672482.0,70963011940.0,102000000000.0,256000000000.0,32320814337.0,31229532018.0,269000000000.0,282000000000.0
