Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Côte d'Ivoire ,1970,5477086,266,407506229.0,100190614.0,556462570.0,1125142802.0,234928593.0,330354427.0,303473401.0,890214209.0,511028932.0,199386304.0,219411403.0,270138034.0,1418945545.0,114383651.0,307315615.0,1459397329.0,1500930867.0
 Côte d'Ivoire ,1971,5718867,270,427155409.0,120632726.0,571008946.0,1238267677.0,268248658.0,348646264.0,335434299.0,970019019.0,560803992.0,222907430.0,245009690.0,306144991.0,1513681593.0,135504358.0,279234418.0,1541983090.0,1597118896.0
 Côte d'Ivoire ,1972,5979984,305,496513026.0,127799481.0,692816902.0,1448444378.0,306410852.0,386378275.0,373966937.0,1142033526.0,655475757.0,281846085.0,310414381.0,362797527.0,1776848850.0,165331081.0,313993354.0,1821625687.0,1872163797.0
 Côte d'Ivoire ,1973,6257373,397,714139636.0,153044663.0,993852627.0,1954868307.0,429087669.0,582006709.0,547177742.0,1525780638.0,990478753.0,349613198.0,385841963.0,490535245.0,2409556142.0,235412950.0,430581685.0,2483817260.0,2540248891.0
 Côte d'Ivoire ,1974,6548923,456,802821989.0,158497134.0,1435414624.0,2230243415.0,493085577.0,676368272.0,596810197.0,1737157838.0,1271790876.0,447573373.0,492242220.0,521593541.0,2903637087.0,264124500.0,664357703.0,2985006510.0,3070235435.0
 Côte d'Ivoire ,1975,6853981,550,1121789680.0,256540786.0,1470910055.0,3069861865.0,656232078.0,874385068.0,858305775.0,2413629787.0,1521107686.0,509306718.0,579647794.0,705370511.0,3695895108.0,336937253.0,695609083.0,3766964092.0,3894049302.0
 Côte d'Ivoire ,1976,7142690,629,1191924716.0,308038702.0,1993379430.0,3391514223.0,741647346.0,1071765935.0,1034444397.0,2649866877.0,1794785992.0,547674113.0,615160895.0,762634957.0,4358831745.0,359727232.0,1121345243.0,4489996990.0,4661873596.0
 Côte d'Ivoire ,1977,7415900,817,1547425452.0,442152957.0,2724983125.0,4256843594.0,840802115.0,1712595803.0,1618497669.0,3416041480.0,2429089716.0,671541072.0,754799888.0,935335775.0,5899128334.0,397729260.0,1821685001.0,6060020756.0,6265332806.0
 Côte d'Ivoire ,1978,7700816,985,2020337515.0,643603937.0,2961376670.0,5718885380.0,1272761096.0,2352232286.0,2344459388.0,4446124284.0,3131046538.0,819854622.0,931794990.0,1329178864.0,7504666612.0,597334365.0,1982416940.0,7583060321.0,7901447798.0
 Côte d'Ivoire ,1979,7996368,1092,2489897076.0,750487806.0,3253698054.0,7017283103.0,1642051993.0,2555391116.0,2476085599.0,5375231110.0,3684538086.0,1017235462.0,1150484714.0,1776086309.0,8738010683.0,671497254.0,1899557525.0,8729534817.0,9141834188.0
 Côte d'Ivoire ,1980,8303810,1163,2916884214.0,704956993.0,3661097253.0,8262574183.0,1692558465.0,2700029347.0,2478256824.0,6570015718.0,4448149269.0,1140787141.0,1330852857.0,2185374724.0,9749916389.0,755827982.0,1856019619.0,9653944017.0,10175551514.0
