Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 D.R. of the Congo ,1970,20151733,236,808383234.0,227544910.0,2107784431.0,3455089820.0,1353293413.0,1245508982.0,1029940120.0,2101796407.0,2035928144.0,395209581.0,1508982036.0,1125748503.0,4610778443.0,383233533.0,538922156.0,4748502994.0,4772455090.0
 D.R. of the Congo ,1971,20712952,256,892215569.0,299401198.0,1898203593.0,4053892216.0,1449101796.0,1754491018.0,1520958084.0,2604790419.0,2377245509.0,473053892.0,1281437126.0,1407185629.0,4964071856.0,437125749.0,640718563.0,5311377246.0,5335329341.0
 D.R. of the Congo ,1972,21273409,276,1011976048.0,257485030.0,1922155689.0,4652694611.0,1347305389.0,1964071856.0,1886227545.0,3305389222.0,2652694611.0,502994012.0,1347305389.0,1562874251.0,5419161677.0,479041916.0,766467066.0,5868263473.0,5886227545.0
 D.R. of the Congo ,1973,21853906,343,1293413174.0,305389222.0,2856287425.0,5682634731.0,1586826347.0,2245508982.0,1892215569.0,4095808383.0,3287425150.0,592814371.0,2341317365.0,1796407186.0,7263473054.0,622754491.0,910179641.0,7485029940.0,7502994012.0
 D.R. of the Congo ,1974,22448415,407,1598802395.0,401197605.0,4155688623.0,6964071856.0,2173652695.0,2802395210.0,2802395210.0,4784431138.0,4766467066.0,766467066.0,2880239521.0,2341317365.0,8952095808.0,473053892.0,1257485030.0,9131736527.0,9149700599.0
 D.R. of the Congo ,1975,23052715,421,1898203593.0,568862275.0,2646706587.0,8502994012.0,2299401198.0,3113772455.0,2784431138.0,6203592814.0,4502994012.0,976047904.0,2047904192.0,2694610778.0,9281437126.0,419161677.0,1658682635.0,9706586826.0,9760479042.0
 D.R. of the Congo ,1976,23655016,383,2370463869.0,439255286.0,2980119912.0,8504891133.0,1787314610.0,2385610603.0,2109182707.0,6717576523.0,4672767435.0,768696750.0,1893341748.0,2393183970.0,9099400442.0,302934680.0,1696434206.0,9061533607.0,9197854213.0
 D.R. of the Congo ,1977,24256464,474,3015761821.0,430823117.0,3323992995.0,10770577933.0,2297723292.0,4532399299.0,4080560420.0,8472854641.0,6854640981.0,833625219.0,1884413310.0,3271453590.0,11387040280.0,252189142.0,2539404553.0,11488616462.0,11768826620.0
 D.R. of the Congo ,1978,25015244,664,4446172249.0,556220096.0,3706937799.0,14339712919.0,2720095694.0,3068181818.0,2895933014.0,11616028708.0,4413875598.0,1862440191.0,3502392344.0,1693779904.0,16169856459.0,2935406699.0,3035885167.0,16614832536.0,16704545455.0
 D.R. of the Congo ,1979,25902760,626,4464631853.0,565890352.0,4042817879.0,12593664111.0,2737451179.0,3211340952.0,2249674526.0,9856212932.0,3476927528.0,2046578909.0,3713004484.0,1551858817.0,15766816143.0,2690582960.0,2780847678.0,16219875597.0,16370895414.0
 D.R. of the Congo ,1980,26708686,574,3962132714.0,741627222.0,5553630437.0,11996784853.0,2507814593.0,3892471198.0,3126194516.0,9488970260.0,5805483612.0,2243100831.0,4428329017.0,1246405287.0,14770384925.0,2159507011.0,2232383674.0,15320175047.0,15638474591.0
 D.R. of the Congo ,1981,27457783,490,3414489447.0,603764974.0,4853394181.0,11315459213.0,2435596121.0,3468568169.0,2717626925.0,8879863092.0,5813804906.0,2058414147.0,3836851112.0,1174671991.0,13166457501.0,2034455220.0,2103593839.0,13442327439.0,13824301198.0
 D.R. of the Congo ,1982,28219219,473,4152902805.0,431572081.0,4437312459.0,10211611220.0,2635877365.0,3320547945.0,2777821265.0,7575733855.0,4182126549.0,1979386823.0,3251663405.0,1187736464.0,13206001305.0,2056621005.0,2126027397.0,13356294847.0,13786823222.0
