Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Egypt ,1970,34781986,232,2058067965.0,188153425.0,1154967507.0,7344081080.0,2012007712.0,1135797923.0,939043429.0,5332073369.0,1526910710.0,1519391603.0,1782320185.0,1908802926.0,6993437416.0,289321089.0,766771826.0,8074921782.0,8142813796.0
 Egypt ,1971,35555969,238,1988417650.0,171331168.0,1148715118.0,7955211811.0,2109916365.0,1067287861.0,913166872.0,5845295446.0,1541980513.0,1460039520.0,1746961431.0,2406856141.0,7646969828.0,371945325.0,961458113.0,8468434710.0,8629234277.0
 Egypt ,1972,36330768,249,2194428010.0,175954956.0,1174403004.0,8527778943.0,2378859627.0,1130221614.0,937570203.0,6148919316.0,1605428427.0,1544807452.0,1826078511.0,2627508384.0,8245223539.0,396091303.0,1025162377.0,9060010577.0,9226975132.0
 Egypt ,1973,37120776,257,2620044193.0,218617656.0,1282519490.0,8817672292.0,2539781484.0,1310583374.0,1136587295.0,6277890808.0,1821346059.0,1561755134.0,1782337262.0,2875425534.0,9121323513.0,429658061.0,1195240811.0,9550139658.0,9589429095.0
 Egypt ,1974,37930374,296,3031624965.0,249162927.0,1544068071.0,9867479748.0,2781320398.0,1994159633.0,1322875327.0,7086159351.0,2071791152.0,1827480196.0,2088915750.0,2929162776.0,10063841826.0,472924361.0,1292051046.0,11241158054.0,11333916303.0
 Egypt ,1975,38775584,323,3652106292.0,367322663.0,2582960453.0,11293673493.0,3188885873.0,2768762358.0,1941073374.0,8104787621.0,3967769748.0,2129729380.0,2583531270.0,3191739973.0,11986078141.0,511169301.0,1680208640.0,12527500900.0,12677626556.0
 Egypt ,1976,39649050,377,4190104132.0,692119238.0,2751637760.0,12686474268.0,3836195740.0,4919897489.0,3611292665.0,8850278528.0,5383688731.0,2533299114.0,3156063724.0,3614432173.0,14445456064.0,737499426.0,2055237372.0,14928369775.0,14974320786.0
 Egypt ,1977,40577356,481,4978121130.0,796293886.0,3285069040.0,15801724360.0,4484932657.0,5391109390.0,4138730333.0,11316791703.0,5342304282.0,2834406657.0,3753141430.0,4337375691.0,17593242897.0,1143352440.0,2584958323.0,19515193803.0,19135598508.0
 Egypt ,1978,41576636,593,5815514053.0,1020340731.0,5058892156.0,18876160824.0,4842836791.0,6846414956.0,5246691935.0,14033324031.0,7349592775.0,3195450301.0,4767773962.0,5083152006.0,21120054202.0,1400792253.0,3032481195.0,24668271258.0,23431875159.0
 Egypt ,1979,42632458,403,3646891559.0,825807625.0,3103160418.0,12929728708.0,2936594891.0,4872360719.0,4208491799.0,9993133817.0,5289731807.0,2104245900.0,3253133209.0,3461659207.0,14380157055.0,1098949560.0,2093715895.0,17195018713.0,15615518038.0
 Egypt ,1980,43748556,507,4036501725.0,1149525491.0,5342381828.0,16564494807.0,3261270031.0,6860457478.0,5914352527.0,13303224777.0,8648324606.0,2633139308.0,5840004314.0,4035863543.0,19253475047.0,1434314249.0,2757265724.0,22199004488.0,20119009508.0
 Egypt ,1981,44899573,313,2667112371.0,581926865.0,4173123369.0,11005573871.0,2233576857.0,4095506907.0,4016868142.0,8771997014.0,5788442251.0,1772360497.0,4033932754.0,2943527631.0,13146750178.0,1146789117.0,1773461440.0,14069497452.0,13485761896.0
 Egypt ,1982,46088647,318,3059956141.0,821062548.0,4372566658.0,12853870395.0,2789355717.0,4864114625.0,4786288791.0,10064514679.0,6353000656.0,2078105420.0,4253882260.0,3881096516.0,15640657859.0,1555971899.0,2068688494.0,14640518116.0,15737551023.0
 Egypt ,1983,47353665,373,3718174650.0,987892436.0,4820085056.0,15551993617.0,3255650838.0,5434432552.0,5590954227.0,12296342780.0,6890866894.0,2397070353.0,4593773221.0,3578724752.0,17974357912.0,1835601027.0,3260191827.0,17652984294.0,18915644724.0
