Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Equatorial Guinea ,1970,316955,67,2971944.0,158935.0,7487024.0,18773115.0,4656806.0,4168993.0,4168993.0,14116309.0,9456794.0,770822.0,3641496.0,4046606.0,19711499.0,3357570.0,5534948.0,21139911.0,20972338.0
 Equatorial Guinea ,1971,311952,70,3086141.0,164961.0,10119196.0,17995419.0,4995644.0,4440572.0,4440572.0,12999775.0,10778041.0,799971.0,3779236.0,4200324.0,20466434.0,3490170.0,5745601.0,21919051.0,21777146.0
 Equatorial Guinea ,1972,305362,68,2952851.0,157728.0,7247173.0,18488959.0,5216181.0,4339387.0,4339387.0,13272778.0,9244479.0,765667.0,3617143.0,4015000.0,19574092.0,3338680.0,5492690.0,20775558.0,20831039.0
 Equatorial Guinea ,1973,298050,89,3756185.0,200808.0,10159512.0,25749976.0,6724837.0,4779530.0,4779530.0,19025139.0,14190157.0,974086.0,4601680.0,5109451.0,24899612.0,4240373.0,6991115.0,26565515.0,26498861.0
 Equatorial Guinea ,1974,290558,97,3991804.0,213805.0,11928284.0,28136083.0,6828240.0,4686149.0,4686149.0,21307843.0,16577608.0,1034377.0,4886591.0,5445527.0,26473159.0,4494382.0,7441050.0,28281828.0,28172909.0
 Equatorial Guinea ,1975,283262,124,4939934.0,264298.0,14991028.0,32384442.0,9507017.0,5225364.0,5225364.0,22877425.0,17722548.0,1283720.0,6064540.0,6732291.0,32807085.0,5593938.0,9212083.0,35012852.0,34878286.0
 Equatorial Guinea ,1976,276000,132,5135844.0,273853.0,17029510.0,33448248.0,10387824.0,4771230.0,4771230.0,23060425.0,19017000.0,1327381.0,6271104.0,6975284.0,34038890.0,5838046.0,9544759.0,36371489.0,36231989.0
 Equatorial Guinea ,1977,271377,148,5697576.0,303296.0,18870639.0,36998852.0,11589677.0,5413970.0,5413970.0,25409174.0,21143145.0,1479741.0,6990238.0,7709314.0,37687624.0,6434813.0,10552387.0,40294290.0,40140316.0
 Equatorial Guinea ,1978,270866,168,6442488.0,345868.0,14230883.0,49853286.0,17432860.0,14090517.0,14131984.0,32420426.0,32468951.0,1671718.0,7896757.0,8782049.0,42709684.0,7216267.0,12026255.0,45630541.0,45455624.0
 Equatorial Guinea ,1979,273925,188,7267515.0,392918.0,13956954.0,54523823.0,18894237.0,14334066.0,14251887.0,35629586.0,31179367.0,1875791.0,8862416.0,10056275.0,48303541.0,8073174.0,13651244.0,51597412.0,51399794.0
