Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Estonia ,1990,1570674,3604,886766928.0,404365726.0,2375116568.0,4394817013.0,747721907.0,1709686618.0,1344338630.0,3647095106.0,2821337723.0,1852687647.0,2241746820.0,1305321003.0,5654025993.0,361800901.0,454024726.0,5661120167.0,5658991871.0
 Estonia ,1991,1565627,3438,869876708.0,311471973.0,1736598156.0,3704807874.0,736763717.0,1445068752.0,1188941643.0,2968044157.0,1470620619.0,1680826337.0,1851995627.0,867070665.0,4632795086.0,319890147.0,412489921.0,5382345394.0,5382345394.0
 Estonia ,1992,1540381,2889,294440868.0,200921193.0,2432108037.0,2845956288.0,660101149.0,1175843708.0,950660975.0,2185855139.0,2192290007.0,933871028.0,1207943005.0,1004698286.0,3902622325.0,660684160.0,533934813.0,4450786244.0,4339668801.0
 Estonia ,1993,1504436,2731,226393664.0,244752259.0,2668205562.0,3147672942.0,824649226.0,1108620819.0,1038248185.0,2323023716.0,2828573176.0,785663820.0,983727080.0,1192095826.0,3724264618.0,565455933.0,511839855.0,4108033970.0,4187510300.0
 Estonia ,1994,1475727,2803,208477149.0,240972183.0,2888025064.0,3380064653.0,939745850.0,1140193029.0,1151334894.0,2440318804.0,3302854090.0,762216808.0,943697347.0,1333803228.0,3696027624.0,513120747.0,455956972.0,4136383925.0,4191743502.0
 Estonia ,1995,1452775,3081,184881259.0,254192356.0,2949652176.0,3602282924.0,1099783827.0,1182125360.0,1186309302.0,2502499096.0,3275708693.0,760020405.0,971362787.0,1539377658.0,3963472193.0,498911016.0,514747118.0,4476426394.0,4475860193.0
 Estonia ,1996,1434670,3332,197452865.0,253984949.0,2931050881.0,3853161767.0,1081758716.0,1314541859.0,1292879936.0,2771403050.0,3429399900.0,780450406.0,1016335704.0,1599623743.0,4208554698.0,537670882.0,603486555.0,4780804463.0,4783105051.0
 Estonia ,1997,1421490,3521,210749025.0,269941510.0,3627780601.0,4040426813.0,1051818290.0,1583595860.0,1473958356.0,2988608523.0,4157992582.0,852258104.0,1075912594.0,1723388723.0,4521798025.0,616030540.0,625775633.0,5005266384.0,5154388538.0
 Estonia ,1998,1411147,3957,286442726.0,349237493.0,4175122009.0,4427163300.0,1173569483.0,1793132821.0,1776819951.0,3253593817.0,4717722263.0,841641709.0,1081723378.0,1902649387.0,5052277950.0,716224375.0,716000593.0,5584439923.0,5670074153.0
 Estonia ,1999,1403498,4031,209121178.0,288655451.0,4026981835.0,4501971644.0,1263814892.0,1493058267.0,1493126493.0,3238156751.0,4279682984.0,835042921.0,1085632284.0,2081617602.0,5184554171.0,778306875.0,741220780.0,5658008698.0,5763855973.0
 Estonia ,2000,1396877,3924,221088361.0,301658320.0,3507096953.0,4209013535.0,1113234844.0,1620520483.0,1521844008.0,3095778691.0,3691525899.0,880207269.0,1114367908.0,1914442012.0,5083298316.0,809335017.0,722406699.0,5482005900.0,5690808434.0
 Estonia ,2001,1387995,4303,218545260.0,329323147.0,3831259066.0,4591865306.0,1165277511.0,1850308065.0,1717289234.0,3426587795.0,4078519632.0,1003931897.0,1266840790.0,2087905700.0,5583257415.0,849505475.0,831137043.0,5972056646.0,6254916259.0
 Estonia ,2002,1379240,5105,261826040.0,410506678.0,4270227516.0,5423380009.0,1339261018.0,2427066568.0,2253702853.0,4084118990.0,4815940146.0,1154709543.0,1467631151.0,2446295399.0,6558035430.0,946694279.0,1025081884.0,7040398975.0,7368066172.0
 Estonia ,2003,1370660,6823,341664804.0,581054290.0,5644300452.0,7219772342.0,1762230694.0,3475433970.0,3236935419.0,5457541648.0,6478894630.0,1554870844.0,1997350465.0,3226112079.0,8816318637.0,1288626262.0,1381510737.0,9352337441.0,9874168127.0
 Estonia ,2004,1362480,8488,439619849.0,750828910.0,7418612440.0,8841932190.0,2110295872.0,4209332162.0,3854728617.0,6731636317.0,8368362663.0,1812188125.0,2338072100.0,3977251107.0,10763516149.0,1571847476.0,1685896707.0,11564177157.0,12145863019.0
 Estonia ,2005,1354662,10025,463647432.0,1062466920.0,9229053112.0,10044459459.0,2377308925.0,4704752792.0,4638027317.0,7667150534.0,9943960926.0,2068657720.0,2641327397.0,4669937771.0,12499632553.0,1666061040.0,1996191994.0,13581091192.0,14104149587.0
 Estonia ,2006,1346709,12024,535532146.0,1465514393.0,10775366993.0,11917452920.0,2696958709.0,6784083646.0,6270062889.0,9220494212.0,12497213206.0,2464171189.0,3124094437.0,5486452827.0,14980934920.0,1975108206.0,2394232911.0,16192253204.0,17031639065.0
