Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Ethiopia (Former) ,1970,29580994,86,1335129796.0,109004238.0,280829338.0,2273312056.0,254381468.0,294024588.0,294024588.0,2018930589.0,289090712.0,213590935.0,236137601.0,396718053.0,2394077277.0,115946086.0,201141503.0,2531940020.0,2559075270.0
 Ethiopia (Former) ,1971,30405828,88,1383259730.0,120333473.0,269772460.0,2440721759.0,265285840.0,318895207.0,318895207.0,2175435919.0,319930581.0,241414716.0,265918568.0,421454759.0,2536033692.0,127868695.0,217198467.0,2680728997.0,2709458845.0
 Ethiopia (Former) ,1972,31232166,94,1425535967.0,137689563.0,305935234.0,2636430866.0,316661051.0,376089563.0,376089563.0,2319769814.0,360312634.0,274319017.0,302941983.0,492015694.0,2754165420.0,152094585.0,243887627.0,2926776249.0,2958143029.0
 Ethiopia (Former) ,1973,32070832,106,1593257135.0,159503395.0,446664177.0,2961952078.0,367390853.0,389054340.0,389054340.0,2594561225.0,377163341.0,317093296.0,351809545.0,582317236.0,3163552342.0,174879687.0,301785344.0,3387909517.0,3420507255.0
 Ethiopia (Former) ,1974,32901833,116,1805096870.0,163312349.0,573567937.0,3346344175.0,405890429.0,380392362.0,380392362.0,2940453745.0,453976458.0,351707036.0,388429796.0,653872991.0,3561969135.0,182297323.0,368959805.0,3830322435.0,3846328015.0
 Ethiopia (Former) ,1975,33703650,113,1679130875.0,160956549.0,473307874.0,3559336182.0,505873340.0,401663848.0,401663848.0,3053462842.0,606479844.0,394527160.0,431319208.0,713253001.0,3535916762.0,189087569.0,362169559.0,3807526608.0,3827828059.0
 Ethiopia (Former) ,1976,34551872,120,1897735228.0,153126980.0,526659808.0,3847228762.0,600036039.0,353023513.0,353023513.0,3247192723.0,566846979.0,403603918.0,438317320.0,750668643.0,3831638911.0,209596884.0,382193856.0,4157847880.0,4160065103.0
 Ethiopia (Former) ,1977,35224820,134,2215768187.0,144050222.0,582159677.0,4490154213.0,689487139.0,388637661.0,388637661.0,3800667074.0,731129363.0,440673119.0,473654315.0,794181649.0,4251525562.0,200312262.0,423558927.0,4722065594.0,4729822188.0
 Ethiopia (Former) ,1978,35830258,140,2402569245.0,146198158.0,599758886.0,4936716831.0,858827564.0,377897986.0,377897986.0,4077889267.0,880376203.0,440742407.0,473377162.0,875526027.0,4514820822.0,206617490.0,410532740.0,5025742080.0,5033997501.0
 Ethiopia (Former) ,1979,36372652,152,2533454704.0,158947191.0,653110821.0,5343438719.0,809217194.0,484255413.0,484255413.0,4534221525.0,947793647.0,525412620.0,566084808.0,923057750.0,4926877903.0,230591217.0,514742233.0,5523937536.0,5533011307.0
