Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Ethiopia ,1990,47878073,233,5546875539.0,318398926.0,627333715.0,9684808677.0,1678619298.0,1180392347.0,1180392347.0,8006189379.0,1092383474.0,518380457.0,724359006.0,2102340726.0,10658710064.0,401846208.0,1564889660.0,11168960637.0,11207790791.0
 Ethiopia ,1991,49937430,255,7501163333.0,315141214.0,514416843.0,11682115724.0,1644073801.0,1121886643.0,1121886643.0,10038041923.0,1271533919.0,411845203.0,615324455.0,1958784408.0,12225580333.0,374284383.0,1460882542.0,12745804977.0,12786205579.0
 Ethiopia ,1992,52011554,196,6529817254.0,185150539.0,335351918.0,9520518980.0,808524771.0,793256982.0,793256982.0,8711994209.0,870732744.0,318505724.0,438254997.0,1416683548.0,9897718162.0,271118158.0,1056693666.0,10185294409.0,10229798768.0
 Ethiopia ,1993,53791672,136,4425621532.0,157142011.0,445601767.0,6651681823.0,606043517.0,905503427.0,905503427.0,6045638306.0,992268868.0,291340659.0,393218629.0,1096832759.0,7095440094.0,209464485.0,813160679.0,7299722561.0,7382766730.0
 Ethiopia ,1994,55620211,127,3766709115.0,170197414.0,591214774.0,6495505385.0,620649312.0,913939911.0,913939911.0,5874856073.0,1223138616.0,305458133.0,414717677.0,1244512502.0,6767323091.0,237567878.0,933618505.0,7061706859.0,7147530061.0
 Ethiopia ,1995,57476536,131,3939442555.0,202313026.0,789877223.0,6775823666.0,641562770.0,1051937986.0,1051937986.0,6134260896.0,1453094235.0,370702857.0,502215979.0,1296755310.0,7157601794.0,249316612.0,967558313.0,7534468562.0,7586836819.0
 Ethiopia ,1996,59347649,138,4213802110.0,227756391.0,783100269.0,7364088163.0,703746443.0,1327064915.0,1327064915.0,6660341720.0,1679369303.0,429272313.0,577994445.0,1428968895.0,7759916232.0,271182546.0,1040211846.0,8210908421.0,8235652824.0
 Ethiopia ,1997,61233480,139,4503945332.0,273457330.0,1005654988.0,7340933677.0,725225353.0,1222165093.0,1222165093.0,6615708324.0,1582172261.0,435746362.0,606156345.0,1400967366.0,8140342076.0,267092336.0,1088723367.0,8511894444.0,8521562903.0
 Ethiopia ,1998,63136493,122,3722964253.0,302154239.0,1002621122.0,6521509798.0,807779814.0,1788974630.0,1788974630.0,5713729984.0,1598392709.0,385853989.0,589748646.0,1417980590.0,7352139851.0,278417589.0,1040874534.0,7717021321.0,7726621812.0
 Ethiopia ,1999,65077579,112,3324422254.0,301506275.0,859906702.0,6515048685.0,1220518642.0,1757774199.0,1757774199.0,5294530043.0,1777871762.0,406299652.0,605857912.0,1489709486.0,7000037211.0,272054891.0,1006486392.0,7319472247.0,7328478793.0
 Ethiopia ,2000,67031867,119,3663641810.0,306216534.0,974748471.0,7085801554.0,1535223264.0,1782495031.0,1782495031.0,5550578290.0,1941374039.0,447087452.0,647599313.0,1650917032.0,7668389716.0,287716539.0,1112298487.0,8005381467.0,8030202592.0
 Ethiopia ,2001,69018932,115,3455052598.0,319494879.0,963182977.0,6919795183.0,1246632096.0,1876462423.0,1876462423.0,5673163087.0,1904625229.0,456152833.0,667441342.0,1676134481.0,7532957684.0,332851515.0,1081982870.0,7930286457.0,7963475849.0
 Ethiopia ,2002,71073215,108,3030317178.0,356336261.0,979136880.0,6975810452.0,1219456683.0,2030287999.0,2030287999.0,5756353768.0,2066703627.0,437804558.0,658282513.0,1764639958.0,7202446850.0,350240145.0,1042630796.0,7666669291.0,7691050743.0
 Ethiopia ,2003,73168838,115,3209653069.0,409084831.0,1137134895.0,7812729538.0,1211905090.0,2054610538.0,2054610538.0,6600824449.0,2340900149.0,480947942.0,718631112.0,2006417484.0,7951566627.0,391456275.0,1216323857.0,8427280401.0,8454148505.0
 Ethiopia ,2004,75301026,131,3913458848.0,510330319.0,1495440378.0,8434751561.0,1386472637.0,2883650014.0,2883650014.0,7048278923.0,3169096857.0,522026113.0,789639766.0,2121661304.0,9178918197.0,466619317.0,1377208643.0,9896906455.0,9935634535.0
 Ethiopia ,2005,77469940,157,5100132407.0,605784958.0,1855086622.0,11009824294.0,1612080314.0,3162659031.0,3162659031.0,9397743980.0,4358882394.0,577745768.0,869907200.0,2423389530.0,11284380344.0,633046435.0,1652119815.0,12175967985.0,12163585016.0
 Ethiopia ,2006,79691050,188,6488273661.0,757936679.0,2092861709.0,13743910789.0,1956173295.0,4133071363.0,4133071363.0,11787737493.0,5528695705.0,680223166.0,1026830035.0,2957567559.0,14040938965.0,634352649.0,2175978381.0,14982174439.0,14983303378.0
 Ethiopia ,2007,81996185,232,8173924682.0,984725545.0,2437443885.0,16645308082.0,2132847049.0,4598174204.0,4598174204.0,14512461033.0,6144134197.0,850997385.0,1279284404.0,3719585320.0,17814899258.0,710898455.0,2946480853.0,19021345501.0,18991964042.0
 Ethiopia ,2008,84357105,304,11782817072.0,1190761210.0,2949766877.0,23255104955.0,2685697271.0,6266418628.0,6266418628.0,20569407684.0,7975631289.0,1030444396.0,1493998536.0,4829745384.0,24065704685.0,782650228.0,3985732255.0,25641543278.0,25608605787.0
 Ethiopia ,2009,86755585,325,13172887882.0,1300095132.0,2991526370.0,25433535553.0,2678304653.0,7009917326.0,7009917326.0,22755230900.0,8175265137.0,1072459614.0,1496994336.0,5064652022.0,26879818707.0,871510349.0,4973678986.0,28166265533.0,28194199942.0
 Ethiopia ,2010,89237791,294,11105035059.0,1049995191.0,3620366762.0,23868340777.0,2415127735.0,7106586750.0,7106586750.0,21453213042.0,8766314773.0,1025567015.0,1494352045.0,5218429324.0,24501608353.0,891746411.0,4742050323.0,26261797421.0,26311297202.0
 Ethiopia ,2011,91817929,325,12572743096.0,1130252964.0,5086019988.0,25222167339.0,3144942896.0,9786247154.0,9533388825.0,22077224443.0,9615055880.0,1122418285.0,1815473705.0,6437529242.0,28336610849.0,1177006585.0,5203605257.0,29880596635.0,30479443693.0
 Ethiopia ,2012,94451280,440,18712305347.0,1681542008.0,5811261604.0,34091422477.0,3504396285.0,15659290406.0,14697097263.0,30587026192.0,13351493135.0,1443622958.0,2318381430.0,7684123897.0,39215923681.0,1678723557.0,7140847442.0,41511573978.0,42210509593.0
 Ethiopia ,2013,97084366,491,19193681520.0,2455828164.0,5810340989.0,38361111279.0,4168059052.0,15862044168.0,15551684050.0,34193052227.0,13491491164.0,1723076144.0,2637990487.0,9019770597.0,43175849428.0,2058362418.0,7810216241.0,47657691181.0,46542023357.0
 Ethiopia ,2014,99746766,556,20863619454.0,4271743463.0,6305386621.0,43046453780.0,5009790285.0,20572154705.0,19965729016.0,38036663495.0,15760983081.0,2161799571.0,3024656015.0,10004305496.0,50264616447.0,2337192123.0,9763099896.0,55433924253.0,54163248202.0
 Ethiopia ,2015,102471895,629,22744298978.0,6815718077.0,5906249372.0,49239998423.0,5685807454.0,24863768316.0,24709144057.0,43554190969.0,19108319489.0,2778379756.0,3464740440.0,11311109044.0,58676074975.0,2602696878.0,11737511557.0,64475791657.0,63078657756.0
 Ethiopia ,2016,105293228,683,25036509549.0,10930883000.0,5637001035.0,55995251149.0,8034348473.0,26949990905.0,25914997871.0,47960902676.0,19545313612.0,4106778628.0,4895138947.0,12036929040.0,67362126190.0,3241981668.0,11220683985.0,71921940614.0,72157653326.0
 Ethiopia ,2017,108197950,706,25940635924.0,12578881330.0,5858936897.0,59623387744.0,8531262417.0,29522874219.0,29131907188.0,51092125327.0,18026946994.0,4750960845.0,5530729975.0,13565683677.0,72182885956.0,3253925809.0,11313029243.0,76338468764.0,76794686090.0
 Ethiopia ,2018,111129438,719,25040712820.0,16514316806.0,6715753536.0,60891372626.0,8221948355.0,27402224486.0,27054241532.0,52669424270.0,18309377728.0,4674352520.0,5387685494.0,14308190159.0,76147088659.0,3024006327.0,11872177053.0,79851219310.0,80210324516.0
 Ethiopia ,2019,114120594,806,31131640279.0,17037745423.0,7349392410.0,72082904050.0,8509257906.0,32641009985.0,31708793849.0,63573646144.0,19322594794.0,5178269507.0,5938319043.0,16253459352.0,88494701537.0,3436025422.0,14697512019.0,91992879196.0,92561855537.0
 Ethiopia ,2020,117190911,820,34357257896.0,16239537146.0,6886472393.0,76498616102.0,8821118973.0,29546136844.0,29241558423.0,67677497129.0,16308814123.0,5124157931.0,6082447373.0,16569674105.0,92263423480.0,4017294490.0,14997212470.0,96072610769.0,96611046472.0
 Ethiopia ,2021,120283026,821,37298985183.0,15714098271.0,7537296692.0,80454038198.0,8770457939.0,27817968377.0,23428503913.0,71683580259.0,16540790735.0,4571616269.0,5978396673.0,17202255164.0,95263247126.0,4195414074.0,14874097761.0,98771506966.0,99268512532.0
