Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Finland ,1970,4606621,2433,1246087680.0,912444098.0,2711106841.0,7778911005.0,1611989638.0,3549731008.0,3110802339.0,6166921367.0,2902059344.0,2560225468.0,2942067516.0,2809602550.0,10067177239.0,971213363.0,1185762033.0,11207839189.0,11301891940.0
 Finland ,1971,4612424,2679,1372330423.0,1004361565.0,2827322793.0,8583684982.0,1864039700.0,3930251438.0,3592719614.0,6719645282.0,3116249768.0,2736407788.0,3102291137.0,3176784646.0,11056212774.0,1073962726.0,1326482277.0,12356608579.0,12466329068.0
 Finland ,1972,4639831,3131,1440811763.0,1249829331.0,3487409805.0,10181504097.0,2212252890.0,4259300333.0,4294377486.0,7969251208.0,3558779273.0,3298819915.0,3738417563.0,3750287718.0,12977135341.0,1218849413.0,1578939550.0,14526630293.0,14671425072.0
 Finland ,1973,4666166,4110,1841131977.0,1696730382.0,4596490273.0,13142018690.0,2865276502.0,5908775472.0,5856621492.0,10276742188.0,4849491661.0,4447562267.0,5044381968.0,4924150315.0,17188193518.0,1567745644.0,2114053231.0,19179800870.0,19377342812.0
 Finland ,1974,4690576,5217,2285246427.0,2190633377.0,6381409716.0,16382559824.0,3713123883.0,9036394362.0,7750156764.0,12669435939.0,7338862776.0,6202591534.0,6978252182.0,6235582011.0,22353985773.0,1955319559.0,2708952216.0,24472887633.0,24726600230.0
 Finland ,1975,4711368,6143,2854338306.0,2704024907.0,6523278258.0,20512121995.0,4953877072.0,10468600911.0,9681475908.0,15558244924.0,8310876314.0,6775416863.0,7706390172.0,7762959731.0,26652343527.0,2277328807.0,3347301604.0,28944218792.0,29327275518.0
 Finland ,1976,4725518,6614,2932541276.0,2534047997.0,7499058856.0,22607954621.0,5708146975.0,9203810028.0,9377670030.0,16899807647.0,8191421696.0,7297504340.0,8269889485.0,8683768605.0,28745366557.0,2697137910.0,3627981285.0,31253258624.0,31700986594.0
 Finland ,1977,4738739,6919,2864102397.0,2558657164.0,8995140757.0,24118368714.0,6178256947.0,9312390636.0,9670956779.0,17940111767.0,8555417669.0,7454634368.0,8624769968.0,9305012732.0,29902645579.0,2893614013.0,3656489304.0,32787406107.0,33368784955.0
 Finland ,1978,4752400,7482,2986343015.0,2553121108.0,10101290809.0,26023639981.0,6547427095.0,8911374637.0,9370589858.0,19476212887.0,8979246069.0,8326525061.0,9610305981.0,9965547945.0,32253371011.0,3195733604.0,3942319358.0,35557410092.0,36175473346.0
 Finland ,1979,4764568,9167,3576290962.0,2965741929.0,13151226174.0,31249425889.0,7828764978.0,12330037725.0,11208153876.0,23420660912.0,12687208909.0,10646448766.0,12250666350.0,12007973110.0,39693319018.0,4017412638.0,4875234030.0,43677151459.0,44350281768.0
 Finland ,1980,4779418,11052,4603454322.0,3543448393.0,16536092500.0,37336118626.0,9500203518.0,16764033625.0,14656773717.0,27835915108.0,17234261819.0,12984674138.0,14720533472.0,14381012776.0,47953711854.0,4692717980.0,6012544911.0,52823363154.0,53649051983.0
 Finland ,1981,4799865,10704,4019163296.0,3425313663.0,16410090797.0,36792498283.0,9622844175.0,14894465283.0,14226212215.0,27169654108.0,15897533805.0,12264166094.0,14189010498.0,14592718021.0,46729490293.0,4579944736.0,5923340079.0,51378327098.0,52450287689.0
 Finland ,1982,4826861,10682,4102445774.0,3485722116.0,15244175382.0,37604108332.0,9745467246.0,15138098913.0,14474504257.0,27858641086.0,15152900281.0,11961972073.0,13801042022.0,15035722786.0,46953638989.0,4510716836.0,6017989456.0,51559331268.0,52795245479.0
 Finland ,1983,4855733,10252,3856660880.0,3509742866.0,14631400689.0,36379424154.0,9577072078.0,14473419562.0,14167064269.0,26802352075.0,14636737889.0,11357562073.0,13106028865.0,14774437655.0,45416371570.0,4396785543.0,5772715760.0,49781133911.0,50972397001.0
 Finland ,1984,4881748,10597,3830593438.0,3496207957.0,15594432944.0,37406655081.0,10020682059.0,14401329719.0,13921516233.0,27385973023.0,14339992738.0,11791540079.0,13451595809.0,15422293673.0,46743726586.0,4619070444.0,5923965265.0,51733786839.0,52888307123.0
 Finland ,1985,4902175,11179,3843013019.0,3446816220.0,15638741449.0,40102214990.0,11010050031.0,15056437679.0,14892394936.0,29092164959.0,15264608878.0,12130529114.0,13832352653.0,16833087731.0,49224334512.0,4884828331.0,6384236556.0,54803706384.0,55875260439.0
 Finland ,1986,4918172,14676,4821540507.0,4543577700.0,18858075847.0,53006451765.0,14654621414.0,19159495432.0,19215791696.0,38351830351.0,17894002314.0,15263324776.0,17606656796.0,22889122970.0,64561260102.0,6526848193.0,8173513936.0,72177675585.0,73528785938.0
 Finland ,1987,4932176,18222,4837132537.0,5667669276.0,22897924940.0,66371247817.0,18607269345.0,24552235089.0,24656390348.0,47763978471.0,22423139280.0,19366114802.0,22248645405.0,28708976780.0,80094041326.0,8105172864.0,10526444464.0,89872461659.0,91597110424.0
 Finland ,1988,4946561,21678,5665939303.0,7104456757.0,26070996676.0,76787265713.0,21384443269.0,31741200359.0,30726277965.0,55402822444.0,26449105019.0,22582733995.0,25708524393.0,33458323961.0,93620194269.0,9368842435.0,12314107421.0,107000000000.0,109000000000.0
