Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Former Netherlands Antilles ,1970,156645,1454,1476315.0,19101014.0,221880593.0,203045531.0,53446137.0,54192919.0,43664756.0,149599393.0,256216298.0,20424108.0,24742084.0,81997885.0,205715316.0,44715418.0,33682599.0,227688815.0,224218560.0
 Former Netherlands Antilles ,1971,158702,1562,1608048.0,20809487.0,241571586.0,221028451.0,58184102.0,58972445.0,47524954.0,162844348.0,278956597.0,22238248.0,26925150.0,89230922.0,223910473.0,48684526.0,36652339.0,247824004.0,244050294.0
 Former Netherlands Antilles ,1972,160461,1760,1831443.0,23706060.0,275131246.0,252001375.0,66384499.0,67053762.0,54086814.0,185616875.0,317667459.0,25363137.0,30710813.0,101739300.0,255208950.0,55429841.0,41791493.0,282483803.0,278185902.0
 Former Netherlands Antilles ,1973,161846,1963,2058964.0,26622751.0,309725531.0,283226618.0,74487296.0,75850206.0,61035679.0,208739323.0,357697295.0,28466241.0,34519481.0,114448139.0,287100860.0,62436994.0,47014531.0,317740875.0,312899699.0
 Former Netherlands Antilles ,1974,163001,2456,2603093.0,33705838.0,390531774.0,357144114.0,94037143.0,95191873.0,76758201.0,263106971.0,450979915.0,35958682.0,43466501.0,144040478.0,361683635.0,78708707.0,59159017.0,400329583.0,394215577.0
 Former Netherlands Antilles ,1975,164057,2896,3072887.0,39803784.0,461628038.0,424168932.0,111975582.0,111944000.0,90545287.0,312193350.0,532783118.0,42734759.0,51756121.0,171269700.0,429172864.0,92911628.0,70358744.0,475171874.0,467922953.0
 Former Netherlands Antilles ,1976,165073,3221,3440055.0,44338256.0,519562465.0,472799806.0,123727052.0,129070262.0,103129888.0,349072754.0,600471913.0,47320635.0,57641224.0,191566695.0,480619681.0,104925964.0,78707488.0,531618500.0,523560134.0
 Former Netherlands Antilles ,1977,166087,3614,3943772.0,51277969.0,586980220.0,536908740.0,141863578.0,141065327.0,114464253.0,395045162.0,677658936.0,54342221.0,65066257.0,215297938.0,542178916.0,118221092.0,88371888.0,600179021.0,591085600.0
 Former Netherlands Antilles ,1978,167105,4373,4646860.0,60260839.0,700932632.0,653350405.0,173816470.0,167299761.0,136618340.0,479533934.0,807595319.0,65952597.0,80330298.0,264717560.0,659271506.0,140492745.0,108823203.0,730690840.0,719479094.0
 Former Netherlands Antilles ,1979,168114,5146,5604705.0,71157469.0,860037300.0,760301892.0,193641017.0,228580739.0,176636396.0,566660874.0,997967099.0,74559056.0,92453256.0,311293246.0,783861056.0,175402038.0,127950341.0,865044655.0,851676838.0
 Former Netherlands Antilles ,1980,169094,5665,6582270.0,87694064.0,938849350.0,871964375.0,236866471.0,202884819.0,173282540.0,635097904.0,1080395614.0,91135192.0,103810250.0,338970744.0,863337938.0,187558615.0,138721994.0,957981581.0,943448968.0
 Former Netherlands Antilles ,1981,170158,6480,6321586.0,81235327.0,997104537.0,985800696.0,267637133.0,232675143.0,194034521.0,718163562.0,1141356413.0,98718606.0,126429763.0,411774165.0,992504952.0,196720961.0,170023150.0,1102673190.0,1086494839.0
 Former Netherlands Antilles ,1982,171466,6880,6777783.0,89364428.0,1022687843.0,1089696973.0,301281979.0,218980066.0,197039017.0,788414995.0,1191113945.0,102610978.0,132869572.0,474063045.0,1060048343.0,168575192.0,188398323.0,1179632830.0,1161801257.0
 Former Netherlands Antilles ,1983,172887,6797,9645307.0,94932305.0,905146405.0,1112693871.0,323711875.0,200061091.0,205353784.0,788981996.0,1091724058.0,97040859.0,135935891.0,506252797.0,1068741007.0,146417885.0,175556823.0,1175153269.0,1155989830.0
 Former Netherlands Antilles ,1984,174280,6809,12903856.0,97382171.0,850306622.0,1131668497.0,345578206.0,182412794.0,184601802.0,786090290.0,1031889844.0,92074729.0,136499566.0,523111687.0,1074473389.0,128512384.0,176063724.0,1186597541.0,1167612684.0
 Former Netherlands Antilles ,1985,175703,6867,12056633.0,87081598.0,843153606.0,1132983602.0,353073624.0,218980066.0,205982632.0,779909978.0,1035832893.0,93215597.0,134347403.0,530018732.0,1082385516.0,127314692.0,191566456.0,1206480287.0,1189889823.0
 Former Netherlands Antilles ,1986,177161,8821,15119669.0,111246185.0,922287864.0,1288917179.0,388916373.0,401887012.0,334057993.0,900000806.0,1081397023.0,126904748.0,183818244.0,697042476.0,1431377882.0,142525384.0,281625923.0,1562806965.0,1543781557.0
 Former Netherlands Antilles ,1987,178657,9192,12708343.0,105845344.0,1101822101.0,1353470428.0,393537608.0,345553649.0,313375883.0,959932819.0,1204695560.0,103416296.0,169773953.0,758021547.0,1527783413.0,171928731.0,309505496.0,1642223122.0,1613760832.0
 Former Netherlands Antilles ,1988,180182,9497,15315183.0,117036777.0,1262926046.0,1354907172.0,390381643.0,467185710.0,427965950.0,964525528.0,1409233439.0,115227632.0,179162116.0,806110939.0,1615775909.0,181210846.0,316940048.0,1711105079.0,1673085823.0
 Former Netherlands Antilles ,1989,181725,10487,12951826.0,134125813.0,1420139060.0,1464411737.0,432560416.0,619065508.0,541206630.0,1031851320.0,1605635797.0,130340324.0,189959939.0,920676665.0,1829677217.0,200337413.0,371625562.0,1905789350.0,1878236153.0
 Former Netherlands Antilles ,1990,183291,10830,15793953.0,121777871.0,1638961734.0,1599745865.0,473092556.0,590474542.0,538560822.0,1126653309.0,1836963944.0,145159755.0,208389259.0,989114337.0,1931347671.0,208237877.0,388034374.0,1984960908.0,1980288633.0
 Former Netherlands Antilles ,1991,184841,11233,15400742.0,134319592.0,1717566058.0,1605241951.0,478759692.0,651168907.0,593154659.0,1126482258.0,1873656649.0,153190443.0,235913628.0,1021087597.0,2013027903.0,216487903.0,389818440.0,2076237684.0,2076591133.0
 Former Netherlands Antilles ,1992,185721,11791,17366794.0,127432844.0,1854621415.0,1680375353.0,509248887.0,633209054.0,569124939.0,1171126466.0,1970580775.0,174245693.0,272401377.0,988872827.0,2068802379.0,258340223.0,404388313.0,2189818714.0,2176850436.0
 Former Netherlands Antilles ,1993,185210,12348,21692109.0,133255785.0,1909054747.0,1831213034.0,588815483.0,584937512.0,569124939.0,1242397551.0,1999532137.0,163988007.0,248710545.0,1080601940.0,2198944654.0,296278298.0,418405975.0,2286921667.0,2319904085.0
 Former Netherlands Antilles ,1994,183824,13715,22937276.0,132695887.0,1987464667.0,2067625734.0,622818302.0,582098009.0,553667225.0,1444807432.0,2155617744.0,179509506.0,255734798.0,1171778932.0,2395188481.0,364325956.0,447715632.0,2521145759.0,2492785944.0
 Former Netherlands Antilles ,1995,182188,14210,20971223.0,160690800.0,1971264270.0,2268729436.0,650020558.0,621851044.0,617605952.0,1618708879.0,2316108992.0,190307070.0,293398654.0,1204359802.0,2465245432.0,333011989.0,452812964.0,2588823575.0,2571313266.0
 Former Netherlands Antilles ,1996,180348,15076,18349821.0,175808053.0,2009497207.0,2267430168.0,676089385.0,796480447.0,762346369.0,1591340782.0,2381564246.0,205153721.0,310744494.0,1332744579.0,2587685069.0,283632273.0,466405849.0,2718882682.0,2691843575.0
 Former Netherlands Antilles ,1997,178340,15643,17981561.0,164029645.0,1917932961.0,2208833264.0,721346131.0,690173878.0,731538124.0,1487487133.0,2039720670.0,174715973.0,290535780.0,1394458360.0,2630015643.0,291583336.0,471426959.0,2789809468.0,2777219433.0
 Former Netherlands Antilles ,1998,176207,16142,18440649.0,146985646.0,2014525140.0,2149984836.0,664321299.0,786037950.0,720668968.0,1485663537.0,2143016760.0,162826974.0,272417796.0,1432307258.0,2622024819.0,271034627.0,480838844.0,2844401651.0,2807531166.0
 Former Netherlands Antilles ,1999,173969,15911,21888389.0,141787709.0,2116648045.0,2143474190.0,658296949.0,781375005.0,743421287.0,1485177241.0,2253016760.0,163376642.0,268164199.0,1466868456.0,2626735356.0,247597765.0,480428836.0,2768061306.0,2788480480.0
 Former Netherlands Antilles ,2000,171913,16746,19374558.0,141504850.0,2090223464.0,2184147175.0,651778121.0,777059246.0,870494056.0,1532369054.0,2194916201.0,181911059.0,288227797.0,1487485213.0,2656170498.0,237527805.0,482050275.0,2878915918.0,2856513684.0
 Former Netherlands Antilles ,2001,171032,17071,27816256.0,153499370.0,2126815642.0,2063823428.0,466684030.0,1054775730.0,879885465.0,1597139398.0,2346368715.0,193755492.0,331154373.0,1420630230.0,2709829297.0,277764423.0,498964645.0,2919772342.0,2899046085.0
 Former Netherlands Antilles ,2002,171956,17061,22031596.0,157433883.0,2091787709.0,2182021513.0,487097046.0,872431570.0,899210140.0,1694924466.0,2212234637.0,181582450.0,307304538.0,1471395316.0,2730857679.0,302141725.0,470550621.0,2933701127.0,2934006155.0
 Former Netherlands Antilles ,2003,173985,17315,20493649.0,155412001.0,2121452514.0,2241288955.0,545101185.0,887632501.0,904960964.0,1696187769.0,2230726257.0,172627428.0,302126365.0,1546566530.0,2814520866.0,313582628.0,476339693.0,3012599668.0,3019647712.0
 Former Netherlands Antilles ,2004,176267,17513,20846523.0,146671347.0,2321564246.0,2397469312.0,562194935.0,832140597.0,914243204.0,1835274377.0,2447597765.0,180873912.0,300489561.0,1675167326.0,2905870269.0,276751961.0,485943550.0,3086928344.0,3103576389.0
 Former Netherlands Antilles ,2005,178757,16999,22306891.0,175697880.0,2313062426.0,2349966809.0,506075622.0,911239043.0,913999870.0,1843891187.0,2521676199.0,147739004.0,269466196.0,1635289508.0,2862334923.0,271186497.0,488387951.0,3038646056.0,3052592079.0
 Former Netherlands Antilles ,2006,181477,17715,19163263.0,161765273.0,2513678812.0,2442328204.0,538290918.0,1037263895.0,1039959854.0,1904037286.0,2777442817.0,191848313.0,311365459.0,1662523469.0,2982214058.0,303791371.0,523605222.0,3214782449.0,3215828094.0
 Former Netherlands Antilles ,2007,184255,18475,20180816.0,176323631.0,2596057373.0,2780050252.0,588414680.0,1155495343.0,1214620230.0,2191635572.0,3130299974.0,186232748.0,307986090.0,1805620095.0,3135173963.0,298312140.0,526751190.0,3404022291.0,3401302995.0
 Former Netherlands Antilles ,2008,187043,19512,22321412.0,206167640.0,2939229137.0,3056257681.0,614237679.0,1386804581.0,1342722762.0,2442020002.0,3694083149.0,227716610.0,333556824.0,1790969710.0,3401520361.0,381063372.0,667441403.0,3649548649.0,3688208249.0
 Former Netherlands Antilles ,2009,189773,19439,22299820.0,196401477.0,2637356223.0,3052668014.0,644356689.0,1316259055.0,1316259055.0,2408311325.0,3278132193.0,218907921.0,345240404.0,1905627252.0,3444042049.0,354785981.0,619687116.0,3689072820.0,3728151099.0
 Former Netherlands Antilles ,2010,192414,19788,23044466.0,205756325.0,2808323733.0,3319619110.0,690328109.0,1438578086.0,1438578086.0,2629291000.0,3718686102.0,224729854.0,350912033.0,1959317642.0,3550037271.0,367068929.0,643937876.0,3807502030.0,3847834827.0
 Former Netherlands Antilles ,2011,194986,19639,23248403.0,209042697.0,3206368715.0,3171141411.0,655472682.0,1393277027.0,1393277027.0,2515668729.0,3900893855.0,230727670.0,353759380.0,1942607573.0,3571484668.0,379094309.0,663732307.0,3829329285.0,3869893299.0
 Former Netherlands Antilles ,2012,199087,19925,24023115.0,214030430.0,3555363128.0,3219184494.0,671462645.0,1399139044.0,1399139044.0,2547721849.0,4164916201.0,236174025.0,367756765.0,2034217234.0,3700482307.0,385537047.0,674917717.0,3966750749.0,4008770465.0
