Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Gabon ,1970,597192,651,52700091.0,26569202.0,168063585.0,220457231.0,99432036.0,133309577.0,133309577.0,121025195.0,129434912.0,30239263.0,151166538.0,54219518.0,330103998.0,13838073.0,31610576.0,388802956.0,409868981.0
 Gabon ,1971,609693,743,46208165.0,27885335.0,264236903.0,249131118.0,111719143.0,157210725.0,157210725.0,137411975.0,210175896.0,37320746.0,173312313.0,83662276.0,388396160.0,17993326.0,39334744.0,452799503.0,483139270.0
 Gabon ,1972,622289,798,49440878.0,39335228.0,328458802.0,265451133.0,118962398.0,266845963.0,220928859.0,146488735.0,327327344.0,45668353.0,215515800.0,44286589.0,443902819.0,24631015.0,70693309.0,496721579.0,544937223.0
 Gabon ,1973,635288,1311,77819604.0,60218750.0,444252057.0,511983807.0,175883022.0,349544762.0,253691637.0,336100785.0,438277772.0,63629972.0,333918947.0,270992624.0,847607298.0,42252070.0,62405303.0,832695279.0,915055999.0
 Gabon ,1974,648922,2793,130384727.0,141663486.0,927992927.0,611184168.0,223047661.0,1031076098.0,702049667.0,388136507.0,702560262.0,84634335.0,953138859.0,451199402.0,1833633868.0,57169402.0,100077993.0,1812354203.0,1955448642.0
 Gabon ,1975,663340,3856,175934693.0,299185357.0,1115536198.0,927805337.0,411538646.0,1744427161.0,1302570672.0,516266691.0,1087025761.0,142622276.0,1171650240.0,483743559.0,2398517825.0,113177683.0,154826292.0,2557611078.0,2732530875.0
 Gabon ,1976,678660,5351,142855653.0,650720649.0,1432260175.0,1000165218.0,496276422.0,2854054275.0,1970487107.0,503888796.0,1459233470.0,194177973.0,1316083050.0,946243927.0,3506768540.0,158287355.0,292577905.0,3631825945.0,3810952922.0
 Gabon ,1977,694931,4831,148206429.0,316976688.0,1513524486.0,1464985573.0,793333614.0,2105228275.0,1487444679.0,671651960.0,1514773548.0,247284605.0,1407460296.0,1301782661.0,3570380931.0,161277529.0,234677328.0,3357510014.0,3557496794.0
 Gabon ,1978,712135,3646,147944346.0,157721033.0,1540880759.0,1397125765.0,510366365.0,1079654496.0,1073234866.0,886759400.0,1179292901.0,233070330.0,1328507650.0,1166772447.0,3110592426.0,139420731.0,170226219.0,2596096934.0,3025973772.0
 Gabon ,1979,730188,4628,147723463.0,181327552.0,1850104694.0,1590834660.0,571505850.0,1144245886.0,1032265977.0,1019328810.0,1157892023.0,257900730.0,1717162348.0,1399742093.0,3842968194.0,179283615.0,217729123.0,3379591995.0,3837387705.0
 Gabon ,1980,749078,6521,290372697.0,224194677.0,2892059140.0,2023739772.0,883609070.0,1520362092.0,1234278604.0,1140130701.0,1423554431.0,275607558.0,2543229015.0,1604487690.0,5218101152.0,227299507.0,328517564.0,4884739075.0,5421358871.0
 Gabon ,1981,768904,5822,228571194.0,213801538.0,2555427616.0,1909776380.0,858368067.0,1811535920.0,1381051026.0,1051408313.0,1653036769.0,224647785.0,2159964811.0,1876375025.0,4989467090.0,225542576.0,285211946.0,4476212338.0,4891487764.0
 Gabon ,1982,789585,5300,205327344.0,226899435.0,2326992910.0,1893377460.0,886422489.0,1634602228.0,1265127926.0,1006954972.0,1509353013.0,220739189.0,2120969053.0,1379624776.0,4381235525.0,223386415.0,225028501.0,4185150328.0,4581699102.0
