Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Gambia ,1970,528731,303,83605278.0,3698569.0,53243253.0,158043505.0,19806709.0,20041792.0,20041792.0,138236796.0,71205093.0,5120952.0,5805886.0,15290663.0,156873689.0,1289040.0,47184254.0,160123458.0,160123458.0
 Gambia ,1971,544317,301,86487132.0,4640984.0,56247264.0,169102784.0,20960041.0,24391349.0,24391349.0,148142743.0,81820780.0,6534673.0,7348825.0,15544700.0,162799428.0,1298916.0,47478872.0,164087480.0,167920617.0
 Gambia ,1972,560553,379,107258421.0,5747790.0,84551002.0,219386720.0,27197508.0,13099530.0,13099530.0,192189211.0,98420948.0,8430879.0,9449334.0,18424179.0,225559149.0,1571945.0,83107480.0,212633159.0,218616303.0
 Gambia ,1973,577488,634,179972526.0,17350244.0,149581420.0,346340354.0,44350296.0,25606544.0,25606544.0,301990058.0,148996596.0,17817408.0,19306230.0,35314178.0,384849024.0,3749620.0,129156228.0,366093325.0,372531722.0
 Gambia ,1974,594904,827,211874400.0,28996376.0,158361716.0,532634748.0,63820760.0,23906179.0,23906179.0,468813988.0,227214637.0,33020300.0,34895425.0,86202106.0,534559490.0,6280088.0,166311095.0,492081627.0,487688006.0
 Gambia ,1975,612909,964,238108771.0,32106893.0,172411070.0,662414623.0,82163864.0,40216222.0,40216222.0,580250759.0,290295380.0,45314381.0,47536750.0,97924847.0,658277209.0,7302842.0,235297106.0,591121556.0,584746535.0
 Gambia ,1976,631894,848,203674946.0,36976648.0,149832460.0,600608778.0,84268093.0,71470451.0,71470451.0,516340684.0,284292137.0,41000442.0,43293630.0,91200661.0,603562682.0,7119529.0,221297266.0,535668119.0,537619551.0
 Gambia ,1977,651934,873,194503520.0,46857898.0,134172816.0,660542589.0,90657623.0,86456322.0,86456322.0,569884966.0,313227504.0,45556484.0,47715891.0,99671601.0,641957617.0,8192652.0,245016054.0,568818431.0,567944222.0
 Gambia ,1978,672974,1007,210969668.0,56211094.0,136795126.0,865561283.0,120564815.0,83873021.0,83873021.0,744996468.0,411067747.0,47851194.0,50060083.0,122192283.0,778269635.0,10220259.0,328616248.0,677484305.0,675161684.0
 Gambia ,1979,695155,1052,212704526.0,63094936.0,150637468.0,1006961359.0,154863172.0,98472090.0,98472090.0,852098187.0,515842877.0,59389792.0,61844732.0,142822329.0,841504407.0,12464060.0,348573825.0,731116725.0,740228040.0
 Gambia ,1980,718586,1152,275962603.0,61307049.0,197654501.0,1060194164.0,186033818.0,120345703.0,120345703.0,874160346.0,540616071.0,78775231.0,80873991.0,171227747.0,926014310.0,14745351.0,321897568.0,828162942.0,837578296.0
 Gambia ,1981,742846,1176,289162485.0,50805606.0,258507876.0,1011265387.0,176189594.0,81404213.0,81404213.0,835075792.0,463967834.0,108082459.0,108893545.0,165884916.0,1029651203.0,14020190.0,400884462.0,873863725.0,887209641.0
 Gambia ,1982,768272,1125,234400950.0,50590511.0,373063872.0,948236414.0,164465927.0,66718247.0,66718247.0,783770487.0,497420928.0,131347149.0,132574030.0,148410264.0,1087506189.0,14066026.0,507464409.0,864239221.0,890597605.0
 Gambia ,1983,795563,1079,216210574.0,51501178.0,404506389.0,888687742.0,159644319.0,83405187.0,83405187.0,729043424.0,496109585.0,112993785.0,114715653.0,139746614.0,1067457614.0,15437160.0,529846435.0,858736429.0,880489735.0
 Gambia ,1984,824798,1002,227485524.0,42216940.0,371037492.0,838344221.0,137463362.0,70062125.0,70062125.0,700880859.0,417599535.0,86716603.0,89136178.0,137820409.0,1019044710.0,16432869.0,505952790.0,826045130.0,861844303.0
 Gambia ,1985,855958,1170,328562482.0,53788459.0,529716588.0,1058087824.0,149486707.0,77669149.0,77669149.0,908601117.0,578025678.0,58464186.0,63691296.0,174501504.0,1285504167.0,21093851.0,643866575.0,1001248452.0,1087447883.0
 Gambia ,1986,888980,769,238060134.0,33877562.0,374866862.0,714613921.0,103858747.0,55402300.0,55402300.0,610755173.0,406087012.0,30926415.0,35115328.0,115495136.0,879101352.0,14825417.0,441727775.0,683633549.0,738796071.0
 Gambia ,1987,923914,850,237997790.0,36875361.0,425227604.0,740952105.0,119899687.0,111063452.0,111063452.0,621052418.0,450997693.0,50044974.0,54527916.0,125500437.0,997611557.0,17350841.0,525359213.0,785133517.0,826245469.0
 Gambia ,1988,960837,1033,277356243.0,58192690.0,494526739.0,926577006.0,144652816.0,202476989.0,202476989.0,781924190.0,587268930.0,77544724.0,81204165.0,151948607.0,1261830681.0,21456370.0,671672606.0,992777957.0,1036326995.0
 Gambia ,1989,999732,1043,270494580.0,60048616.0,464716131.0,1024172941.0,153576379.0,206662878.0,206662878.0,870596562.0,618270483.0,92306162.0,96811318.0,152025107.0,1307817739.0,23106139.0,705331979.0,1042279842.0,1077303715.0
 Gambia ,1990,1040616,1107,275219472.0,59618168.0,520925927.0,1136602280.0,161175372.0,212059468.0,212059468.0,975426908.0,693550221.0,101815400.0,108612137.0,165765334.0,1427424781.0,26645174.0,791564497.0,1152067653.0,1176046783.0
 Gambia ,1991,1083536,1043,244438336.0,59342497.0,518810487.0,1095732033.0,150078792.0,233324128.0,233324128.0,945653241.0,700622738.0,99319989.0,106194480.0,162170848.0,1393279770.0,26655889.0,794477719.0,1130222802.0,1147246779.0
 Gambia ,1992,1127152,1038,241312032.0,62135222.0,483771418.0,1113658254.0,168123807.0,294258913.0,294258913.0,945534447.0,704662777.0,99222716.0,106696793.0,171045481.0,1424427798.0,29678746.0,813559524.0,1170250608.0,1187038577.0
 Gambia ,1993,1168309,1047,253336023.0,67788886.0,730545104.0,1158104856.0,241833033.0,263536479.0,263536479.0,916253065.0,897344618.0,102629944.0,111104096.0,193664242.0,1474930996.0,33852352.0,815185397.0,1223366293.0,1254823063.0
