Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Germany ,1970,78294583,2771,6314890740.0,17291969924.0,32652642746.0,155000000000.0,35081249224.0,70587267317.0,64078537081.0,120000000000.0,35790224239.0,67464296301.0,77442444513.0,55530495677.0,197000000000.0,13330420027.0,27487946122.0,217000000000.0,216000000000.0
 Germany ,1971,78511398,3196,6846629322.0,20806091166.0,36398248225.0,183000000000.0,43379446715.0,79519021251.0,76001041227.0,139000000000.0,40706464995.0,74613152327.0,85645654059.0,67877111461.0,228000000000.0,15392076141.0,31739177048.0,251000000000.0,250000000000.0
 Germany ,1972,78643556,3823,8177146612.0,25196533427.0,43629649536.0,222000000000.0,53090652651.0,91710389436.0,89110920096.0,169000000000.0,48505997025.0,87018119930.0,99883069652.0,84177024999.0,274000000000.0,18627278379.0,38410313508.0,301000000000.0,300000000000.0
 Germany ,1973,78667466,5077,10366293518.0,31607193431.0,61172352082.0,296000000000.0,73274253288.0,117000000000.0,113000000000.0,223000000000.0,65126998484.0,116000000000.0,133000000000.0,116000000000.0,366000000000.0,24227404255.0,49958035420.0,399000000000.0,398000000000.0
 Germany ,1974,78620534,5679,10639851401.0,31644748396.0,81210207213.0,336000000000.0,88265663558.0,118000000000.0,116000000000.0,248000000000.0,83342988906.0,131000000000.0,150000000000.0,137000000000.0,411000000000.0,26387012411.0,54411247779.0,446000000000.0,445000000000.0
 Germany ,1975,78513511,6274,12359886366.0,31585570917.0,83949247493.0,388000000000.0,103000000000.0,120000000000.0,118000000000.0,286000000000.0,92219057048.0,138000000000.0,159000000000.0,158000000000.0,452000000000.0,29709211203.0,61261768833.0,493000000000.0,491000000000.0
 Germany ,1976,78364216,6665,13218655839.0,33212043938.0,93926108075.0,408000000000.0,106000000000.0,133000000000.0,125000000000.0,302000000000.0,105000000000.0,148000000000.0,169000000000.0,166000000000.0,478000000000.0,31386539297.0,64720513522.0,522000000000.0,520000000000.0
 Germany ,1977,78221272,7702,14795377535.0,38165897014.0,108000000000.0,473000000000.0,122000000000.0,151000000000.0,145000000000.0,351000000000.0,121000000000.0,169000000000.0,194000000000.0,193000000000.0,554000000000.0,37174352815.0,76655244970.0,602000000000.0,600000000000.0
 Germany ,1978,78071549,9550,17372123211.0,48200674449.0,131000000000.0,580000000000.0,152000000000.0,189000000000.0,184000000000.0,428000000000.0,145000000000.0,207000000000.0,238000000000.0,236000000000.0,681000000000.0,46204645338.0,95276082722.0,746000000000.0,740000000000.0
 Germany ,1979,77915727,11355,18487514656.0,59794084826.0,157000000000.0,692000000000.0,180000000000.0,242000000000.0,227000000000.0,512000000000.0,189000000000.0,241000000000.0,277000000000.0,288000000000.0,808000000000.0,53715331572.0,111000000000.0,885000000000.0,881000000000.0
 Germany ,1980,77786703,12267,18288092017.0,66181920545.0,177000000000.0,758000000000.0,198000000000.0,259000000000.0,253000000000.0,559000000000.0,221000000000.0,255000000000.0,292000000000.0,322000000000.0,870000000000.0,56373311566.0,116000000000.0,954000000000.0,950000000000.0
 Germany ,1981,77684489,10328,15316415936.0,54233332281.0,161000000000.0,647000000000.0,172000000000.0,197000000000.0,204000000000.0,476000000000.0,192000000000.0,209000000000.0,240000000000.0,280000000000.0,733000000000.0,46805320584.0,96514564013.0,802000000000.0,800000000000.0
 Germany ,1982,77610430,10021,15715273708.0,48748097180.0,162000000000.0,625000000000.0,164000000000.0,180000000000.0,186000000000.0,461000000000.0,183000000000.0,202000000000.0,234000000000.0,276000000000.0,711000000000.0,44998942719.0,92790383765.0,778000000000.0,777000000000.0
 Germany ,1983,77566064,9982,13540415952.0,47796142788.0,156000000000.0,619000000000.0,161000000000.0,185000000000.0,188000000000.0,458000000000.0,179000000000.0,198000000000.0,230000000000.0,278000000000.0,705000000000.0,44181372937.0,91103641094.0,774000000000.0,771000000000.0
 Germany ,1984,77568572,9428,12592782441.0,43092871593.0,158000000000.0,579000000000.0,150000000000.0,172000000000.0,172000000000.0,429000000000.0,178000000000.0,185000000000.0,216000000000.0,263000000000.0,663000000000.0,41990200649.0,86585196854.0,731000000000.0,725000000000.0
