Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Grenada ,1970,98794,190,3206691.0,2277374.0,9922902.0,16895924.0,4710498.0,3615775.0,3615775.0,12185426.0,11326741.0,716465.0,907094.0,5262111.0,16067725.0,1488084.0,2926370.0,18744051.0,19107861.0
 Grenada ,1971,98535,241,3870039.0,1981343.0,12076941.0,21434900.0,5886013.0,4544293.0,4544293.0,15548887.0,13867410.0,842335.0,1158764.0,7188626.0,20344783.0,2083867.0,4062144.0,23713676.0,24188724.0
 Grenada ,1972,98225,323,5562304.0,2545389.0,16992181.0,29083851.0,7662913.0,5083470.0,5083470.0,21420939.0,18836984.0,1108824.0,1496193.0,9578091.0,27134470.0,2459966.0,5492527.0,31695852.0,32322518.0
 Grenada ,1973,97886,399,6475438.0,2785430.0,21223869.0,34517940.0,10320398.0,8862715.0,8862715.0,24197543.0,24780616.0,1609325.0,2227123.0,11234770.0,33465326.0,3656448.0,7086117.0,39069157.0,39823907.0
 Grenada ,1974,97528,414,8656718.0,1520460.0,18082208.0,36720791.0,9625298.0,7566708.0,7566708.0,27095493.0,21197911.0,1581893.0,2293135.0,12250532.0,34616810.0,3788705.0,6107260.0,40409693.0,41171796.0
 Grenada ,1975,97165,512,12265954.0,3030681.0,30641521.0,47647038.0,11056219.0,3316866.0,3316866.0,36590820.0,30957413.0,1917185.0,2687454.0,12846308.0,42685221.0,4122426.0,7732399.0,49700425.0,50648012.0
 Grenada ,1976,96781,512,13100887.0,1702642.0,29403853.0,46224779.0,13194597.0,5985628.0,5985628.0,33030183.0,31588389.0,2193398.0,2938940.0,12338563.0,42712015.0,4149810.0,8481173.0,49576691.0,50724924.0
 Grenada ,1977,96329,579,12274472.0,3637037.0,21459006.0,45359788.0,7709347.0,15907335.0,15907335.0,37650441.0,25903876.0,1407407.0,2696296.0,14434585.0,47248856.0,6161890.0,8044576.0,55791985.0,56822253.0
 Grenada ,1978,95811,720,13734827.0,4451852.0,27022453.0,55257808.0,12604591.0,19472061.0,19472061.0,42653217.0,31555631.0,1677778.0,3100000.0,21776196.0,59283862.0,6702862.0,9518125.0,69019242.0,70196691.0
 Grenada ,1979,95242,839,17179767.0,5848148.0,32026610.0,68868921.0,12171878.0,25580078.0,25580078.0,56697043.0,45214038.0,1855556.0,3340741.0,23234477.0,68509488.0,7821858.0,11084497.0,79936941.0,81261571.0
 Grenada ,1980,94838,911,17703997.0,5092593.0,46645045.0,93028285.0,18195495.0,26660545.0,22995266.0,74832790.0,78192630.0,2662963.0,4220000.0,25501720.0,75161877.0,9385489.0,13258079.0,86404508.0,88141245.0
 Grenada ,1981,95222,951,19175586.0,6711111.0,46295971.0,98177130.0,19635426.0,42805229.0,39750829.0,78541704.0,92722845.0,2611111.0,4203333.0,26808888.0,79264338.0,10437790.0,11927630.0,90558393.0,94555484.0
 Grenada ,1982,96534,1036,17337036.0,7866667.0,45117846.0,105682226.0,20595380.0,46732314.0,46775948.0,85086846.0,93071919.0,4351852.0,6265926.0,28120230.0,84614716.0,10471137.0,14553720.0,100049807.0,104460466.0
 Grenada ,1983,98177,1085,17149811.0,8096296.0,45946897.0,104635003.0,24391563.0,44332429.0,46601411.0,80243441.0,84563234.0,3881481.0,5911111.0,32436550.0,89217069.0,11201079.0,14422222.0,106568013.0,110351094.0
 Grenada ,1984,99618,1164,18351796.0,7555556.0,49219468.0,118903413.0,25875128.0,35649207.0,34907424.0,93028285.0,83821451.0,4959259.0,7658889.0,35901397.0,97725299.0,12071821.0,16185841.0,115921143.0,119950636.0
 Grenada ,1985,100576,1308,17981090.0,8437037.0,65015077.0,134480851.0,29714944.0,40099903.0,42368886.0,104765906.0,103805952.0,6322222.0,9759259.0,41227450.0,111845475.0,15191671.0,19248967.0,131547071.0,135789879.0
 Grenada ,1986,100893,1471,20167878.0,10177778.0,71298413.0,149360140.0,35212864.0,50833936.0,51095742.0,114147276.0,118597973.0,6648148.0,10859259.0,43928234.0,127344517.0,20560630.0,21650737.0,148369489.0,152894517.0
 Grenada ,1987,100599,1707,25638593.0,12337037.0,75705476.0,162450424.0,33729299.0,65451420.0,61786140.0,128721126.0,126408509.0,8018519.0,13241852.0,47876696.0,145851999.0,22809739.0,23948083.0,171725885.0,177198811.0
 Grenada ,1988,99877,1908,26795644.0,13448148.0,78978047.0,175758879.0,36129184.0,73261956.0,70033019.0,139629696.0,132211868.0,9444444.0,15318889.0,52463063.0,159948559.0,25418260.0,26504556.0,190589878.0,195787014.0
