Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Guinea-Bissau ,1970,591663,475,133288876.0,22977032.0,10101009.0,271993447.0,57824522.0,74115993.0,74115993.0,214168925.0,76388597.0,31926836.0,36695457.0,21391118.0,280871185.0,8367257.0,58151448.0,280871185.0,280871185.0
 Guinea-Bissau ,1971,594501,469,124927373.0,23674916.0,10413359.0,285258937.0,62281368.0,69592194.0,69592194.0,222977567.0,86101710.0,32906256.0,37820908.0,22428936.0,278540808.0,8765287.0,60923387.0,278540808.0,278540808.0
 Guinea-Bissau ,1972,595950,547,149274400.0,28166344.0,12768751.0,354715342.0,76695916.0,66195852.0,66195852.0,278019428.0,104662999.0,39238463.0,45074082.0,25224525.0,326060307.0,9853452.0,68467501.0,326060307.0,326060307.0
 Guinea-Bissau ,1973,603203,666,172290629.0,37662359.0,21890099.0,458332708.0,101495780.0,74890730.0,74890730.0,356836929.0,147412960.0,52574342.0,60345876.0,32018883.0,401773489.0,12513100.0,86942643.0,401773489.0,401773489.0
 Guinea-Bissau ,1974,623576,708,182691698.0,43311356.0,19920417.0,519754191.0,115036776.0,66243944.0,66243944.0,404717415.0,156109827.0,60274331.0,69234871.0,35581314.0,441499788.0,13922544.0,96758008.0,441499788.0,441499788.0
 Guinea-Bissau ,1975,659635,787,242555210.0,49781863.0,23669207.0,536431729.0,120015667.0,69758430.0,69758430.0,416416064.0,118685322.0,68550322.0,78988299.0,33113933.0,507735071.0,12989200.0,90306568.0,519154527.0,507735071.0
 Guinea-Bissau ,1976,701016,609,219796321.0,27296087.0,21666909.0,487962305.0,117528352.0,66308025.0,66308025.0,370433953.0,115026989.0,37995409.0,43668660.0,40615261.0,457054842.0,15801121.0,109877390.0,427053351.0,457054842.0
 Guinea-Bissau ,1977,746588,500,181343646.0,34025482.0,32868503.0,407245464.0,75191201.0,69348540.0,69348540.0,332054263.0,115401996.0,47944748.0,54924960.0,29947034.0,392906512.0,11672411.0,80992978.0,373124942.0,392906512.0
 Guinea-Bissau ,1978,794328,540,234232606.0,34722588.0,31560008.0,481222106.0,98990559.0,87853908.0,87853908.0,382231548.0,147403924.0,48966139.0,55985139.0,31342116.0,453825440.0,12275931.0,85267059.0,429286685.0,453825440.0
 Guinea-Bissau ,1979,821598,596,256189897.0,38232468.0,32469805.0,551068318.0,114049931.0,96763766.0,91113468.0,437018387.0,185784734.0,52393863.0,60405809.0,34301240.0,496601157.0,13505268.0,93966478.0,489479408.0,496601157.0
 Guinea-Bissau ,1980,831462,534,197863330.0,34722766.0,53491472.0,475795301.0,133826511.0,117914594.0,111029244.0,341968792.0,176762327.0,45340380.0,53091883.0,44008789.0,468922295.0,17478938.0,121756586.0,443943123.0,468922295.0
 Guinea-Bissau ,1981,844957,598,251713426.0,30487871.0,51413210.0,507385124.0,150266245.0,117363204.0,110510050.0,357118879.0,164394738.0,44789815.0,50838285.0,44754711.0,510877169.0,16717815.0,116365061.0,505420374.0,510877169.0
 Guinea-Bissau ,1982,858630,480,195591520.0,22415738.0,29485822.0,442229512.0,127138841.0,105476259.0,99317216.0,315090672.0,155578777.0,33569036.0,37855210.0,39674554.0,418291003.0,15607614.0,107146366.0,412225186.0,418291003.0
 Guinea-Bissau ,1983,872394,480,178208587.0,18479722.0,22686102.0,436596228.0,110349828.0,84908087.0,79950075.0,326246401.0,122010921.0,26163918.0,29623356.0,46046878.0,419895635.0,18486203.0,129050891.0,418828579.0,419895635.0
 Guinea-Bissau ,1984,886210,518,189634903.0,27151440.0,55301312.0,459835399.0,73126564.0,154497303.0,145475789.0,386708835.0,212042721.0,32182827.0,38808596.0,47951205.0,458971674.0,19386556.0,136038973.0,458696745.0,458971674.0
 Guinea-Bissau ,1985,900088,512,193062238.0,28219564.0,36435797.0,508762000.0,76884501.0,130071448.0,122476226.0,431877498.0,215917226.0,28713968.0,36735931.0,36373684.0,415300301.0,15101770.0,105807113.0,460552624.0,415300301.0
 Guinea-Bissau ,1986,914122,502,216098039.0,25748646.0,21720815.0,474173936.0,63099409.0,97915586.0,92198032.0,411074526.0,132348629.0,68365061.0,68826788.0,46614775.0,461461708.0,13134658.0,91038802.0,458566483.0,461461708.0
 Guinea-Bissau ,1987,928408,512,254688071.0,23069885.0,74563426.0,503746572.0,58274984.0,117809997.0,113056498.0,445471588.0,196569915.0,37995549.0,41537691.0,37357423.0,499550081.0,19197865.0,123699145.0,475698558.0,499550081.0
 Guinea-Bissau ,1988,943080,471,215673968.0,30087714.0,62297262.0,496250767.0,55338087.0,137050679.0,136522969.0,440912680.0,222995944.0,32330482.0,37459163.0,38992820.0,472600015.0,17521620.0,132864729.0,443863114.0,472600015.0
