Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Guinea ,1970,4222374,167,149480981.0,69371789.0,121235545.0,782216036.0,80186978.0,75184444.0,64390309.0,702029058.0,173552387.0,24798941.0,192541105.0,97964774.0,826581339.0,37450310.0,279772380.0,705077363.0,765476133.0
 Guinea ,1971,4298087,182,165498526.0,76802059.0,134268256.0,865835333.0,88759007.0,83244762.0,71293417.0,777076326.0,192134621.0,27455208.0,213167124.0,108446763.0,915084229.0,41457738.0,309712020.0,780569914.0,847435573.0
 Guinea ,1972,4372212,191,176662333.0,81979914.0,142939473.0,924979641.0,94822042.0,88872869.0,76113504.0,830157599.0,205080672.0,29304712.0,227536637.0,115747099.0,976741916.0,44248335.0,330567598.0,833164796.0,904535870.0
 Guinea ,1973,4445207,201,189241447.0,87822642.0,153001489.0,991214537.0,101611952.0,95238060.0,81564852.0,889602585.0,219709185.0,31393545.0,243763810.0,124015144.0,1046408237.0,47406870.0,354158324.0,892594882.0,969056893.0
 Guinea ,1974,4517073,227,217047375.0,100737834.0,175581831.0,1137298797.0,116587426.0,109080743.0,93420159.0,1020711371.0,252053381.0,36014103.0,279593085.0,142313202.0,1200435858.0,54401667.0,406342696.0,1023997052.0,1111715316.0
 Guinea ,1975,4588006,251,244017508.0,113249228.0,199448801.0,1273567363.0,130556665.0,122731232.0,105110865.0,1143010698.0,283323149.0,40484683.0,314304270.0,159920177.0,1349420101.0,61139406.0,456789512.0,1151034235.0,1249634836.0
 Guinea ,1976,4658743,281,277982968.0,128975086.0,225877203.0,1452650853.0,148914976.0,139857118.0,119778009.0,1303735877.0,322599695.0,46106896.0,358003418.0,182025809.0,1536461160.0,69588857.0,519885022.0,1310599904.0,1422869318.0
 Guinea ,1977,4730375,284,285367191.0,132401036.0,227778076.0,1500108082.0,153779938.0,143661786.0,123036445.0,1346328144.0,331154905.0,47316428.0,367466560.0,186848083.0,1577191917.0,71427338.0,533681710.0,1345356467.0,1460603219.0
 Guinea ,1978,4804926,320,325851977.0,151267062.0,262452526.0,1709965618.0,175292977.0,164308281.0,140718749.0,1534672641.0,378536991.0,54075133.0,419953692.0,213766875.0,1802812146.0,81696932.0,610275609.0,1537851860.0,1669588270.0
 Guinea ,1979,4885199,337,348318708.0,161753734.0,282572411.0,1828690859.0,187463808.0,173840010.0,148882020.0,1641227051.0,404990993.0,57858218.0,448790252.0,228996181.0,1928675989.0,87538183.0,653278932.0,1645324414.0,1786267204.0
 Guinea ,1980,4972609,370,390553171.0,181207215.0,335602722.0,1997980771.0,204818125.0,197201980.0,168889941.0,1793162646.0,453061180.0,64760254.0,502801595.0,255340766.0,2158317699.0,97677192.0,730737760.0,1840615377.0,1998287301.0
 Guinea ,1981,5067427,400,431012645.0,199685194.0,339915981.0,2266342760.0,232328643.0,217177705.0,185997777.0,2034014116.0,498954388.0,71388580.0,554700083.0,281039998.0,2376189464.0,107428288.0,802323256.0,2027061914.0,2200705336.0
 Guinea ,1982,5170731,424,464847151.0,215673128.0,337659179.0,2515813948.0,257902559.0,234746259.0,201044036.0,2257911389.0,539317194.0,76951777.0,598202069.0,304259335.0,2568480108.0,116269306.0,869229120.0,2191040710.0,2378730984.0
 Guinea ,1983,5282274,437,486116198.0,226283598.0,409249598.0,2528748988.0,259228588.0,247112041.0,211634478.0,2269520400.0,567726922.0,81016043.0,629164914.0,321988144.0,2703495365.0,122900952.0,917041560.0,2306458550.0,2504035818.0
 Guinea ,1984,5402084,449,510731863.0,237597135.0,429249609.0,2687464062.0,275498868.0,241653993.0,206960036.0,2411965195.0,596443794.0,85239575.0,657179392.0,339387566.0,2839502152.0,129891484.0,964714712.0,2423124368.0,2630695536.0
 Guinea ,1985,5531661,474,563286171.0,260216211.0,437562604.0,2971983285.0,304665713.0,261760812.0,224180144.0,2667317572.0,646070865.0,92595504.0,722294719.0,358158345.0,3082910538.0,137497156.0,1041457937.0,2624740330.0,2849582447.0
 Guinea ,1986,5671380,487,593181705.0,272817341.0,502028794.0,2945011856.0,301900840.0,328991151.0,281758309.0,2643111016.0,678892161.0,97701324.0,762119549.0,381665056.0,3231361338.0,145348697.0,1076228990.0,2760981551.0,2997494448.0
 Guinea ,1987,5820774,512,613173347.0,286581164.0,540639662.0,3141617682.0,333013065.0,379238383.0,324791609.0,2808604617.0,785997275.0,101233227.0,788799284.0,409082534.0,3426545485.0,156095686.0,1172813469.0,2979945373.0,3172978215.0
 Guinea ,1988,5977175,552,655498066.0,310340384.0,505500308.0,3654903991.0,343695615.0,438660885.0,375682897.0,3311208377.0,875500540.0,113058996.0,873604363.0,460906368.0,3768296009.0,174931814.0,1293015013.0,3299958190.0,3492118027.0
 Guinea ,1989,6136166,540,691725801.0,320816377.0,596611591.0,3471913132.0,366523772.0,449945653.0,385347525.0,3105389360.0,855996312.0,116266655.0,864043179.0,467071643.0,3839735933.0,181116035.0,1314962899.0,3313188937.0,3562030054.0
 Guinea ,1990,6354145,580,841010857.0,376198815.0,653805658.0,3638790175.0,376611569.0,700976022.0,563949634.0,3262178606.0,1053812162.0,128723380.0,1061533510.0,426026866.0,4274610134.0,166518063.0,1403322023.0,3687716067.0,3905810913.0
 Guinea ,1991,6615734,589,821117959.0,369334701.0,568422206.0,3814283735.0,446549469.0,716683662.0,581043558.0,3367734266.0,868812215.0,136560449.0,1065217620.0,559250118.0,4368744604.0,205010146.0,1348814061.0,3899385111.0,4126450795.0
 Guinea ,1992,6832195,623,755907538.0,386071128.0,521674528.0,4476162298.0,564750855.0,725592536.0,590688009.0,3911411443.0,1048395155.0,126513812.0,979550042.0,608722571.0,4843146623.0,234388060.0,1878507283.0,4254923151.0,4445767832.0
 Guinea ,1993,7046097,612,707640501.0,360958617.0,523613126.0,4455771945.0,560565412.0,737046417.0,599161525.0,3895206534.0,1072157136.0,153592827.0,1141004215.0,651335870.0,4754071568.0,241401677.0,1651730687.0,4310273630.0,4422624189.0
