Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Guyana ,1970,705261,568,44627556.0,35795676.0,123366002.0,365004703.0,45450000.0,60950000.0,60950000.0,319554703.0,117752867.0,73495418.0,152387358.0,81938163.0,412348722.0,19665240.0,77934727.0,400569885.0,427060636.0
 Guyana ,1971,713904,604,50977184.0,38076377.0,135147092.0,386489735.0,51139957.0,52849651.0,52849651.0,335349778.0,119626399.0,80024394.0,157696009.0,91042520.0,439758490.0,21454644.0,80511756.0,431448403.0,452349878.0
 Guyana ,1972,721994,622,50225273.0,40463985.0,134625583.0,401282049.0,56006091.0,56964279.0,56964279.0,345275958.0,130082607.0,80393957.0,154985148.0,94469843.0,446135345.0,22685657.0,83305439.0,449127715.0,457871909.0
 Guyana ,1973,729865,654,51914223.0,45127070.0,130356913.0,470303588.0,75824615.0,83326361.0,83326361.0,394478973.0,162672471.0,81837604.0,151258517.0,113514296.0,480204317.0,25788367.0,92601843.0,477649727.0,488212950.0
 Guyana ,1974,737701,897,124510518.0,48846611.0,238780813.0,529633004.0,72838141.0,113208973.0,113208973.0,456794863.0,219478858.0,147928881.0,249941076.0,118591113.0,685368592.0,31321428.0,112157846.0,661449980.0,683753219.0
 Guyana ,1975,745590,1068,153192429.0,65615390.0,308541371.0,572881772.0,98879836.0,166639484.0,166639484.0,474001936.0,288630543.0,188919496.0,311067073.0,131409979.0,817821019.0,32119595.0,124416552.0,796628651.0,804261173.0
 Guyana ,1976,753553,909,96676159.0,68456154.0,240230301.0,649908911.0,125529412.0,166745098.0,166745098.0,524379499.0,312658910.0,144015146.0,252622081.0,134067075.0,714531353.0,32329054.0,130380830.0,685050149.0,710548250.0
 Guyana ,1977,761378,885,87973993.0,63095186.0,227495663.0,645188044.0,113725490.0,128156863.0,128156863.0,531462554.0,267932870.0,133667082.0,253030275.0,139681416.0,701388491.0,34732386.0,122875235.0,673836530.0,703356466.0
 Guyana ,1978,768609,1004,109096489.0,62690477.0,255844631.0,670423507.0,115921569.0,101960784.0,101960784.0,554501938.0,241925842.0,152351097.0,285332128.0,154454895.0,781415452.0,39654311.0,130187153.0,771764551.0,792722199.0
 Guyana ,1979,774482,1030,110105523.0,69828642.0,253732857.0,683928688.0,136509804.0,161176471.0,161176471.0,547418884.0,281117828.0,158990141.0,286167040.0,158063470.0,811279339.0,43170185.0,143944479.0,798078327.0,829243953.0
