Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Haiti ,1970,4680812,162,193503730.0,11490100.0,43752492.0,422322947.0,43519357.0,51395675.0,51395675.0,378803590.0,77316608.0,57189362.0,67896046.0,60453595.0,412729616.0,7703590.0,71682556.0,756061365.0,439235188.0
 Haiti ,1971,4766423,174,205244651.0,13566564.0,61856971.0,451355970.0,50045376.0,59089638.0,59089638.0,401310594.0,96025875.0,67429853.0,80324805.0,64743405.0,454412733.0,8999602.0,81533706.0,827431348.0,481142893.0
 Haiti ,1972,4853117,174,207866544.0,15958258.0,67221013.0,466408411.0,47255245.0,65860084.0,65860084.0,419153166.0,110451890.0,73517104.0,85110711.0,66015359.0,466472165.0,9956862.0,81564431.0,846767191.0,493342053.0
 Haiti ,1973,4940710,216,254717717.0,25161340.0,86499179.0,573402194.0,54814179.0,94174111.0,94174111.0,518588014.0,139981381.0,87574533.0,103749680.0,85777294.0,585572995.0,11436973.0,104729992.0,1065484774.0,619066986.0
 Haiti ,1974,5030652,256,298771691.0,36855368.0,110973661.0,702974915.0,57107827.0,128642960.0,128642960.0,645867088.0,195658193.0,113372351.0,133016075.0,111875686.0,719708637.0,13844149.0,125345668.0,1289263135.0,749829014.0
 Haiti ,1975,5124560,303,369672248.0,45707365.0,131425109.0,850828854.0,82126724.0,166189608.0,166189608.0,768702130.0,243896706.0,123967292.0,142027275.0,143810977.0,870669560.0,17837020.0,151614674.0,1553563366.0,903668048.0
 Haiti ,1976,5222342,384,444274722.0,59943933.0,175345235.0,1102448382.0,100080535.0,208660286.0,208660286.0,1002367847.0,322340378.0,176118457.0,204498992.0,178240366.0,1116919915.0,23341000.0,206620901.0,2007108095.0,1165723824.0
 Haiti ,1977,5323827,404,447928060.0,66549312.0,209374951.0,1234441104.0,110061184.0,230203383.0,230203383.0,1124379920.0,418140840.0,205051512.0,235197781.0,199647936.0,1204428785.0,31283865.0,223821831.0,2151229415.0,1255904962.0
 Haiti ,1978,5428667,407,447491206.0,70862074.0,250612931.0,1260785884.0,128324125.0,263749063.0,263749063.0,1132461759.0,489371301.0,215376067.0,243832490.0,215934036.0,1240086292.0,29014392.0,232952093.0,2207864950.0,1291977417.0
 Haiti ,1979,5536423,444,491121266.0,80558849.0,255139051.0,1409983361.0,146826081.0,288677504.0,288677504.0,1263157279.0,518900385.0,244841358.0,274187795.0,235059212.0,1376117760.0,35100641.0,260089997.0,2455587858.0,1433084374.0
 Haiti ,1980,5646676,558,591143343.0,98809798.0,360077977.0,1837413970.0,201349944.0,381005064.0,381005064.0,1636064026.0,744313237.0,335198518.0,370536744.0,318044039.0,1754903192.0,33965868.0,342403399.0,3152711431.0,1835186153.0
 Haiti ,1981,5760197,586,614123369.0,107715576.0,325880628.0,2025590967.0,236672507.0,385313684.0,385313684.0,1788918461.0,822756909.0,309411185.0,343750044.0,352063662.0,1793211321.0,37230552.0,338328119.0,3374213769.0,1878154812.0
 Haiti ,1982,5877684,572,635038017.0,105384305.0,358569271.0,1932308941.0,235894932.0,378542996.0,378542996.0,1696414010.0,718165346.0,325130097.0,368845068.0,377041625.0,1873889072.0,37860287.0,349719768.0,3360835510.0,1955074018.0
 Haiti ,1983,5997739,618,666915072.0,121799304.0,385893624.0,2114571805.0,240304169.0,409626608.0,409626608.0,1874267636.0,762120852.0,378174064.0,398190033.0,417780131.0,2048868718.0,45142400.0,399041777.0,3704332330.0,2153207282.0
 Haiti ,1984,6119932,676,769945301.0,138219668.0,435513308.0,2332857122.0,273480765.0,443480047.0,443480047.0,2059376357.0,819601129.0,397084683.0,420833767.0,497780799.0,2300336270.0,43698314.0,429858419.0,4138998547.0,2408632093.0
 Haiti ,1985,6245539,733,852063247.0,171353001.0,455294128.0,2546034778.0,303566694.0,514880026.0,514880026.0,2242468084.0,859499204.0,433084262.0,460249982.0,552717912.0,2558279411.0,44405503.0,477489765.0,4579650634.0,2664852619.0
 Haiti ,1986,6375097,830,976494216.0,180095939.0,392263718.0,2815127884.0,297588490.0,498568824.0,498568824.0,2517539394.0,731464704.0,475967839.0,506373647.0,636183058.0,2883873936.0,51455983.0,533271093.0,5288933287.0,2967489907.0
 Haiti ,1987,6508349,716,870557345.0,162455903.0,479433434.0,2461355129.0,244698915.0,475486934.0,475486934.0,2216656213.0,849130213.0,403818958.0,433215740.0,553381535.0,2535859280.0,51057569.0,465191188.0,4662652259.0,2597747243.0
 Haiti ,1988,6644959,673,830709608.0,168609797.0,423373574.0,2707972984.0,268478737.0,439290346.0,439290346.0,2439494247.0,845741665.0,380218897.0,432380898.0,516762560.0,2618641436.0,116193726.0,553984846.0,4475128143.0,2727220041.0
 Haiti ,1989,6784161,692,873514859.0,160067942.0,351548123.0,2895959760.0,291589579.0,466554711.0,466554711.0,2604370181.0,748165746.0,451174497.0,520013392.0,511713184.0,2798448734.0,142610340.0,590529017.0,4696412499.0,2978573401.0
 Haiti ,1990,6925331,769,981466170.0,185972093.0,361674433.0,3696674737.0,306255831.0,531475544.0,531475544.0,3390418906.0,1056466428.0,517600661.0,637209075.0,649747448.0,3434043014.0,150181342.0,829466887.0,5323711692.0,3516591132.0
 Haiti ,1991,7066055,724,975325898.0,332023661.0,300971063.0,3472528470.0,324936907.0,599410424.0,599410424.0,3147591562.0,870587252.0,446625666.0,522658636.0,674581157.0,3388232721.0,163643948.0,719999421.0,5115585481.0,3549886598.0
 Haiti ,1992,7205780,506,801377105.0,177183818.0,154784897.0,2587348247.0,239197756.0,364252745.0,364252745.0,2348150492.0,517421422.0,334380728.0,386129766.0,538685734.0,2558754597.0,122731469.0,532646705.0,3647232015.0,2610501517.0
 Haiti ,1993,7345940,423,633136431.0,134930983.0,188490582.0,2763915414.0,142131125.0,185583903.0,185583903.0,2621784289.0,669589256.0,353900316.0,407350694.0,447449773.0,2287600500.0,113370964.0,551361656.0,3110599098.0,2330045919.0
 Haiti ,1994,7486091,491,836823884.0,123526478.0,130371696.0,3263330335.0,143777098.0,153165002.0,153165002.0,3119553237.0,511594989.0,454252432.0,510061601.0,553884450.0,2835386403.0,166182380.0,644907610.0,3673843607.0,2859784660.0
