Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Hungary ,1970,10315366,613,997312758.0,486628278.0,1508314262.0,4273331726.0,1188694301.0,2146729756.0,2354421053.0,3084637424.0,1546546565.0,1501450448.0,2123523788.0,1254069998.0,5882136627.0,538504574.0,482097230.0,6318590468.0,6388906324.0
 Hungary ,1971,10345364,665,1141283291.0,531404856.0,1636075410.0,4651787028.0,1311910120.0,2619379817.0,2664173782.0,3339876908.0,1881064368.0,1639279002.0,2318297653.0,1375847368.0,6486688611.0,590800297.0,529055147.0,6878331844.0,6953258638.0
 Hungary ,1972,10376617,778,1263919006.0,626977663.0,2180042853.0,5305291064.0,1450050161.0,2589255659.0,2978667681.0,3855240903.0,2001903575.0,1934379367.0,2735428632.0,1620866963.0,7566490445.0,695974626.0,623323554.0,8075855053.0,8155392660.0
 Hungary ,1973,10410508,961,1659476530.0,793778507.0,3021942397.0,6421664296.0,1716244927.0,2995024810.0,3543152549.0,4705419369.0,2533330848.0,2449759338.0,3465466846.0,1991360457.0,9530273420.0,855138083.0,765052997.0,10000141379.0,10099274415.0
 Hungary ,1974,10457947,1046,1790544055.0,932461992.0,3608258946.0,7410116806.0,2079179732.0,3958150830.0,4194455346.0,5330937073.0,3801197713.0,2874747496.0,4064682215.0,2324558661.0,11005042339.0,998204319.0,894591098.0,10940084961.0,11069182856.0
 Hungary ,1975,10520237,1181,1934882914.0,1085169219.0,4074609642.0,8551213040.0,2374243247.0,4769495934.0,5157552528.0,6176969793.0,4577505133.0,3349451648.0,4735433286.0,2641782610.0,12547594128.0,1134148363.0,1016177736.0,12424881166.0,12622019527.0
 Hungary ,1976,10578508,1371,2216648314.0,1201077572.0,4417307751.0,9693416601.0,2682338757.0,5247037435.0,5699587245.0,7011077843.0,4643405337.0,3710216742.0,5254138005.0,2972386099.0,14059620881.0,1276769432.0,1138601459.0,14501775046.0,14626534131.0
 Hungary ,1977,10627916,1518,2504108354.0,1353694282.0,5256648729.0,10694427305.0,2981743203.0,6076529625.0,6798987695.0,7712684103.0,5552247683.0,4160318209.0,5873798339.0,3332670353.0,15784439634.0,1431030716.0,1289137591.0,16136540504.0,16335178700.0
 Hungary ,1978,10664862,1762,2764704116.0,1569664471.0,5757225585.0,12626278482.0,3682658861.0,7880301530.0,7966429178.0,8943619622.0,6777938699.0,4861920864.0,6871813545.0,3946681268.0,18361876717.0,1693115064.0,1515898252.0,18791814791.0,19096959625.0
 Hungary ,1979,10692715,2021,2972292257.0,1792252656.0,7126436790.0,14861730941.0,4259932269.0,7502707749.0,8743080037.0,10601798672.0,7321096870.0,5549964035.0,7898490124.0,4462747555.0,20734012797.0,1920039199.0,1688191006.0,21610461152.0,22049261780.0
 Hungary ,1980,10698679,2340,3750760936.0,1816990881.0,7754037809.0,17721542979.0,5021170699.0,7819847581.0,8992546236.0,12700372280.0,7791087131.0,5500451642.0,7695936784.0,4770290322.0,21979619898.0,2046187829.0,1899453146.0,25036410810.0,25483141828.0
 Hungary ,1981,10680620,2358,3966535490.0,1790998821.0,8038578383.0,18158501006.0,5197434015.0,7751704789.0,8482607436.0,12961066991.0,7858696365.0,5680934294.0,8055452602.0,4962217353.0,22763794235.0,2122900828.0,1865689140.0,25181421356.0,26132691670.0
 Hungary ,1982,10655624,2379,4099820771.0,1813081632.0,7862249297.0,18313426116.0,5289943645.0,7589993621.0,8226366300.0,13023482472.0,7328756732.0,5610098408.0,8152226129.0,5040955821.0,23113397077.0,2187368365.0,1819944358.0,25345130475.0,26613373060.0
 Hungary ,1983,10620934,2192,3624509367.0,1695652574.0,7565184275.0,16843597650.0,4870017421.0,6390218609.0,7262928648.0,11973580229.0,6861118285.0,5016376842.0,7368457700.0,4668346826.0,20976377386.0,1904248313.0,1715162606.0,23278842963.0,24152666924.0
 Hungary ,1984,10580906,2121,3497527233.0,1636629077.0,7487779036.0,16205561851.0,4620255264.0,6025698810.0,6607570175.0,11585306586.0,6582052172.0,4975603570.0,7086234842.0,4634134234.0,20334042140.0,1756499885.0,1723016869.0,22439719436.0,23417035737.0
 Hungary ,1985,10542754,2155,3363065629.0,1631224712.0,7788466370.0,16837013307.0,4870138480.0,5928476165.0,6523962404.0,11966874827.0,7052269904.0,5106276570.0,7252830466.0,5138958718.0,20990791609.0,1764396021.0,1840316064.0,22716010402.0,23712895485.0
 Hungary ,1986,10505772,2491,4028619133.0,1904808787.0,8427294588.0,19826473157.0,5795965378.0,7343923290.0,8027018681.0,14030507779.0,8311114826.0,5645394807.0,8204999929.0,6233048543.0,24758578836.0,2140900833.0,2246201610.0,26174949602.0,27314387215.0
 Hungary ,1987,10469192,2755,4074229273.0,2170912120.0,8848105453.0,21556178626.0,6164560509.0,8016453825.0,9102778632.0,15391618118.0,8532455387.0,6177536901.0,8925101456.0,6677856164.0,26735483608.0,2287015473.0,2600369122.0,28839070781.0,30019919943.0
 Hungary ,1988,10434265,2963,4201880783.0,2122268460.0,9415581530.0,22517853258.0,6966670356.0,8186603717.0,8258608247.0,15551182901.0,8312056923.0,6096322270.0,8889198943.0,8317072636.0,28193709060.0,2283048254.0,2380239983.0,30917118355.0,32146934198.0
 Hungary ,1989,10397173,2985,4032709075.0,2042886594.0,9406836008.0,22374943492.0,6732510199.0,8777313367.0,8447749128.0,15642433293.0,8128992028.0,6616187155.0,9005604237.0,8854254745.0,28861741344.0,2390710612.0,2535576083.0,31030704070.0,32588183005.0
 Hungary ,1990,10375989,3427,4173472410.0,2075228435.0,9213362310.0,26053075619.0,7936028728.0,9497552122.0,8488548676.0,18117046891.0,8037228310.0,6484752911.0,9170747116.0,10284400335.0,32241246377.0,2577735078.0,3959663004.0,35555628737.0,37192704193.0
 Hungary ,1991,10374747,3150,3115600502.0,1706011087.0,9997859307.0,27752431492.0,8660281107.0,7279972870.0,7902256200.0,19092150385.0,10284666140.0,6237422863.0,8560494272.0,10675857801.0,31015120948.0,2815453187.0,4141704099.0,32681277525.0,34753391432.0
 Hungary ,1992,10370060,3537,2868400880.0,2011379090.0,10695314728.0,32347399927.0,9973514407.0,6376901484.0,8360266990.0,22373885520.0,10777422055.0,6962285586.0,8713433156.0,13209578842.0,33679232453.0,3112309479.0,3764131007.0,36676214401.0,38730540974.0
