Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Iceland ,1970,204468,2567,52517588.0,73933995.0,233403409.0,385923864.0,69875000.0,146464773.0,151113636.0,316048864.0,225194318.0,89263985.0,104857519.0,133868650.0,478052556.0,61893338.0,50981466.0,524783293.0,526704545.0
 Iceland ,1971,206171,3245,67371201.0,94751041.0,247179546.0,491709091.0,91893182.0,249251137.0,231819318.0,399815910.0,290564773.0,109283050.0,128512988.0,172781379.0,605431945.0,77980872.0,64034467.0,669026198.0,670251137.0
 Iceland ,1972,209191,3992,82232676.0,115488625.0,289635138.0,618300258.0,127682469.0,266142144.0,281398144.0,490617789.0,305399861.0,134023526.0,159663571.0,217437540.0,755223025.0,100892433.0,79508179.0,835158302.0,839648791.0
 Iceland ,1973,212374,5392,115819672.0,163592412.0,403085033.0,805375107.0,169368244.0,414579319.0,420931250.0,636006863.0,427512050.0,213705206.0,247746448.0,282703842.0,1058554807.0,133478221.0,115214214.0,1145092071.0,1150420406.0
 Iceland ,1974,215281,6996,155965244.0,218718924.0,468885628.0,1121183906.0,248071901.0,613036301.0,586717580.0,873112004.0,615631555.0,217823931.0,257134954.0,407058258.0,1348915940.0,170988481.0,139050079.0,1506058536.0,1515165330.0
 Iceland ,1975,218070,6347,126902706.0,177379572.0,461374150.0,1033743453.0,235726601.0,555650477.0,530414783.0,798016852.0,579008426.0,210096160.0,260850257.0,369305285.0,1249248385.0,185156221.0,129654344.0,1384038313.0,1406920850.0
 Iceland ,1976,220244,7445,146251100.0,213017407.0,568042780.0,1188386778.0,266576581.0,534839483.0,549207799.0,921810197.0,563603012.0,274413754.0,331796118.0,414065727.0,1455232676.0,195288271.0,154814053.0,1639785407.0,1669473116.0
 Iceland ,1977,221887,9816,224566305.0,259109851.0,716305627.0,1571335043.0,355219490.0,738243073.0,703431890.0,1216115553.0,735436718.0,363734105.0,433448364.0,544210661.0,1874597143.0,227664391.0,185597571.0,2178075591.0,2208509077.0
 Iceland ,1978,223641,11035,267916128.0,275390428.0,903766541.0,1821197235.0,428359127.0,693399809.0,713861182.0,1392838108.0,832984050.0,387145105.0,464522278.0,643352683.0,2122530904.0,259784970.0,211564418.0,2467948447.0,2511818476.0
 Iceland ,1979,225853,12405,299870794.0,275762080.0,1066704198.0,2113469938.0,502433352.0,796232558.0,783666761.0,1611036586.0,1037270278.0,491663460.0,591190870.0,739479649.0,2412660834.0,261902634.0,244454807.0,2801693470.0,2853435054.0
 Iceland ,1980,228263,14529,338302068.0,335775334.0,1182331111.0,2478292634.0,574094564.0,1018293433.0,1004382014.0,1904198070.0,1185809486.0,576315360.0,711765289.0,848685493.0,2865988869.0,305367657.0,326093029.0,3316436189.0,3381389676.0
 Iceland ,1981,230882,14736,329159476.0,355394517.0,1191334107.0,2621644708.0,603684569.0,1041786961.0,1007159379.0,2017960139.0,1245842691.0,586907398.0,713014734.0,843745591.0,2946988359.0,350924752.0,354749290.0,3402237520.0,3493005069.0
 Iceland ,1982,233995,13268,246999945.0,371373973.0,1016615076.0,2470151614.0,582839216.0,1000964793.0,921969175.0,1887312399.0,1169309640.0,512410656.0,642756816.0,884620664.0,2761540787.0,323739743.0,292049646.0,3104633983.0,3206617910.0
 Iceland ,1983,237131,11206,213474224.0,262905251.0,1081527245.0,2133991504.0,504909585.0,647228476.0,699327262.0,1629081919.0,1025826847.0,418479128.0,582547451.0,772100739.0,2440632358.0,299748331.0,309856362.0,2657270515.0,2765954007.0
 Iceland ,1984,239677,11414,235266713.0,273180015.0,1072641008.0,2214140626.0,480427592.0,738852492.0,714336958.0,1733713033.0,1077215476.0,474124831.0,655780903.0,731774902.0,2523705558.0,310312215.0,317390810.0,2735595546.0,2864437590.0
 Iceland ,1985,241577,11865,284881177.0,269496720.0,1183252829.0,2371071465.0,527487348.0,689922255.0,720079479.0,1843584117.0,1181925604.0,476111020.0,642183439.0,837581198.0,2626673434.0,281771988.0,310758911.0,2866307499.0,2984054729.0
 Iceland ,1986,243357,15856,398270496.0,379258772.0,1516686280.0,3114602590.0,722038918.0,818569151.0,880452598.0,2392563672.0,1369558027.0,672036769.0,857551526.0,1042251353.0,3469870760.0,366552761.0,425985852.0,3858697877.0,3989626759.0
 Iceland ,1987,246032,21929,563660956.0,570813935.0,1864332270.0,4454777214.0,1043729882.0,1272251125.0,1290739338.0,3411047332.0,1927005732.0,971158735.0,1182851727.0,1620160423.0,5088880110.0,514662902.0,636730167.0,5395347391.0,5520320732.0
 Iceland ,1988,249917,23825,604807137.0,574683510.0,1910726388.0,4907458822.0,1219243998.0,1416347552.0,1374497138.0,3688214825.0,1970827518.0,1005271162.0,1271422829.0,1917030535.0,5559006920.0,568709088.0,622353822.0,5954313762.0,6106638136.0
 Iceland ,1989,253042,21634,529711604.0,528479485.0,1873815879.0,4492567896.0,1096205715.0,1187445556.0,1204808334.0,3396362182.0,1753605367.0,879700574.0,1119229485.0,1717915404.0,4963416812.0,475960898.0,592119935.0,5474373704.0,5672570225.0
 Iceland ,1990,255019,24520,619876984.0,591290686.0,2144154269.0,5050485268.0,1241165384.0,1366495924.0,1408227573.0,3809319884.0,2067696730.0,936544411.0,1188717380.0,1925388358.0,5721159013.0,588302360.0,807583245.0,6253066243.0,6468739062.0
 Iceland ,1991,257991,26080,683123598.0,604842836.0,2130769137.0,5495110321.0,1368720784.0,1540737789.0,1524601500.0,4126389537.0,2222218909.0,1003335551.0,1258490625.0,2094523458.0,6109464827.0,604256042.0,864228269.0,6728383542.0,6909725357.0
 Iceland ,1992,261262,26497,681448076.0,626462198.0,2113684147.0,5684251641.0,1445057751.0,1427032185.0,1431664693.0,4239193890.0,2126362714.0,990399185.0,1266427426.0,2243477795.0,6339992639.0,624332802.0,897844343.0,6922740574.0,7080977567.0
