Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 India ,1970,557501301,111,25159589226.0,2799196632.0,2361333331.0,55326240238.0,5585091949.0,10227772896.0,9698056135.0,49741148289.0,2421333331.0,8714053188.0,10148908687.0,14308238913.0,57570350340.0,2056083786.0,3098333098.0,62043816334.0,62422483000.0
 India ,1971,569999178,117,25728683780.0,3082143731.0,2453304711.0,60177465965.0,6471621001.0,11587349896.0,11095582237.0,53705844965.0,2677545839.0,9678521858.0,11216429588.0,15785901508.0,61406195258.0,2223388420.0,3369648231.0,66510066771.0,66898484438.0
 India ,1972,582837973,124,27917651280.0,3313853742.0,2929763995.0,65183988752.0,6790098031.0,11548797280.0,12404652494.0,58393890721.0,2698016371.0,10608724274.0,12247294886.0,17035185953.0,66596065955.0,2405443058.0,3676637036.0,72346521069.0,72744178924.0
 India ,1973,596107483,145,36087353867.0,3350709914.0,3655367998.0,76354451086.0,7301907685.0,16285408084.0,13815693206.0,69052543401.0,4102278714.0,12592873913.0,14373170674.0,18698534512.0,79595775667.0,2615895778.0,4470110922.0,86431572173.0,86851358251.0
 India ,1974,609721951,160,37781336766.0,3507330570.0,4733630977.0,88413898920.0,8465925845.0,18550733995.0,16268683996.0,79947973075.0,5898832448.0,15465086340.0,17767778910.0,20981902685.0,88943196186.0,3157696519.0,5747150735.0,97618797022.0,97977985187.0
 India ,1975,623524219,163,36221308302.0,4238667165.0,5745059787.0,88735890914.0,9652302503.0,18975679902.0,18022127266.0,79083588412.0,6762264887.0,15559667749.0,18338136795.0,22950130801.0,91509744631.0,3443114571.0,6318386998.0,101000000000.0,102000000000.0
 India ,1976,637451448,160,34591066586.0,4688339812.0,6851246908.0,86878193327.0,10020694800.0,19308772758.0,18944455697.0,76857498527.0,6265336397.0,16093940302.0,19295663880.0,23722411761.0,92267266395.0,3817322692.0,6152461664.0,102000000000.0,102000000000.0
 India ,1977,651685628,182,41995291820.0,5583968509.0,7598491871.0,102000000000.0,10963260785.0,22971796341.0,22367739759.0,90751223562.0,7457736675.0,18484811764.0,22177410163.0,26483793228.0,108000000000.0,4263495353.0,7201108691.0,119000000000.0,119000000000.0
 India ,1978,666267760,206,46034325470.0,6112140615.0,8684411874.0,118000000000.0,12981744727.0,31455251827.0,26669427210.0,105000000000.0,9060349872.0,22703845763.0,27212120801.0,30711385700.0,124000000000.0,5292555595.0,8197580954.0,137000000000.0,138000000000.0
 India ,1979,681248383,223,48015645441.0,6219488331.0,10263616250.0,130000000000.0,15046100255.0,33559115293.0,30951121124.0,115000000000.0,12422175351.0,26213335321.0,31649808955.0,34140250126.0,136000000000.0,5874996208.0,9746047950.0,152000000000.0,152000000000.0
 India ,1980,696828385,269,62412577571.0,8362864696.0,11482975327.0,164000000000.0,18052184028.0,38786786533.0,36801025923.0,146000000000.0,17291231869.0,30255815919.0,36983955832.0,40073162936.0,167000000000.0,6477656480.0,12398513461.0,187000000000.0,187000000000.0
 India ,1981,712869298,280,64011525973.0,8681326538.0,11844976582.0,171000000000.0,19208422863.0,40895190517.0,39643884983.0,152000000000.0,17103379309.0,32066097279.0,41261129749.0,42064517463.0,177000000000.0,7234897167.0,13800723788.0,200000000000.0,200000000000.0
 India ,1982,729169466,279,62474804201.0,9189774870.0,12229337551.0,174000000000.0,20791842202.0,42193938177.0,42951812710.0,154000000000.0,16642813776.0,32634562713.0,42888909121.0,44085117372.0,181000000000.0,8091580458.0,13995416347.0,204000000000.0,204000000000.0
 India ,1983,745826546,298,70312398069.0,10033162928.0,13010330120.0,191000000000.0,22490090717.0,43961289559.0,45842300413.0,168000000000.0,17501909191.0,35965684084.0,46931627208.0,46250496402.0,198000000000.0,9058679035.0,15084071392.0,222000000000.0,223000000000.0
 India ,1984,762895156,289,66614491762.0,10503725462.0,13945772309.0,189000000000.0,22984553485.0,45923857735.0,46276739262.0,166000000000.0,17147509004.0,36026671618.0,47230246816.0,46815993315.0,196000000000.0,9297943348.0,15564138856.0,221000000000.0,222000000000.0
 India ,1985,780242084,293,65681261207.0,11257920922.0,12087721072.0,193000000000.0,25144112092.0,51274035424.0,50156898547.0,168000000000.0,17587872664.0,37123354479.0,49125342653.0,48811833631.0,202000000000.0,10142270844.0,16633720407.0,229000000000.0,230000000000.0
 India ,1986,797878993,315,68749087698.0,12977771160.0,13118086302.0,214000000000.0,29159123581.0,54842369132.0,57814350275.0,185000000000.0,17729994053.0,40237874013.0,53356816709.0,55030243696.0,220000000000.0,11668538128.0,18153920941.0,251000000000.0,252000000000.0
 India ,1987,815716125,340,74977851994.0,14613142192.0,15647108745.0,233000000000.0,33303930141.0,66060600044.0,68242753423.0,199000000000.0,19487713613.0,44830082453.0,58612842727.0,60850728147.0,242000000000.0,13687679790.0,19647288664.0,277000000000.0,279000000000.0
 India ,1988,833729681,366,86228262925.0,15979167798.0,18619562289.0,252000000000.0,35801199786.0,76241557134.0,72723106524.0,216000000000.0,23000508967.0,49648192313.0,65546921024.0,65183328681.0,270000000000.0,15263147013.0,21530550899.0,305000000000.0,309000000000.0
