Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Iraq ,1970,9811347,291,560176938.0,116871448.0,2364168353.0,1242508920.0,496861718.0,226359335.0,359395607.0,745647202.0,544439503.0,333918421.0,1437000654.0,848901228.0,3451737749.0,204956824.0,283830658.0,2854338262.0,3288597405.0
 Iraq ,1971,10154928,310,602434345.0,121715187.0,2877821036.0,1254114428.0,516013489.0,208670054.0,368078509.0,738100939.0,645496754.0,330808479.0,1795857341.0,892764149.0,3898794283.0,222493129.0,263530131.0,3149912436.0,3695109103.0
 Iraq ,1972,10507315,320,729604130.0,126790106.0,2686751122.0,1389810285.0,608891568.0,299919175.0,413089209.0,780918717.0,665597529.0,392712719.0,1573655967.0,965231762.0,3924041590.0,240957304.0,287802321.0,3362916379.0,3710883393.0
 Iraq ,1973,10872139,407,661088602.0,180810558.0,3795765098.0,1327302568.0,714324491.0,390543052.0,624078051.0,612978077.0,858535686.0,494717776.0,2347712085.0,1189080543.0,5018120790.0,277807888.0,361621116.0,4421152069.0,4655075459.0
 Iraq ,1974,11243146,453,489513867.0,273417408.0,5142048957.0,987862985.0,603067858.0,485490057.0,790326959.0,384795127.0,1132629124.0,330210863.0,3934749033.0,980961876.0,6193827395.0,218206433.0,296978779.0,5096077424.0,5482773378.0
 Iraq ,1975,11617622,573,574301922.0,656318724.0,6283694484.0,1858681002.0,835900890.0,885952576.0,1375051579.0,1022780111.0,2176954113.0,498735879.0,4329934226.0,1280567956.0,7566003912.0,340231498.0,384649586.0,6658755563.0,6851374576.0
 Iraq ,1976,11999342,732,767215405.0,864145649.0,8028934922.0,2115700664.0,1005248301.0,716144030.0,1676952189.0,1110452363.0,2140209789.0,679227065.0,5772714696.0,1336278206.0,9624529472.0,445485682.0,438689834.0,8780358986.0,8720570626.0
 Iraq ,1977,12400190,771,856228912.0,714497602.0,8711131038.0,2601124409.0,957716308.0,816196256.0,1767911908.0,1643408101.0,2695269606.0,839392950.0,6237723831.0,1500977529.0,10322334308.0,506453217.0,506453217.0,9559175228.0,9433182963.0
 Iraq ,1978,12819707,949,1000898107.0,1016897931.0,10757855223.0,2924656588.0,1239096922.0,813263622.0,2537117406.0,1685559666.0,2558015548.0,920353536.0,7779369173.0,1887252016.0,13136946741.0,682719780.0,769809734.0,12167431810.0,11937760980.0
 Iraq ,1979,13233830,1220,946919534.0,1538163833.0,15072242798.0,2688977228.0,1172774355.0,1463510378.0,2997173145.0,1516202874.0,3202606104.0,972921901.0,11478652075.0,2196580913.0,18035737079.0,862102289.0,1013318436.0,16149279917.0,16022125770.0
 Iraq ,1980,13653369,1323,897889583.0,1520082648.0,16682478385.0,2717357400.0,1323983407.0,1672759257.0,3216406912.0,1393373993.0,3531644007.0,861944954.0,12597805975.0,2459847120.0,19265111158.0,807483394.0,982002437.0,18062504634.0,17540952644.0
 Iraq ,1981,14067260,1079,1485923101.0,2872629148.0,13860582638.0,7913170292.0,4245831786.0,5603064818.0,6354402326.0,3667338506.0,11627939988.0,1123734205.0,6391568752.0,4134769586.0,17855026150.0,1217041778.0,1753093785.0,15182159244.0,15748879205.0
 Iraq ,1982,14467682,1078,1865655055.0,3213753237.0,13498987362.0,11402092160.0,5795420964.0,6133312091.0,6575807510.0,5606671196.0,14492695732.0,1383998081.0,5730450107.0,4340041330.0,18423628591.0,1150933658.0,2122795203.0,15602949275.0,16541697399.0
 Iraq ,1983,14903737,1011,1849952711.0,2584908457.0,29377481079.0,7896167951.0,3666372463.0,2209489731.0,3817587962.0,4229795488.0,23718093877.0,1324516934.0,5234989271.0,4317472403.0,17084580255.0,1049170266.0,2048087148.0,15063833167.0,15765046330.0
 Iraq ,1984,15377032,1031,2343084889.0,1812666166.0,26393077210.0,6134042567.0,2509084261.0,2253087041.0,2920060242.0,3624958306.0,18417381540.0,1569416816.0,6068564523.0,4989628168.0,18426862249.0,974807293.0,2238111211.0,15846910439.0,16362826779.0
 Iraq ,1985,15753856,1033,2589432533.0,1694404401.0,27057828009.0,6088201426.0,2267142095.0,3101260739.0,2773866804.0,3821059331.0,19369836120.0,1773874557.0,6190641208.0,4963468580.0,18678363288.0,925713440.0,2314703126.0,16268752626.0,16877455603.0
 Iraq ,1986,16148221,1100,2956433860.0,1868903605.0,33514263284.0,12825313331.0,5183030283.0,4693913584.0,2866258607.0,7642283047.0,32415255841.0,2388051052.0,5653770029.0,6383867879.0,20971271880.0,1501950550.0,2606345957.0,17762412747.0,18618236066.0
 Iraq ,1987,16598019,1318,3526319686.0,2003199351.0,34014496289.0,8392846756.0,3362241469.0,3471999627.0,2828165087.0,5030605287.0,23103666362.0,2899654862.0,8350490783.0,7304089332.0,26017650620.0,1777650417.0,3055901051.0,21879059260.0,22775678399.0
 Iraq ,1988,16987346,1380,3783004015.0,2039322526.0,33636942742.0,9750708834.0,3918694813.0,4440972181.0,3211771104.0,5832014021.0,23529836912.0,3525002154.0,8816776497.0,7699213337.0,27436022065.0,1728599125.0,3369106565.0,23449226021.0,24298789074.0
 Iraq ,1989,17442590,1275,4029699179.0,1707452705.0,31228543445.0,8132574603.0,2979563773.0,3280032179.0,4196620420.0,5153010830.0,19629662663.0,3244617772.0,8259070848.0,7573705258.0,26278369123.0,1846549042.0,2861892092.0,22240675144.0,23011489675.0
 Iraq ,1990,17658381,1307,5202779634.0,1909554218.0,28319962534.0,7981839143.0,2885717995.0,4071632029.0,3904443238.0,5096121148.0,16496505155.0,2321757187.0,6357060724.0,7778738050.0,27516662754.0,2372732767.0,3896135695.0,23083759289.0,23876930742.0
 Iraq ,1991,17846378,453,2790806756.0,374938219.0,3085495792.0,6354497244.0,2811315525.0,2532949423.0,919886876.0,3543181719.0,3609850516.0,587929341.0,731831036.0,3916544451.0,10700323241.0,1221133719.0,1665253669.0,8090260530.0,8363092710.0
