Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Jordan ,1970,1557374,410,45546451.0,23159034.0,50327964.0,634442908.0,191210846.0,90788071.0,89820683.0,443232062.0,215039914.0,70772814.0,82666341.0,256764938.0,549985001.0,41709878.0,100138365.0,638678808.0,611658057.0
 Jordan ,1971,1636320,418,69779497.0,22565211.0,50899872.0,665797058.0,196748468.0,144603624.0,109424405.0,469048590.0,248919901.0,73007745.0,82055561.0,260562019.0,581395067.0,43314104.0,103118673.0,684072511.0,653043178.0
 Jordan ,1972,1704787,441,77662481.0,27909585.0,105803030.0,737071710.0,222481967.0,173770709.0,129384464.0,514589740.0,329839636.0,84927317.0,96842883.0,281049007.0,646591305.0,51067828.0,112059519.0,751634696.0,726694152.0
 Jordan ,1973,1767414,491,55854182.0,49700371.0,162869984.0,860565161.0,283254939.0,175039337.0,182865129.0,577310220.0,415131143.0,114580940.0,129873529.0,330079059.0,753276946.0,57543014.0,130226795.0,867485081.0,832202553.0
 Jordan ,1974,1827584,545,98092367.0,55967692.0,254609662.0,995521068.0,352883732.0,298815419.0,249778782.0,642637336.0,608832891.0,85909038.0,119819179.0,386991755.0,848404917.0,73523924.0,114010004.0,995747448.0,961720762.0
 Jordan ,1975,1886636,691,84777047.0,63665193.0,379711312.0,1387294234.0,400531558.0,407403238.0,349896573.0,986762677.0,941550492.0,141438217.0,190396253.0,536652835.0,1146233668.0,80024712.0,190717628.0,1304331944.0,1258484721.0
 Jordan ,1976,1945141,855,117156026.0,84963681.0,562647313.0,1704986082.0,546319114.0,663792445.0,529152391.0,1158666968.0,1295245749.0,142655565.0,195054732.0,597652411.0,1345726793.0,104986403.0,245913539.0,1663759768.0,1623526673.0
 Jordan ,1977,2005418,1015,132056678.0,118513552.0,707173380.0,2068250488.0,553299851.0,902310297.0,761616626.0,1514950637.0,1650334081.0,178578636.0,239650740.0,748690186.0,1672662660.0,121803004.0,311948499.0,2035503423.0,1997934810.0
 Jordan ,1978,2069104,1300,199931312.0,176949471.0,884178169.0,2664857432.0,723238082.0,1070519640.0,954232425.0,1941619347.0,1982167696.0,254202007.0,331569882.0,1001951951.0,2291581400.0,210272590.0,370906193.0,2689285388.0,2641835601.0
 Jordan ,1979,2138078,1525,151375306.0,248916420.0,1154789881.0,3452989087.0,911454416.0,1367833223.0,1248244669.0,2541534674.0,2745283028.0,354800302.0,452153402.0,1293733326.0,2827002166.0,228602951.0,452220757.0,3260150794.0,3199701180.0
 Jordan ,1980,2216903,1902,242898371.0,347028894.0,1607013331.0,3835744489.0,952013956.0,1990034274.0,1699713749.0,2883730532.0,3227993633.0,483589106.0,633169048.0,1474217556.0,3587095784.0,300643881.0,589138037.0,4215804055.0,4138327919.0
 Jordan ,1981,2306655,1968,236988988.0,354927168.0,1946514437.0,4308575830.0,1006576681.0,2610791127.0,2175849204.0,3301999148.0,4214768499.0,665493785.0,807795909.0,1481443568.0,3856062861.0,349669696.0,625237531.0,4540417023.0,4413144085.0
 Jordan ,1982,2406349,2006,241978360.0,366710055.0,1935091091.0,4660386262.0,1076263237.0,2577691141.0,2157056978.0,3584123025.0,4288328341.0,689893954.0,834684929.0,1623598036.0,4108387781.0,384947675.0,656468724.0,4826737446.0,4694875437.0
