Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Kazakhstan ,1990,16866563,1759,10092238600.0,3356340289.0,2300363381.0,23588856367.0,3679329663.0,13847912417.0,11560066503.0,19909526704.0,9037549070.0,2236320427.0,4365719998.0,8647635556.0,31782223447.0,2781879345.0,2538409658.0,29664227474.0,29664227474.0
 Kazakhstan ,1991,16993792,1607,8047653312.0,2368511290.0,7779769247.0,22628077614.0,3954017144.0,6476891577.0,7417618487.0,18674060471.0,12178404606.0,2720606458.0,5579123914.0,10658281165.0,31016156775.0,2040915443.0,2321671651.0,27307795648.0,27307795648.0
 Kazakhstan ,1992,17043417,1552,6108247080.0,2160773258.0,20351775592.0,19123736180.0,3031345713.0,7349201564.0,7206972894.0,16092390466.0,23678137428.0,2999042126.0,6044037704.0,11634806783.0,30261563931.0,1967271339.0,2346427767.0,26444499393.0,26444499393.0
 Kazakhstan ,1993,16979697,1444,4039019369.0,1915332844.0,9311114182.0,20828670147.0,3414548411.0,4920276660.0,6856821394.0,17414121737.0,11484069358.0,2862904305.0,5612254159.0,9856096735.0,26543029872.0,2451878937.0,2668447828.0,24511194929.0,24570568940.0
 Kazakhstan ,1994,16747151,1303,3279632103.0,1977343399.0,8132351059.0,19382026674.0,2343682420.0,6297943150.0,5733291538.0,17038344254.0,10337911964.0,2546370431.0,5244610619.0,6040077206.0,21779869741.0,2449264795.0,2788941620.0,21828437554.0,21940937833.0
 Kazakhstan ,1995,16434324,1239,2534226458.0,1247841884.0,8010827902.0,17406697343.0,2791711781.0,4793219977.0,4738607098.0,14614985562.0,8951125196.0,2423557211.0,4704397558.0,5317137136.0,19702904047.0,2192416284.0,3706884727.0,20369722146.0,20554360574.0
 Kazakhstan ,1996,16144247,1292,2556249319.0,870132502.0,7418919320.0,16872559556.0,2715905602.0,3396485563.0,3623535238.0,14156653955.0,7573731861.0,2370229587.0,4924568161.0,5631729476.0,20158399313.0,2372342329.0,3803377526.0,20852965678.0,21035357833.0
 Kazakhstan ,1997,15820432,1382,2528418890.0,881251367.0,7739646727.0,18375042916.0,2744291632.0,3457489975.0,3602521292.0,15630751284.0,8299522121.0,2436564043.0,5484993538.0,6133643082.0,21253336868.0,2592593869.0,3632436123.0,21856023861.0,22165932063.0
 Kazakhstan ,1998,15474254,1411,1896059768.0,1092916436.0,6716763867.0,18605762207.0,2386487165.0,3498338938.0,3479349964.0,16219275042.0,7716342003.0,2660635137.0,5395949087.0,6003038185.0,20943718871.0,3057166149.0,3498589247.0,21837309182.0,22135245413.0
 Kazakhstan ,1999,15256255,1071,1667907800.0,800441197.0,7163702485.0,14163174276.0,1947008952.0,2998996849.0,2729664501.0,12216165323.0,6768075132.0,2377376802.0,4761304627.0,4423927824.0,16077102658.0,2034719023.0,2388802186.0,16345577433.0,16870817135.0
