Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Kenya ,1970,11473087,231,566807616.0,101409780.0,465823575.0,2114190488.0,320046819.0,447521488.0,447271209.0,1794143669.0,490272187.0,445762394.0,673575848.0,1061777821.0,2789874355.0,212676897.0,173626394.0,2651393126.0,2758997133.0
 Kenya ,1971,11898457,249,586465684.0,113110908.0,495788835.0,2529686612.0,392315455.0,570292870.0,569973931.0,2137371157.0,623982784.0,517659555.0,782247049.0,1255562602.0,3146338051.0,228238621.0,180713186.0,2958801028.0,3057527368.0
 Kenya ,1972,12322903,269,688032367.0,136513165.0,544822896.0,2720035999.0,437053183.0,633658744.0,633304367.0,2282982817.0,601697684.0,603936148.0,862602676.0,1405543445.0,3531378768.0,243800346.0,194886769.0,3314241410.0,3428282654.0
 Kenya ,1973,12760405,300,809958605.0,150715578.0,667964969.0,3027614358.0,481455805.0,707612309.0,707216573.0,2546158553.0,714227255.0,756273607.0,1056868377.0,1596632142.0,4117707501.0,287220006.0,216312794.0,3824129427.0,4043963046.0
 Kenya ,1974,13203949,349,944977015.0,162837477.0,973605972.0,3921237979.0,595457651.0,785230718.0,784791574.0,3325780328.0,1210330498.0,922429199.0,1233646999.0,1815385235.0,4793394463.0,346843962.0,289703775.0,4611584056.0,4822330499.0
 Kenya ,1975,13651908,371,998361627.0,180818902.0,945977367.0,4562524533.0,700025623.0,909523921.0,909015265.0,3862498911.0,1119081757.0,956505162.0,1318914060.0,2062905751.0,5265757602.0,374445957.0,330311304.0,5062858924.0,5287777194.0
 Kenya ,1976,14102268,379,1174718227.0,166129334.0,1097645739.0,4427181121.0,712543209.0,956542839.0,956007888.0,3714637911.0,1098655179.0,951817656.0,1309383755.0,2089638527.0,5453047740.0,377915456.0,335262442.0,5348963671.0,5635656184.0
 Kenya ,1977,14577346,476,1688123313.0,200534404.0,1528132237.0,5241038463.0,913189153.0,1300464249.0,1299736959.0,4327849310.0,1413592204.0,1202793724.0,1689204260.0,2490309237.0,6926071898.0,437421412.0,420479271.0,6945241416.0,7284732377.0
 Kenya ,1978,15087423,544,1726180333.0,263044997.0,1492819638.0,6801587993.0,1211665755.0,1835278575.0,1834252187.0,5589922238.0,2041385698.0,1566995785.0,2159119915.0,3123967187.0,8386872772.0,598824259.0,515736081.0,8207832595.0,8625073365.0
 Kenya ,1979,15620613,607,1850050544.0,330268093.0,1561779017.0,8148354937.0,1403566999.0,1993647272.0,1992532316.0,6744787939.0,1961711128.0,1849606783.0,2600178198.0,3743300629.0,9832604267.0,705003933.0,603802869.0,9487545162.0,9892705588.0
 Kenya ,1980,16187124,686,1984215180.0,411008943.0,1974592982.0,9230732534.0,1689200346.0,2317164622.0,2315868737.0,7541532188.0,2823645806.0,2198749210.0,3034845869.0,4361660044.0,11278664108.0,790529258.0,696404812.0,11107384542.0,11522042948.0
 Kenya ,1981,16785962,624,1878722286.0,382945329.0,1714065059.0,8565211617.0,1494337709.0,2220683111.0,2219441184.0,7070873908.0,2306979330.0,2004997760.0,2812501635.0,4278593163.0,10715834752.0,724319844.0,638752495.0,10466169333.0,10865842823.0
 Kenya ,1982,17411491,582,1890912787.0,351402988.0,1564144649.0,8510873017.0,1390413481.0,1687893689.0,1686949727.0,7120459536.0,1838115503.0,1883633496.0,2425250579.0,4266401822.0,10303013642.0,776210461.0,592835004.0,10125454195.0,10465597244.0
 Kenya ,1983,18069461,519,1813927627.0,308593282.0,1455892439.0,7674182944.0,1292501985.0,1486535679.0,1485704327.0,6381680959.0,1515678679.0,1695122868.0,2271973092.0,3904368433.0,9630316034.0,743616588.0,587837013.0,9380983788.0,9730531195.0
 Kenya ,1984,18753176,517,1855541468.0,282113674.0,1580788020.0,8090408279.0,1263676049.0,1545170846.0,1544306702.0,6826732230.0,1700695972.0,1768840746.0,2383889273.0,3963581187.0,9923816709.0,794844394.0,643846714.0,9696897892.0,10076083328.0
 Kenya ,1985,19452161,492,1782121836.0,300491550.0,1510965879.0,7453085303.0,1257025091.0,1488071963.0,1487239752.0,6196060212.0,1606845571.0,1743431185.0,2359274596.0,4024251791.0,9960383448.0,825507569.0,668736106.0,9578079040.0,9980429738.0
 Kenya ,1986,20160879,561,2115182225.0,315821152.0,1819191910.0,9091972704.0,1556547930.0,1961139433.0,1960042656.0,7535424773.0,1846788415.0,2072371361.0,2746191443.0,4849376267.0,11718911243.0,963102877.0,729237280.0,11306658037.0,11772892220.0
 Kenya ,1987,20882094,594,2198088076.0,363125573.0,1655545259.0,10383642488.0,1737471152.0,2158627964.0,2157420741.0,8646171336.0,2096820963.0,2191450602.0,2921313453.0,5469532567.0,12851579096.0,1094538238.0,804981189.0,12413014461.0,12961066098.0
 Kenya ,1988,21626122,612,2333218817.0,438381974.0,1813450064.0,11044950338.0,1805344300.0,2360630952.0,2359310758.0,9239606038.0,2302871842.0,2346584186.0,3092525553.0,5915099286.0,13746095620.0,1120689212.0,846180778.0,13227860424.0,13853138691.0
 Kenya ,1989,22387803,578,2241797641.0,371116504.0,1889759812.0,11132936424.0,1754788390.0,2224241200.0,2222997282.0,9378148034.0,2526291914.0,2298520107.0,3023169635.0,5888412352.0,13528312339.0,1153894891.0,849921316.0,12946000956.0,13561386190.0
 Kenya ,1990,23162269,565,2163306130.0,423720260.0,2172963038.0,11125323763.0,1875545866.0,2442509342.0,2441143357.0,9249777897.0,2665751504.0,2382156409.0,3141098472.0,6066123986.0,13862763064.0,1195937828.0,872576387.0,13096796032.0,13873931205.0
 Kenya ,1991,23918235,514,1888466436.0,429899324.0,2140471775.0,10435586438.0,1604189698.0,2141022476.0,2139825099.0,8831396741.0,2290080384.0,2346294407.0,3066315177.0,5903357827.0,13292954564.0,1136188325.0,868727476.0,12282625129.0,13077674589.0
