Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Kiribati ,1970,57437,377,2521628.0,618628.0,10318517.0,15865851.0,5355465.0,1968027.0,1666626.0,10510386.0,7897224.0,5076488.511627907,8266363.0,3084644.0,17034241.0,433277.0,2109702.0,21645388.0,20195540.0
 Kiribati ,1971,58535,361,2305073.0,503682.0,11107881.0,14498810.0,4855663.0,1757334.0,1473746.0,9643147.0,7171691.0,5076488.511627907,7340463.0,3527426.0,16486155.0,518190.0,2291321.0,21145986.0,20096898.0
 Kiribati ,1972,59606,415,3017897.0,830494.0,10326577.0,21528059.0,7132198.0,2295299.0,2166859.0,14395860.0,10382487.0,5076488.511627907,6334529.0,5789561.0,18944124.0,425263.0,2546378.0,24734444.0,23892867.0
 Kiribati ,1973,60598,622,4509789.0,942720.0,20075242.0,26908771.0,9359214.0,3988011.0,3061486.0,17549557.0,13986890.0,5076488.511627907,8794959.0,10657206.0,30199578.0,1039022.0,4255884.0,37675228.0,36642222.0
 Kiribati ,1974,60953,1045,5336382.0,646638.0,42201840.0,32920470.0,10636998.0,3574086.0,2847674.0,22283473.0,15827608.0,5076488.511627907,15754823.0,15923093.0,49336062.0,2579796.0,9095331.0,63711937.0,62237866.0
 Kiribati ,1975,60675,921,5683879.0,902811.0,36155000.0,31961120.0,9937871.0,4455369.0,3722466.0,22023248.0,16601056.0,5076488.511627907,11477205.0,18524922.0,45987509.0,2302612.0,7096082.0,55906442.0,56230437.0
 Kiribati ,1976,60310,626,4689839.0,976442.0,23994986.0,24054003.0,7192550.0,4302465.0,3769525.0,16861453.0,13488736.0,5076488.511627907,6536137.0,16781189.0,34864491.0,1592104.0,4288780.0,37751805.0,39355314.0
 Kiribati ,1977,59894,554,4886569.0,1333611.0,20109698.0,22875658.0,6573629.0,5246673.0,4820313.0,16302028.0,13840116.0,5076488.511627907,4762046.0,19313574.0,34959196.0,1390128.0,3273269.0,33193540.0,34783095.0
 Kiribati ,1978,59465,634,6287719.0,2249339.0,20812953.0,26883398.0,7419433.0,7901213.0,7901213.0,19463965.0,17536839.0,5076488.511627907,4514330.0,27646855.0,45282300.0,1498930.0,3085127.0,37695452.0,37964368.0
 Kiribati ,1979,59775,568,6331085.0,1230661.0,20030457.0,25501331.0,6970952.0,7235672.0,7235672.0,18530379.0,18795098.0,3313620.0,3852965.0,16085779.0,32201818.0,1726950.0,2974378.0,33972361.0,33972361.0
 Kiribati ,1980,60813,536,4026826.0,1110169.0,7533168.0,43530056.0,12452612.0,14151957.0,14153009.0,31077444.0,32056034.0,3540279.0,3884033.0,15675839.0,31280457.0,2721338.0,3862251.0,32571669.0,32571669.0
