Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Liechtenstein ,1970,21089,5156,2442156.0,8039804.0,46568375.0,72411341.0,9145417.0,42055332.0,37000181.0,63265923.0,46668955.0,23921600.0,27537489.0,37112267.0,103322115.0,9418562.0,18771837.0,108728707.0,110617915.0
 Liechtenstein ,1971,21517,5883,2843524.0,9359250.0,51497599.0,83722052.0,11082883.0,49294742.0,45772893.0,72639168.0,51491272.0,27853086.0,32062694.0,43200194.0,120283150.0,10964511.0,21852977.0,126577272.0,128776607.0
 Liechtenstein ,1972,21873,6893,3387018.0,11149363.0,60397612.0,99807945.0,13168566.0,57464180.0,55326928.0,86639379.0,59226388.0,33180479.0,38195343.0,51452407.0,143276214.0,13060884.0,26031199.0,150773493.0,153393256.0
 Liechtenstein ,1973,22251,9108,4550598.0,14985377.0,81923873.0,135367993.0,18277836.0,76123099.0,73612118.0,117090156.0,80849146.0,44569426.0,51307979.0,69196386.0,192585400.0,17555544.0,34989516.0,202662903.0,206184278.0
 Liechtenstein ,1974,22638,10775,5482575.0,18034542.0,103725241.0,164967362.0,22768181.0,91389502.0,83112129.0,142199180.0,104736227.0,53703160.0,61816486.0,83227651.0,231801712.0,21129085.0,42111374.0,243931316.0,248169750.0
 Liechtenstein ,1975,23030,12194,6308108.0,20771946.0,115307354.0,199022970.0,28429968.0,77365120.0,83371145.0,170593002.0,99881150.0,61817410.0,71160959.0,95800075.0,266859202.0,24328910.0,48489204.0,280823215.0,285702666.0
 Liechtenstein ,1976,23416,13529,7103363.0,23418754.0,139123845.0,229786223.0,33462277.0,78764088.0,80643592.0,196323946.0,119520461.0,69525189.0,80048002.0,108332558.0,301033144.0,27439905.0,54690562.0,316785482.0,322289800.0
 Liechtenstein ,1977,23803,15526,8330723.0,27313010.0,177077311.0,270844850.0,38429588.0,91906626.0,94759697.0,232415261.0,156845027.0,81627642.0,93931680.0,125826266.0,351195297.0,32006050.0,63787568.0,369572494.0,375994027.0
 Liechtenstein ,1978,24205,21218,11516332.0,38042201.0,235552425.0,372266197.0,53001989.0,133683775.0,136012705.0,319264208.0,208826695.0,113009839.0,130114841.0,175118901.0,488035547.0,44516514.0,88726759.0,513572786.0,522496381.0
 Liechtenstein ,1979,24616,25039,13747218.0,45486959.0,284617681.0,451502896.0,64002638.0,176396382.0,166227614.0,387500258.0,275121681.0,134053199.0,154425921.0,212318001.0,585699438.0,53361315.0,106360024.0,616348229.0,627057635.0
 Liechtenstein ,1980,25003,26922,15412251.0,49703691.0,323245846.0,491289131.0,68757458.0,219506282.0,197883814.0,422531673.0,337557545.0,151501360.0,174063606.0,226131652.0,639666536.0,58261588.0,116093747.0,673138790.0,684834945.0
 Liechtenstein ,1981,25346,23580,13191086.0,44575545.0,298923006.0,434967040.0,62074885.0,177701889.0,177470946.0,372892156.0,294195716.0,130035847.0,149965618.0,204723326.0,567953058.0,51944603.0,103552880.0,597670336.0,608055192.0
