Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Lithuania ,1990,3785847,2707,2589547627.0,952226971.0,3963426872.0,7705748282.0,2147328158.0,3382558208.0,2693100369.0,5558420124.0,4855476254.0,1646774524.0,1923928152.0,3037170456.0,10152823398.0,772437102.0,877513089.0,10248868989.0,10234675998.0
 Lithuania ,1991,3793425,2638,1466608758.0,477692302.0,2202332893.0,6549254054.0,1182970895.0,2460292927.0,2136795346.0,5366283159.0,1644061156.0,3283512223.0,3826845967.0,1881694656.0,9075114721.0,754133187.0,668139852.0,10008792292.0,9980258448.0
 Lithuania ,1992,3795742,2126,993313081.0,281507757.0,1396579031.0,6359212643.0,1149197265.0,1282661662.0,1762964009.0,5210015378.0,1253567224.0,2227170914.0,2593259699.0,1968793507.0,7309748734.0,702085020.0,770789670.0,8070326111.0,8037647737.0
 Lithuania ,1993,3788528,1825,906684241.0,326952775.0,4233316939.0,5991172044.0,1171946545.0,1339938126.0,1518311439.0,4819225500.0,4873863292.0,1790410397.0,2103938288.0,1509367406.0,6450806711.0,639219900.0,964644101.0,6915636914.0,6892993902.0
 Lithuania ,1994,3770456,1689,607694238.0,410476541.0,2617234854.0,5496040371.0,1365484758.0,1186471408.0,1399370980.0,4130555613.0,3052010332.0,1279491406.0,1480463922.0,1668708653.0,5820503309.0,589461194.0,1063698760.0,6367352451.0,6352640053.0
 Lithuania ,1995,3747267,1785,661852558.0,424185975.0,2489558573.0,5884462886.0,1607660798.0,1527077625.0,1364770992.0,4276802088.0,3201860854.0,1120967058.0,1462818427.0,1868856486.0,5987019678.0,523726746.0,1045579486.0,6687850894.0,6699238229.0
 Lithuania ,1996,3722022,2229,917264806.0,512395520.0,3516811459.0,7392169439.0,2018634634.0,1769776663.0,1726365472.0,5373534806.0,4296093745.0,1354952092.0,1759823104.0,2321851761.0,7539027382.0,719915706.0,1307776486.0,8295594559.0,8382663817.0
 Lithuania ,1997,3694896,2687,953383683.0,669651570.0,4550836150.0,8647090462.0,2444717922.0,2491439486.0,2265411429.0,6202372540.0,5570561069.0,1619446930.0,2058074242.0,2742670393.0,8869511206.0,882823126.0,1562908194.0,9927145280.0,10118805892.0
 Lithuania ,1998,3665510,2998,861203418.0,820738329.0,4397839992.0,9781214414.0,2909393157.0,2740205957.0,2687953008.0,6871821258.0,5679519352.0,1763650533.0,2243252222.0,3170622510.0,9851811226.0,1011568542.0,1744426206.0,10988300346.0,11239741011.0
 Lithuania ,1999,3633944,2947,700315886.0,731670763.0,3556846675.0,9719741626.0,2596636806.0,2347582890.0,2412333248.0,7123104820.0,4652397672.0,1660837370.0,2151519958.0,3312692282.0,9645149925.0,1094163834.0,1654787202.0,10710406918.0,10971772656.0
 Lithuania ,2000,3599637,3144,643790961.0,613848279.0,4447940983.0,10067998803.0,2585397079.0,2170455976.0,2209848971.0,7482601724.0,5161420670.0,1934116995.0,2421317434.0,3361533001.0,10255579932.0,1353892946.0,1861197312.0,11317908087.0,11524975093.0
 Lithuania ,2001,3560142,3391,596497096.0,648673220.0,5396416511.0,10571126145.0,2590846461.0,2336071254.0,2515981988.0,7980279684.0,6066015426.0,2110576655.0,2664737244.0,3476261776.0,10906110758.0,1453101385.0,2066840038.0,12072251662.0,12237598485.0
 Lithuania ,2002,3515799,4012,680782121.0,801688771.0,6758274795.0,12100344662.0,2935354605.0,2966704356.0,2952665752.0,9164990057.0,7568497534.0,2324979602.0,2945380703.0,4023618694.0,12699461550.0,1797051111.0,2450940150.0,14105948383.0,14256825340.0
 Lithuania ,2003,3469675,5279,830699100.0,1170454304.0,8681211406.0,15743805776.0,3676428831.0,4126193388.0,4054925665.0,12067376945.0,9769239350.0,3134474672.0,4061767267.0,5162516192.0,16849699721.0,2407502834.0,3216760025.0,18316217731.0,18781970092.0
 Lithuania ,2004,3422591,6455,944087705.0,1484581791.0,11034166617.0,19043608785.0,4340528807.0,5178234539.0,5193510549.0,14703079978.0,12631735250.0,4126881976.0,5208877207.0,6237247459.0,20488382551.0,2794583451.0,3819004938.0,22094360316.0,22624275933.0
 Lithuania ,2005,3373533,7612,1130327497.0,1842901077.0,14396283761.0,21663222123.0,4837378992.0,6336765662.0,6124237406.0,16825843131.0,16282780090.0,4769654188.0,5897130101.0,7161010301.0,23661185383.0,3207424386.0,4422392020.0,25678620567.0,26113491455.0
