Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Luxembourg ,1970,339342,3239,39644234.0,69887963.0,1308947460.0,837973481.0,154671244.0,320531164.0,300888859.0,683302236.0,1035759203.0,438144820.0,514117934.0,202188974.0,1070713062.0,94585005.0,150288953.0,1099288898.0,1457806532.0
 Luxembourg ,1971,341971,3364,40444186.0,84885397.0,1352414921.0,952566210.0,179709336.0,383980133.0,385288482.0,772856875.0,1202600323.0,389635452.0,473946189.0,242283199.0,1118928159.0,106314894.0,171054295.0,1150420733.0,1518835231.0
 Luxembourg ,1972,346079,4221,53298307.0,118236782.0,1592240045.0,1171289685.0,225762603.0,461881792.0,472624231.0,945527082.0,1369292968.0,467744840.0,569984025.0,350195016.0,1440632406.0,135608951.0,213309323.0,1460649065.0,1901709535.0
 Luxembourg ,1973,349186,5693,70886556.0,149518519.0,2355183012.0,1481380403.0,297263866.0,601863670.0,636829436.0,1184116538.0,1875414904.0,694633928.0,812312792.0,443125941.0,1928612747.0,170172766.0,282596173.0,1988037293.0,2609869868.0
 Luxembourg ,1974,351387,7003,67070142.0,182359707.0,3300863595.0,1730981106.0,368547497.0,574429447.0,699305368.0,1362433609.0,2431890688.0,924763430.0,1043099526.0,536191171.0,2376613775.0,200902480.0,346990748.0,2460653638.0,3183694938.0
 Luxembourg ,1975,353666,7315,73025318.0,206095495.0,2917616010.0,2145595289.0,471066112.0,609343473.0,774849423.0,1674529177.0,2581967846.0,635308091.0,774507548.0,832988870.0,2497133290.0,201504670.0,409011389.0,2587222717.0,3123245878.0
 Luxembourg ,1976,355889,8181,65402958.0,198732123.0,3047758503.0,2308084358.0,509492671.0,663938282.0,762617789.0,1798591687.0,2642282868.0,757635360.0,893371673.0,963377949.0,2782822324.0,224933183.0,437004439.0,2911355789.0,3423596639.0
 Luxembourg ,1977,358267,9168,77482640.0,216279638.0,3324828677.0,2702385857.0,607842112.0,658704302.0,849449894.0,2094543746.0,2941514232.0,758731875.0,908334863.0,1180048472.0,3149200727.0,258907034.0,508148080.0,3284695582.0,3789242159.0
 Luxembourg ,1978,361069,11330,100461175.0,254773510.0,3993428175.0,3282939531.0,745636732.0,1002797149.0,1015098148.0,2537302799.0,3645138151.0,980695806.0,1140265819.0,1420914153.0,3866252771.0,332603840.0,617234274.0,4090980483.0,4718731048.0
 Luxembourg ,1979,362932,13180,111935121.0,288920962.0,5067400677.0,3851728924.0,890524527.0,1036940808.0,1202987222.0,2961204396.0,4494736546.0,1158084959.0,1339453705.0,1453154564.0,4344672254.0,404090543.0,747117359.0,4783346434.0,5517052787.0
 Luxembourg ,1980,363741,14600,107801888.0,347078070.0,5383165945.0,4296288330.0,1014790019.0,1293865792.0,1459651400.0,3281498312.0,5038502943.0,1191020999.0,1376446737.0,1443266443.0,4524251804.0,423829424.0,825829242.0,5310636898.0,6019955121.0
 Luxembourg ,1981,364473,12712,95465437.0,277653920.0,4423392521.0,3743477097.0,888782110.0,1056792007.0,1149089998.0,2854694987.0,4243870365.0,975878860.0,1138819517.0,1358307174.0,3933738277.0,351255242.0,712236988.0,4633331555.0,5053610531.0
 Luxembourg ,1982,365020,12667,107312381.0,223855738.0,4137806455.0,3339490997.0,764083927.0,974295473.0,1028454783.0,2575407070.0,3913036002.0,942774608.0,1072507548.0,1725446846.0,4065992199.0,290029320.0,646840366.0,4623833800.0,4602154360.0
 Luxembourg ,1983,365440,12749,87569796.0,215239062.0,4124061361.0,3224755485.0,720947477.0,938545465.0,859315214.0,2503808009.0,3821605601.0,897526537.0,1015627934.0,1957410236.0,4215213916.0,309514633.0,629852255.0,4659066343.0,4524143125.0
 Luxembourg ,1984,365779,12344,80174163.0,191686413.0,4532483042.0,3083552223.0,688882416.0,935301450.0,795748679.0,2394669807.0,4137872746.0,914938853.0,1025665394.0,1727516201.0,3945316809.0,325184749.0,595089889.0,4515324737.0,4438355309.0
 Luxembourg ,1985,366466,12803,86407596.0,200281100.0,5014694968.0,3228662846.0,727838376.0,791092899.0,723417007.0,2500824470.0,4440185306.0,919595173.0,1035474372.0,2022328251.0,4306142096.0,323315766.0,638335012.0,4691996829.0,4577080629.0
 Luxembourg ,1986,368170,18156,116623145.0,304267701.0,6703276313.0,4484510851.0,1039254639.0,1383172975.0,1341462207.0,3445256212.0,5901426294.0,1341260564.0,1495638209.0,2827039054.0,6160958000.0,511937978.0,905451913.0,6684418423.0,6685668210.0
 Luxembourg ,1987,370526,22707,133949469.0,418554838.0,8110659477.0,5718424683.0,1367887364.0,1959207994.0,1925410680.0,4350537319.0,7485493991.0,1478961346.0,1659066083.0,3550940379.0,7556972704.0,651814628.0,1142647305.0,8413591633.0,8321012342.0
 Luxembourg ,1988,373432,25017,141532725.0,525092952.0,9327871090.0,6261214009.0,1472226237.0,2290070578.0,2187028565.0,4788987772.0,8465704607.0,1678937567.0,1872278894.0,3816986549.0,8368885931.0,742392522.0,1270602290.0,9342163494.0,9418548369.0
 Luxembourg ,1989,376949,26143,147697720.0,545545903.0,10219756990.0,6368315173.0,1528468000.0,2409841171.0,2278132482.0,4839847172.0,8953392893.0,1862401224.0,2050867152.0,3692897687.0,8565324943.0,802474148.0,1325842335.0,9854736382.0,10037677686.0
 Luxembourg ,1990,381267,33423,167377618.0,783466374.0,12741971871.0,8138499153.0,1990335649.0,3157951604.0,2939363798.0,6148163504.0,11257781430.0,2122959764.0,2377829912.0,4757706566.0,10843933233.0,1040253513.0,1717299251.0,12743130720.0,12778661499.0
 Luxembourg ,1991,386399,35968,132524784.0,877720445.0,13779445704.0,8744906398.0,2086477098.0,3654191937.0,3426703406.0,6658429300.0,12320332859.0,1959138511.0,2223672413.0,5484661986.0,11714107203.0,1174266393.0,1821261184.0,13897922324.0,13834007181.0
 Luxembourg ,1992,391516,39613,156218795.0,1001559887.0,15301892305.0,9642034755.0,2434946704.0,3565732466.0,3255739040.0,7207088051.0,13028310220.0,2082319677.0,2377739729.0,6377180173.0,13271464606.0,1389358114.0,1969407906.0,15508967824.0,15519378566.0
 Luxembourg ,1993,396697,39360,152731189.0,986742542.0,15744274594.0,9600389034.0,2483552989.0,3686345095.0,3704966279.0,7116836045.0,13144191700.0,1933699150.0,2232550531.0,6294501730.0,12931923694.0,1362665574.0,1902732129.0,15613815530.0,15925050500.0
 Luxembourg ,1994,402043,41589,158460660.0,1053293541.0,18081318409.0,10537194066.0,2682563460.0,3876402250.0,3888150999.0,7854630607.0,14807580914.0,2109616235.0,2440565676.0,8212776681.0,15631212437.0,1632887104.0,2133228777.0,16720749632.0,17702547862.0
 Luxembourg ,1995,407635,49826,194901268.0,1242921152.0,21787350100.0,12540893316.0,3274303540.0,4264165854.0,4306398203.0,9266589776.0,17739043640.0,2469360152.0,2855479007.0,10094907851.0,18777341175.0,1907263373.0,2481868525.0,20310842175.0,20853364262.0
 Luxembourg ,1996,413202,49186,170268793.0,1210503964.0,22562523772.0,12540624123.0,3355757333.0,4107313131.0,4084961802.0,9184866790.0,18315578348.0,2286124724.0,2675635889.0,10347111166.0,18854273400.0,1954277513.0,2496476075.0,20323577226.0,20894882678.0
 Luxembourg ,1997,418411,45181,139196422.0,1121679071.0,22736979582.0,11407065629.0,3078899772.0,4174710891.0,4023555897.0,8328165857.0,18755175507.0,2139670955.0,2489147668.0,9711906231.0,17582847571.0,1908086250.0,2212831929.0,18904022231.0,19563580594.0
 Luxembourg ,1998,423574,44588,156623581.0,1209776666.0,25730472865.0,11858084225.0,3075773609.0,4498517359.0,4288284155.0,8782310616.0,21937462317.0,2224161988.0,2581566881.0,9664542812.0,18036092296.0,2147432181.0,2276150175.0,18886116933.0,20149609909.0
 Luxembourg ,1999,429349,47034,156206839.0,1259251708.0,28444761502.0,12338174372.0,3281075544.0,5185711225.0,5103340936.0,9057098828.0,24077361251.0,2146161796.0,2517724619.0,10931398718.0,19575338873.0,2353323898.0,2357433091.0,20193828251.0,21891286913.0
 Luxembourg ,2000,435628,43009,126401230.0,1158127911.0,31267428546.0,11555141303.0,3069772841.0,4777452569.0,4591136147.0,8485368462.0,26422568621.0,2042037312.0,2368909182.0,10806348807.0,18888973889.0,2233926790.0,2195259969.0,18735850734.0,21177454719.0
 Luxembourg ,2001,441250,43134,119726893.0,1197481902.0,31241433186.0,11999032671.0,3276530859.0,4746404059.0,4567775680.0,8722501812.0,26618032948.0,1951250548.0,2288598760.0,10873841845.0,19171381912.0,2362870131.0,2328862382.0,19032864135.0,21368836968.0
 Luxembourg ,2002,445913,44530,162572800.0,1360917351.0,32097787872.0,13543677405.0,3755797600.0,4808455118.0,4790679983.0,9787879805.0,26911211847.0,2052169385.0,2430710977.0,12095489945.0,21103839656.0,2502525838.0,2551622745.0,19856646657.0,23538708549.0
 Luxembourg ,2003,451351,53099,137417951.0,1678684701.0,39324036601.0,17160237801.0,4845459872.0,6307791742.0,6305387772.0,12314777929.0,33191303571.0,2616759136.0,3125923474.0,15341072062.0,26494053935.0,3086230873.0,3124724874.0,23966151418.0,29600762574.0
 Luxembourg ,2004,457788,68994,187411919.0,1922137168.0,50309904205.0,19759623276.0,5731789934.0,7457288310.0,7313399515.0,14027833343.0,42524814215.0,2903402805.0,3481942970.0,18563263862.0,31108010654.0,3569206509.0,3384048227.0,31584757222.0,35002001577.0
 Luxembourg ,2005,464860,73777,134248620.0,1895181068.0,57926115505.0,20680816296.0,6244493359.0,8100181565.0,7866669154.0,14436322937.0,49049784858.0,2949362036.0,3552371537.0,20595902353.0,33445295478.0,3889038949.0,3378552952.0,34295865045.0,37657297418.0
 Luxembourg ,2006,472404,72671,133656433.0,2100655154.0,71913675229.0,22034098952.0,6504273502.0,8147347029.0,7825393882.0,15529825449.0,59223093368.0,3036149823.0,3695890208.0,24466041864.0,38492412779.0,4150890108.0,3945279013.0,34329951316.0,42872029096.0
 Luxembourg ,2007,479868,91277,187129733.0,2628841252.0,87364663051.0,25150818292.0,7433645276.0,10053120734.0,9586296898.0,17717173017.0,71049342526.0,4104010539.0,4829070503.0,29173520385.0,46067159159.0,4960391439.0,4288205848.0,43801040872.0,51519259551.0
 Luxembourg ,2008,488635,93881,180380199.0,2862632771.0,94647334867.0,28509006822.0,8491704621.0,12061122031.0,11640287635.0,20017302201.0,76610400442.0,3917411845.0,4642087876.0,33506896657.0,52731285351.0,5562914427.0,5976373422.0,45873360305.0,58607061813.0
 Luxembourg ,2009,497868,69490,126581705.0,2663187725.0,80247797267.0,27938008633.0,8723777075.0,8779052990.0,9101557875.0,19214231557.0,62715913659.0,2523896311.0,3307777960.0,31787312738.0,48784029918.0,5506674398.0,5392495391.0,34596901758.0,54248945231.0
 Luxembourg ,2010,507070,75267,150738045.0,2657947709.0,91376542308.0,28174486756.0,8865178136.0,10155375491.0,9154886715.0,19309308620.0,73547213121.0,2789006131.0,3518424953.0,32901039779.0,50640606098.0,5638228544.0,5774227069.0,38165807114.0,56159192758.0
 Luxembourg ,2011,518206,82423,154726054.0,2843789615.0,104000000000.0,31095769285.0,9886084746.0,11872574722.0,11865522573.0,21209684538.0,85784446128.0,3000392350.0,3754272992.0,34919136093.0,55328816743.0,6103295942.0,7553596047.0,42712275813.0,61615545000.0
 Luxembourg ,2012,530585,86542,172136839.0,2825131796.0,102000000000.0,30255128601.0,9746553211.0,11210090876.0,11157448788.0,20508575390.0,84035485942.0,2723932198.0,3407938849.0,34616916998.0,53556500946.0,5878876547.0,6655499918.0,45918147001.0,59779802783.0
 Luxembourg ,2013,543066,86115,170723538.0,3040317446.0,115000000000.0,32345628371.0,10657928886.0,11828014867.0,11919980817.0,21687699485.0,93963923837.0,2968766834.0,3766887623.0,38253068799.0,58446368392.0,5956060960.0,7259310026.0,46766342161.0,65184744717.0
