Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Malawi ,1970,4625141,122,470006404.0,43234127.0,74479758.0,470666723.0,61345328.0,204891042.0,136180136.0,409321395.0,126568801.0,72499468.0,80071298.0,54773950.0,679571362.0,10916294.0,20569287.0,565927686.0,579154348.0
 Malawi ,1971,4742480,152,584006188.0,57644673.0,91368723.0,620921921.0,69928869.0,194863556.0,121603033.0,550993050.0,143059738.0,79060180.0,88487285.0,58945596.0,839055069.0,17517340.0,32453988.0,722642884.0,728514493.0
 Malawi ,1972,4865978,170,665498722.0,77733601.0,102231689.0,693216710.0,72488185.0,271775544.0,167762463.0,620728525.0,173081107.0,100497957.0,110541530.0,68034437.0,978235573.0,21742360.0,34684921.0,825735637.0,832498418.0
 Malawi ,1973,4996239,161,486628102.0,75536405.0,132747489.0,658698637.0,74117758.0,244043374.0,168444582.0,584580879.0,187577528.0,125248845.0,138793524.0,105975598.0,870856468.0,26415312.0,37507526.0,804583170.0,802818733.0
 Malawi ,1974,5134199,198,596832086.0,98760073.0,166168512.0,772569371.0,97382418.0,367744656.0,192754421.0,675186952.0,240107801.0,160172571.0,174139927.0,128893610.0,1081338427.0,30279648.0,52433085.0,1017945893.0,991310465.0
 Malawi ,1975,5280965,214,632116289.0,116781291.0,193102154.0,857723773.0,107821849.0,507205232.0,283384766.0,749901924.0,316134962.0,191778918.0,211677334.0,139881074.0,1200425913.0,39795559.0,60174365.0,1130379601.0,1107997918.0
 Malawi ,1976,5438226,216,718970822.0,128132480.0,220591046.0,927225191.0,117855758.0,431789404.0,275240741.0,809369433.0,292708844.0,201668408.0,221686585.0,146229628.0,1324001152.0,35869070.0,73112567.0,1176561585.0,1211195441.0
 Malawi ,1977,5611712,251,928685664.0,147401819.0,261487364.0,1085793123.0,136156999.0,488233110.0,332414016.0,949636124.0,313644225.0,220117326.0,245419485.0,164416499.0,1612529132.0,38708818.0,87896846.0,1410830922.0,1456858030.0
 Malawi ,1978,5808810,294,984529261.0,232592707.0,237931467.0,1254085575.0,198315873.0,894931247.0,543942035.0,1055769702.0,438294664.0,281588723.0,313823168.0,216678730.0,1885324256.0,51070660.0,86629730.0,1706171077.0,1714737269.0
 Malawi ,1979,6029140,292,1096479879.0,155145931.0,265343501.0,1503546795.0,250629514.0,785020033.0,527272018.0,1252917280.0,485439555.0,323134272.0,364952339.0,257642703.0,2004916404.0,47358116.0,83337436.0,1763171946.0,1840148967.0
 Malawi ,1980,6267369,328,1158825375.0,291763509.0,332401200.0,1888910371.0,297705483.0,673945363.0,510250582.0,1591204890.0,539479598.0,467333142.0,507521986.0,261021893.0,2345878862.0,47636997.0,79109102.0,2055908546.0,2236356796.0
 Malawi ,1981,6519891,320,987919659.0,198841718.0,343409801.0,1873613161.0,275748568.0,459786408.0,348108756.0,1597864593.0,437285937.0,431400118.0,472957619.0,316424948.0,2112650534.0,60001890.0,76504698.0,2086447213.0,2236401776.0
 Malawi ,1982,6784347,286,937505675.0,165448030.0,286983805.0,1796072706.0,251849702.0,422304067.0,319730513.0,1544223004.0,382297546.0,354109028.0,393481514.0,237635788.0,1883187087.0,35834829.0,113281252.0,1940261413.0,2113676343.0
 Malawi ,1983,7058317,282,958717943.0,127725978.0,274415406.0,1924328557.0,249527527.0,412011193.0,311937677.0,1674801030.0,389185801.0,317141803.0,360852031.0,288084924.0,1845270468.0,33256764.0,76632829.0,1989858565.0,2203656462.0
 Malawi ,1984,7339002,280,979821250.0,78272269.0,370507007.0,1698478204.0,233513081.0,386539239.0,292652613.0,1464965122.0,358522501.0,416094012.0,452886606.0,303090383.0,1901892637.0,43698948.0,44123182.0,2057136483.0,2157877491.0
 Malawi ,1985,7625078,253,872066971.0,83584502.0,295876561.0,1726224874.0,250517605.0,370313356.0,280367839.0,1475707269.0,376556320.0,376683975.0,406806967.0,259681039.0,1743005303.0,40773782.0,80092043.0,1932213456.0,2027757275.0
 Malawi ,1986,7909819,255,879153169.0,77663552.0,293171029.0,1755420749.0,291167201.0,348126614.0,263570042.0,1464253549.0,332984852.0,442245249.0,466329058.0,254160192.0,1780414272.0,30099729.0,73008572.0,2014136807.0,2124237127.0
 Malawi ,1987,8295993,245,893743170.0,113606447.0,325531555.0,1827423357.0,275311202.0,391957412.0,296754765.0,1552112154.0,369450768.0,481828978.0,508130908.0,284855751.0,1976838386.0,42269756.0,134232353.0,2034883523.0,2218459893.0
 Malawi ,1988,8754781,264,1031383620.0,96313852.0,347917234.0,2196868875.0,277917355.0,501883604.0,379980952.0,1918951519.0,519506184.0,522494954.0,555030614.0,303544274.0,2180866331.0,44751106.0,149842865.0,2313940919.0,2472883263.0
 Malawi ,1989,9174895,290,1253450696.0,134861092.0,320065665.0,2741352785.0,321888843.0,621939171.0,470876189.0,2419463942.0,592805701.0,533108037.0,624720701.0,352940284.0,2576845210.0,58435679.0,152436757.0,2659512046.0,2970408323.0
 Malawi ,1990,9539665,344,1407098727.0,160371914.0,479784854.0,2763729341.0,353237811.0,737159489.0,558110611.0,2410491530.0,712267875.0,668053697.0,776956204.0,449282362.0,3062207188.0,74474177.0,194023804.0,3278090351.0,3166319965.0
 Malawi ,1991,9831584,392,1698480235.0,189079659.0,559174969.0,3217818002.0,379174471.0,901359463.0,682428007.0,2838643531.0,858733176.0,765998675.0,894324147.0,627965180.0,3785011614.0,103919597.0,271242797.0,3851347249.0,3658041858.0
 Malawi ,1992,10115420,325,1222110611.0,177438499.0,470135202.0,3033863930.0,429393574.0,733247441.0,555148762.0,2604470355.0,818035090.0,731312885.0,852004378.0,513920492.0,3072479579.0,85031122.0,221974478.0,3285254673.0,3285104233.0
 Malawi ,1993,10257233,350,1802762489.0,169625145.0,364726931.0,3403036730.0,403103302.0,601768217.0,455604564.0,2999933428.0,671681355.0,633569750.0,748629090.0,547273090.0,3595581458.0,91036559.0,236255085.0,3594405341.0,3612298980.0
 Malawi ,1994,10131799,221,513301463.0,47923406.0,405664653.0,1854106447.0,417511761.0,349036368.0,264258826.0,1436594686.0,540335991.0,390705359.0,423176016.0,599925375.0,1942395606.0,98782391.0,259286955.0,2234347048.0,2134243006.0
 Malawi ,1995,10112816,229,729850451.0,49846559.0,476244704.0,2128000372.0,373753044.0,398161590.0,301452008.0,1754247328.0,586894802.0,416869020.0,450999610.0,660178184.0,2285160847.0,109170003.0,285116039.0,2318285858.0,2473657154.0
 Malawi ,1996,10310528,200,1035282295.0,82157515.0,275920751.0,2778639075.0,359790335.0,452445445.0,342550842.0,2418848740.0,500344670.0,468330812.0,523600072.0,753864472.0,2847244039.0,127418250.0,324921435.0,2066099998.0,2974842641.0
 Malawi ,1997,10512678,295,1024301997.0,77801417.0,408574390.0,2952206705.0,379725982.0,483148685.0,300775893.0,2572480722.0,664222240.0,467212089.0,519749120.0,855476570.0,2984895312.0,136541659.0,371024549.0,3098612306.0,3140904838.0
 Malawi ,1998,10732456,293,1145973843.0,79707978.0,617374202.0,2778542800.0,320502938.0,569626110.0,360795908.0,2458039862.0,749213958.0,482206987.0,538525787.0,816235590.0,3068877835.0,136708410.0,351726228.0,3142896486.0,3214447154.0
 Malawi ,1999,10973956,288,1214106250.0,84210368.0,538004437.0,3038445707.0,297736479.0,645792630.0,415844047.0,2740709229.0,863492459.0,474066838.0,527772491.0,775162615.0,3072895149.0,139578861.0,332064565.0,3160390951.0,3208978291.0
 Malawi ,2000,11229387,278,1237444264.0,82135181.0,472866978.0,2826130116.0,316908098.0,620181440.0,399018447.0,2509222018.0,691225797.0,445131312.0,501542902.0,716567509.0,2988452512.0,129951088.0,320811569.0,3116683655.0,3150376893.0
 Malawi ,2001,11498818,265,1204787430.0,83671700.0,508822411.0,2724877645.0,338345598.0,628952103.0,404950829.0,2386532047.0,704541548.0,393320358.0,452409641.0,731531810.0,2938987635.0,131870981.0,334716072.0,3043964654.0,3101595762.0
