Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Malaysia ,1970,10306508,369,1113478317.0,144157304.0,1760409247.0,3023957766.0,706254369.0,676527658.0,676527658.0,2317703398.0,1596749007.0,567140382.0,909468360.0,900709435.0,3731301972.0,200360405.0,463128150.0,3803712243.0,3864145665.0
 Malaysia ,1971,10552557,391,1188299650.0,178883818.0,1717415706.0,3302798117.0,710948508.0,880658798.0,884917936.0,2591849608.0,1656477262.0,607746306.0,957978543.0,991724025.0,4093359753.0,206732032.0,569741685.0,4125467105.0,4244395358.0
 Malaysia ,1972,10801619,454,1425375126.0,249204255.0,1816243493.0,4025811344.0,971074924.0,1085631973.0,1138831841.0,3054736420.0,1884339324.0,740001829.0,1348397109.0,1139399276.0,5043347486.0,268026750.0,612944971.0,4909283819.0,5043347486.0
 Malaysia ,1973,11062664,668,2184723617.0,327831326.0,3178858810.0,5419653453.0,1200820362.0,1811462482.0,1726742027.0,4218833091.0,2747070984.0,1297000588.0,1826605751.0,1632198910.0,7385413575.0,383902352.0,1030151619.0,7393189848.0,7662903760.0
 Malaysia ,1974,11335187,801,3082975476.0,394325036.0,4587741651.0,6768404145.0,1460699053.0,2705367530.0,2408740930.0,5307705092.0,4565307707.0,1777805975.0,3010596571.0,1739769057.0,9496205620.0,411027488.0,857511992.0,9082008533.0,9496205620.0
 Malaysia ,1975,11617947,777,2865634205.0,401328567.0,4249340305.0,7105906272.0,1639246103.0,2181066234.0,2340228509.0,5466660169.0,4207147681.0,1746355755.0,2969408537.0,1786829481.0,9329165130.0,418551561.0,887412779.0,9025879536.0,9329165130.0
 Malaysia ,1976,11910081,892,3248970698.0,468216377.0,5726370461.0,7481974762.0,1692257754.0,2413857550.0,2441792983.0,5789717008.0,4571968171.0,2177034910.0,3651585715.0,2129798822.0,11050234602.0,504216383.0,1047446607.0,10618612478.0,11050234602.0
 Malaysia ,1977,12218924,1033,3707235441.0,563915252.0,6588432866.0,9019684856.0,2189101892.0,3133324757.0,3032970606.0,6830582964.0,5601955621.0,2684011309.0,4479892398.0,2539612480.0,13139486858.0,603850519.0,1244980768.0,12621058125.0,13139486858.0
 Malaysia ,1978,12543892,1246,4107439059.0,678312495.0,8024467036.0,11085292799.0,2629486373.0,4362615815.0,4050445266.0,8455806426.0,7114293427.0,3104002880.0,5022362150.0,3532751643.0,15941423052.0,806116758.0,1794440947.0,15624071248.0,16358082223.0
 Malaysia ,1979,12875011,1574,5276861102.0,909083397.0,11882427759.0,13197061841.0,2958726340.0,6133588210.0,5597590373.0,10238335501.0,9999809609.0,4369541098.0,7540301747.0,4348916657.0,21213268200.0,1062034099.0,2076071199.0,20267389664.0,21213268200.0
 Malaysia ,1980,13215707,1786,5638968298.0,1131553364.0,14091706038.0,16425776920.0,4047529727.0,7449641310.0,7624202801.0,12378247193.0,13478903331.0,5374660059.0,9102553796.0,4990397750.0,24488220938.0,1201966575.0,2422781154.0,23607144781.0,24488220938.0
 Malaysia ,1981,13564594,1779,5456193307.0,1096162190.0,13086963603.0,17802419580.0,4524494115.0,8748223298.0,9009493846.0,13277925465.0,14633320680.0,5327083862.0,9169778637.0,5395269838.0,25004285801.0,1318799808.0,2568082021.0,24131503291.0,25004285801.0
 Malaysia ,1982,13921029,1837,5763412106.0,1097785817.0,13636256593.0,19138117453.0,4910953553.0,10001748461.0,9739265723.0,14227163900.0,15971625036.0,5199754533.0,9239820912.0,6230187684.0,26804497470.0,1540798483.0,2932492468.0,25567445869.0,26804497471.0
 Malaysia ,1983,14292862,1990,5684097908.0,1668781722.0,15637264411.0,20451480890.0,4745288101.0,11401615513.0,10861820144.0,15706192790.0,17142918692.0,5803854475.0,10481302983.0,6876456767.0,29804632467.0,1586340607.0,3507652480.0,28447172870.0,30347442122.0
 Malaysia ,1984,14686454,2155,6905919166.0,1256814699.0,18420478106.0,21903945787.0,5009724895.0,11391246531.0,10833994107.0,16894220892.0,17772768167.0,6674764759.0,12060139318.0,8056843443.0,33942902257.0,2054750968.0,3608434663.0,31652449720.0,33942902257.0
 Malaysia ,1985,15108135,1918,6327747782.0,1152526149.0,17131005319.0,20993203900.0,4769956203.0,8605171748.0,9312771634.0,16223247697.0,15529743426.0,6137290689.0,11088420110.0,7383152590.0,31199637542.0,1889272312.0,3358518598.0,28981390432.0,31199637541.0
 Malaysia ,1986,15558740,1664,5597993163.0,1047717537.0,15613368499.0,18836761112.0,4697762555.0,7206825643.0,7307931937.0,14138998557.0,13922840273.0,5458434053.0,9833384547.0,6543194507.0,27734114981.0,1660230926.0,3051594301.0,25883986016.0,27734114981.0
 Malaysia ,1987,16033103,1884,6423540945.0,1118414481.0,20240206432.0,20289816726.0,4786401223.0,7428050190.0,7105781716.0,15503415503.0,15776867447.0,6373136885.0,11280190345.0,8182920432.0,32556259728.0,2090379373.0,3460814151.0,30204334881.0,32181205901.0
 Malaysia ,1988,16524616,2017,7079623489.0,1094401344.0,23426145729.0,22373748624.0,5020652084.0,9298211001.0,8678075697.0,17353096540.0,19826000624.0,7697085797.0,12434782055.0,8568864676.0,35474488789.0,2215150802.0,4081666423.0,33330745193.0,35272104731.0
 Malaysia ,1989,17020143,2154,7024404650.0,1282836145.0,27728457120.0,24887759528.0,5462851588.0,11604221977.0,11295972141.0,19424907940.0,25372468552.0,9246756763.0,14180230787.0,9786101686.0,39600690332.0,2418376858.0,4908740206.0,36668809854.0,38847970073.0
 Malaysia ,1990,17517054,2406,6699015666.0,1718748556.0,32783400342.0,28878598826.0,6072739036.0,14246499376.0,14547067794.0,22805859790.0,31883543602.0,10664818152.0,16858819724.0,10879615509.0,44732196497.0,2597532233.0,5978464809.0,42152410000.0,44024585240.0
 Malaysia ,1991,18017464,2590,7053647184.0,2159584010.0,38239436620.0,32364669947.0,6728564156.0,18568277133.0,17863566944.0,25636105791.0,40037938474.0,12553877482.0,18529368985.0,11873530339.0,49764611767.0,3092652299.0,7055828950.0,46662141524.0,49134808853.0
 Malaysia ,1992,18526708,3023,8619825573.0,2903371433.0,44945728623.0,37431743685.0,7695740073.0,20917542838.0,21665761599.0,29736003612.0,44143336626.0,15274497360.0,21435329063.0,14664067049.0,59969772904.0,3617437501.0,8729742285.0,56008845678.0,59151678520.0
 Malaysia ,1993,19050077,3343,9223047323.0,3517352701.0,52793700310.0,40749855775.0,8449571597.0,26211930795.0,26004090758.0,32300284178.0,52860519911.0,17343182750.0,23297119959.0,17821409078.0,68124913805.0,4194872373.0,10071112372.0,63683741276.0,66894966969.0
 Malaysia ,1994,19588703,3619,10175071798.0,4156986677.0,66401660407.0,44988358608.0,9135158273.0,30688309197.0,29975726460.0,35853200335.0,67595903348.0,19842571293.0,25666696728.0,19290795997.0,75708676870.0,4916439830.0,11502685840.0,70895885438.0,74482424864.0
 Malaysia ,1995,20136888,4206,11503334958.0,5489129983.0,83581956453.0,53561642240.0,10991436752.0,38766506338.0,38718590749.0,42570205488.0,87077398649.0,23432320063.0,31289278721.0,22931202864.0,90816811051.0,5975073911.0,13628790614.0,84688806552.0,88832706382.0
 Malaysia ,1996,20689051,4648,11779680974.0,6614221112.0,92354256904.0,57621348660.0,11199779009.0,41831639634.0,42856702806.0,46421569650.0,90957166151.0,28079338061.0,37283840946.0,26623819900.0,104000000000.0,6661916956.0,15021805943.0,96159192827.0,101000000000.0
 Malaysia ,1997,21249178,4461,11120109721.0,6566918358.0,93447241123.0,56208043651.0,10785258736.0,43045769485.0,43187245803.0,45422784915.0,92531910671.0,28428208766.0,38082012424.0,26893652820.0,104000000000.0,6669293181.0,14762236250.0,94802996596.0,100000000000.0
 Malaysia ,1998,21810542,3130,9608154165.0,3696639592.0,83538397834.0,37047427934.0,7050804268.0,19252747253.0,19361554388.0,29996623666.0,67663258481.0,20774008600.0,27970823380.0,19392896958.0,76620608377.0,4951871317.0,11000222965.0,68271508202.0,72175314541.0
 Malaysia ,1999,22368655,3293,8581578947.0,3680789474.0,96016052632.0,41605263158.0,8695789474.0,17715000000.0,17326578947.0,32909473684.0,76187894737.0,24485526316.0,33090789474.0,20880526316.0,83251578947.0,5339473684.0,11678421053.0,73652105263.0,79148421053.0
 Malaysia ,2000,22945150,3756,8065000000.0,3676578947.0,112000000000.0,50571052632.0,9533947368.0,25198947368.0,23721315789.0,41037105263.0,94349736842.0,28946842105.0,41643157895.0,24259736842.0,96810789474.0,6552105263.0,12614210526.0,86182105263.0,93789736842.0
 Malaysia ,2001,23542517,3655,7432894737.0,3747631579.0,102000000000.0,53964736842.0,11170526316.0,22637631579.0,23310526316.0,42794210526.0,86253947368.0,27219473684.0,39121052632.0,25706578947.0,95926315789.0,6970526316.0,12947631579.0,86041052632.0,92783947368.0
 Malaysia ,2002,24142445,3904,9061052632.0,3861315789.0,109000000000.0,58458157895.0,13067368421.0,24986842105.0,23682894737.0,45390789474.0,91820789474.0,29493684211.0,41635526316.0,28181052632.0,104000000000.0,7420263158.0,13506842105.0,94250526316.0,101000000000.0
 Malaysia ,2003,24739411,4215,10255526316.0,4000000000.0,118000000000.0,63415789474.0,14291052632.0,25085789474.0,24701052632.0,49124736842.0,96153421053.0,32982105263.0,47330789474.0,29572105263.0,113000000000.0,7940000000.0,13963684211.0,104000000000.0,110000000000.0
 Malaysia ,2004,25333247,4671,11565526316.0,4067894737.0,144000000000.0,70580526316.0,15693421053.0,28754210526.0,26141052632.0,54887105263.0,119000000000.0,37896578947.0,56473421053.0,31172894737.0,128000000000.0,8768157895.0,15631842105.0,118000000000.0,125000000000.0
 Malaysia ,2005,25923536,5293,11859232348.0,4253131801.0,162000000000.0,79891385430.0,16468574170.0,32146568057.0,32013220347.0,63422811260.0,131000000000.0,39543273092.0,62301370225.0,34108231691.0,142000000000.0,9620575156.0,19709319597.0,137000000000.0,144000000000.0
 Malaysia ,2006,26509413,5959,14007775684.0,4484789089.0,183000000000.0,90298533512.0,18168970788.0,36936876694.0,35719105563.0,72129562724.0,147000000000.0,44847890892.0,71192585027.0,38528130351.0,161000000000.0,10710770076.0,22225754353.0,158000000000.0,163000000000.0
 Malaysia ,2007,27092604,6994,19329355312.0,5451235427.0,205000000000.0,110000000000.0,22387620857.0,45309049122.0,43363197487.0,87392563347.0,167000000000.0,50560143134.0,80864113299.0,45918782269.0,192000000000.0,12511456561.0,27738494674.0,189000000000.0,194000000000.0
 Malaysia ,2008,27664296,8094,23008643517.0,6342043467.0,230000000000.0,130000000000.0,26554384212.0,49528253810.0,47478690982.0,103000000000.0,178000000000.0,56688983263.0,97765675743.0,53269747689.0,229000000000.0,13934149388.0,34233424931.0,224000000000.0,231000000000.0
 Malaysia ,2009,28217204,7025,18646317414.0,6578800071.0,185000000000.0,125000000000.0,26391523105.0,36074023265.0,44448821286.0,98784994316.0,144000000000.0,48137568417.0,76281679094.0,52764320164.0,200000000000.0,13306841046.0,32703335171.0,198000000000.0,202000000000.0
 Malaysia ,2010,28717731,8598,25731066002.0,8758844684.0,222000000000.0,155000000000.0,32084200997.0,59639806403.0,57214227644.0,123000000000.0,181000000000.0,59760262637.0,94520578941.0,60558635831.0,253000000000.0,21269528521.0,41797692383.0,247000000000.0,255000000000.0
 Malaysia ,2011,29184133,9968,34125456622.0,10095414904.0,254000000000.0,182000000000.0,39540157178.0,69089801308.0,66095033013.0,143000000000.0,208000000000.0,69482938177.0,109000000000.0,68890128636.0,295000000000.0,24085270422.0,49346356680.0,291000000000.0,298000000000.0
 Malaysia ,2012,29660212,10210,30795769655.0,12273047580.0,249000000000.0,200000000000.0,43525628814.0,80965076999.0,79753603627.0,156000000000.0,216000000000.0,72756389843.0,114000000000.0,77090757961.0,312000000000.0,25776669795.0,52251021341.0,303000000000.0,314000000000.0
 Malaysia ,2013,30134807,10370,29461343776.0,13549107923.0,244000000000.0,212000000000.0,44338640039.0,83848514103.0,85594042389.0,167000000000.0,217000000000.0,73838702806.0,115000000000.0,78709272966.0,320000000000.0,27285146056.0,55464637333.0,312000000000.0,323000000000.0
 Malaysia ,2014,30606459,10680,29997313544.0,14864676084.0,249000000000.0,222000000000.0,45059981614.0,84440831998.0,87810973359.0,177000000000.0,218000000000.0,77329008759.0,120000000000.0,80472437075.0,334000000000.0,28604647694.0,60370750753.0,327000000000.0,338000000000.0
 Malaysia ,2015,31068833,9435,24974762830.0,14180505792.0,209000000000.0,202000000000.0,39436976860.0,76617233606.0,77947354218.0,163000000000.0,187000000000.0,67182023641.0,102000000000.0,73632397107.0,298000000000.0,26721308045.0,56392586191.0,293000000000.0,301000000000.0
 Malaysia ,2016,31526418,9291,25493789215.0,14726276653.0,201000000000.0,203000000000.0,37852424561.0,78312866039.0,76873696464.0,165000000000.0,181000000000.0,65664443283.0,98796478560.0,73575456807.0,297000000000.0,27231451811.0,57447134132.0,293000000000.0,301000000000.0
 Malaysia ,2017,31975806,9699,27437886337.0,15475548646.0,223000000000.0,216000000000.0,38907670577.0,81523898590.0,79978203814.0,177000000000.0,201000000000.0,69713197212.0,106000000000.0,75829674278.0,315000000000.0,28561063736.0,61169802931.0,310000000000.0,319000000000.0
 Malaysia ,2018,32399271,10729,26952538408.0,17359442601.0,246000000000.0,249000000000.0,42945083334.0,85741224755.0,86828674194.0,206000000000.0,222000000000.0,77240555921.0,120000000000.0,85881740670.0,354000000000.0,32976879426.0,71267385247.0,348000000000.0,359000000000.0
 Malaysia ,2019,32804020,10845,26445335027.0,17155707714.0,238000000000.0,261000000000.0,42658126981.0,76868636421.0,83771764706.0,218000000000.0,211000000000.0,78180897065.0,120000000000.0,88341502376.0,361000000000.0,34495363664.0,75020946399.0,356000000000.0,365000000000.0
 Malaysia ,2020,33199993,9946,27616152852.0,13687937930.0,207000000000.0,249000000000.0,43783463865.0,66502486135.0,70550558711.0,205000000000.0,185000000000.0,75082515844.0,107000000000.0,84792085315.0,333000000000.0,32407894614.0,67371527574.0,330000000000.0,337000000000.0
 Malaysia ,2021,33573874,10769,35828708048.0,13404299036.0,257000000000.0,263000000000.0,47673379795.0,83004175262.0,71903114112.0,216000000000.0,230000000000.0,87552726157.0,127000000000.0,88155144868.0,369000000000.0,34558463786.0,69405586537.0,362000000000.0,373000000000.0
