Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Maldives ,1970,123243,327,7800808.0,1137728.0,30209623.0,26443029.0,5074760.0,6697367.0,6779708.0,21368270.0,23550685.0,1265751.0,1615023.0,9472276.0,34283333.0,5262042.0,8995456.0,40264937.0,42386045.0
 Maldives ,1971,127066,353,8953674.0,1138558.0,33676747.0,29508793.0,5644724.0,7453690.0,7541910.0,23864069.0,26253579.0,1370484.0,1748656.0,10318561.0,37914142.0,5790032.0,9964661.0,44886077.0,47250620.0
 Maldives ,1972,130990,400,10520698.0,1287892.0,39306796.0,34446735.0,6569818.0,8631252.0,8738634.0,27876918.0,30642586.0,1570828.0,2004283.0,12027862.0,44201223.0,6742606.0,11617882.0,52390070.0,55149915.0
 Maldives ,1973,134940,477,12621286.0,1737943.0,48289702.0,42348221.0,8075420.0,10622298.0,10755616.0,34272801.0,37645291.0,1991618.0,2541185.0,15028659.0,54674560.0,8344024.0,14401463.0,64362932.0,67753492.0
 Maldives ,1974,138944,587,15408958.0,2497444.0,61144538.0,53628222.0,10279537.0,13597258.0,13781223.0,43348685.0,47666630.0,2631501.0,3357641.0,19497162.0,70039916.0,10761758.0,18516954.0,81496695.0,85789840.0
 Maldives ,1975,143126,357,9359414.0,1720687.0,38325070.0,33341414.0,6508370.0,8631418.0,8727509.0,26833044.0,29877556.0,1707598.0,2178794.0,12465977.0,43928015.0,6847072.0,11356071.0,51081667.0,53772587.0
 Maldives ,1976,147468,316,10641180.0,508944.0,34990813.0,30820897.0,5800253.0,7680498.0,7753607.0,25020644.0,27278042.0,1213371.0,1548190.0,9470023.0,37815030.0,5621502.0,10025190.0,46637426.0,49094228.0
 Maldives ,1977,151792,286,9018319.0,898267.0,32606545.0,28594376.0,5372832.0,6875684.0,6983068.0,23221544.0,25419058.0,1183727.0,1510365.0,9912275.0,36453587.0,5529390.0,9584970.0,43459546.0,45748942.0
 Maldives ,1978,156025,325,8758463.0,1985235.0,38094153.0,33522543.0,6386923.0,8452625.0,8563303.0,27135620.0,29696569.0,1814898.0,2315695.0,12849710.0,44597823.0,6820994.0,11867727.0,50773772.0,53448472.0
 Maldives ,1979,160326,501,12358953.0,3921698.0,60222410.0,52852945.0,10392517.0,14117495.0,14373331.0,42460428.0,46948111.0,3132095.0,3996387.0,21507069.0,72976828.0,11567321.0,19625400.0,80268585.0,84497036.0
 Maldives ,1980,164887,536,13620808.0,4324591.0,66370457.0,55380608.0,11835695.0,15889159.0,15889159.0,43544914.0,51744426.0,3461012.0,4416040.0,23711955.0,76310492.0,12737857.0,17499240.0,88461809.0,93121868.0
 Maldives ,1981,169663,551,13907465.0,2954863.0,70179332.0,65628241.0,10210370.0,13398865.0,13398865.0,55417870.0,54708350.0,3829050.0,4885574.0,26899290.0,78360244.0,13044738.0,16668314.0,93536671.0,98464068.0
 Maldives ,1982,174523,681,17081949.0,4537281.0,89181734.0,76479669.0,14254912.0,14956428.0,15786984.0,62224757.0,69519751.0,6310996.0,8052692.0,41676689.0,94406977.0,-6479048.0,29537415.0,118865460.0,125127146.0
 Maldives ,1983,179339,692,15869447.0,4198298.0,93143637.0,83381343.0,16959649.0,25799463.0,25889407.0,66421695.0,72605165.0,6402579.0,8169149.0,48722508.0,110164126.0,-3999515.0,37204238.0,124147453.0,130687388.0
 Maldives ,1984,184388,776,15562024.0,4519724.0,107326477.0,92924865.0,21154930.0,31886976.0,33063580.0,71769935.0,83681031.0,6230926.0,7949893.0,76936130.0,151564408.0,3922036.0,42674601.0,143062623.0,150598986.0
 Maldives ,1985,190383,828,17474673.0,5295750.0,118330724.0,102472301.0,23322567.0,35150719.0,36451212.0,79149734.0,92284794.0,6351047.0,8104838.0,73189171.0,163353911.0,4394794.0,54894685.0,157705260.0,166012980.0
 Maldives ,1986,197225,892,18462716.0,5821478.0,132010645.0,114231986.0,25963766.0,39180837.0,40630718.0,88268220.0,102856417.0,6969324.0,8890962.0,72486715.0,174360741.0,10869648.0,57829223.0,175930039.0,185197817.0
