Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Malta ,1970,315414,895,14779642.0,31137897.0,174998010.0,248954783.0,44337418.0,68728617.0,57453853.0,204617365.0,255102449.0,43762093.0,46409244.0,58409809.0,226867397.0,14070216.0,62060588.0,282238705.0,260947106.0
 Malta ,1971,315099,945,15852708.0,27827656.0,190222984.0,261094371.0,48210046.0,64349505.0,53957148.0,212884325.0,260065761.0,43124963.0,45669402.0,68859645.0,239404045.0,15995048.0,65199587.0,297812244.0,275361011.0
 Malta ,1972,315373,1058,18465363.0,24205303.0,216903668.0,295459602.0,52203502.0,61666220.0,50827370.0,243256101.0,283844368.0,58946067.0,61577855.0,74120880.0,264991100.0,16152591.0,70469109.0,333655483.0,307133645.0
 Malta ,1973,316193,1217,21047083.0,25367208.0,316119154.0,344066432.0,62152891.0,63970794.0,51930557.0,281913541.0,374081198.0,73927086.0,76431817.0,87143724.0,308680919.0,18813245.0,79877842.0,384763450.0,359701410.0
 Malta ,1974,317609,1355,22840324.0,33510513.0,443461479.0,390723107.0,70267209.0,85434203.0,69655532.0,320455898.0,542015832.0,89137215.0,92151290.0,92806224.0,350615032.0,21938717.0,87367962.0,430412306.0,391408106.0
 Malta ,1975,319619,1723,25356895.0,50033725.0,552534541.0,435852564.0,79860937.0,93423946.0,83843024.0,355991627.0,584225639.0,123832881.0,127748666.0,115474431.0,461830030.0,35806157.0,107410154.0,550831545.0,493961028.0
 Malta ,1976,322010,1867,28494508.0,48515445.0,628969580.0,453549982.0,84980793.0,121587476.0,109468480.0,368569189.0,651055096.0,147565333.0,151839560.0,127826205.0,517691361.0,42140484.0,118875160.0,601068185.0,549452590.0
 Malta ,1977,324648,2175,32347710.0,52107409.0,760198126.0,566035305.0,94722950.0,136031554.0,122275020.0,471312355.0,806570686.0,175457661.0,180531426.0,148683852.0,612941508.0,49937005.0,149334106.0,706169921.0,651057742.0
 Malta ,1978,327466,2688,31219317.0,63262555.0,922231743.0,678666342.0,120405587.0,155884774.0,134707828.0,558260755.0,911325886.0,223648083.0,230547926.0,194888431.0,776493221.0,63432116.0,193142876.0,880339701.0,826019287.0
 Malta ,1979,330471,3294,34071521.0,78923782.0,1255784273.0,814158349.0,150753341.0,213634982.0,187757678.0,663405008.0,1208068177.0,284660436.0,293025988.0,259582754.0,992788201.0,84382279.0,242801876.0,1088433006.0,1042095043.0
