Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Mexico ,1970,50289306,886,4797561115.0,3667122636.0,3104559997.0,36182240444.0,2634159997.0,11287759989.0,9293999991.0,33548080446.0,4469679996.0,9474326711.0,12226964388.0,13144972947.0,48365593552.0,2205649838.0,12323322628.0,44543439955.0,45224639955.0
 Mexico ,1971,51897675,946,5265944480.0,3450025200.0,3375760000.0,40720000480.0,3049840000.0,11089680000.0,9232400000.0,37670160480.0,4453440000.0,10627962000.0,13473022960.0,14803277760.0,53006270000.0,2446177920.0,13567821680.0,49104000000.0,49880720000.0
 Mexico ,1972,53543436,1057,5539748830.0,4532698606.0,4106312432.0,46564074741.0,3981832661.0,12832216350.0,11229979303.0,42582242079.0,5200230416.0,12129228685.0,15095045139.0,17074128772.0,60868782937.0,2959450546.0,15667711044.0,56598855686.0,57486294051.0
 Mexico ,1973,55228203,1252,7119117708.0,5481691409.0,5241300164.0,56313177282.0,5181699935.0,16519823553.0,13977653773.0,51131477348.0,6817306227.0,14777135409.0,18387302498.0,19965258248.0,73860804790.0,3606282834.0,19301152093.0,69139305986.0,70329630565.0
 Mexico ,1974,56945880,1578,9220190206.0,7568660659.0,6823856967.0,72695461634.0,6722496715.0,23317737979.0,18750926623.0,65972964919.0,9918344662.0,19443232425.0,25595043481.0,23835181505.0,96132901511.0,4770709382.0,25143116277.0,89839503382.0,91585907725.0
 Mexico ,1975,58691882,1872,10916505760.0,10256566320.0,6838320000.0,88639841040.0,9271920000.0,29138960000.0,24698000000.0,79367921040.0,11030400000.0,23137566000.0,30433887200.0,29487241680.0,117000000000.0,6466270800.0,29644651840.0,110000000000.0,112000000000.0
 Mexico ,1976,60452543,1827,10501537160.0,10767877686.0,8504620491.0,89401168560.0,9990762260.0,27685670482.0,24499589975.0,79410406300.0,11426534032.0,23102040796.0,29792909565.0,30290677662.0,118000000000.0,6898892897.0,29318395292.0,110000000000.0,113000000000.0
 Mexico ,1977,62262505,1631,9558120694.0,9003406657.0,9527101860.0,80288518416.0,9001293589.0,26154099466.0,21090985343.0,71287224827.0,10910001093.0,22038076615.0,30067978961.0,26666916742.0,108000000000.0,6508672211.0,26414722943.0,102000000000.0,104000000000.0
 Mexico ,1978,64123997,1987,11659279112.0,11929213382.0,12114444924.0,100000000000.0,11446556719.0,33864558575.0,28340842892.0,88995160179.0,14765178396.0,27285885318.0,37307176776.0,33808512977.0,136000000000.0,8529561044.0,32921353025.0,127000000000.0,131000000000.0
 Mexico ,1979,65972912,2523,13665400027.0,16582448560.0,16966169538.0,129000000000.0,14970281140.0,48784709460.0,41280560220.0,114000000000.0,21824846912.0,35310706655.0,51492146213.0,43050565285.0,180000000000.0,11304047305.0,43604476036.0,166000000000.0,171000000000.0
 Mexico ,1980,67705186,3398,17241476072.0,23443605928.0,26383720978.0,172000000000.0,20593866429.0,73242359362.0,58972354521.0,152000000000.0,32804658911.0,48338938836.0,82741890313.0,56856692138.0,254000000000.0,15699400339.0,58254599564.0,230000000000.0,237000000000.0
 Mexico ,1981,69233769,4235,22065725242.0,32620124417.0,32918179372.0,221000000000.0,28356815939.0,94753208296.0,80655568521.0,193000000000.0,41971559807.0,60670609761.0,94035388303.0,75168144088.0,318000000000.0,20341663377.0,73994576133.0,293000000000.0,304000000000.0
 Mexico ,1982,70656783,2820,13717404564.0,21079929754.0,33699498420.0,147000000000.0,19157153065.0,55101654738.0,48759310447.0,128000000000.0,23263252704.0,40403164444.0,69786001770.0,50830550711.0,224000000000.0,13565656248.0,55062165184.0,199000000000.0,211000000000.0
 Mexico ,1983,72080310,2364,12463380819.0,12537218120.0,35796566983.0,122000000000.0,13802369402.0,42779213156.0,31943896531.0,108000000000.0,18207792118.0,35223486165.0,91704866183.0,40745445204.0,215000000000.0,12316282335.0,45198968274.0,170000000000.0,181000000000.0
 Mexico ,1984,73489654,2746,16229987967.0,14492824801.0,38620886217.0,150000000000.0,17080910915.0,48289809333.0,38526628767.0,133000000000.0,21776843397.0,44225717100.0,97345089184.0,46881538420.0,243000000000.0,15065890641.0,53308720714.0,202000000000.0,214000000000.0
 Mexico ,1985,74872006,2862,18025605117.0,15100005877.0,35985950178.0,160000000000.0,17935039525.0,54093550636.0,43077299001.0,142000000000.0,24750374944.0,48336717627.0,94815352235.0,48979537011.0,248000000000.0,15545338726.0,55426439508.0,214000000000.0,225000000000.0
 Mexico ,1986,76224365,1954,13121841331.0,10361534928.0,28403226090.0,118000000000.0,12410188372.0,33228144827.0,30813646302.0,106000000000.0,22575661898.0,35624378949.0,61976710006.0,35405238912.0,170000000000.0,11771583603.0,37051694861.0,149000000000.0,158000000000.0
 Mexico ,1987,77553504,2099,13125926320.0,10722467696.0,34606539410.0,123000000000.0,12988758020.0,37408431031.0,31648689488.0,110000000000.0,24374719604.0,40283986660.0,78913110783.0,35248304319.0,191000000000.0,12602398643.0,40701082582.0,163000000000.0,171000000000.0
 Mexico ,1988,78892015,2549,14516386893.0,12962824999.0,36499046458.0,158000000000.0,15634283942.0,48550312458.0,40456706575.0,143000000000.0,34012578829.0,51956547346.0,83452704082.0,45876963069.0,223000000000.0,16388737538.0,50187642534.0,201000000000.0,209000000000.0
 Mexico ,1989,80233749,3058,17299743527.0,14916531428.0,42362038577.0,195000000000.0,18706098890.0,60111420298.0,45868749702.0,177000000000.0,42580978256.0,57966084690.0,89311308696.0,66819749040.0,267000000000.0,19219360528.0,59508806312.0,245000000000.0,255000000000.0
