Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Micronesia (FS of) ,1970,58989,379,4969811.0,826222.0,3829258.0,26889470.0,11022020.0,7135028.0,6709056.0,15867450.0,16764502.0,283342.0,685454.0,9726243.0,20323511.0,1441649.0,2674132.0,22363353.0,21089254.0
 Micronesia (FS of) ,1971,60673,404,5443960.0,905048.0,4194588.0,29454779.0,12073543.0,7815723.0,7349113.0,17381236.0,18363801.0,310375.0,750851.0,10654181.0,22262490.0,1579190.0,2929260.0,24498554.0,23101290.0
 Micronesia (FS of) ,1972,62265,454,6273124.0,1042896.0,4833459.0,33940871.0,13912397.0,9006093.0,8468415.0,20028475.0,21160599.0,357648.0,865212.0,12276909.0,25653268.0,1819715.0,3375412.0,28238015.0,26619824.0
 Micronesia (FS of) ,1973,63889,613,8702442.0,1446765.0,6705281.0,47084874.0,19300136.0,12493808.0,11747909.0,27784737.0,29355395.0,496149.0,1200272.0,17031243.0,35587705.0,2524415.0,4682568.0,39162216.0,36928568.0
 Micronesia (FS of) ,1974,65552,791,11519921.0,1915165.0,8876167.0,62329903.0,25549089.0,16539024.0,15551619.0,36780814.0,38860629.0,656782.0,1588871.0,22545233.0,47109487.0,3341712.0,6198585.0,51824621.0,48884465.0
 Micronesia (FS of) ,1975,67121,773,11525925.0,1916167.0,8880740.0,62362031.0,25562258.0,16547549.0,15559635.0,36799773.0,38880393.0,657124.0,1589691.0,22556974.0,47134022.0,3343454.0,6201811.0,51852800.0,48909927.0
 Micronesia (FS of) ,1976,68602,768,11699363.0,1944997.0,9014364.0,63298840.0,25946257.0,16796128.0,15793374.0,37352583.0,39463402.0,667011.0,1613625.0,22896421.0,47843311.0,3393765.0,6295140.0,52666015.0,49645931.0
 Micronesia (FS of) ,1977,70144,760,11822414.0,1965449.0,9109182.0,63964169.0,26218976.0,16972671.0,15959377.0,37745193.0,39877930.0,674029.0,1630595.0,23137233.0,48346504.0,3429460.0,6361353.0,53294182.0,50168092.0
 Micronesia (FS of) ,1978,71983,837,13409718.0,2229360.0,10332444.0,72554618.0,29740210.0,19252117.0,18102736.0,42814408.0,45235487.0,764524.0,1849484.0,26243648.0,54837534.0,3889907.0,7215417.0,60259256.0,56903692.0
 Micronesia (FS of) ,1979,74114,913,15062606.0,2504114.0,11605856.0,81504391.0,33408730.0,21626908.0,20335749.0,48095660.0,50819298.0,858753.0,2077543.0,29478570.0,61597053.0,4369378.0,8104842.0,67653334.0,63917856.0
 Micronesia (FS of) ,1980,76299,946,16041267.0,2666802.0,12359470.0,86790373.0,35575460.0,23029525.0,21654628.0,51214913.0,54108691.0,914569.0,2212470.0,31393780.0,65599013.0,4653271.0,8631423.0,72174684.0,68070677.0
 Micronesia (FS of) ,1981,78531,1099,19111814.0,3177444.0,14725460.0,103389690.0,42379536.0,27434096.0,25796239.0,61010153.0,64449246.0,1089609.0,2635762.0,37402823.0,78155275.0,5543976.0,10283456.0,86302448.0,81100000.0
 Micronesia (FS of) ,1982,80816,1124,20006994.0,3325949.0,15415633.0,108243615.0,44369165.0,28722068.0,27007318.0,63874450.0,67481316.0,1140617.0,2759871.0,39155540.0,81817505.0,5803651.0,10765500.0,90818513.0,84900000.0
 Micronesia (FS of) ,1983,83153,1118,21020616.0,3494555.0,16198752.0,113753995.0,46627875.0,30184228.0,28382185.0,67126120.0,70936975.0,1198538.0,2899014.0,41138305.0,85960820.0,6097692.0,11310638.0,92969014.0,89200000.0
 Micronesia (FS of) ,1984,85543,1108,21162392.0,3518945.0,16303957.0,114552890.0,46955343.0,30396213.0,28581513.0,67597547.0,71453060.0,1206441.0,2917866.0,41415210.0,86539503.0,6138801.0,11386289.0,94811307.0,89800000.0
 Micronesia (FS of) ,1985,87966,1314,25472943.0,4233369.0,19624088.0,137752821.0,56465018.0,36552234.0,34370011.0,81287803.0,85829142.0,1452129.0,3516367.0,49855977.0,104175971.0,7389219.0,13708096.0,115616525.0,108100000.0
 Micronesia (FS of) ,1986,90397,1426,28044444.0,4662635.0,21609078.0,151609944.0,62145066.0,40229173.0,37827431.0,89464878.0,94448194.0,1599554.0,3864967.0,54880303.0,114676418.0,8135210.0,15088859.0,128929294.0,119000000.0
 Micronesia (FS of) ,1987,92845,1468,29270731.0,4870626.0,22552960.0,158418991.0,64936101.0,42035930.0,39526323.0,93482890.0,98807881.0,1667937.0,4032935.0,57281071.0,119692458.0,8490801.0,15746294.0,136312808.0,124200000.0
 Micronesia (FS of) ,1988,94987,1607,32345878.0,5366647.0,24951818.0,175310518.0,71859955.0,46518038.0,43740842.0,103450563.0,109480375.0,1843737.0,4480989.0,63326586.0,132319478.0,9382968.0,17416410.0,152649726.0,137300000.0
 Micronesia (FS of) ,1989,96796,1681,34064895.0,5670528.0,26204994.0,184602067.0,75668570.0,48983519.0,46059130.0,108933497.0,115290580.0,1945968.0,4671446.0,66630243.0,139235790.0,9881809.0,18316869.0,162743541.0,144500000.0
 Micronesia (FS of) ,1990,98603,1827,37216059.0,6208398.0,28647145.0,200159045.0,82045391.0,53111509.0,49940673.0,118113654.0,124017699.0,2114737.0,5123705.0,72833573.0,152188347.0,10795057.0,20011555.0,180147595.0,157900000.0
 Micronesia (FS of) ,1991,100427,1968,41392647.0,6807347.0,31987624.0,223859664.0,91760298.0,59400386.0,55854094.0,132099366.0,139347675.0,2361596.0,5827928.0,81144560.0,169528712.0,12007791.0,22348439.0,197659952.0,175900000.0
 Micronesia (FS of) ,1992,102893,1999,44668559.0,7508894.0,34334991.0,242601241.0,99442489.0,64373399.0,60530211.0,143158752.0,152209630.0,2568366.0,5938485.0,87128235.0,182122610.0,12958528.0,23919909.0,205705974.0,189100000.0
 Micronesia (FS of) ,1993,106030,2051,48663752.0,8170401.0,37696956.0,265167122.0,108692266.0,70361177.0,66160510.0,156474856.0,166625255.0,2721093.0,6778787.0,95393180.0,199286608.0,14112226.0,26168262.0,217439608.0,206600000.0
 Micronesia (FS of) ,1994,108844,2046,50047525.0,7873721.0,38345497.0,273733388.0,112203587.0,72634206.0,68297835.0,161529801.0,171013091.0,2890183.0,7518191.0,98612125.0,205928463.0,14523101.0,27353800.0,222725984.0,213700000.0
 Micronesia (FS of) ,1995,110328,2111,53002829.0,9480716.0,40334802.0,270256875.0,110778561.0,71711725.0,67430428.0,159478314.0,160449579.0,3117234.0,5816920.0,101847861.0,213217433.0,15377779.0,27691328.0,232930584.0,221853824.0
 Micronesia (FS of) ,1996,110785,2067,51078165.0,8543618.0,40239451.0,283844763.0,116348249.0,75317224.0,70820673.0,167496513.0,180682368.0,2610881.0,8099789.0,101629761.0,211960317.0,14795440.0,27813544.0,228962573.0,218719070.0
 Micronesia (FS of) ,1997,111133,1883,47578051.0,5941078.0,37246332.0,275840037.0,113067104.0,73193198.0,68823455.0,162772932.0,179547693.0,3015281.0,8742835.0,95224492.0,198613532.0,13834479.0,27292597.0,209215650.0,206731873.0
 Micronesia (FS of) ,1998,111406,1977,55710623.0,7858950.0,41045432.0,282434375.0,115770130.0,74942983.0,70468775.0,166664245.0,178844162.0,3403875.0,10100047.0,93873398.0,209559640.0,14337414.0,27679208.0,220234616.0,219578627.0
 Micronesia (FS of) ,1999,111539,2030,52237642.0,8356257.0,36239565.0,279713884.0,114654998.0,74221110.0,69789999.0,165058886.0,169604068.0,3268476.0,9062148.0,96264389.0,209463600.0,14915521.0,28627643.0,226449363.0,220570491.0
