Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Morocco ,1970,15274351,302,861538847.0,153971396.0,858254072.0,3642400264.0,496933151.0,1050768280.0,758335869.0,3145467114.0,974583404.0,790847955.0,969616841.0,947588156.0,3992576273.0,230022109.0,829838924.0,4606661726.0,4644867410.0
 Morocco ,1971,15677300,316,1029944098.0,179705367.0,913492924.0,3991990529.0,562290506.0,947663591.0,831080122.0,3429700023.0,993088831.0,836389336.0,1026197872.0,968907313.0,4314994258.0,227757727.0,882481881.0,4949014680.0,4970747250.0
 Morocco ,1972,16081438,370,1180127451.0,191618582.0,1167452757.0,4685959452.0,659370994.0,1117168582.0,888715588.0,4026588458.0,1128243062.0,1051092578.0,1281045222.0,1235055962.0,5184419478.0,265532837.0,1031039423.0,5947044227.0,5969547339.0
 Morocco ,1973,16489452,444,1420755892.0,214273565.0,1616166558.0,5670943433.0,762841228.0,1511698622.0,1084416521.0,4908102205.0,1588618074.0,1334276651.0,1637914325.0,1510418131.0,6415482874.0,364410004.0,1267710957.0,7324397112.0,7327133333.0
 Morocco ,1974,16902383,536,1732884142.0,258024270.0,2644830457.0,6596938099.0,968729259.0,2256127659.0,1448010308.0,5628208840.0,2510191992.0,1513276350.0,2597719371.0,1789793151.0,8164562248.0,405914522.0,1380226792.0,9052964074.0,9011698026.0
 Morocco ,1975,17325325,610,1758006401.0,538355268.0,2552178659.0,8219273606.0,1515148609.0,3280332376.0,2863055245.0,6704124996.0,3498502962.0,1893078265.0,2820308131.0,2183509675.0,9482385100.0,530020761.0,1652184865.0,10576438049.0,10548745501.0
 Morocco ,1976,17756516,634,2017576386.0,676202203.0,2190420386.0,9167015103.0,2176543083.0,4022655013.0,3537329837.0,6990472020.0,4108962028.0,1958857388.0,2571677982.0,2439403434.0,9963282129.0,551875129.0,1706546996.0,11264981094.0,11253900173.0
 Morocco ,1977,18206472,707,1977501625.0,950594451.0,2405639720.0,10329023268.0,2403501078.0,5163462403.0,4531529444.0,7925522190.0,4792300369.0,2253170821.0,2826609344.0,2868034501.0,11199989001.0,664662717.0,1912586364.0,12873149340.0,12973193373.0
 Morocco ,1978,18679859,822,2737826017.0,992204159.0,2753135588.0,12465176104.0,2884386969.0,4839118754.0,4229259430.0,9580789135.0,4603390573.0,2769189045.0,3399349423.0,3417717913.0,13571958318.0,821467957.0,2203392848.0,15347541471.0,15540255107.0
 Morocco ,1979,19167661,959,3116241796.0,1161374974.0,3407732212.0,15021219329.0,3555256708.0,5598702569.0,4894696532.0,11465962621.0,5492247422.0,3297118270.0,4218880354.0,4193222090.0,16144647003.0,938250090.0,2516677698.0,18385428558.0,18681228372.0
