Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Nepal ,1970,12501285,83,692568712.0,41545007.0,51040959.0,1014053289.0,67751978.0,62080050.0,62080050.0,946301311.0,86413531.0,38305054.0,42894942.0,136309868.0,986713572.0,27259742.0,46135300.0,1040760767.0,1040760767.0
 Nepal ,1971,12774870,83,705666658.0,29211322.0,57332029.0,1018207383.0,68028922.0,82258998.0,82258998.0,950178461.0,96859080.0,39813877.0,42557635.0,145346718.0,996421162.0,33222797.0,40416032.0,1060939330.0,1060939330.0
 Nepal ,1972,13052220,94,831035676.0,32240657.0,69676842.0,1168363169.0,78064850.0,90211924.0,90211924.0,1090298319.0,97452618.0,48477552.0,52214303.0,154650823.0,1153690171.0,40463679.0,43085032.0,1230799317.0,1230799317.0
 Nepal ,1973,13335963,86,743830696.0,32010673.0,75634777.0,1082185650.0,72302007.0,105016420.0,105016420.0,1009883643.0,118674294.0,45696857.0,50568826.0,157851423.0,1073188322.0,47636050.0,41290654.0,1144162554.0,1144162554.0
 Nepal ,1974,13626301,107,992471215.0,33817097.0,79439577.0,1404305030.0,93822553.0,127695137.0,127695137.0,1310482477.0,153757704.0,59827449.0,64559847.0,169593723.0,1363463738.0,57446566.0,45575290.0,1457682046.0,1457682046.0
 Nepal ,1975,13925541,114,1070691595.0,34248106.0,145428418.0,1523728452.0,101823077.0,216874462.0,219437344.0,1421905376.0,228838095.0,65302433.0,70412984.0,192406410.0,1513256240.0,59184667.0,86312478.0,1586803124.0,1616818498.0
 Nepal ,1976,14230738,103,947396382.0,37126753.0,162637754.0,1381269565.0,92265584.0,209177909.0,212270216.0,1289003981.0,224255027.0,59731703.0,64639376.0,190265109.0,1385044437.0,60778576.0,84838242.0,1465845472.0,1493848444.0
 Nepal ,1977,14550430,100,856241932.0,52742740.0,176783940.0,1344740761.0,89841295.0,219986494.0,224174031.0,1254899466.0,224982537.0,63713817.0,68931573.0,219959245.0,1351683760.0,64327139.0,89481130.0,1459872926.0,1484057785.0
 Nepal ,1978,14888770,115,988160042.0,71411240.0,186859002.0,1595896764.0,108259513.0,287682628.0,295418120.0,1487637251.0,286565469.0,70945401.0,76511292.0,249427975.0,1573357187.0,85177078.0,102669560.0,1714368386.0,1749146233.0
 Nepal ,1979,15238564,128,1147414876.0,83972562.0,236673803.0,1834546144.0,140302750.0,290911210.0,295332633.0,1694243394.0,335999839.0,76468122.0,83314959.0,264454057.0,1783414615.0,98151737.0,106106424.0,1953261282.0,1987385688.0
 Nepal ,1980,15600442,132,1160721970.0,84565056.0,242459565.0,1950673682.0,116238118.0,353497686.0,333165621.0,1834435564.0,414339807.0,84403493.0,92922688.0,298169421.0,1887862646.0,121195374.0,130288137.0,2060407665.0,2089013873.0
 Nepal ,1981,15969792,147,1295264495.0,103426919.0,309892880.0,2218783313.0,138861790.0,387184808.0,378492221.0,2079921522.0,493622194.0,90259952.0,100363474.0,344730351.0,2124159297.0,144514197.0,135859861.0,2342881246.0,2374579869.0
